ko:K19743	apt:APA01_08140
ko:K07062	apt:APA01_43880
ko:K14980	apt:APA01_02870
ko:K14981	apt:APA01_02880
ko:K11811	apt:APA01_42340
ko:K01961	apt:APA01_25210
ko:K03560	apt:APA01_26220
ko:K03446	apt:APA01_09790
ko:K04751	apt:APA01_06300
ko:K00568	apt:APA01_11260
ko:K09159	apt:APA01_11050
ko:K07341	apt:APA01_43770
ko:K13013	apt:APA01_01000
ko:K13292	apt:APA01_22990
ko:K01061	apt:APA01_17850
ko:K01154	apt:APA01_43200
ko:K01154	apt:APA01_42390
ko:K07183	apt:APA01_42060
ko:K00114	apt:APA01_22100
ko:K03642	apt:APA01_25180
ko:K00281	apt:APA01_24220
ko:K00569	apt:APA01_14450
ko:K09702	apt:APA01_15830
ko:K03925	apt:APA01_18900
ko:K00254	apt:APA01_02520
ko:K01420	apt:APA01_25650
ko:K01548	apt:APA01_40520
ko:K07646	apt:APA01_40530
ko:K07667	apt:APA01_40540
ko:K01126	apt:APA01_40680
ko:K03322	apt:APA01_40840
ko:K07090	apt:APA01_41560
ko:K03581	apt:APA01_41760
ko:K03427	apt:APA01_41890
ko:K01438	apt:APA01_41960
ko:K10254	apt:APA01_41290
ko:K00362	apt:APA01_42110
ko:K03893	apt:APA01_42350
ko:K03576	apt:APA01_42280
ko:K01153	apt:APA01_42380
ko:K03427	apt:APA01_42400
ko:K01546	apt:APA01_40500
ko:K08715	apt:APA01_08880
ko:K18828	apt:APA01_41510
ko:K06199	apt:APA01_40710
ko:K04091	apt:APA01_14160
ko:K05520	apt:APA01_18420
ko:K01424	apt:APA01_15480
ko:K08995	apt:APA01_15320
ko:K03316	apt:APA01_40550
ko:K12206	apt:APA01_42810
ko:K03316	apt:APA01_05450
ko:K03316	apt:APA01_04220
ko:K03316	apt:APA01_10370
ko:K02116	apt:APA01_24630
ko:K22617	apt:APA01_10790
ko:K11924	apt:APA01_40860
ko:K13583	apt:APA01_01260
ko:K17103	apt:APA01_07820
ko:K00040	apt:APA01_40070
ko:K03530	apt:APA01_41420
ko:K03549	apt:APA01_42600
ko:K03497	apt:APA01_40300
ko:K07263	apt:APA01_02420
ko:K13482	apt:APA01_12890
ko:K03386	apt:APA01_23580
ko:K03386	apt:APA01_02050
ko:K01950	apt:APA01_26510
ko:K01693	apt:APA01_26520
ko:K02501	apt:APA01_26530
ko:K01814	apt:APA01_26540
ko:K02500	apt:APA01_26550
ko:K01523	apt:APA01_26560
ko:K03497	apt:APA01_26640
