ko:K20265	banm:EN10_02245
ko:K00897	banm:EN10_00245
ko:K14234	banm:EN10_01830
ko:K14234	banm:EN10_01480
ko:K14233	banm:EN10_02145
ko:K14233	banm:EN10_02085
ko:K18955	banm:EN10_05100
ko:K14228	banm:EN10_00500
ko:K14219	banm:EN10_05440
ko:K14219	banm:EN10_05445
ko:K14223	banm:EN10_03770
ko:K14237	banm:EN10_04230
ko:K14237	banm:EN10_06355
ko:K14237	banm:EN10_06490
ko:K14222	banm:EN10_04235
ko:K14228	banm:EN10_04985
ko:K14225	banm:EN10_00535
ko:K14225	banm:EN10_01620
ko:K14224	banm:EN10_02355
ko:K02483	banm:EN10_03355
ko:K14218	banm:EN10_07825
ko:K16785	banm:EN10_03500
ko:K16786	banm:EN10_03500
ko:K16787	banm:EN10_03500
ko:K14228	banm:EN10_04615
ko:K00991	banm:EN10_01690
ko:K01985	banm:EN10_07605
ko:K01985	banm:EN10_07975
ko:K01985	banm:EN10_08005
ko:K07171	banm:EN10_00225
ko:K01214	banm:EN10_04955
ko:K02313	banm:EN10_00005
ko:K02338	banm:EN10_00010
ko:K03629	banm:EN10_00015
ko:K02470	banm:EN10_00025
ko:K02469	banm:EN10_00030
ko:K11068	banm:EN10_00045
ko:K00262	banm:EN10_00050
ko:K03282	banm:EN10_00070
ko:K07043	banm:EN10_00090
ko:K03655	banm:EN10_00100
ko:K03701	banm:EN10_00110
ko:K09014	banm:EN10_04660
ko:K01937	banm:EN10_04675
ko:K01176	banm:EN10_04695
ko:K03786	banm:EN10_04740
ko:K13829	banm:EN10_04745
ko:K01736	banm:EN10_04750
ko:K02654	banm:EN10_04755
ko:K07082	banm:EN10_04760
ko:K07447	banm:EN10_04765
ko:K01872	banm:EN10_04770
ko:K08972	banm:EN10_04790
ko:K02986	banm:EN10_04795
ko:K03657	banm:EN10_04800
ko:K03816	banm:EN10_04805
ko:K14155	banm:EN10_04825
ko:K01176	banm:EN10_04835
ko:K07010	banm:EN10_04840
ko:K01990	banm:EN10_04855
ko:K07979	banm:EN10_04860
ko:K01488	banm:EN10_04870
ko:K04782	banm:EN10_04880
ko:K07133	banm:EN10_04900
ko:K01951	banm:EN10_04920
ko:K13788	banm:EN10_04930
ko:K00925	banm:EN10_04935
ko:K00800	banm:EN10_04940
ko:K02068	banm:EN10_00810
ko:K02069	banm:EN10_00815
ko:K02003	banm:EN10_00825
ko:K02004	banm:EN10_00830
ko:K06147	banm:EN10_00870
ko:K06147	banm:EN10_00875
ko:K01999	banm:EN10_00900
ko:K01421	banm:EN10_00910
ko:K01421	banm:EN10_00915
ko:K03977	banm:EN10_04110
ko:K06178	banm:EN10_04115
ko:K06188	banm:EN10_04120
ko:K00602	banm:EN10_04125
ko:K01902	banm:EN10_04135
ko:K01903	banm:EN10_04140
ko:K00759	banm:EN10_04145
ko:K03210	banm:EN10_04150
ko:K03551	banm:EN10_04155
ko:K03550	banm:EN10_04160
ko:K01159	banm:EN10_04165
ko:K08256	banm:EN10_04175
ko:K00995	banm:EN10_04185
ko:K01868	banm:EN10_04190
ko:K06153	banm:EN10_04250
ko:K03686	banm:EN10_04260
ko:K03705	banm:EN10_04265
ko:K00615	banm:EN10_04270
ko:K00616	banm:EN10_04275
ko:K10907	banm:EN10_04285
ko:K14260	banm:EN10_04295
ko:K03075	banm:EN10_04305
ko:K01803	banm:EN10_04310
ko:K00927	banm:EN10_04315
ko:K09762	banm:EN10_04320
ko:K06958	banm:EN10_04325
ko:K00014	banm:EN10_04330
ko:K03703	banm:EN10_04335
ko:K03701	banm:EN10_04340
ko:K06999	banm:EN10_04360
ko:K01442	banm:EN10_04380
ko:K16926	banm:EN10_00920
ko:K16785	banm:EN10_00925
ko:K16786	banm:EN10_00930
ko:K16787	banm:EN10_00930
ko:K09815	banm:EN10_00935
ko:K08659	banm:EN10_00960
ko:K03110	banm:EN10_00970
ko:K03320	banm:EN10_00975
ko:K04751	banm:EN10_00980
ko:K00990	banm:EN10_00985
ko:K07009	banm:EN10_01005
ko:K03688	banm:EN10_01015
ko:K00761	banm:EN10_01025
ko:K03574	banm:EN10_01035
ko:K00937	banm:EN10_01040
ko:K02283	banm:EN10_01050
ko:K12510	banm:EN10_01055
ko:K03767	banm:EN10_05520
ko:K00951	banm:EN10_05525
ko:K02469	banm:EN10_05550
ko:K05340	banm:EN10_05555
ko:K03724	banm:EN10_05560
ko:K02470	banm:EN10_05585
ko:K03086	banm:EN10_05590
ko:K13787	banm:EN10_05600
ko:K00655	banm:EN10_05610
ko:K00766	banm:EN10_05620
ko:K03070	banm:EN10_05625
ko:K03565	banm:EN10_05640
ko:K03743	banm:EN10_05660
ko:K00995	banm:EN10_05665
ko:K03466	banm:EN10_05670
ko:K00791	banm:EN10_05675
ko:K06168	banm:EN10_05680
ko:K06890	banm:EN10_05690
ko:K01992	banm:EN10_05700
ko:K00661	banm:EN10_05740
ko:K01681	banm:EN10_05750
ko:K01142	banm:EN10_05780
ko:K02031	banm:EN10_05790
ko:K02032	banm:EN10_05790
ko:K03647	banm:EN10_01665
ko:K08303	banm:EN10_01680
ko:K01304	banm:EN10_01695
ko:K01372	banm:EN10_01705
ko:K01626	banm:EN10_01710
ko:K01626	banm:EN10_01720
ko:K01243	banm:EN10_01725
ko:K07768	banm:EN10_01730
ko:K07776	banm:EN10_01735
ko:K02040	banm:EN10_01740
ko:K02037	banm:EN10_01745
ko:K02038	banm:EN10_01750
ko:K02036	banm:EN10_01755
ko:K06901	banm:EN10_01760
ko:K02077	banm:EN10_01765
ko:K02864	banm:EN10_01770
ko:K02935	banm:EN10_01775
ko:K01934	banm:EN10_01805
ko:K03790	banm:EN10_01810
ko:K04078	banm:EN10_01820
ko:K02913	banm:EN10_01840
ko:K00075	banm:EN10_01845
ko:K03294	banm:EN10_01850
ko:K02346	banm:EN10_01865
ko:K00705	banm:EN10_01890
ko:K02871	banm:EN10_01895
ko:K02996	banm:EN10_01900
ko:K04072	banm:EN10_01915
ko:K02946	banm:EN10_01935
ko:K02906	banm:EN10_01940
ko:K02926	banm:EN10_01945
ko:K02892	banm:EN10_01950
ko:K02886	banm:EN10_01955
ko:K02965	banm:EN10_01960
ko:K02890	banm:EN10_01965
ko:K07177	banm:EN10_06370
ko:K03657	banm:EN10_06380
ko:K07053	banm:EN10_06395
ko:K01778	banm:EN10_06405
ko:K01776	banm:EN10_06410
ko:K02030	banm:EN10_06425
ko:K02028	banm:EN10_06430
ko:K02029	banm:EN10_06435
ko:K02029	banm:EN10_06440
ko:K08969	banm:EN10_06450
ko:K02072	banm:EN10_06455
ko:K02071	banm:EN10_06460
ko:K02073	banm:EN10_06465
ko:K00077	banm:EN10_06470
ko:K02909	banm:EN10_02600
ko:K02529	banm:EN10_02615
ko:K10117	banm:EN10_02620
ko:K10118	banm:EN10_02625
ko:K10119	banm:EN10_02630
ko:K01198	banm:EN10_02635
ko:K05970	banm:EN10_02640
ko:K03929	banm:EN10_02645
ko:K00854	banm:EN10_02655
ko:K02909	banm:EN10_02665
ko:K02835	banm:EN10_02670
ko:K02493	banm:EN10_02675
ko:K02851	banm:EN10_02685
ko:K00088	banm:EN10_02690
ko:K13288	banm:EN10_02695
ko:K01881	banm:EN10_02715
ko:K07386	banm:EN10_02725
ko:K01265	banm:EN10_02735
ko:K01647	banm:EN10_02740
