ko:K04042	mtf:TBFG_11036
ko:K01992	mtf:TBFG_11241
ko:K01992	mtf:TBFG_11485
ko:K01992	mtf:TBFG_12951
ko:K01992	mtf:TBFG_12952
ko:K15510	mtf:TBFG_10133
ko:K19302	mtf:TBFG_10313
ko:K00121	mtf:TBFG_13103
ko:K00666	mtf:TBFG_11031
ko:K04788	mtf:TBFG_12408
ko:K08744	mtf:TBFG_11852
ko:K07029	mtf:TBFG_12281
ko:K02341	mtf:TBFG_13673
ko:K10773	mtf:TBFG_13705
ko:K03648	mtf:TBFG_12991
ko:K03587	mtf:TBFG_12193
ko:K06958	mtf:TBFG_11450
ko:K02904	mtf:TBFG_10723
ko:K01955	mtf:TBFG_11413
ko:K00324	mtf:TBFG_10156
ko:K00163	mtf:TBFG_12270
ko:K02428	mtf:TBFG_11371
ko:K05810	mtf:TBFG_12179
ko:K02500	mtf:TBFG_11621
ko:K02113	mtf:TBFG_11334
ko:K02109	mtf:TBFG_11334
ko:K01430	mtf:TBFG_11876
ko:K02274	mtf:TBFG_13059
ko:K03783	mtf:TBFG_13336
ko:K00324	mtf:TBFG_10157
ko:K03088	mtf:TBFG_10183
ko:K04518	mtf:TBFG_13872
ko:K00567	mtf:TBFG_11343
ko:K03500	mtf:TBFG_11436
ko:K01429	mtf:TBFG_11877
ko:K01653	mtf:TBFG_13017
ko:K02230	mtf:TBFG_12098
ko:K14743	mtf:TBFG_13918
ko:K02967	mtf:TBFG_12904
ko:K01696	mtf:TBFG_11628
ko:K02446	mtf:TBFG_11120
ko:K03040	mtf:TBFG_13494
ko:K03752	mtf:TBFG_12478
ko:K00147	mtf:TBFG_12455
ko:K04756	mtf:TBFG_12457
ko:K00852	mtf:TBFG_12463
ko:K00931	mtf:TBFG_12466
ko:K03979	mtf:TBFG_12467
ko:K02899	mtf:TBFG_12468
ko:K02888	mtf:TBFG_12469
ko:K00940	mtf:TBFG_12472
ko:K01873	mtf:TBFG_12474
ko:K03652	mtf:TBFG_11704
ko:K03525	mtf:TBFG_13632
ko:K02619	mtf:TBFG_10827
ko:K01665	mtf:TBFG_11024
ko:K06173	mtf:TBFG_13492
ko:K00239	mtf:TBFG_13349
ko:K03536	mtf:TBFG_13958
ko:K01580	mtf:TBFG_13469
ko:K07042	mtf:TBFG_12393
ko:K00161	mtf:TBFG_12519
ko:K00162	mtf:TBFG_12518
ko:K00425	mtf:TBFG_11639
ko:K02913	mtf:TBFG_10647
ko:K00957	mtf:TBFG_11311
ko:K01596	mtf:TBFG_10213
ko:K00833	mtf:TBFG_11600
ko:K03075	mtf:TBFG_11468
ko:K03703	mtf:TBFG_11449
ko:K04066	mtf:TBFG_11431
ko:K02825	mtf:TBFG_11408
ko:K03074	mtf:TBFG_12606
ko:K03072	mtf:TBFG_12607
ko:K03210	mtf:TBFG_12608
ko:K01159	mtf:TBFG_12614
ko:K01854	mtf:TBFG_13843
ko:K03177	mtf:TBFG_12806
