ko:K18893	mham:J450_04475
ko:K02058	mham:J450_00305
ko:K02847	mham:J450_08950
ko:K01347	mham:J450_00010
ko:K09896	mham:J450_00005
ko:K05832	mham:J450_00045
ko:K05833	mham:J450_00050
ko:K11085	mham:J450_00080
ko:K04067	mham:J450_00135
ko:K02427	mham:J450_00160
ko:K07154	mham:J450_00020
ko:K03297	mham:J450_07570
ko:K07464	mham:J450_02050
ko:K18136	mham:J450_01335
ko:K05789	mham:J450_08925
ko:K21449	mham:J450_08645
ko:K21449	mham:J450_08655
ko:K21449	mham:J450_08665
ko:K21449	mham:J450_09980
ko:K21449	mham:J450_05680
ko:K21449	mham:J450_05690
ko:K21449	mham:J450_02240
ko:K19227	mham:J450_01445
ko:K03701	mham:J450_00035
ko:K01139	mham:J450_08890
ko:K19230	mham:J450_03290
ko:K07316	mham:J450_00880
ko:K07012	mham:J450_02080
ko:K07054	mham:J450_00640
ko:K03307	mham:J450_00665
ko:K02446	mham:J450_00690
ko:K01262	mham:J450_00700
ko:K01119	mham:J450_00745
ko:K03635	mham:J450_00925
ko:K04765	mham:J450_00960
ko:K02014	mham:J450_01000
ko:K02238	mham:J450_01045
ko:K11751	mham:J450_01060
ko:K07657	mham:J450_01125
ko:K08305	mham:J450_01155
ko:K03177	mham:J450_01160
ko:K02428	mham:J450_01475
ko:K08992	mham:J450_01215
ko:K13283	mham:J450_01275
ko:K00088	mham:J450_01320
ko:K06149	mham:J450_01375
ko:K01525	mham:J450_01410
ko:K07305	mham:J450_01425
ko:K02099	mham:J450_00310
ko:K07214	mham:J450_00345
ko:K02014	mham:J450_00355
ko:K01186	mham:J450_00400
ko:K09022	mham:J450_00430
ko:K07784	mham:J450_00455
ko:K01424	mham:J450_00560
ko:K01989	mham:J450_00580
ko:K03548	mham:J450_00605
ko:K19229	mham:J450_01440
ko:K01420	mham:J450_01385
ko:K07316	mham:J450_00885
ko:K04017	mham:J450_09625
ko:K03321	mham:J450_00040
ko:K08316	mham:J450_03755
ko:K11070	mham:J450_03805
ko:K09999	mham:J450_03390
ko:K09997	mham:J450_03395
ko:K04084	mham:J450_03405
ko:K09906	mham:J450_03410
ko:K00826	mham:J450_03430
ko:K07390	mham:J450_03435
ko:K06187	mham:J450_03440
ko:K09747	mham:J450_03445
ko:K03629	mham:J450_03450
ko:K14187	mham:J450_03455
ko:K01626	mham:J450_03460
ko:K12982	mham:J450_03465
ko:K00873	mham:J450_03470
ko:K08296	mham:J450_03475
ko:K03557	mham:J450_03485
ko:K16087	mham:J450_03490
ko:K03683	mham:J450_03500
ko:K00950	mham:J450_03520
ko:K06204	mham:J450_03530
ko:K02064	mham:J450_03535
ko:K01591	mham:J450_01205
ko:K05788	mham:J450_01220
ko:K02945	mham:J450_01225
ko:K00945	mham:J450_01230
ko:K04691	mham:J450_01235
ko:K04764	mham:J450_01245
ko:K01890	mham:J450_01250
ko:K01889	mham:J450_01255
ko:K09861	mham:J450_01285
ko:K02996	mham:J450_01290
ko:K02871	mham:J450_01295
ko:K09908	mham:J450_01300
ko:K01951	mham:J450_01305
ko:K09904	mham:J450_01340
ko:K07014	mham:J450_01345
ko:K03804	mham:J450_01350
ko:K03633	mham:J450_01355
ko:K00963	mham:J450_01360
ko:K03563	mham:J450_01365
ko:K01872	mham:J450_01370
ko:K00208	mham:J450_01390
ko:K01147	mham:J450_01405
ko:K00134	mham:J450_01420
ko:K00052	mham:J450_01430
ko:K03721	mham:J450_01455
ko:K03271	mham:J450_01460
ko:K06997	mham:J450_05340
ko:K03270	mham:J450_05345
ko:K09803	mham:J450_05350
ko:K00640	mham:J450_05390
ko:K00057	mham:J450_05395
ko:K03071	mham:J450_05400
ko:K03545	mham:J450_05410
ko:K02358	mham:J450_05415
ko:K02355	mham:J450_05420
ko:K02992	mham:J450_05425
ko:K02950	mham:J450_05430
ko:K02841	mham:J450_05435
ko:K02237	mham:J450_05460
ko:K01613	mham:J450_05465
ko:K01153	mham:J450_05470
ko:K03427	mham:J450_05475
ko:K01154	mham:J450_05500
ko:K01919	mham:J450_05505
ko:K01803	mham:J450_05525
ko:K06176	mham:J450_05530
ko:K03787	mham:J450_05535
ko:K06194	mham:J450_05555
ko:K01246	mham:J450_05565
ko:K02078	mham:J450_05575
ko:K01783	mham:J450_05580
ko:K02909	mham:J450_05585
ko:K02919	mham:J450_05590
ko:K02424	mham:J450_05595
ko:K10009	mham:J450_05600
ko:K10010	mham:J450_05605
ko:K11605	mham:J450_09505
ko:K11606	mham:J450_09510
ko:K06941	mham:J450_09520
ko:K02656	mham:J450_09535
ko:K06959	mham:J450_09540
ko:K00979	mham:J450_03550
ko:K00384	mham:J450_03555
ko:K05878	mham:J450_03560
ko:K05879	mham:J450_03565
ko:K05881	mham:J450_03570
ko:K05838	mham:J450_03575
ko:K02439	mham:J450_03580
ko:K03561	mham:J450_03585
ko:K03832	mham:J450_03595
ko:K06203	mham:J450_03600
ko:K03528	mham:J450_03605
ko:K01972	mham:J450_03610
ko:K05851	mham:J450_03625
ko:K05775	mham:J450_03635
ko:K02024	mham:J450_03640
ko:K10111	mham:J450_03645
ko:K10108	mham:J450_03650
ko:K02468	mham:J450_07510
ko:K06041	mham:J450_07515
ko:K00009	mham:J450_07530
ko:K02562	mham:J450_07535
ko:K10544	mham:J450_07545
ko:K10545	mham:J450_07550
ko:K10543	mham:J450_07555
ko:K01805	mham:J450_07560
ko:K07002	mham:J450_07575
ko:K01778	mham:J450_07580
ko:K06199	mham:J450_07590
ko:K02440	mham:J450_07595
ko:K00864	mham:J450_07600
ko:K11003	mham:J450_07630
ko:K11004	mham:J450_07635
ko:K09997	mham:J450_07650
ko:K09824	mham:J450_07655
ko:K03667	mham:J450_07660
ko:K01419	mham:J450_07665
ko:K06206	mham:J450_07670
ko:K03575	mham:J450_07685
ko:K08306	mham:J450_07695
ko:K03106	mham:J450_07720
ko:K03532	mham:J450_07775
ko:K01878	mham:J450_07780
ko:K00981	mham:J450_11685
ko:K00806	mham:J450_11690
ko:K01012	mham:J450_11700
ko:K01610	mham:J450_11705
ko:K05589	mham:J450_11710
ko:K00991	mham:J450_11715
ko:K01770	mham:J450_11720
ko:K06872	mham:J450_11725
ko:K03744	mham:J450_11735
ko:K05786	mham:J450_11740
ko:K02769	mham:J450_11755
ko:K02770	mham:J450_11755
ko:K02768	mham:J450_11765
ko:K11183	mham:J450_11765
ko:K00975	mham:J450_11780
ko:K00703	mham:J450_11785
ko:K00688	mham:J450_11790
ko:K15396	mham:J450_11795
ko:K00324	mham:J450_11800
ko:K00325	mham:J450_11805
ko:K03576	mham:J450_11810
ko:K00133	mham:J450_11820
ko:K07726	mham:J450_11840
ko:K07733	mham:J450_11865
ko:K03075	mham:J450_11900
ko:K07261	mham:J450_11910
ko:K01736	mham:J450_11915
ko:K05802	mham:J450_11920
ko:K01911	mham:J450_11925
ko:K03645	mham:J450_11930
ko:K15256	mham:J450_11940
ko:K14153	mham:J450_09560
ko:K00878	mham:J450_09570
ko:K11258	mham:J450_09585
ko:K01652	mham:J450_09590
ko:K03385	mham:J450_09595
ko:K04013	mham:J450_09600
ko:K04014	mham:J450_09605
ko:K04016	mham:J450_09615
ko:K02199	mham:J450_09620
ko:K02065	mham:J450_09640
ko:K02066	mham:J450_09645
ko:K07323	mham:J450_09655
ko:K07122	mham:J450_09660
ko:K00790	mham:J450_09670
ko:K01159	mham:J450_09675
ko:K08310	mham:J450_09690
ko:K01876	mham:J450_09710
ko:K02346	mham:J450_09720
ko:K03799	mham:J450_09725
ko:K00656	mham:J450_09740
ko:K10109	mham:J450_03655
ko:K10110	mham:J450_03660
ko:K03556	mham:J450_03670
ko:K00688	mham:J450_03675
ko:K00705	mham:J450_03680
ko:K07085	mham:J450_03685
ko:K07084	mham:J450_03690
ko:K01142	mham:J450_03695
