ko:K02313	mgac:HFMG06CAA_0010
ko:K06147	mgac:HFMG06CAA_0016
ko:K01985	mgac:HFMG06CAA_r05
ko:K14220	mgac:HFMG06CAA_trna01
ko:K14224	mgac:HFMG06CAA_trna02
ko:K14230	mgac:HFMG06CAA_trna10
ko:K14219	mgac:HFMG06CAA_trna31
ko:K14222	mgac:HFMG06CAA_trna07
ko:K14232	mgac:HFMG06CAA_trna08
ko:K14230	mgac:HFMG06CAA_trna09
ko:K14233	mgac:HFMG06CAA_trna11
ko:K06147	mgac:HFMG06CAA_0020
ko:K12574	mgac:HFMG06CAA_0590
ko:K03647	mgac:HFMG06CAA_0330
ko:K11050	mgac:HFMG06CAA_2139
ko:K00939	mgac:HFMG06CAA_0459
ko:K00016	mgac:HFMG06CAA_0472
ko:K08483	mgac:HFMG06CAA_0574
ko:K03700	mgac:HFMG06CAA_1050
ko:K01992	mgac:HFMG06CAA_0756
ko:K03177	mgac:HFMG06CAA_0896
ko:K06147	mgac:HFMG06CAA_0029
ko:K00758	mgac:HFMG06CAA_4582
ko:K02025	mgac:HFMG06CAA_0252
ko:K11189	mgac:HFMG06CAA_0198
ko:K02004	mgac:HFMG06CAA_0137
ko:K03496	mgac:HFMG06CAA_0005
ko:K02946	mgac:HFMG06CAA_0369
ko:K02906	mgac:HFMG06CAA_0373
ko:K02926	mgac:HFMG06CAA_0380
ko:K02892	mgac:HFMG06CAA_0384
ko:K02886	mgac:HFMG06CAA_0388
ko:K02965	mgac:HFMG06CAA_0396
ko:K02890	mgac:HFMG06CAA_0399
ko:K02982	mgac:HFMG06CAA_0403
ko:K02878	mgac:HFMG06CAA_0409
ko:K02904	mgac:HFMG06CAA_0414
ko:K02961	mgac:HFMG06CAA_0417
ko:K02874	mgac:HFMG06CAA_0420
ko:K02895	mgac:HFMG06CAA_0422
ko:K02931	mgac:HFMG06CAA_0426
ko:K02954	mgac:HFMG06CAA_0428
ko:K02994	mgac:HFMG06CAA_0430
ko:K02933	mgac:HFMG06CAA_0433
ko:K02881	mgac:HFMG06CAA_0437
ko:K02988	mgac:HFMG06CAA_0440
ko:K02876	mgac:HFMG06CAA_0447
ko:K03076	mgac:HFMG06CAA_0451
ko:K01265	mgac:HFMG06CAA_0466
ko:K18288	mgac:HFMG06CAA_0916
ko:K04567	mgac:HFMG06CAA_0538
ko:K07226	mgac:HFMG06CAA_0557
ko:K03088	mgac:HFMG06CAA_0584
ko:K02956	mgac:HFMG06CAA_0588
ko:K03466	mgac:HFMG06CAA_0603
ko:K03701	mgac:HFMG06CAA_0625
ko:K02357	mgac:HFMG06CAA_0641
ko:K09903	mgac:HFMG06CAA_0646
ko:K02838	mgac:HFMG06CAA_0652
ko:K00981	mgac:HFMG06CAA_0654
ko:K00099	mgac:HFMG06CAA_0661
ko:K03763	mgac:HFMG06CAA_0673
ko:K02600	mgac:HFMG06CAA_0835
ko:K07742	mgac:HFMG06CAA_0849
ko:K02519	mgac:HFMG06CAA_0851
ko:K02834	mgac:HFMG06CAA_0863
ko:K01872	mgac:HFMG06CAA_0919
ko:K07447	mgac:HFMG06CAA_0933
ko:K08303	mgac:HFMG06CAA_0941
ko:K02968	mgac:HFMG06CAA_0952
ko:K00604	mgac:HFMG06CAA_0957
ko:K02909	mgac:HFMG06CAA_1025
ko:K02835	mgac:HFMG06CAA_1029
ko:K02493	mgac:HFMG06CAA_1040
ko:K07566	mgac:HFMG06CAA_1043
ko:K01808	mgac:HFMG06CAA_1046
ko:K03530	mgac:HFMG06CAA_1055
ko:K02864	mgac:HFMG06CAA_1061
ko:K02935	mgac:HFMG06CAA_1064
ko:K02911	mgac:HFMG06CAA_1065
ko:K03686	mgac:HFMG06CAA_1079
ko:K01874	mgac:HFMG06CAA_1183
ko:K03977	mgac:HFMG06CAA_1194
ko:K00945	mgac:HFMG06CAA_1197
ko:K03152	mgac:HFMG06CAA_1201
ko:K00791	mgac:HFMG06CAA_1258
ko:K03529	mgac:HFMG06CAA_1271
ko:K02914	mgac:HFMG06CAA_0043
ko:K03536	mgac:HFMG06CAA_0046
ko:K03217	mgac:HFMG06CAA_0048
ko:K03110	mgac:HFMG06CAA_1286
ko:K00760	mgac:HFMG06CAA_0173
ko:K03798	mgac:HFMG06CAA_0177
ko:K02440	mgac:HFMG06CAA_0082
ko:K00864	mgac:HFMG06CAA_0093
ko:K00111	mgac:HFMG06CAA_0098
ko:K02217	mgac:HFMG06CAA_0112
ko:K01951	mgac:HFMG06CAA_0113
ko:K00615	mgac:HFMG06CAA_0201
ko:K03070	mgac:HFMG06CAA_0211
