ko:K22306	aact:ACT75_04875
ko:K14230	aact:ACT75_03695
ko:K14230	aact:ACT75_01730
ko:K14237	aact:ACT75_08695
ko:K14237	aact:ACT75_00420
ko:K14228	aact:ACT75_01725
ko:K14228	aact:ACT75_02565
ko:K14228	aact:ACT75_00310
ko:K14223	aact:ACT75_01715
ko:K01978	aact:ACT75_11525
ko:K14229	aact:ACT75_09535
ko:K14222	aact:ACT75_09235
ko:K21636	aact:ACT75_08635
ko:K01977	aact:ACT75_01450
ko:K14219	aact:ACT75_06245
ko:K14219	aact:ACT75_06765
ko:K14235	aact:ACT75_01420
ko:K14221	aact:ACT75_01425
ko:K14221	aact:ACT75_02110
ko:K01985	aact:ACT75_01430
ko:K14224	aact:ACT75_01445
ko:K14233	aact:ACT75_06760
ko:K14218	aact:ACT75_03925
ko:K14218	aact:ACT75_08710
ko:K14227	aact:ACT75_03930
ko:K14234	aact:ACT75_04455
ko:K14234	aact:ACT75_04440
ko:K14236	aact:ACT75_04450
ko:K14225	aact:ACT75_04445
ko:K14225	aact:ACT75_09240
ko:K14225	aact:ACT75_02560
ko:K01420	aact:ACT75_00055
ko:K00945	aact:ACT75_00680
ko:K09824	aact:ACT75_00685
ko:K07263	aact:ACT75_00695
ko:K03576	aact:ACT75_00710
ko:K00549	aact:ACT75_00715
ko:K09951	aact:ACT75_00720
ko:K15342	aact:ACT75_00725
ko:K07464	aact:ACT75_00735
ko:K19118	aact:ACT75_00740
ko:K19117	aact:ACT75_00745
ko:K19119	aact:ACT75_00750
ko:K07012	aact:ACT75_00755
ko:K00982	aact:ACT75_00760
ko:K02837	aact:ACT75_00775
ko:K01940	aact:ACT75_00785
ko:K00681	aact:ACT75_00795
ko:K07666	aact:ACT75_00805
ko:K07666	aact:ACT75_00810
ko:K02380	aact:ACT75_00820
ko:K01119	aact:ACT75_00825
ko:K02016	aact:ACT75_00830
ko:K02015	aact:ACT75_00835
ko:K02015	aact:ACT75_00840
ko:K02013	aact:ACT75_00845
ko:K09817	aact:ACT75_00855
ko:K09816	aact:ACT75_00860
ko:K03308	aact:ACT75_00865
ko:K10773	aact:ACT75_00870
ko:K03613	aact:ACT75_00875
ko:K03612	aact:ACT75_00880
ko:K03614	aact:ACT75_00885
ko:K03615	aact:ACT75_00890
ko:K03616	aact:ACT75_00895
ko:K03617	aact:ACT75_00900
ko:K07071	aact:ACT75_00905
ko:K03402	aact:ACT75_00910
ko:K00024	aact:ACT75_00915
ko:K00826	aact:ACT75_00925
ko:K03566	aact:ACT75_00930
ko:K06968	aact:ACT75_00935
ko:K07738	aact:ACT75_00940
ko:K11752	aact:ACT75_00945
ko:K00351	aact:ACT75_05170
ko:K00350	aact:ACT75_05175
ko:K00349	aact:ACT75_05180
ko:K00348	aact:ACT75_05185
ko:K00347	aact:ACT75_05190
ko:K00346	aact:ACT75_05195
ko:K05527	aact:ACT75_05200
ko:K07286	aact:ACT75_05205
ko:K08306	aact:ACT75_05220
ko:K03575	aact:ACT75_05230
ko:K03439	aact:ACT75_05235
ko:K09923	aact:ACT75_05240
ko:K02012	aact:ACT75_05245
ko:K02011	aact:ACT75_05250
ko:K02010	aact:ACT75_05255
ko:K05541	aact:ACT75_05260
ko:K05801	aact:ACT75_05265
ko:K00762	aact:ACT75_05270
ko:K00989	aact:ACT75_05275
ko:K06980	aact:ACT75_05285
ko:K02967	aact:ACT75_05295
ko:K02357	aact:ACT75_05300
ko:K03584	aact:ACT75_05305
ko:K03215	aact:ACT75_05310
ko:K00951	aact:ACT75_05315
ko:K00901	aact:ACT75_05320
ko:K01560	aact:ACT75_05325
ko:K18138	aact:ACT75_05335
ko:K03585	aact:ACT75_05340
ko:K18136	aact:ACT75_05345
ko:K03591	aact:ACT75_05350
ko:K04066	aact:ACT75_05355
ko:K07270	aact:ACT75_05370
ko:K02909	aact:ACT75_05375
ko:K07270	aact:ACT75_05380
ko:K10563	aact:ACT75_05395
ko:K02913	aact:ACT75_05400
ko:K02902	aact:ACT75_05405
ko:K03630	aact:ACT75_05410
ko:K13038	aact:ACT75_05415
ko:K01520	aact:ACT75_05420
ko:K05501	aact:ACT75_05425
ko:K09898	aact:ACT75_05430
ko:K10914	aact:ACT75_05435
ko:K02822	aact:ACT75_09685
ko:K03475	aact:ACT75_09690
ko:K00615	aact:ACT75_09695
ko:K00615	aact:ACT75_09700
ko:K07320	aact:ACT75_09705
ko:K01734	aact:ACT75_09725
ko:K09909	aact:ACT75_09730
ko:K01512	aact:ACT75_09735
ko:K11606	aact:ACT75_09740
ko:K11605	aact:ACT75_09745
ko:K11607	aact:ACT75_09750
ko:K11604	aact:ACT75_09755
ko:K11179	aact:ACT75_09760
ko:K19416	aact:ACT75_09765
ko:K07012	aact:ACT75_09770
ko:K07012	aact:ACT75_09775
ko:K07316	aact:ACT75_09795
ko:K01156	aact:ACT75_09805
ko:K19119	aact:ACT75_09810
ko:K19117	aact:ACT75_09815
ko:K19117	aact:ACT75_09820
ko:K19118	aact:ACT75_09825
ko:K07464	aact:ACT75_09830
ko:K00941	aact:ACT75_09840
ko:K02064	aact:ACT75_09845
ko:K02063	aact:ACT75_09850
ko:K02062	aact:ACT75_09855
ko:K01012	aact:ACT75_09860
ko:K03719	aact:ACT75_09865
ko:K03466	aact:ACT75_09870
ko:K03634	aact:ACT75_09875
ko:K07478	aact:ACT75_09880
ko:K07792	aact:ACT75_09885
ko:K01875	aact:ACT75_09890
ko:K01489	aact:ACT75_09895
ko:K11069	aact:ACT75_09900
ko:K11070	aact:ACT75_09905
ko:K11071	aact:ACT75_09910
ko:K11072	aact:ACT75_09915
ko:K01258	aact:ACT75_09920
ko:K03808	aact:ACT75_09930
ko:K03554	aact:ACT75_02935
ko:K07268	aact:ACT75_02945
ko:K19810	aact:ACT75_02950
ko:K02356	aact:ACT75_02955
ko:K01668	aact:ACT75_02960
ko:K03834	aact:ACT75_02965
ko:K03269	aact:ACT75_02980
