ko:K18929	cjv:MTVDSCj20_0073
ko:K18928	cjv:MTVDSCj20_0074
ko:K18139	cjv:MTVDSCj20_0336
ko:K14224	cjv:MTVDSCj20_0944
ko:K14235	cjv:MTVDSCj20_0449
ko:K14219	cjv:MTVDSCj20_1631
ko:K14230	cjv:MTVDSCj20_1682
ko:K01977	cjv:MTVDSCj20_0760
ko:K17248	cjv:MTVDSCj20_1130
ko:K14238	cjv:MTVDSCj20_1464
ko:K11014	cjv:MTVDSCj20_0077
ko:K11013	cjv:MTVDSCj20_0078
ko:K14218	cjv:MTVDSCj20_0030
ko:K14218	cjv:MTVDSCj20_0402
ko:K14218	cjv:MTVDSCj20_0761
ko:K02482	cjv:MTVDSCj20_0802
ko:K01174	cjv:MTVDSCj20_0982
ko:K04753	cjv:MTVDSCj20_1480
ko:K06148	cjv:MTVDSCj20_1133
ko:K07216	cjv:MTVDSCj20_1229
ko:K01978	cjv:MTVDSCj20_0568
ko:K00925	cjv:MTVDSCj20_0712
ko:K03438	cjv:MTVDSCj20_0715
ko:K03770	cjv:MTVDSCj20_0716
ko:K03590	cjv:MTVDSCj20_0717
ko:K03531	cjv:MTVDSCj20_0718
ko:K02392	cjv:MTVDSCj20_0719
ko:K02392	cjv:MTVDSCj20_0720
ko:K01915	cjv:MTVDSCj20_0721
ko:K08303	cjv:MTVDSCj20_0723
ko:K01588	cjv:MTVDSCj20_0724
ko:K01878	cjv:MTVDSCj20_0726
ko:K07164	cjv:MTVDSCj20_0728
ko:K02527	cjv:MTVDSCj20_0729
ko:K06180	cjv:MTVDSCj20_0730
ko:K03106	cjv:MTVDSCj20_0731
ko:K02959	cjv:MTVDSCj20_0732
ko:K06960	cjv:MTVDSCj20_0733
ko:K02860	cjv:MTVDSCj20_0734
ko:K00554	cjv:MTVDSCj20_0735
ko:K02884	cjv:MTVDSCj20_0736
ko:K07127	cjv:MTVDSCj20_0737
ko:K01626	cjv:MTVDSCj20_0738
ko:K02337	cjv:MTVDSCj20_0740
ko:K06997	cjv:MTVDSCj20_0741
ko:K02406	cjv:MTVDSCj20_0742
ko:K02493	cjv:MTVDSCj20_0744
ko:K06013	cjv:MTVDSCj20_0745
ko:K03831	cjv:MTVDSCj20_0747
ko:K03284	cjv:MTVDSCj20_0748
