ko:K19079	sauf:X998_0708
ko:K01977	sauf:X998_2150
ko:K01977	sauf:X998_1915
ko:K01977	sauf:X998_0508
ko:K01977	sauf:X998_2039
ko:K01977	sauf:X998_0555
ko:K01977	sauf:X998_0551
ko:K00130	sauf:X998_2594
ko:K19005	sauf:X998_0767
ko:K02313	sauf:X998_0001
ko:K01318	sauf:X998_1828
ko:K00887	sauf:X998_1594
ko:K03629	sauf:X998_0004
ko:K18934	sauf:X998_2152
ko:K18936	sauf:X998_2400
ko:K18935	sauf:X998_2154
ko:K03328	sauf:X998_0112
ko:K03328	sauf:X998_0535
ko:K01262	sauf:X998_1556
ko:K18940	sauf:X998_1423
ko:K21454	sauf:X998_2341
ko:K19975	sauf:X998_0679
ko:K19973	sauf:X998_0681
ko:K02338	sauf:X998_0002
ko:K02470	sauf:X998_0005
ko:K19080	sauf:X998_0709
ko:K02479	sauf:X998_1872
ko:K14204	sauf:X998_1993
ko:K01046	sauf:X998_2654
ko:K03293	sauf:X998_1343
ko:K13714	sauf:X998_1052
ko:K22580	sauf:X998_1056
ko:K21461	sauf:X998_2650
ko:K21462	sauf:X998_2652
ko:K21463	sauf:X998_2340
ko:K22136	sauf:X998_1175
ko:K05352	sauf:X998_0232
ko:K18906	sauf:X998_0735
ko:K08255	sauf:X998_0951
ko:K09692	sauf:X998_0686
ko:K07171	sauf:X998_2048
ko:K14225	sauf:X998_1886
ko:K14225	sauf:X998_1887
ko:K03816	sauf:X998_0444
ko:K16169	sauf:X998_0445
ko:K00088	sauf:X998_0446
ko:K01951	sauf:X998_0447
ko:K08987	sauf:X998_0452
ko:K11042	sauf:X998_0454
ko:K03427	sauf:X998_0461
ko:K01154	sauf:X998_0462
ko:K05577	sauf:X998_0478
ko:K09822	sauf:X998_0479
ko:K03928	sauf:X998_0483
ko:K03308	sauf:X998_0485
ko:K17216	sauf:X998_0486
ko:K17217	sauf:X998_0487
ko:K02071	sauf:X998_0488
ko:K02072	sauf:X998_0489
ko:K02073	sauf:X998_0490
ko:K00432	sauf:X998_1307
ko:K03665	sauf:X998_1308
ko:K03713	sauf:X998_1310
ko:K01915	sauf:X998_1311
ko:K01620	sauf:X998_1326
ko:K06131	sauf:X998_1328
ko:K01990	sauf:X998_1329
ko:K01992	sauf:X998_1330
ko:K07778	sauf:X998_1331
ko:K00928	sauf:X998_1337
ko:K00003	sauf:X998_1338
ko:K01733	sauf:X998_1339
ko:K00872	sauf:X998_1340
ko:K03781	sauf:X998_1344
ko:K02913	sauf:X998_1345
ko:K02954	sauf:X998_1346
ko:K00364	sauf:X998_1347
ko:K01356	sauf:X998_1349
ko:K00615	sauf:X998_1352
ko:K09976	sauf:X998_1353
ko:K03547	sauf:X998_1355
ko:K03282	sauf:X998_1357
ko:K05020	sauf:X998_1358
ko:K01681	sauf:X998_1359
ko:K07107	sauf:X998_1360
ko:K08591	sauf:X998_1362
ko:K18672	sauf:X998_2139
ko:K01476	sauf:X998_2140
ko:K03593	sauf:X998_2151
ko:K11068	sauf:X998_2155
ko:K07038	sauf:X998_2157
ko:K02015	sauf:X998_2160
ko:K02015	sauf:X998_2161
ko:K02016	sauf:X998_2162
ko:K01220	sauf:X998_2177
ko:K02787	sauf:X998_2178
ko:K02788	sauf:X998_2178
ko:K02786	sauf:X998_2179
ko:K01635	sauf:X998_2180
ko:K00917	sauf:X998_2181
ko:K01819	sauf:X998_2182
ko:K01819	sauf:X998_2183
ko:K02530	sauf:X998_2184
ko:K12410	sauf:X998_2185
ko:K01727	sauf:X998_2189
ko:K03928	sauf:X998_0827
ko:K12573	sauf:X998_0828
ko:K03664	sauf:X998_0829
ko:K03704	sauf:X998_0841
ko:K06895	sauf:X998_0849
ko:K03785	sauf:X998_0852
ko:K02437	sauf:X998_0856
ko:K07476	sauf:X998_0859
ko:K02071	sauf:X998_0861
ko:K02072	sauf:X998_0862
ko:K02073	sauf:X998_0863
ko:K07584	sauf:X998_1668
ko:K02888	sauf:X998_1669
ko:K03571	sauf:X998_1670
ko:K03570	sauf:X998_1671
ko:K03630	sauf:X998_1674
ko:K02236	sauf:X998_1675
ko:K11754	sauf:X998_1676
ko:K01873	sauf:X998_1677
ko:K01246	sauf:X998_1678
ko:K07120	sauf:X998_1679
ko:K01845	sauf:X998_1681
ko:K01698	sauf:X998_1682
ko:K01719	sauf:X998_1683
ko:K01749	sauf:X998_1684
ko:K02497	sauf:X998_1685
ko:K02492	sauf:X998_1686
ko:K03978	sauf:X998_1687
ko:K03544	sauf:X998_1688
ko:K03545	sauf:X998_1689
ko:K02887	sauf:X998_1692
ko:K02916	sauf:X998_1693
ko:K02520	sauf:X998_1694
ko:K11733	sauf:X998_1695
ko:K01868	sauf:X998_1696
ko:K11144	sauf:X998_1697
ko:K11144	sauf:X998_1698
ko:K03346	sauf:X998_1699
ko:K07738	sauf:X998_1700
ko:K00134	sauf:X998_1701
ko:K00859	sauf:X998_1702
ko:K10563	sauf:X998_1703
ko:K07636	sauf:X998_1706
ko:K07658	sauf:X998_1707
ko:K00031	sauf:X998_1708
ko:K01647	sauf:X998_1709
ko:K11737	sauf:X998_1710
ko:K00873	sauf:X998_1713
ko:K00850	sauf:X998_1714
ko:K01962	sauf:X998_1715
ko:K01963	sauf:X998_1716
ko:K00027	sauf:X998_1717
ko:K15975	sauf:X998_2502
ko:K15973	sauf:X998_2503
ko:K06975	sauf:X998_2504
ko:K07104	sauf:X998_2505
ko:K03778	sauf:X998_2507
ko:K16917	sauf:X998_2509
ko:K16916	sauf:X998_2510
ko:K07284	sauf:X998_2511
ko:K03823	sauf:X998_2512
ko:K01752	sauf:X998_2513
ko:K01752	sauf:X998_2514
ko:K07107	sauf:X998_2519
ko:K00158	sauf:X998_2521
ko:K06518	sauf:X998_2523
ko:K00054	sauf:X998_2528
ko:K01641	sauf:X998_2529
ko:K00567	sauf:X998_2530
ko:K04086	sauf:X998_2531
ko:K04759	sauf:X998_2533
ko:K04758	sauf:X998_2534
ko:K06994	sauf:X998_2535
ko:K00294	sauf:X998_2537
ko:K17686	sauf:X998_2540
ko:K07213	sauf:X998_2541
ko:K03778	sauf:X998_2542
ko:K10209	sauf:X998_2544
ko:K10208	sauf:X998_2545
ko:K10211	sauf:X998_2546
ko:K10210	sauf:X998_2547
ko:K10212	sauf:X998_2548
ko:K00265	sauf:X998_0498
ko:K00266	sauf:X998_0499
ko:K02818	sauf:X998_0501
ko:K02819	sauf:X998_0501
ko:K01226	sauf:X998_0502
ko:K03486	sauf:X998_0503
ko:K02343	sauf:X998_0505
ko:K09747	sauf:X998_0506
