ko:K07407	lrh:LGG_02079
ko:K03339	lrh:LGG_00269
ko:K00265	lrh:LGG_02531
ko:K00020	lrh:LGG_00288
ko:K06148	lrh:LGG_02196
ko:K01990	lrh:LGG_01938
ko:K00215	lrh:LGG_00108
ko:K05816	lrh:LGG_02771
ko:K01439	lrh:LGG_01846
ko:K00297	lrh:LGG_00596
ko:K00712	lrh:LGG_02285
ko:K00712	lrh:LGG_00349
ko:K07729	lrh:LGG_00948
ko:K12555	lrh:LGG_01783
ko:K08317	lrh:LGG_02928
ko:K11072	lrh:LGG_00969
ko:K01104	lrh:LGG_02220
ko:K02824	lrh:LGG_01460
ko:K13292	lrh:LGG_00918
ko:K13052	lrh:LGG_02518
ko:K03768	lrh:LGG_00811
ko:K02000	lrh:LGG_02148
ko:K00712	lrh:LGG_01586
ko:K00712	lrh:LGG_01587
ko:K01854	lrh:LGG_02050
ko:K02503	lrh:LGG_01778
ko:K00054	lrh:LGG_01838
ko:K00805	lrh:LGG_02182
ko:K02773	lrh:LGG_02667
ko:K01625	lrh:LGG_02668
ko:K01784	lrh:LGG_00654
ko:K11754	lrh:LGG_01262
ko:K02790	lrh:LGG_02702
ko:K02791	lrh:LGG_02702
ko:K01424	lrh:LGG_02256
ko:K13256	lrh:LGG_02489
ko:K06384	lrh:LGG_02865
ko:K03320	lrh:LGG_00029
ko:K05520	lrh:LGG_00015
ko:K07729	lrh:LGG_02582
ko:K01104	lrh:LGG_02036
ko:K01104	lrh:LGG_02793
ko:K06183	lrh:LGG_00852
ko:K03316	lrh:LGG_00967
ko:K01119	lrh:LGG_01370
ko:K03316	lrh:LGG_00618
ko:K08177	lrh:LGG_00600
ko:K01961	lrh:LGG_02112
ko:K00984	lrh:LGG_00494
ko:K13678	lrh:LGG_00826
ko:K03386	lrh:LGG_02490
ko:K09773	lrh:LGG_01557
ko:K01151	lrh:LGG_01558
ko:K07305	lrh:LGG_01560
ko:K01876	lrh:LGG_01561
ko:K01892	lrh:LGG_01562
ko:K01448	lrh:LGG_01566
ko:K07560	lrh:LGG_01568
ko:K09761	lrh:LGG_01571
ko:K02687	lrh:LGG_01572
ko:K03652	lrh:LGG_01574
ko:K02954	lrh:LGG_02422
ko:K06199	lrh:LGG_02430
ko:K06199	lrh:LGG_02431
ko:K02996	lrh:LGG_02447
ko:K02871	lrh:LGG_02448
ko:K02003	lrh:LGG_02451
ko:K06173	lrh:LGG_02455
ko:K02879	lrh:LGG_02460
ko:K03040	lrh:LGG_02461
ko:K02948	lrh:LGG_02462
ko:K02952	lrh:LGG_02463
ko:K02919	lrh:LGG_02464
ko:K02518	lrh:LGG_02465
ko:K00939	lrh:LGG_02466
ko:K03076	lrh:LGG_02467
ko:K02876	lrh:LGG_02468
ko:K02907	lrh:LGG_02469
ko:K02988	lrh:LGG_02470
ko:K02881	lrh:LGG_02471
ko:K01193	lrh:LGG_02107
ko:K00917	lrh:LGG_00341
ko:K00917	lrh:LGG_00664
ko:K11741	lrh:LGG_02787
ko:K03294	lrh:LGG_01632
ko:K03328	lrh:LGG_02520
ko:K01421	lrh:LGG_02102
ko:K02798	lrh:LGG_02910
ko:K07284	lrh:LGG_02143
ko:K00805	lrh:LGG_02311
ko:K00625	lrh:LGG_00959
ko:K01534	lrh:LGG_00082
ko:K01534	lrh:LGG_00135
ko:K02770	lrh:LGG_00411
ko:K00712	lrh:LGG_00348
ko:K00805	lrh:LGG_02310
ko:K02768	lrh:LGG_00409
ko:K02769	lrh:LGG_00396
ko:K02770	lrh:LGG_00397
ko:K01819	lrh:LGG_00667
ko:K01992	lrh:LGG_02185
ko:K02004	lrh:LGG_00032
ko:K01916	lrh:LGG_01858
ko:K13789	lrh:LGG_01680
ko:K05966	lrh:LGG_01910
ko:K01479	lrh:LGG_01594
ko:K00055	lrh:LGG_02693
ko:K03294	lrh:LGG_00605
ko:K00949	lrh:LGG_01664
ko:K01491	lrh:LGG_01683
ko:K01791	lrh:LGG_01992
ko:K01779	lrh:LGG_00258
ko:K02005	lrh:LGG_02919
ko:K00034	lrh:LGG_02189
ko:K01515	lrh:LGG_01297
ko:K05337	lrh:LGG_01384
ko:K01515	lrh:LGG_01447
