ko:K02028	ssf:SSUA7_0451
ko:K10117	ssf:SSUA7_0856
ko:K19689	ssf:SSUA7_1771
ko:K10040	ssf:SSUA7_1208
ko:K03790	ssf:SSUA7_1041
ko:K13677	ssf:SSUA7_1213
ko:K10041	ssf:SSUA7_1205
ko:K02424	ssf:SSUA7_1885
ko:K10039	ssf:SSUA7_1206
ko:K10009	ssf:SSUA7_1884
ko:K06878	ssf:SSUA7_0138
ko:K04078	ssf:SSUA7_0142
ko:K04077	ssf:SSUA7_0143
ko:K02950	ssf:SSUA7_0144
ko:K02992	ssf:SSUA7_0145
ko:K02355	ssf:SSUA7_0146
ko:K00134	ssf:SSUA7_0149
ko:K00927	ssf:SSUA7_0150
ko:K01915	ssf:SSUA7_0153
ko:K03789	ssf:SSUA7_0158
ko:K07407	ssf:SSUA7_0164
ko:K07007	ssf:SSUA7_0175
ko:K00615	ssf:SSUA7_0181
ko:K00615	ssf:SSUA7_0182
ko:K01126	ssf:SSUA7_0183
ko:K09747	ssf:SSUA7_0184
ko:K02082	ssf:SSUA7_0185
ko:K00656	ssf:SSUA7_0190
ko:K02346	ssf:SSUA7_0191
ko:K07118	ssf:SSUA7_0193
ko:K03110	ssf:SSUA7_1042
ko:K03529	ssf:SSUA7_1045
ko:K03685	ssf:SSUA7_1046
ko:K00031	ssf:SSUA7_1054
ko:K01647	ssf:SSUA7_1055
ko:K01681	ssf:SSUA7_1056
ko:K03210	ssf:SSUA7_1067
ko:K02747	ssf:SSUA7_1068
ko:K02746	ssf:SSUA7_1069
ko:K01625	ssf:SSUA7_1073
ko:K00874	ssf:SSUA7_1074
ko:K01872	ssf:SSUA7_1088
ko:K07707	ssf:SSUA7_1905
ko:K07560	ssf:SSUA7_1908
ko:K09761	ssf:SSUA7_1921
ko:K02687	ssf:SSUA7_1922
ko:K07478	ssf:SSUA7_1926
ko:K03555	ssf:SSUA7_1936
ko:K03402	ssf:SSUA7_1937
ko:K01887	ssf:SSUA7_1938
ko:K00705	ssf:SSUA7_1942
ko:K02529	ssf:SSUA7_1947
ko:K01876	ssf:SSUA7_1951
ko:K01153	ssf:SSUA7_0647
ko:K03427	ssf:SSUA7_0648
ko:K01154	ssf:SSUA7_0649
ko:K03823	ssf:SSUA7_0653
ko:K04069	ssf:SSUA7_0657
ko:K02759	ssf:SSUA7_0660
ko:K02760	ssf:SSUA7_0661
ko:K02761	ssf:SSUA7_0662
ko:K00656	ssf:SSUA7_0663
ko:K00005	ssf:SSUA7_0666
ko:K00133	ssf:SSUA7_0667
ko:K01714	ssf:SSUA7_0668
ko:K00864	ssf:SSUA7_0672
ko:K02440	ssf:SSUA7_0674
ko:K15975	ssf:SSUA7_0675
ko:K06999	ssf:SSUA7_0677
ko:K03657	ssf:SSUA7_0681
ko:K00941	ssf:SSUA7_0683
ko:K00878	ssf:SSUA7_0684
ko:K00788	ssf:SSUA7_0685
ko:K00757	ssf:SSUA7_0687
ko:K03703	ssf:SSUA7_0699
ko:K03979	ssf:SSUA7_0701
ko:K03216	ssf:SSUA7_1528
ko:K08998	ssf:SSUA7_1530
ko:K06178	ssf:SSUA7_1531
ko:K06024	ssf:SSUA7_1532
ko:K05896	ssf:SSUA7_1533
ko:K07095	ssf:SSUA7_1536
ko:K01776	ssf:SSUA7_1538
