ko:K00127	hik:HifGL_001505
ko:K00123	hik:HifGL_001503
ko:K06148	hik:HifGL_000294
ko:K19226	hik:HifGL_000676
ko:K19227	hik:HifGL_000677
ko:K19229	hik:HifGL_001312
ko:K07316	hik:HifGL_000721
ko:K18136	hik:HifGL_000521
ko:K03553	hik:HifGL_000235
ko:K19227	hik:HifGL_001310
ko:K19230	hik:HifGL_001313
ko:K19228	hik:HifGL_000678
ko:K01420	hik:HifGL_001147
ko:K14233	hik:HifGL_t1
ko:K14233	hik:HifGL_t7
ko:K14233	hik:HifGL_t11
ko:K14228	hik:HifGL_t9
ko:K01985	hik:HifGL_r1
ko:K01985	hik:HifGL_r10
ko:K01985	hik:HifGL_r7
ko:K01985	hik:HifGL_r4
ko:K01985	hik:HifGL_r18
ko:K01985	hik:HifGL_r15
ko:K14227	hik:HifGL_t24
ko:K14227	hik:HifGL_t26
ko:K14227	hik:HifGL_t56
ko:K14227	hik:HifGL_t50
ko:K14227	hik:HifGL_t32
ko:K01977	hik:HifGL_r3
ko:K01977	hik:HifGL_r12
ko:K01977	hik:HifGL_r6
ko:K01977	hik:HifGL_r17
ko:K01977	hik:HifGL_r20
ko:K01977	hik:HifGL_r9
ko:K14234	hik:HifGL_t55
ko:K14225	hik:HifGL_t54
ko:K14225	hik:HifGL_t8
ko:K14225	hik:HifGL_t6
ko:K14219	hik:HifGL_t49
ko:K14219	hik:HifGL_t48
ko:K14219	hik:HifGL_t31
ko:K14238	hik:HifGL_t2
ko:K14231	hik:HifGL_t3
ko:K14220	hik:HifGL_t4
ko:K14220	hik:HifGL_t41
ko:K14230	hik:HifGL_t46
ko:K14222	hik:HifGL_t43
ko:K01185	hik:HifGL_001370
ko:K08316	hik:HifGL_000442
ko:K11070	hik:HifGL_001227
ko:K14233	hik:HifGL_t47
ko:K14228	hik:HifGL_t58
ko:K14228	hik:HifGL_t44
ko:K14228	hik:HifGL_t40
ko:K14234	hik:HifGL_t52
ko:K14225	hik:HifGL_t42
ko:K01985	hik:HifGL_r13
ko:K14229	hik:HifGL_t18
ko:K03585	hik:HifGL_000522
ko:K00951	hik:HifGL_000111
ko:K14218	hik:HifGL_t25
ko:K14218	hik:HifGL_t57
ko:K14218	hik:HifGL_t33
ko:K14218	hik:HifGL_t51
ko:K14218	hik:HifGL_t27
ko:K14230	hik:HifGL_t5
ko:K14230	hik:HifGL_t20
ko:K14229	hik:HifGL_t10
ko:K14229	hik:HifGL_t45
ko:K14229	hik:HifGL_t17
ko:K14237	hik:HifGL_t39
ko:K14223	hik:HifGL_t37
ko:K14223	hik:HifGL_t38
ko:K14232	hik:HifGL_t23
ko:K14232	hik:HifGL_t30
ko:K14235	hik:HifGL_t29
ko:K14221	hik:HifGL_t19
ko:K14221	hik:HifGL_t28
ko:K14219	hik:HifGL_t21
ko:K14237	hik:HifGL_t13
ko:K14237	hik:HifGL_t16
ko:K14237	hik:HifGL_t14
ko:K14237	hik:HifGL_t15
ko:K14218	hik:HifGL_t12
ko:K03559	hik:HifGL_000020
ko:K03604	hik:HifGL_001306
ko:K01897	hik:HifGL_001425
ko:K01897	hik:HifGL_001720
ko:K06196	hik:HifGL_001208
ko:K01489	hik:HifGL_001222
ko:K01258	hik:HifGL_001224
ko:K11072	hik:HifGL_001225
ko:K11071	hik:HifGL_001226
ko:K11069	hik:HifGL_001228
ko:K03177	hik:HifGL_001239
ko:K00974	hik:HifGL_001273
ko:K00813	hik:HifGL_001288
ko:K07126	hik:HifGL_001295
ko:K00674	hik:HifGL_001305
ko:K15599	hik:HifGL_000119
ko:K15460	hik:HifGL_000131
ko:K00058	hik:HifGL_000136
ko:K02116	hik:HifGL_000148
ko:K03498	hik:HifGL_000177
ko:K04085	hik:HifGL_000179
ko:K01525	hik:HifGL_000195
ko:K00033	hik:HifGL_000197
ko:K01082	hik:HifGL_000201
