ko:K02888	cri:CRDC_00825
ko:K02863	cri:CRDC_00985
ko:K01496	cri:CRDC_00545
ko:K02342	cri:CRDC_00555
ko:K01885	cri:CRDC_00645
ko:K03386	cri:CRDC_00700
ko:K00616	cri:CRDC_00705
ko:K01439	cri:CRDC_00095
ko:K00674	cri:CRDC_00100
ko:K01523	cri:CRDC_00140
ko:K00033	cri:CRDC_00225
ko:K01664	cri:CRDC_00235
ko:K02433	cri:CRDC_00275
ko:K14233	cri:CRDC_t01109
ko:K14221	cri:CRDC_t01091
ko:K14219	cri:CRDC_t01121
ko:K14229	cri:CRDC_t01119
ko:K01977	cri:CRDC_r01137
ko:K14235	cri:CRDC_t01127
ko:K02110	cri:CRDC_00020
ko:K02108	cri:CRDC_00015
ko:K03687	cri:CRDC_00405
ko:K03544	cri:CRDC_00465
ko:K01783	cri:CRDC_00485
ko:K13821	cri:CRDC_00490
ko:K01649	cri:CRDC_00495
ko:K01736	cri:CRDC_00500
ko:K01703	cri:CRDC_00505
ko:K01704	cri:CRDC_00510
ko:K00052	cri:CRDC_00515
ko:K00133	cri:CRDC_00520
ko:K04043	cri:CRDC_00415
ko:K01956	cri:CRDC_00430
ko:K06131	cri:CRDC_00470
ko:K01817	cri:CRDC_00525
ko:K01875	cri:CRDC_00530
ko:K00858	cri:CRDC_00535
ko:K02887	cri:CRDC_00570
ko:K02520	cri:CRDC_00580
ko:K04564	cri:CRDC_00585
ko:K03596	cri:CRDC_00595
ko:K01626	cri:CRDC_00600
ko:K06168	cri:CRDC_00610
ko:K01869	cri:CRDC_00620
ko:K01902	cri:CRDC_00635
ko:K01903	cri:CRDC_00640
ko:K01874	cri:CRDC_00650
ko:K01940	cri:CRDC_00660
ko:K01714	cri:CRDC_00665
ko:K00116	cri:CRDC_00675
ko:K00928	cri:CRDC_00680
ko:K01872	cri:CRDC_00685
ko:K01873	cri:CRDC_00695
ko:K01695	cri:CRDC_00710
ko:K01696	cri:CRDC_00715
ko:K01867	cri:CRDC_00720
ko:K02913	cri:CRDC_00725
ko:K02902	cri:CRDC_00730
ko:K04567	cri:CRDC_00740
ko:K02836	cri:CRDC_00745
ko:K01733	cri:CRDC_00750
ko:K00003	cri:CRDC_00755
