ko:K00864	mhyl:MHP168L_385
ko:K02044	mhyl:MHP168L_386
ko:K02041	mhyl:MHP168L_387
ko:K02042	mhyl:MHP168L_388
ko:K02340	mhyl:MHP168L_390
ko:K02025	mhyl:MHP168L_395
ko:K02026	mhyl:MHP168L_396
ko:K03685	mhyl:MHP168L_400
ko:K01874	mhyl:MHP168L_402
ko:K00763	mhyl:MHP168L_404
ko:K03531	mhyl:MHP168L_405
ko:K03438	mhyl:MHP168L_406
ko:K03925	mhyl:MHP168L_407
ko:K07316	mhyl:MHP168L_409
ko:K07048	mhyl:MHP168L_419
ko:K03475	mhyl:MHP168L_420
ko:K02822	mhyl:MHP168L_421
ko:K02821	mhyl:MHP168L_422
ko:K01893	mhyl:MHP168L_426
ko:K03657	mhyl:MHP168L_428
ko:K02025	mhyl:MHP168L_416
ko:K03177	mhyl:MHP168L_297
ko:K01885	mhyl:MHP168L_162
ko:K00016	mhyl:MHP168L_167
ko:K03647	mhyl:MHP168L_241
ko:K00010	mhyl:MHP168L_247
ko:K10440	mhyl:MHP168L_251
ko:K10439	mhyl:MHP168L_252
ko:K00010	mhyl:MHP168L_253
ko:K16786	mhyl:MHP168L_284
ko:K16787	mhyl:MHP168L_285
ko:K01537	mhyl:MHP168L_289
ko:K00939	mhyl:MHP168L_129
ko:K04488	mhyl:MHP168L_138
ko:K01489	mhyl:MHP168L_146
ko:K15582	mhyl:MHP168L_214
ko:K15583	mhyl:MHP168L_215
ko:K10823	mhyl:MHP168L_216
ko:K06179	mhyl:MHP168L_015
ko:K02433	mhyl:MHP168L_025
ko:K03700	mhyl:MHP168L_054
ko:K03784	mhyl:MHP168L_087
ko:K03346	mhyl:MHP168L_375
ko:K01243	mhyl:MHP168L_485
ko:K10823	mhyl:MHP168L_508
ko:K15583	mhyl:MHP168L_509
ko:K15582	mhyl:MHP168L_510
ko:K00016	mhyl:MHP168L_481
ko:K08483	mhyl:MHP168L_482
ko:K01916	mhyl:MHP168L_483
ko:K00625	mhyl:MHP168L_516
ko:K00845	mhyl:MHP168L_526
ko:K11072	mhyl:MHP168L_554
ko:K03499	mhyl:MHP168L_557
ko:K02798	mhyl:MHP168L_739
ko:K02799	mhyl:MHP168L_561
ko:K02800	mhyl:MHP168L_561
ko:K03475	mhyl:MHP168L_563
ko:K02822	mhyl:MHP168L_564
ko:K11069	mhyl:MHP168L_551
