ko:K01488	ect:ECIAI39_1434
ko:K00652	ect:ECIAI39_3473
ko:K15581	ect:ECIAI39_1579
ko:K00932	ect:ECIAI39_3616
ko:K13888	ect:ECIAI39_2274
ko:K06946	ect:ECIAI39_1027
ko:K02495	ect:ECIAI39_3134
ko:K01760	ect:ECIAI39_3502
ko:K06133	ect:ECIAI39_3956
ko:K07229	ect:ECIAI39_3566
ko:K11746	ect:ECIAI39_0047
ko:K05812	ect:ECIAI39_2791
ko:K11733	ect:ECIAI39_2296
ko:K11734	ect:ECIAI39_0112
ko:K06889	ect:ECIAI39_4655
ko:K01232	ect:ECIAI39_4284
ko:K13895	ect:ECIAI39_2320
ko:K01961	ect:ECIAI39_3748
ko:K10823	ect:ECIAI39_1582
ko:K19092	ect:ECIAI39_0931
ko:K01524	ect:ECIAI39_2643
ko:K18922	ect:ECIAI39_2943
ko:K01270	ect:ECIAI39_0414
ko:K07274	ect:ECIAI39_4100
ko:K15555	ect:ECIAI39_2214
ko:K08318	ect:ECIAI39_3118
ko:K02566	ect:ECIAI39_0632
ko:K05522	ect:ECIAI39_0666
ko:K11604	ect:ECIAI39_1919
ko:K11605	ect:ECIAI39_1921
ko:K11606	ect:ECIAI39_1922
ko:K08348	ect:ECIAI39_1736
ko:K00872	ect:ECIAI39_0002
ko:K01733	ect:ECIAI39_0003
ko:K09861	ect:ECIAI39_0005
ko:K03310	ect:ECIAI39_0006
ko:K00616	ect:ECIAI39_0008
ko:K03831	ect:ECIAI39_0009
ko:K07034	ect:ECIAI39_0010
ko:K02968	ect:ECIAI39_0025
ko:K01870	ect:ECIAI39_0027
ko:K03101	ect:ECIAI39_0028
ko:K03774	ect:ECIAI39_0029
ko:K03527	ect:ECIAI39_0030
ko:K01956	ect:ECIAI39_0033
ko:K01955	ect:ECIAI39_0034
ko:K02182	ect:ECIAI39_0038
ko:K08298	ect:ECIAI39_0039
ko:K05245	ect:ECIAI39_0041
ko:K03521	ect:ECIAI39_0042
ko:K03522	ect:ECIAI39_0043
ko:K00313	ect:ECIAI39_0044
ko:K00287	ect:ECIAI39_0049
ko:K04043	ect:ECIAI39_0013
ko:K03686	ect:ECIAI39_0014
ko:K03313	ect:ECIAI39_0018
ko:K03717	ect:ECIAI39_0019
ko:K04759	ect:ECIAI39_3889
ko:K07490	ect:ECIAI39_3890
ko:K02170	ect:ECIAI39_3892
ko:K07400	ect:ECIAI39_3895
