ko:K03741	fpo:FPG3_10060
ko:K14236	fpo:FPG3_10375
ko:K14237	fpo:FPG3_05130
ko:K14237	fpo:FPG3_11110
ko:K14219	fpo:FPG3_06265
ko:K14232	fpo:FPG3_06260
ko:K14232	fpo:FPG3_03930
ko:K14233	fpo:FPG3_06255
ko:K21029	fpo:FPG3_02300
ko:K08151	fpo:FPG3_12100
ko:K18682	fpo:FPG3_03765
ko:K02065	fpo:FPG3_02600
ko:K02066	fpo:FPG3_02605
ko:K00648	fpo:FPG3_02625
ko:K06886	fpo:FPG3_02630
ko:K00281	fpo:FPG3_02635
ko:K07133	fpo:FPG3_02645
ko:K01284	fpo:FPG3_02675
ko:K01588	fpo:FPG3_02680
ko:K01589	fpo:FPG3_02685
ko:K00760	fpo:FPG3_02695
ko:K00939	fpo:FPG3_02700
ko:K03699	fpo:FPG3_02705
ko:K03979	fpo:FPG3_02715
ko:K02558	fpo:FPG3_02735
ko:K06158	fpo:FPG3_08175
ko:K03977	fpo:FPG3_08220
ko:K01712	fpo:FPG3_08245
ko:K00500	fpo:FPG3_08260
ko:K06147	fpo:FPG3_08280
ko:K06872	fpo:FPG3_08305
ko:K03744	fpo:FPG3_08315
ko:K01872	fpo:FPG3_08330
ko:K11942	fpo:FPG3_08345
ko:K03088	fpo:FPG3_08385
ko:K03885	fpo:FPG3_08390
ko:K01270	fpo:FPG3_08400
ko:K09001	fpo:FPG3_08410
ko:K03630	fpo:FPG3_02740
ko:K07025	fpo:FPG3_02745
ko:K07478	fpo:FPG3_02755
ko:K03218	fpo:FPG3_02765
ko:K02950	fpo:FPG3_02785
ko:K02992	fpo:FPG3_02790
ko:K02355	fpo:FPG3_02795
ko:K02946	fpo:FPG3_02800
ko:K02906	fpo:FPG3_02805
ko:K02926	fpo:FPG3_02810
ko:K02892	fpo:FPG3_02815
ko:K02886	fpo:FPG3_02820
ko:K02965	fpo:FPG3_02825
ko:K02890	fpo:FPG3_02830
ko:K02982	fpo:FPG3_02835
ko:K02878	fpo:FPG3_02840
ko:K02904	fpo:FPG3_02845
ko:K02961	fpo:FPG3_02850
ko:K02874	fpo:FPG3_02855
ko:K02895	fpo:FPG3_02860
ko:K02931	fpo:FPG3_02865
ko:K02954	fpo:FPG3_02870
ko:K02994	fpo:FPG3_02875
ko:K02933	fpo:FPG3_02880
ko:K02881	fpo:FPG3_02885
ko:K02988	fpo:FPG3_02890
ko:K02907	fpo:FPG3_02895
ko:K15633	fpo:FPG3_07250
ko:K05995	fpo:FPG3_07280
ko:K03294	fpo:FPG3_07305
ko:K03551	fpo:FPG3_07310
ko:K00029	fpo:FPG3_07320
ko:K03550	fpo:FPG3_07325
ko:K02437	fpo:FPG3_07350
ko:K01619	fpo:FPG3_07360
ko:K02005	fpo:FPG3_07370
ko:K12340	fpo:FPG3_07375
ko:K08976	fpo:FPG3_07390
ko:K07152	fpo:FPG3_07395
ko:K02276	fpo:FPG3_07410
ko:K02276	fpo:FPG3_07415
ko:K06888	fpo:FPG3_07435
ko:K01776	fpo:FPG3_07465
ko:K06142	fpo:FPG3_07470
ko:K07277	fpo:FPG3_07480
ko:K00806	fpo:FPG3_07485
ko:K00858	fpo:FPG3_07495
ko:K03474	fpo:FPG3_07505
ko:K01990	fpo:FPG3_07510
ko:K08972	fpo:FPG3_07525
ko:K01358	fpo:FPG3_07535
ko:K03544	fpo:FPG3_07540
ko:K03116	fpo:FPG3_07545
ko:K00164	fpo:FPG3_12090
ko:K00658	fpo:FPG3_12095
ko:K03665	fpo:FPG3_12120
ko:K02004	fpo:FPG3_12125
ko:K00602	fpo:FPG3_12130
ko:K03569	fpo:FPG3_12135
ko:K03570	fpo:FPG3_12140
ko:K05515	fpo:FPG3_12150
ko:K05837	fpo:FPG3_12155
ko:K01173	fpo:FPG3_12160
ko:K01880	fpo:FPG3_12195
ko:K03770	fpo:FPG3_12200
ko:K03525	fpo:FPG3_12220
ko:K04096	fpo:FPG3_12235
ko:K00973	fpo:FPG3_12305
ko:K02014	fpo:FPG3_12330
ko:K02115	fpo:FPG3_12335
ko:K02111	fpo:FPG3_12340
ko:K02113	fpo:FPG3_12345
ko:K02109	fpo:FPG3_12350
ko:K02110	fpo:FPG3_12355
ko:K02108	fpo:FPG3_12360
ko:K09939	fpo:FPG3_08440
ko:K02014	fpo:FPG3_08445
ko:K02835	fpo:FPG3_08450
ko:K01258	fpo:FPG3_08460
ko:K00791	fpo:FPG3_08470
ko:K02342	fpo:FPG3_08475
ko:K01923	fpo:FPG3_04140
ko:K02477	fpo:FPG3_04185
ko:K04079	fpo:FPG3_04225
ko:K07090	fpo:FPG3_04265
ko:K00648	fpo:FPG3_04270
ko:K01887	fpo:FPG3_04285
ko:K16089	fpo:FPG3_04300
ko:K16091	fpo:FPG3_04330
ko:K03734	fpo:FPG3_04355
ko:K07231	fpo:FPG3_04390
ko:K03106	fpo:FPG3_04400
ko:K01491	fpo:FPG3_04405
ko:K00912	fpo:FPG3_04415
ko:K03783	fpo:FPG3_04420
ko:K00134	fpo:FPG3_04430
ko:K03644	fpo:FPG3_04435
ko:K03832	fpo:FPG3_04440
ko:K03088	fpo:FPG3_04445
ko:K03564	fpo:FPG3_09095
ko:K01809	fpo:FPG3_09105
ko:K02217	fpo:FPG3_09140
ko:K01468	fpo:FPG3_09150
ko:K03284	fpo:FPG3_09155
ko:K00566	fpo:FPG3_09170
ko:K03313	fpo:FPG3_09175
ko:K03281	fpo:FPG3_09180
ko:K00014	fpo:FPG3_09200
ko:K06970	fpo:FPG3_09205
ko:K00949	fpo:FPG3_09210
ko:K03695	fpo:FPG3_09220
ko:K02371	fpo:FPG3_09235
ko:K02428	fpo:FPG3_09270
ko:K01462	fpo:FPG3_09280
ko:K00116	fpo:FPG3_09285
ko:K07447	fpo:FPG3_09290
ko:K09164	fpo:FPG3_09310
ko:K03424	fpo:FPG3_09315
ko:K00826	fpo:FPG3_09340
ko:K04761	fpo:FPG3_09355
ko:K00382	fpo:FPG3_09370
ko:K03719	fpo:FPG3_09375
ko:K01761	fpo:FPG3_09380
ko:K03782	fpo:FPG3_09395
ko:K01875	fpo:FPG3_00400
ko:K03322	fpo:FPG3_00420
ko:K03709	fpo:FPG3_00425
ko:K07394	fpo:FPG3_00435
ko:K11749	fpo:FPG3_00445
ko:K07386	fpo:FPG3_00470
ko:K07152	fpo:FPG3_00485
ko:K04758	fpo:FPG3_00490
ko:K04759	fpo:FPG3_00495
ko:K00241	fpo:FPG3_00515
ko:K00239	fpo:FPG3_00520
ko:K00240	fpo:FPG3_00530
ko:K02346	fpo:FPG3_00535
ko:K04485	fpo:FPG3_00595
ko:K07017	fpo:FPG3_00600
ko:K07027	fpo:FPG3_00605
ko:K01579	fpo:FPG3_00610
ko:K01918	fpo:FPG3_00615
ko:K00703	fpo:FPG3_00620
ko:K00820	fpo:FPG3_00630
ko:K02112	fpo:FPG3_00645
ko:K02114	fpo:FPG3_00650
ko:K00652	fpo:FPG3_00665
ko:K01889	fpo:FPG3_00690
ko:K03558	fpo:FPG3_00700
ko:K07114	fpo:FPG3_00725
ko:K01953	fpo:FPG3_05060
ko:K02470	fpo:FPG3_05065
ko:K00024	fpo:FPG3_05070
ko:K12257	fpo:FPG3_05075
ko:K06878	fpo:FPG3_05080
ko:K00263	fpo:FPG3_05095
ko:K03625	fpo:FPG3_05100
ko:K03210	fpo:FPG3_05110
ko:K01591	fpo:FPG3_05115
ko:K11754	fpo:FPG3_05140
ko:K03561	fpo:FPG3_05145
ko:K03559	fpo:FPG3_05150
ko:K05794	fpo:FPG3_05155
ko:K01915	fpo:FPG3_05160
ko:K07114	fpo:FPG3_05185
ko:K06158	fpo:FPG3_05190
ko:K00428	fpo:FPG3_05255
ko:K03327	fpo:FPG3_05260
ko:K07588	fpo:FPG3_05275
ko:K08223	fpo:FPG3_05280
ko:K00104	fpo:FPG3_05285
ko:K00428	fpo:FPG3_05310
ko:K03070	fpo:FPG3_05320
ko:K02003	fpo:FPG3_05335
ko:K15738	fpo:FPG3_05355
ko:K00658	fpo:FPG3_05365
ko:K07391	fpo:FPG3_10000
ko:K05786	fpo:FPG3_10005
ko:K02429	fpo:FPG3_10010
ko:K01679	fpo:FPG3_10020
ko:K00537	fpo:FPG3_10040
ko:K07052	fpo:FPG3_10045
ko:K01911	fpo:FPG3_10050
ko:K02536	fpo:FPG3_10055
ko:K11065	fpo:FPG3_10080
ko:K00901	fpo:FPG3_10085
ko:K03466	fpo:FPG3_10090
ko:K07091	fpo:FPG3_10100
ko:K14652	fpo:FPG3_10105
ko:K03427	fpo:FPG3_10120
ko:K01154	fpo:FPG3_10135
ko:K09952	fpo:FPG3_10180
ko:K03702	fpo:FPG3_10260
ko:K01903	fpo:FPG3_10285
ko:K07560	fpo:FPG3_01350
ko:K06949	fpo:FPG3_01355
ko:K04516	fpo:FPG3_01360
ko:K04518	fpo:FPG3_01370
ko:K01990	fpo:FPG3_01375
ko:K12524	fpo:FPG3_01390
ko:K00641	fpo:FPG3_01395
ko:K01740	fpo:FPG3_01400
ko:K03671	fpo:FPG3_01460
ko:K00789	fpo:FPG3_01495
ko:K03584	fpo:FPG3_01500
ko:K00262	fpo:FPG3_01510
ko:K01876	fpo:FPG3_01535
ko:K03704	fpo:FPG3_01540
ko:K01662	fpo:FPG3_01555
ko:K01129	fpo:FPG3_01575
ko:K07098	fpo:FPG3_01595
ko:K03671	fpo:FPG3_01600
ko:K01993	fpo:FPG3_01615
ko:K03841	fpo:FPG3_01635
ko:K07387	fpo:FPG3_01640
ko:K00928	fpo:FPG3_01650
ko:K07504	fpo:FPG3_05975
ko:K03628	fpo:FPG3_05995
ko:K09861	fpo:FPG3_06000
ko:K07106	fpo:FPG3_06035
ko:K07444	fpo:FPG3_06055
ko:K03215	fpo:FPG3_06080
ko:K00819	fpo:FPG3_06095
ko:K06169	fpo:FPG3_06110
ko:K07054	fpo:FPG3_06120
ko:K05844	fpo:FPG3_06130
ko:K03696	fpo:FPG3_06135
ko:K02469	fpo:FPG3_06140
ko:K09022	fpo:FPG3_06150
ko:K01448	fpo:FPG3_06160
ko:K02067	fpo:FPG3_06165
ko:K01736	fpo:FPG3_06225
ko:K00626	fpo:FPG3_06250
ko:K08303	fpo:FPG3_10880
ko:K11381	fpo:FPG3_10885
ko:K03113	fpo:FPG3_10900
ko:K00757	fpo:FPG3_10910
ko:K03648	fpo:FPG3_10940
ko:K07456	fpo:FPG3_10945
ko:K01890	fpo:FPG3_10955
ko:K06937	fpo:FPG3_10970
ko:K00616	fpo:FPG3_10990
ko:K02340	fpo:FPG3_11025
ko:K01486	fpo:FPG3_11055
ko:K07056	fpo:FPG3_11065
ko:K01775	fpo:FPG3_11080
ko:K03282	fpo:FPG3_11085
ko:K06925	fpo:FPG3_11095
ko:K00259	fpo:FPG3_11100
ko:K09808	fpo:FPG3_11155
ko:K06940	fpo:FPG3_11165
ko:K02040	fpo:FPG3_11205
ko:K02038	fpo:FPG3_01960
ko:K02036	fpo:FPG3_01965
ko:K02039	fpo:FPG3_01970
ko:K03439	fpo:FPG3_01985
ko:K07443	fpo:FPG3_01995
ko:K00184	fpo:FPG3_02010
ko:K00185	fpo:FPG3_02015
ko:K02275	fpo:FPG3_02035
ko:K02274	fpo:FPG3_02040
ko:K09946	fpo:FPG3_02065
ko:K03555	fpo:FPG3_02080
ko:K04773	fpo:FPG3_02100
ko:K01448	fpo:FPG3_02115
ko:K02527	fpo:FPG3_02125
ko:K01784	fpo:FPG3_02135
ko:K00645	fpo:FPG3_02145
ko:K08289	fpo:FPG3_02160
ko:K00812	fpo:FPG3_02165
ko:K00508	fpo:FPG3_02170
ko:K03501	fpo:FPG3_02175
ko:K00294	fpo:FPG3_02180
ko:K06195	fpo:FPG3_02200
ko:K01265	fpo:FPG3_02225
ko:K01534	fpo:FPG3_02260
ko:K03154	fpo:FPG3_02265
ko:K03427	fpo:FPG3_06820
ko:K01154	fpo:FPG3_06825
ko:K01153	fpo:FPG3_06835
ko:K02078	fpo:FPG3_11535
ko:K00647	fpo:FPG3_11545
ko:K07107	fpo:FPG3_11550
ko:K01992	fpo:FPG3_11555
ko:K00648	fpo:FPG3_11595
ko:K02078	fpo:FPG3_11615
ko:K00647	fpo:FPG3_11620
ko:K00059	fpo:FPG3_11625
ko:K01745	fpo:FPG3_11635
ko:K03424	fpo:FPG3_11645
ko:K01424	fpo:FPG3_11655
ko:K00128	fpo:FPG3_11670
ko:K00946	fpo:FPG3_11675
ko:K00833	fpo:FPG3_11685
ko:K01935	fpo:FPG3_11690
ko:K00748	fpo:FPG3_11695
ko:K03787	fpo:FPG3_11705
ko:K03797	fpo:FPG3_11710
ko:K02238	fpo:FPG3_11715
ko:K03305	fpo:FPG3_11730
ko:K03305	fpo:FPG3_11735
ko:K01278	fpo:FPG3_11740
ko:K00054	fpo:FPG3_11750
ko:K03797	fpo:FPG3_11775
ko:K03814	fpo:FPG3_11780
ko:K02876	fpo:FPG3_02900
ko:K03076	fpo:FPG3_02905
ko:K02518	fpo:FPG3_02910
ko:K02919	fpo:FPG3_02915
ko:K02952	fpo:FPG3_02920
ko:K02948	fpo:FPG3_02925
ko:K02986	fpo:FPG3_02930
ko:K03040	fpo:FPG3_02935
ko:K02879	fpo:FPG3_02940
ko:K01956	fpo:FPG3_02945
ko:K01689	fpo:FPG3_02950
ko:K01647	fpo:FPG3_02960
ko:K06929	fpo:FPG3_02985
ko:K06187	fpo:FPG3_02995
ko:K01991	fpo:FPG3_03000
ko:K02474	fpo:FPG3_03010
ko:K00012	fpo:FPG3_03015
ko:K00973	fpo:FPG3_03025
ko:K17716	fpo:FPG3_03030
ko:K01991	fpo:FPG3_03100
