ko:K19744	pdk:PADK2_05005
ko:K18094	pdk:PADK2_15550
ko:K00254	pdk:PADK2_09090
ko:K00520	pdk:PADK2_12170
ko:K11741	pdk:PADK2_21760
ko:K18095	pdk:PADK2_15555
ko:K18302	pdk:PADK2_05955
ko:K18979	pdk:PADK2_26240
ko:K10014	pdk:PADK2_09755
ko:K19591	pdk:PADK2_25360
ko:K19595	pdk:PADK2_06750
ko:K03297	pdk:PADK2_26445
ko:K02028	pdk:PADK2_26865
ko:K02487	pdk:PADK2_12085
ko:K03560	pdk:PADK2_01005
ko:K22617	pdk:PADK2_22670
ko:K16238	pdk:PADK2_04210
ko:K19593	pdk:PADK2_06760
ko:K09691	pdk:PADK2_28995
ko:K18131	pdk:PADK2_02135
ko:K18130	pdk:PADK2_05735
ko:K18129	pdk:PADK2_15545
ko:K11741	pdk:PADK2_07975
ko:K14227	pdk:PADK2_t29601
ko:K14234	pdk:PADK2_t29719
ko:K11741	pdk:PADK2_16240
ko:K06998	pdk:PADK2_16130
ko:K03446	pdk:PADK2_10200
ko:K04748	pdk:PADK2_02615
ko:K03932	pdk:PADK2_02740
ko:K01409	pdk:PADK2_02925
ko:K00974	pdk:PADK2_02945
ko:K01525	pdk:PADK2_02975
ko:K02055	pdk:PADK2_03035
ko:K02055	pdk:PADK2_03045
ko:K10914	pdk:PADK2_03185
ko:K21429	pdk:PADK2_02880
ko:K00638	pdk:PADK2_22105
ko:K14229	pdk:PADK2_t29671
ko:K14229	pdk:PADK2_t29691
ko:K14230	pdk:PADK2_t29701
ko:K14225	pdk:PADK2_t29683
ko:K01980	pdk:PADK2_r29743
ko:K14218	pdk:PADK2_t29685
ko:K14218	pdk:PADK2_t29703
ko:K14218	pdk:PADK2_t29721
ko:K14227	pdk:PADK2_t29687
ko:K14227	pdk:PADK2_t29705
ko:K14227	pdk:PADK2_t29723
ko:K01977	pdk:PADK2_r29735
ko:K01977	pdk:PADK2_r29737
ko:K01977	pdk:PADK2_r29739
ko:K14234	pdk:PADK2_t29689
ko:K14232	pdk:PADK2_t29693
ko:K14220	pdk:PADK2_t29695
ko:K14223	pdk:PADK2_t29699
ko:K01985	pdk:PADK2_r29729
ko:K01985	pdk:PADK2_r29731
ko:K01980	pdk:PADK2_r29745
ko:K01980	pdk:PADK2_r29747
ko:K14228	pdk:PADK2_t29709
ko:K12960	pdk:PADK2_08485
ko:K03111	pdk:PADK2_03510
ko:K02226	pdk:PADK2_19245
ko:K19735	pdk:PADK2_20725
ko:K18138	pdk:PADK2_02150
ko:K19611	pdk:PADK2_21050
ko:K18135	pdk:PADK2_06480
ko:K21430	pdk:PADK2_20120
ko:K11903	pdk:PADK2_27865
ko:K11903	pdk:PADK2_18160
ko:K02358	pdk:PADK2_03345
ko:K13063	pdk:PADK2_16135
ko:K01626	pdk:PADK2_16145
ko:K00568	pdk:PADK2_08480
ko:K03321	pdk:PADK2_00145
ko:K14225	pdk:PADK2_t29607
ko:K16345	pdk:PADK2_01765
ko:K08642	pdk:PADK2_16295
ko:K11915	pdk:PADK2_17355
ko:K07165	pdk:PADK2_04825
ko:K02303	pdk:PADK2_16790
ko:K07394	pdk:PADK2_01545
ko:K01980	pdk:PADK2_r29741
ko:K11311	pdk:PADK2_12675
ko:K18346	pdk:PADK2_21955
ko:K00209	pdk:PADK2_09605
ko:K03294	pdk:PADK2_16570
ko:K03299	pdk:PADK2_20430
ko:K16345	pdk:PADK2_00835
ko:K02054	pdk:PADK2_03050
ko:K02055	pdk:PADK2_01095
ko:K11072	pdk:PADK2_01625
ko:K11071	pdk:PADK2_01620
ko:K11070	pdk:PADK2_01615
ko:K11069	pdk:PADK2_01610
ko:K01659	pdk:PADK2_21705
ko:K11733	pdk:PADK2_24585
ko:K04050	pdk:PADK2_17105
ko:K07346	pdk:PADK2_15030
ko:K07346	pdk:PADK2_24710
ko:K13053	pdk:PADK2_09305
ko:K01069	pdk:PADK2_16600
ko:K10831	pdk:PADK2_04640
ko:K04053	pdk:PADK2_17085
ko:K01977	pdk:PADK2_r29733
ko:K00146	pdk:PADK2_03960
ko:K02054	pdk:PADK2_08065
ko:K11747	pdk:PADK2_19605
ko:K14225	pdk:PADK2_t29643
ko:K15555	pdk:PADK2_00925
ko:K16137	pdk:PADK2_14675
ko:K12262	pdk:PADK2_21115
ko:K16137	pdk:PADK2_21510
ko:K15553	pdk:PADK2_11680
ko:K06889	pdk:PADK2_05865
ko:K00939	pdk:PADK2_05910
ko:K00674	pdk:PADK2_06010
ko:K02004	pdk:PADK2_10085
ko:K03825	pdk:PADK2_18770
ko:K02014	pdk:PADK2_18805
ko:K04750	pdk:PADK2_18870
ko:K03560	pdk:PADK2_20840
ko:K00970	pdk:PADK2_25105
ko:K03177	pdk:PADK2_25180
ko:K13953	pdk:PADK2_28870
ko:K18297	pdk:PADK2_12785
ko:K01953	pdk:PADK2_00280
ko:K07559	pdk:PADK2_00290
ko:K07396	pdk:PADK2_00310
ko:K01091	pdk:PADK2_00345
ko:K01414	pdk:PADK2_00355
ko:K07070	pdk:PADK2_00360
ko:K02003	pdk:PADK2_00385
ko:K11890	pdk:PADK2_00400
ko:K11891	pdk:PADK2_00405
ko:K11892	pdk:PADK2_00410
ko:K11893	pdk:PADK2_00415
ko:K11906	pdk:PADK2_00420
ko:K11902	pdk:PADK2_00430
ko:K11901	pdk:PADK2_00435
ko:K11900	pdk:PADK2_00440
ko:K11903	pdk:PADK2_00445
ko:K11898	pdk:PADK2_00450
ko:K11897	pdk:PADK2_00455
ko:K11896	pdk:PADK2_00460
ko:K11895	pdk:PADK2_00465
ko:K11907	pdk:PADK2_00470
ko:K08963	pdk:PADK2_08490
ko:K02469	pdk:PADK2_08495
ko:K00831	pdk:PADK2_08500
ko:K14170	pdk:PADK2_08505
ko:K00817	pdk:PADK2_08510
ko:K00945	pdk:PADK2_08520
ko:K02945	pdk:PADK2_08525
