ko:K18929	hph:HPLT_00725
ko:K18928	hph:HPLT_00730
ko:K00997	hph:HPLT_04085
ko:K02415	hph:HPLT_04090
ko:K02556	hph:HPLT_04120
ko:K02557	hph:HPLT_04125
ko:K05847	hph:HPLT_04145
ko:K03703	hph:HPLT_04155
ko:K00003	hph:HPLT_04160
ko:K07460	hph:HPLT_04165
ko:K03671	hph:HPLT_04170
ko:K00384	hph:HPLT_04175
ko:K07270	hph:HPLT_04180
ko:K02108	hph:HPLT_04195
ko:K00859	hph:HPLT_04210
ko:K00797	hph:HPLT_04215
ko:K03977	hph:HPLT_04225
ko:K03530	hph:HPLT_04230
ko:K09860	hph:HPLT_04235
ko:K15894	hph:HPLT_04255
ko:K13038	hph:HPLT_04260
ko:K00788	hph:HPLT_04270
ko:K00941	hph:HPLT_04275
ko:K00878	hph:HPLT_04280
ko:K01154	hph:HPLT_04295
ko:K01154	hph:HPLT_04300
ko:K09805	hph:HPLT_04320
ko:K00364	hph:HPLT_04330
ko:K03271	hph:HPLT_04340
ko:K03272	hph:HPLT_04345
ko:K03274	hph:HPLT_04350
ko:K03273	hph:HPLT_04355
ko:K09792	hph:HPLT_04360
ko:K03525	hph:HPLT_04365
ko:K03624	hph:HPLT_04385
ko:K00748	hph:HPLT_04390
ko:K06920	hph:HPLT_03185
ko:K02221	hph:HPLT_03215
ko:K08309	hph:HPLT_03220
ko:K00963	hph:HPLT_03225
ko:K00790	hph:HPLT_03235
ko:K01744	hph:HPLT_03240
ko:K01079	hph:HPLT_03260
ko:K02217	hph:HPLT_03265
ko:K07277	hph:HPLT_03275
ko:K02434	hph:HPLT_03290
ko:K03685	hph:HPLT_03310
ko:K01736	hph:HPLT_03315
ko:K11473	hph:HPLT_03330
ko:K00812	hph:HPLT_03350
ko:K07090	hph:HPLT_03375
ko:K04042	hph:HPLT_03400
ko:K02419	hph:HPLT_03410
ko:K04759	hph:HPLT_03420
ko:K07501	hph:HPLT_03425
ko:K01028	hph:HPLT_03450
ko:K01029	hph:HPLT_03455
ko:K02106	hph:HPLT_03460
ko:K00820	hph:HPLT_07620
ko:K01154	hph:HPLT_07645
ko:K01776	hph:HPLT_02720
ko:K03628	hph:HPLT_02725
ko:K02909	hph:HPLT_02730
ko:K07056	hph:HPLT_02735
ko:K03218	hph:HPLT_02740
ko:K01962	hph:HPLT_02765
ko:K09458	hph:HPLT_02770
ko:K02078	hph:HPLT_02780
ko:K02970	hph:HPLT_02790
ko:K01778	hph:HPLT_02810
ko:K06942	hph:HPLT_02825
ko:K01255	hph:HPLT_02830
ko:K00759	hph:HPLT_02840
ko:K01808	hph:HPLT_02850
ko:K03100	hph:HPLT_02860
ko:K01491	hph:HPLT_02865
ko:K01465	hph:HPLT_02890
ko:K06041	hph:HPLT_07070
ko:K02528	hph:HPLT_07080
ko:K01433	hph:HPLT_07095
ko:K04773	hph:HPLT_07100
ko:K03563	hph:HPLT_07145
ko:K00919	hph:HPLT_07150
ko:K03664	hph:HPLT_07155
ko:K03561	hph:HPLT_07160
ko:K02914	hph:HPLT_07170
ko:K03536	hph:HPLT_07175
ko:K03217	hph:HPLT_07185
ko:K03650	hph:HPLT_07200
ko:K07337	hph:HPLT_07235
ko:K06178	hph:HPLT_07245
ko:K02337	hph:HPLT_07250
ko:K00428	hph:HPLT_07255
ko:K02065	hph:HPLT_07280
ko:K02066	hph:HPLT_07285
ko:K00826	hph:HPLT_07295
ko:K00943	hph:HPLT_07330
ko:K00954	hph:HPLT_07335
ko:K03186	hph:HPLT_07340
ko:K00872	hph:HPLT_02050
ko:K02519	hph:HPLT_02060
ko:K02834	hph:HPLT_02065
ko:K09748	hph:HPLT_02070
ko:K01895	hph:HPLT_02075
ko:K02400	hph:HPLT_02095
ko:K02956	hph:HPLT_02100
ko:K03786	hph:HPLT_02110
ko:K00950	hph:HPLT_02120
ko:K02404	hph:HPLT_02125
