ko:K02335	abm:ABSDF2897
ko:K07462	abm:ABSDF3446
ko:K12297	abm:ABSDF1475
ko:K01096	abm:ABSDF0739
ko:K09483	abm:ABSDF2013
ko:K01963	abm:ABSDF0574
ko:K01962	abm:ABSDF2901
ko:K02231	abm:ABSDF1877
ko:K03089	abm:ABSDF1264
ko:K03704	abm:ABSDF1267
ko:K03732	abm:ABSDF1268
ko:K02461	abm:ABSDF1273
ko:K02462	abm:ABSDF1274
ko:K03558	abm:ABSDF1276
ko:K09117	abm:ABSDF1282
ko:K06923	abm:ABSDF1286
ko:K03312	abm:ABSDF1304
ko:K03762	abm:ABSDF1308
ko:K09895	abm:ABSDF1343
ko:K06895	abm:ABSDF1350
ko:K05596	abm:ABSDF1351
ko:K07056	abm:ABSDF1353
ko:K07460	abm:ABSDF1354
ko:K07389	abm:ABSDF1385
ko:K06911	abm:ABSDF1421
ko:K06901	abm:ABSDF1426
ko:K03563	abm:ABSDF1431
ko:K01548	abm:ABSDF1599
ko:K03088	abm:ABSDF0903
ko:K03498	abm:ABSDF2058
ko:K03652	abm:ABSDF0617
ko:K03575	abm:ABSDF3621
ko:K03648	abm:ABSDF1734
ko:K02867	abm:ABSDF3247
ko:K09017	abm:ABSDF0031
ko:K02110	abm:ABSDF0165
ko:K07566	abm:ABSDF0180
ko:K01695	abm:ABSDF0573
ko:K08369	abm:ABSDF0216
ko:K07642	abm:ABSDF0551
ko:K10563	abm:ABSDF0616
ko:K03043	abm:ABSDF3243
ko:K02338	abm:ABSDF0002
ko:K02619	abm:ABSDF0941
ko:K03685	abm:ABSDF0952
ko:K05540	abm:ABSDF0983
ko:K07258	abm:ABSDF0993
ko:K06181	abm:ABSDF0996
ko:K06177	abm:ABSDF1082
ko:K04774	abm:ABSDF1104
ko:K06916	abm:ABSDF1746
ko:K03559	abm:ABSDF1818
ko:K03559	abm:ABSDF1819
ko:K03832	abm:ABSDF1821
ko:K03308	abm:ABSDF3651
ko:K03500	abm:ABSDF3649
ko:K07090	abm:ABSDF3645
ko:K03686	abm:ABSDF3636
ko:K05836	abm:ABSDF3586
ko:K09160	abm:ABSDF3615
ko:K06518	abm:ABSDF1546
ko:K00375	abm:ABSDF1548
ko:K02314	abm:ABSDF1567
ko:K05560	abm:ABSDF3174
ko:K03695	abm:ABSDF1471
ko:K01465	abm:ABSDF1478
ko:K07004	abm:ABSDF1483
ko:K07213	abm:ABSDF1499
ko:K02072	abm:ABSDF1509
ko:K02071	abm:ABSDF1510
ko:K02073	abm:ABSDF1511
ko:K03495	abm:ABSDF1520
ko:K03752	abm:ABSDF1525
ko:K02990	abm:ABSDF1570
ko:K02300	abm:ABSDF1572
ko:K09773	abm:ABSDF1578
ko:K07667	abm:ABSDF1601
ko:K09800	abm:ABSDF1608
ko:K03576	abm:ABSDF1615
ko:K06445	abm:ABSDF1191
ko:K08305	abm:ABSDF1210
ko:K05365	abm:ABSDF1242
ko:K08296	abm:ABSDF1272
ko:K03185	abm:ABSDF1345
ko:K03683	abm:ABSDF1372
ko:K02502	abm:ABSDF1436
ko:K08303	abm:ABSDF1445
ko:K00609	abm:ABSDF1477
ko:K03387	abm:ABSDF1486
ko:K03578	abm:ABSDF1493
ko:K02956	abm:ABSDF3155
ko:K04066	abm:ABSDF3144
ko:K03814	abm:ABSDF2409
ko:K01696	abm:ABSDF0565
ko:K00381	abm:ABSDF0597
ko:K03769	abm:ABSDF0615
ko:K00380	abm:ABSDF0657
ko:K02434	abm:ABSDF0677
ko:K02433	abm:ABSDF0678
ko:K02435	abm:ABSDF0679
ko:K08301	abm:ABSDF0684
ko:K00390	abm:ABSDF0687
ko:K02523	abm:ABSDF0741
ko:K03216	abm:ABSDF0749
ko:K03801	abm:ABSDF0758
ko:K05549	abm:ABSDF1497
ko:K02687	abm:ABSDF1518
ko:K00372	abm:ABSDF1524
ko:K02337	abm:ABSDF1559
ko:K02299	abm:ABSDF1573
ko:K02298	abm:ABSDF1574
ko:K02297	abm:ABSDF1575
ko:K02493	abm:ABSDF1587
ko:K01546	abm:ABSDF1597
ko:K01547	abm:ABSDF1598
ko:K07646	abm:ABSDF1600
ko:K01682	abm:ABSDF1610
ko:K06183	abm:ABSDF1618
ko:K03269	abm:ABSDF1629
ko:K03768	abm:ABSDF1630
ko:K03735	abm:ABSDF1636
ko:K07042	abm:ABSDF0477
ko:K18137	abm:ABSDF1676
ko:K09903	abm:ABSDF1680
ko:K02536	abm:ABSDF1688
ko:K02372	abm:ABSDF1689
ko:K01624	abm:ABSDF1712
ko:K03771	abm:ABSDF1713
ko:K03501	abm:ABSDF1717
ko:K02341	abm:ABSDF1725
ko:K03320	abm:ABSDF3316
ko:K07091	abm:ABSDF3307
ko:K02343	abm:ABSDF2208
ko:K00059	abm:ABSDF2213
ko:K01883	abm:ABSDF2325
ko:K03601	abm:ABSDF2333
ko:K01428	abm:ABSDF2374
ko:K01429	abm:ABSDF2376
ko:K01430	abm:ABSDF2377
ko:K00956	abm:ABSDF2393
ko:K00957	abm:ABSDF2394
ko:K04567	abm:ABSDF2397
ko:K01673	abm:ABSDF2418
ko:K03153	abm:ABSDF2526
ko:K00647	abm:ABSDF2572
ko:K04487	abm:ABSDF1853
ko:K03770	abm:ABSDF1858
ko:K00249	abm:ABSDF1861
ko:K10764	abm:ABSDF1912
ko:K03684	abm:ABSDF1916
ko:K07320	abm:ABSDF1929
ko:K05600	abm:ABSDF1970
ko:K05599	abm:ABSDF1971
ko:K01031	abm:ABSDF1997
ko:K01032	abm:ABSDF1998
ko:K00448	abm:ABSDF2016
ko:K00449	abm:ABSDF2017
ko:K01807	abm:ABSDF2055
ko:K00426	abm:ABSDF2071
ko:K01159	abm:ABSDF2129
ko:K08289	abm:ABSDF2173
ko:K03656	abm:ABSDF2551
ko:K03789	abm:ABSDF2564
ko:K00954	abm:ABSDF2584
ko:K02492	abm:ABSDF2623
ko:K01056	abm:ABSDF2629
ko:K03449	abm:ABSDF2231
ko:K03786	abm:ABSDF2188
ko:K03110	abm:ABSDF2081
ko:K09936	abm:ABSDF3115
ko:K06204	abm:ABSDF3285
ko:K03073	abm:ABSDF3249
ko:K03546	abm:ABSDF2532
ko:K02835	abm:ABSDF1586
ko:K03746	abm:ABSDF3267
ko:K02935	abm:ABSDF3244
ko:K07084	abm:ABSDF3235
ko:K07258	abm:ABSDF1127
ko:K03787	abm:ABSDF1130
ko:K07402	abm:ABSDF1160
ko:K01263	abm:ABSDF1167
ko:K01658	abm:ABSDF1168
ko:K03181	abm:ABSDF1173
ko:K03179	abm:ABSDF1174
ko:K04564	abm:ABSDF1179
ko:K03640	abm:ABSDF0907
ko:K03602	abm:ABSDF2334
ko:K03641	abm:ABSDF0908
ko:K02470	abm:ABSDF0004
ko:K00425	abm:ABSDF2070
ko:K02837	abm:ABSDF2968
ko:K00525	abm:ABSDF2721
