ko:K01886	bup:CWQ_02215
ko:K01937	bup:CWQ_02220
ko:K01689	bup:CWQ_02225
ko:K06194	bup:CWQ_02230
ko:K01770	bup:CWQ_02235
ko:K00991	bup:CWQ_02240
ko:K05589	bup:CWQ_02245
ko:K00860	bup:CWQ_02250
ko:K00957	bup:CWQ_02260
ko:K02302	bup:CWQ_02265
ko:K00390	bup:CWQ_02270
ko:K00381	bup:CWQ_02275
ko:K03978	bup:CWQ_02310
ko:K06207	bup:CWQ_02315
ko:K00942	bup:CWQ_02320
ko:K06980	bup:CWQ_02325
ko:K02836	bup:CWQ_02330
ko:K04567	bup:CWQ_02335
ko:K01586	bup:CWQ_02340
ko:K13292	bup:CWQ_02345
ko:K06168	bup:CWQ_02355
ko:K07042	bup:CWQ_02365
ko:K06189	bup:CWQ_02370
ko:K01869	bup:CWQ_02375
ko:K00969	bup:CWQ_02395
ko:K00133	bup:CWQ_02405
ko:K00927	bup:CWQ_02415
ko:K01624	bup:CWQ_02420
ko:K03581	bup:CWQ_02450
ko:K14682	bup:CWQ_02455
ko:K08304	bup:CWQ_02465
ko:K00794	bup:CWQ_02470
ko:K00946	bup:CWQ_02475
ko:K03625	bup:CWQ_02490
ko:K01662	bup:CWQ_02495
ko:K00795	bup:CWQ_02500
ko:K02300	bup:CWQ_02520
ko:K02299	bup:CWQ_02525
ko:K12524	bup:CWQ_01040
ko:K00760	bup:CWQ_01045
ko:K01918	bup:CWQ_01050
ko:K00606	bup:CWQ_01055
ko:K06204	bup:CWQ_01060
ko:K06173	bup:CWQ_01065
ko:K05365	bup:CWQ_01075
ko:K03070	bup:CWQ_01080
ko:K00859	bup:CWQ_01090
ko:K00364	bup:CWQ_01095
ko:K00163	bup:CWQ_01100
ko:K00627	bup:CWQ_01105
ko:K00382	bup:CWQ_01110
ko:K01611	bup:CWQ_01120
ko:K00797	bup:CWQ_01125
ko:K15724	bup:CWQ_01135
ko:K03531	bup:CWQ_01140
ko:K03590	bup:CWQ_01145
ko:K01924	bup:CWQ_01160
ko:K02563	bup:CWQ_01170
ko:K03588	bup:CWQ_01175
ko:K01925	bup:CWQ_01180
ko:K01000	bup:CWQ_01185
ko:K01929	bup:CWQ_01190
ko:K01928	bup:CWQ_01195
ko:K03587	bup:CWQ_01200
ko:K03438	bup:CWQ_01215
ko:K01653	bup:CWQ_01220
ko:K01652	bup:CWQ_01225
ko:K03734	bup:CWQ_01230
ko:K01265	bup:CWQ_01245
