ko:K18831	rai:RA0C_0123
ko:K11741	rai:RA0C_0695
ko:K09022	rai:RA0C_1122
ko:K08151	rai:RA0C_0641
ko:K07127	rai:RA0C_0583
ko:K16091	rai:RA0C_1050
ko:K16091	rai:RA0C_2053
ko:K16089	rai:RA0C_0784
ko:K16089	rai:RA0C_1636
ko:K01505	rai:RA0C_2012
ko:K01945	rai:RA0C_0352
ko:K01951	rai:RA0C_0353
ko:K00831	rai:RA0C_0357
ko:K06890	rai:RA0C_0360
ko:K01129	rai:RA0C_0363
ko:K09158	rai:RA0C_0364
ko:K00605	rai:RA0C_0369
ko:K15633	rai:RA0C_0370
ko:K00243	rai:RA0C_0387
ko:K13421	rai:RA0C_0394
ko:K00648	rai:RA0C_0396
ko:K00648	rai:RA0C_0397
ko:K01933	rai:RA0C_0398
ko:K11175	rai:RA0C_0399
ko:K01876	rai:RA0C_0400
ko:K01953	rai:RA0C_0401
ko:K06178	rai:RA0C_0403
ko:K00031	rai:RA0C_0407
ko:K06958	rai:RA0C_1284
ko:K02835	rai:RA0C_1285
ko:K07397	rai:RA0C_1286
ko:K03664	rai:RA0C_1289
ko:K07058	rai:RA0C_1295
ko:K03531	rai:RA0C_1298
ko:K03590	rai:RA0C_1299
ko:K03589	rai:RA0C_1300
ko:K01924	rai:RA0C_1301
ko:K02563	rai:RA0C_1302
ko:K03588	rai:RA0C_1303
ko:K01925	rai:RA0C_1304
ko:K01000	rai:RA0C_1305
ko:K01928	rai:RA0C_1306
ko:K03587	rai:RA0C_1307
ko:K03438	rai:RA0C_1309
ko:K03925	rai:RA0C_1310
ko:K03978	rai:RA0C_1312
ko:K04077	rai:RA0C_0589
ko:K04078	rai:RA0C_0590
ko:K01890	rai:RA0C_0592
ko:K02338	rai:RA0C_0593
ko:K03501	rai:RA0C_0597
ko:K02016	rai:RA0C_0607
ko:K01756	rai:RA0C_0608
ko:K01874	rai:RA0C_0610
ko:K11927	rai:RA0C_0612
ko:K08325	rai:RA0C_0613
ko:K02837	rai:RA0C_0616
ko:K10716	rai:RA0C_0617
ko:K07164	rai:RA0C_0619
ko:K03629	rai:RA0C_0624
ko:K00554	rai:RA0C_0627
ko:K03885	rai:RA0C_0628
ko:K00658	rai:RA0C_0629
ko:K00164	rai:RA0C_0630
ko:K06891	rai:RA0C_0632
ko:K02115	rai:RA0C_0634
ko:K02111	rai:RA0C_0635
ko:K02113	rai:RA0C_0636
ko:K02109	rai:RA0C_0637
ko:K02110	rai:RA0C_0638
ko:K02108	rai:RA0C_0639
ko:K11749	rai:RA0C_1518
ko:K03702	rai:RA0C_1522
ko:K06076	rai:RA0C_1526
ko:K00948	rai:RA0C_1528
ko:K02897	rai:RA0C_1529
ko:K07391	rai:RA0C_1532
ko:K03088	rai:RA0C_1534
ko:K01867	rai:RA0C_1537
ko:K07460	rai:RA0C_1540
ko:K09940	rai:RA0C_1544
ko:K13694	rai:RA0C_1545
ko:K01915	rai:RA0C_1546
ko:K03665	rai:RA0C_1560
ko:K00566	rai:RA0C_1561
ko:K04758	rai:RA0C_1563
ko:K04759	rai:RA0C_1564
ko:K00684	rai:RA0C_1565
ko:K01736	rai:RA0C_0760
ko:K03644	rai:RA0C_0766
ko:K03088	rai:RA0C_0767
ko:K02834	rai:RA0C_0769
ko:K09808	rai:RA0C_0770
ko:K01524	rai:RA0C_0786
ko:K00937	rai:RA0C_0787
ko:K11066	rai:RA0C_0793
ko:K00826	rai:RA0C_0794
ko:K03474	rai:RA0C_0801
ko:K16053	rai:RA0C_0802
ko:K09793	rai:RA0C_0803
ko:K01284	rai:RA0C_0804
ko:K00950	rai:RA0C_0807
ko:K04773	rai:RA0C_0808
ko:K07560	rai:RA0C_0809
ko:K03624	rai:RA0C_0812
ko:K02503	rai:RA0C_0813
ko:K03544	rai:RA0C_0814
ko:K03820	rai:RA0C_1691
ko:K03703	rai:RA0C_1693
ko:K00859	rai:RA0C_1695
ko:K03551	rai:RA0C_1697
ko:K02217	rai:RA0C_1698
ko:K00064	rai:RA0C_1703
ko:K03781	rai:RA0C_1704
ko:K04761	rai:RA0C_1705
ko:K00789	rai:RA0C_1706
ko:K04564	rai:RA0C_1707
ko:K03625	rai:RA0C_1708
ko:K03210	rai:RA0C_1710
ko:K01883	rai:RA0C_1714
ko:K01495	rai:RA0C_1715
ko:K00973	rai:RA0C_1728
ko:K03116	rai:RA0C_1731
ko:K03116	rai:RA0C_1732
ko:K02429	rai:RA0C_1742
ko:K00655	rai:RA0C_1743
ko:K01358	rai:RA0C_0061
ko:K03975	rai:RA0C_0063
ko:K03327	rai:RA0C_0065
ko:K06997	rai:RA0C_0067
ko:K03282	rai:RA0C_0068
ko:K00259	rai:RA0C_0078
ko:K06925	rai:RA0C_0079
ko:K03760	rai:RA0C_0083
ko:K03701	rai:RA0C_0084
ko:K01627	rai:RA0C_0086
ko:K03521	rai:RA0C_0090
