ko:K02548	ypg:YpAngola_A0111
ko:K02409	ypg:YpAngola_A0234
ko:K10773	ypg:YpAngola_A2247
ko:K03575	ypg:YpAngola_A0151
ko:K07407	ypg:YpAngola_A1681
ko:K01760	ypg:YpAngola_A0269
ko:K05799	ypg:YpAngola_A1035
ko:K05793	ypg:YpAngola_A0664
ko:K10563	ypg:YpAngola_A0058
ko:K11733	ypg:YpAngola_A1537
ko:K07052	ypg:YpAngola_A0181
ko:K02622	ypg:YpAngola_A0279
ko:K05788	ypg:YpAngola_A1956
ko:K05366	ypg:YpAngola_A3733
ko:K03587	ypg:YpAngola_A2924
ko:K05787	ypg:YpAngola_A0462
ko:K03530	ypg:YpAngola_A3051
ko:K01935	ypg:YpAngola_A1428
ko:K00833	ypg:YpAngola_A1424
ko:K02841	ypg:YpAngola_A0062
ko:K02902	ypg:YpAngola_A0056
ko:K03630	ypg:YpAngola_A0055
ko:K05775	ypg:YpAngola_A3910
ko:K01012	ypg:YpAngola_A1425
ko:K03499	ypg:YpAngola_A0612
ko:K02879	ypg:YpAngola_A0607
ko:K06207	ypg:YpAngola_A0032
ko:K03673	ypg:YpAngola_A0022
ko:K03752	ypg:YpAngola_A0019
ko:K06726	ypg:YpAngola_A0007
ko:K03558	ypg:YpAngola_A0356
ko:K06173	ypg:YpAngola_A0361
ko:K08296	ypg:YpAngola_A0380
ko:K07261	ypg:YpAngola_A0376
ko:K02196	ypg:YpAngola_A0392
ko:K02195	ypg:YpAngola_A0393
ko:K02194	ypg:YpAngola_A0394
ko:K08305	ypg:YpAngola_A2708
ko:K03528	ypg:YpAngola_A2745
ko:K06203	ypg:YpAngola_A2746
ko:K08483	ypg:YpAngola_A2749
ko:K02777	ypg:YpAngola_A2750
ko:K03187	ypg:YpAngola_A3557
ko:K03609	ypg:YpAngola_A2400
ko:K03608	ypg:YpAngola_A2401
ko:K00627	ypg:YpAngola_A1033
ko:K00652	ypg:YpAngola_A1426
ko:K00850	ypg:YpAngola_A0088
ko:K01610	ypg:YpAngola_A3739
ko:K01963	ypg:YpAngola_A0359
ko:K06205	ypg:YpAngola_A0001
ko:K03718	ypg:YpAngola_A0002
ko:K03549	ypg:YpAngola_A0006
ko:K07708	ypg:YpAngola_A0028
ko:K02552	ypg:YpAngola_A1786
ko:K02992	ypg:YpAngola_A3677
ko:K04564	ypg:YpAngola_A2571
ko:K04567	ypg:YpAngola_A3851
ko:K00484	ypg:YpAngola_A1639
ko:K01889	ypg:YpAngola_A2621
ko:K01429	ypg:YpAngola_A3555
ko:K00954	ypg:YpAngola_A0059
ko:K03500	ypg:YpAngola_A0613
ko:K04762	ypg:YpAngola_A3737
ko:K04083	ypg:YpAngola_A3738
ko:K01657	ypg:YpAngola_A2312
ko:K05851	ypg:YpAngola_A0538
ko:K07462	ypg:YpAngola_A3849
ko:K01095	ypg:YpAngola_A3167
ko:K03594	ypg:YpAngola_A0582
ko:K03789	ypg:YpAngola_A0838
ko:K02501	ypg:YpAngola_A3173
ko:K00113	ypg:YpAngola_A0567
ko:K00111	ypg:YpAngola_A4123
ko:K03666	ypg:YpAngola_A0699
ko:K03631	ypg:YpAngola_A1376
ko:K03746	ypg:YpAngola_A2167
ko:K02535	ypg:YpAngola_A2912
ko:K03658	ypg:YpAngola_A3204
ko:K01808	ypg:YpAngola_A0952
ko:K00483	ypg:YpAngola_A1640
ko:K08722	ypg:YpAngola_A1820
ko:K01584	ypg:YpAngola_A1325
ko:K01585	ypg:YpAngola_A3349
ko:K03686	ypg:YpAngola_A0796
ko:K00872	ypg:YpAngola_A0807
ko:K07300	ypg:YpAngola_A2523
ko:K02424	ypg:YpAngola_A2031
ko:K02425	ypg:YpAngola_A2028
ko:K02407	ypg:YpAngola_A2022
ko:K02422	ypg:YpAngola_A2021
ko:K02423	ypg:YpAngola_A2020
ko:K01883	ypg:YpAngola_A1278
ko:K03654	ypg:YpAngola_A0555
ko:K03733	ypg:YpAngola_A0543
ko:K03438	ypg:YpAngola_A2926
