ko:K12132	btn:BTF1_17605
ko:K08153	btn:BTF1_01850
ko:K19310	btn:BTF1_27470
ko:K18924	btn:BTF1_22545
ko:K18925	btn:BTF1_01840
ko:K18231	btn:BTF1_10225
ko:K18925	btn:BTF1_22540
ko:K18924	btn:BTF1_01835
ko:K06979	btn:BTF1_05530
ko:K03758	btn:BTF1_00855
ko:K07050	btn:BTF1_06090
ko:K07149	btn:BTF1_16775
ko:K19689	btn:BTF1_27700
ko:K03297	btn:BTF1_27690
ko:K01101	btn:BTF1_23350
ko:K05592	btn:BTF1_25760
ko:K09022	btn:BTF1_26260
ko:K06147	btn:BTF1_09315
ko:K07149	btn:BTF1_25500
ko:K18941	btn:BTF1_31382
ko:K07260	btn:BTF1_13855
ko:K03417	btn:BTF1_08950
ko:K10040	btn:BTF1_00930
ko:K18104	btn:BTF1_32561
ko:K18926	btn:BTF1_02410
ko:K18682	btn:BTF1_16945
ko:K01400	btn:BTF1_00720
ko:K16785	btn:BTF1_10670
ko:K00034	btn:BTF1_22140
ko:K16698	btn:BTF1_24720
ko:K02034	btn:BTF1_26915
ko:K16786	btn:BTF1_26730
ko:K00090	btn:BTF1_23045
ko:K16787	btn:BTF1_26735
ko:K16785	btn:BTF1_26740
ko:K11637	btn:BTF1_02310
ko:K06320	btn:BTF1_14840
ko:K10810	btn:BTF1_01360
ko:K16789	btn:BTF1_22645
ko:K01985	btn:BTF1_r28325
ko:K01985	btn:BTF1_r28339
ko:K01985	btn:BTF1_r28327
ko:K01985	btn:BTF1_r28329
ko:K01985	btn:BTF1_r28335
ko:K01985	btn:BTF1_r28345
ko:K01985	btn:BTF1_r28331
ko:K01985	btn:BTF1_r28343
ko:K01985	btn:BTF1_r28351
ko:K01985	btn:BTF1_r28341
ko:K01985	btn:BTF1_r28333
ko:K01985	btn:BTF1_r28347
ko:K01985	btn:BTF1_r28337
ko:K01985	btn:BTF1_r28349
ko:K04757	btn:BTF1_02735
ko:K07250	btn:BTF1_27675
ko:K08777	btn:BTF1_23740
ko:K06595	btn:BTF1_25600
ko:K02277	btn:BTF1_18005
ko:K07705	btn:BTF1_25695
ko:K13052	btn:BTF1_26325
ko:K06315	btn:BTF1_10635
ko:K13281	btn:BTF1_25230
ko:K06378	btn:BTF1_18695
