ko:K02031	ccoo:ATE51_00398
ko:K03892	ccoo:ATE51_00440
ko:K02482	ccoo:ATE51_01812
ko:K01174	ccoo:ATE51_01664
ko:K04753	ccoo:ATE51_00538
ko:K06148	ccoo:ATE51_01344
ko:K07097	ccoo:ATE51_01796
ko:K00525	ccoo:ATE51_00046
ko:K22468	ccoo:ATE51_02380
ko:K14238	ccoo:ATE51_00570
ko:K14231	ccoo:ATE51_01000
ko:K14223	ccoo:ATE51_01004
ko:K14220	ccoo:ATE51_01136
ko:K14219	ccoo:ATE51_01604
ko:K14219	ccoo:ATE51_03216
ko:K14221	ccoo:ATE51_01818
ko:K14237	ccoo:ATE51_01820
ko:K14237	ccoo:ATE51_01828
ko:K14224	ccoo:ATE51_01822
ko:K01772	ccoo:ATE51_01968
ko:K00567	ccoo:ATE51_01970
ko:K01682	ccoo:ATE51_01972
ko:K06867	ccoo:ATE51_01974
ko:K00557	ccoo:ATE51_01980
ko:K09943	ccoo:ATE51_01982
ko:K06929	ccoo:ATE51_01984
ko:K01754	ccoo:ATE51_01986
ko:K06173	ccoo:ATE51_01988
ko:K07091	ccoo:ATE51_01990
ko:K02654	ccoo:ATE51_01992
ko:K00806	ccoo:ATE51_01994
ko:K13038	ccoo:ATE51_01998
ko:K04042	ccoo:ATE51_02000
ko:K09825	ccoo:ATE51_03572
ko:K01662	ccoo:ATE51_03574
ko:K02411	ccoo:ATE51_03576
ko:K02410	ccoo:ATE51_03578
ko:K02409	ccoo:ATE51_03580
ko:K00817	ccoo:ATE51_03582
ko:K14170	ccoo:ATE51_03584
ko:K02566	ccoo:ATE51_03586
ko:K01586	ccoo:ATE51_03588
ko:K11720	ccoo:ATE51_03590
ko:K01056	ccoo:ATE51_03592
ko:K02897	ccoo:ATE51_03594
ko:K18924	ccoo:ATE51_03596
ko:K18925	ccoo:ATE51_03598
ko:K01935	ccoo:ATE51_03600
ko:K00833	ccoo:ATE51_03602
ko:K07126	ccoo:ATE51_03604
ko:K00652	ccoo:ATE51_03606
ko:K09789	ccoo:ATE51_03608
ko:K02169	ccoo:ATE51_03610
ko:K02020	ccoo:ATE51_03612
ko:K02018	ccoo:ATE51_03616
ko:K02017	ccoo:ATE51_03618
ko:K19210	ccoo:ATE51_03620
ko:K00606	ccoo:ATE51_03622
ko:K01918	ccoo:ATE51_03624
ko:K01579	ccoo:ATE51_03626
ko:K03830	ccoo:ATE51_03628
ko:K03787	ccoo:ATE51_03632
ko:K11382	ccoo:ATE51_03642
ko:K11013	ccoo:ATE51_03644
ko:K11014	ccoo:ATE51_03646
ko:K11015	ccoo:ATE51_03648
ko:K07238	ccoo:ATE51_03650
ko:K00748	ccoo:ATE51_03652
ko:K03624	ccoo:ATE51_03654
ko:K03269	ccoo:ATE51_03656
ko:K03415	ccoo:ATE51_03658
ko:K03407	ccoo:ATE51_03660
ko:K03408	ccoo:ATE51_03662
ko:K01079	ccoo:ATE51_03664
ko:K00616	ccoo:ATE51_03666
ko:K01955	ccoo:ATE51_03670
ko:K03040	ccoo:ATE51_00356
ko:K02986	ccoo:ATE51_00358
ko:K02948	ccoo:ATE51_00360
ko:K02952	ccoo:ATE51_00362
ko:K02518	ccoo:ATE51_00364
ko:K06159	ccoo:ATE51_00384
ko:K18930	ccoo:ATE51_00390
ko:K02035	ccoo:ATE51_00392
ko:K02033	ccoo:ATE51_00394
ko:K02034	ccoo:ATE51_00396
ko:K00330	ccoo:ATE51_00402
ko:K00331	ccoo:ATE51_00404
ko:K00332	ccoo:ATE51_00406
ko:K00333	ccoo:ATE51_00408
ko:K00334	ccoo:ATE51_00410
ko:K00335	ccoo:ATE51_00412
ko:K00336	ccoo:ATE51_00414
ko:K00337	ccoo:ATE51_00416
ko:K00338	ccoo:ATE51_00418
ko:K00339	ccoo:ATE51_00420
ko:K00340	ccoo:ATE51_00422
ko:K00341	ccoo:ATE51_00424
ko:K00342	ccoo:ATE51_00426
ko:K00343	ccoo:ATE51_00428
ko:K03406	ccoo:ATE51_00432
ko:K03325	ccoo:ATE51_00436
ko:K07089	ccoo:ATE51_00442
ko:K06889	ccoo:ATE51_00448
ko:K05593	ccoo:ATE51_00454
ko:K02419	ccoo:ATE51_02002
ko:K02030	ccoo:ATE51_02006
ko:K06992	ccoo:ATE51_02014
ko:K00979	ccoo:ATE51_02018
ko:K01733	ccoo:ATE51_02020
ko:K00912	ccoo:ATE51_02022
ko:K01916	ccoo:ATE51_02024
ko:K00076	ccoo:ATE51_02030
ko:K01714	ccoo:ATE51_02032
ko:K00254	ccoo:ATE51_02036
ko:K11085	ccoo:ATE51_02038
ko:K01883	ccoo:ATE51_02040
ko:K03980	ccoo:ATE51_02042
ko:K03550	ccoo:ATE51_02046
ko:K01921	ccoo:ATE51_02048
ko:K01929	ccoo:ATE51_02054
ko:K05939	ccoo:ATE51_02056
ko:K07088	ccoo:ATE51_02058
ko:K01433	ccoo:ATE51_02060
ko:K00974	ccoo:ATE51_02062
ko:K02570	ccoo:ATE51_02076
ko:K02568	ccoo:ATE51_02080
ko:K02574	ccoo:ATE51_02082
ko:K02573	ccoo:ATE51_02084
ko:K02567	ccoo:ATE51_02086
ko:K11065	ccoo:ATE51_02088
ko:K10938	ccoo:ATE51_02090
ko:K10938	ccoo:ATE51_02092
ko:K03657	ccoo:ATE51_02094
ko:K01873	ccoo:ATE51_02098
ko:K01720	ccoo:ATE51_03680
ko:K01659	ccoo:ATE51_03682
ko:K03417	ccoo:ATE51_03684
ko:K01908	ccoo:ATE51_03686
ko:K03570	ccoo:ATE51_03690
ko:K03569	ccoo:ATE51_03692
ko:K03544	ccoo:ATE51_03694
ko:K00677	ccoo:ATE51_03696
ko:K02372	ccoo:ATE51_03698
ko:K09765	ccoo:ATE51_03700
ko:K03564	ccoo:ATE51_03702
ko:K01821	ccoo:ATE51_03704
ko:K00826	ccoo:ATE51_03706
ko:K03406	ccoo:ATE51_03714
ko:K02846	ccoo:ATE51_00458
ko:K07002	ccoo:ATE51_00460
ko:K03427	ccoo:ATE51_00462
ko:K01154	ccoo:ATE51_00468
ko:K01153	ccoo:ATE51_00472
ko:K13979	ccoo:ATE51_00474
ko:K03098	ccoo:ATE51_00476
ko:K03923	ccoo:ATE51_00480
ko:K07160	ccoo:ATE51_00492
ko:K05772	ccoo:ATE51_00494
ko:K05773	ccoo:ATE51_00496
ko:K06857	ccoo:ATE51_00498
ko:K01895	ccoo:ATE51_00500
ko:K00963	ccoo:ATE51_00502
ko:K01810	ccoo:ATE51_00504
ko:K04047	ccoo:ATE51_00506
ko:K07133	ccoo:ATE51_00510
ko:K03796	ccoo:ATE51_00512
ko:K01778	ccoo:ATE51_00514
ko:K00859	ccoo:ATE51_00516
ko:K01933	ccoo:ATE51_00518
ko:K03326	ccoo:ATE51_00522
ko:K03750	ccoo:ATE51_00530
ko:K03635	ccoo:ATE51_00534
ko:K03636	ccoo:ATE51_00536
ko:K13747	ccoo:ATE51_00540
ko:K00123	ccoo:ATE51_00546
ko:K00123	ccoo:ATE51_00548
ko:K00124	ccoo:ATE51_00550
ko:K00127	ccoo:ATE51_00552
ko:K02379	ccoo:ATE51_00554
ko:K02071	ccoo:ATE51_02100
ko:K02072	ccoo:ATE51_02102
ko:K02073	ccoo:ATE51_02104
ko:K02073	ccoo:ATE51_02106
ko:K02073	ccoo:ATE51_02108
ko:K02386	ccoo:ATE51_02110
ko:K03186	ccoo:ATE51_02112
ko:K00954	ccoo:ATE51_02114
ko:K00943	ccoo:ATE51_02116
ko:K01892	ccoo:ATE51_02118
ko:K01585	ccoo:ATE51_02120
ko:K00640	ccoo:ATE51_02122
ko:K00812	ccoo:ATE51_02124
ko:K04043	ccoo:ATE51_02132
ko:K03687	ccoo:ATE51_02134
ko:K03705	ccoo:ATE51_02136
ko:K16089	ccoo:ATE51_02138
ko:K03832	ccoo:ATE51_02140
ko:K07496	ccoo:ATE51_02142
ko:K02030	ccoo:ATE51_02154
ko:K02052	ccoo:ATE51_02158
