ko:K18929	ccy:YSS_00385
ko:K14228	ccy:YSS_09480
ko:K14226	ccy:YSS_09495
ko:K14232	ccy:YSS_09500
ko:K01980	ccy:YSS_03430
ko:K18928	ccy:YSS_00390
ko:K18139	ccy:YSS_01600
ko:K18682	ccy:YSS_06510
ko:K02031	ccy:YSS_00955
ko:K18817	ccy:YSS_10095
ko:K18291	ccy:YSS_02005
ko:K17248	ccy:YSS_06100
ko:K02482	ccy:YSS_04540
ko:K01174	ccy:YSS_05310
ko:K04753	ccy:YSS_08085
ko:K06148	ccy:YSS_06115
ko:K00254	ccy:YSS_04025
ko:K01714	ccy:YSS_04035
ko:K00076	ccy:YSS_04040
ko:K01916	ccy:YSS_04055
ko:K00912	ccy:YSS_04060
ko:K01733	ccy:YSS_04065
ko:K00979	ccy:YSS_04070
ko:K02030	ccy:YSS_04085
ko:K02419	ccy:YSS_04100
ko:K04042	ccy:YSS_04105
ko:K13038	ccy:YSS_04110
ko:K00806	ccy:YSS_04120
ko:K02654	ccy:YSS_04125
ko:K07091	ccy:YSS_04130
ko:K06173	ccy:YSS_04135
ko:K01754	ccy:YSS_04140
ko:K06929	ccy:YSS_04145
ko:K09943	ccy:YSS_04150
ko:K01682	ccy:YSS_04175
ko:K00567	ccy:YSS_04180
ko:K01772	ccy:YSS_04185
ko:K01874	ccy:YSS_04190
ko:K03841	ccy:YSS_04200
ko:K03753	ccy:YSS_04205
ko:K02221	ccy:YSS_04220
ko:K01885	ccy:YSS_04225
ko:K07098	ccy:YSS_04230
ko:K01613	ccy:YSS_04235
ko:K04061	ccy:YSS_04240
ko:K01845	ccy:YSS_04265
ko:K01491	ccy:YSS_04275
ko:K03100	ccy:YSS_04280
ko:K03711	ccy:YSS_04285
ko:K09815	ccy:YSS_04290
ko:K03306	ccy:YSS_06415
ko:K01465	ccy:YSS_06420
ko:K00057	ccy:YSS_06425
ko:K02434	ccy:YSS_06430
ko:K07173	ccy:YSS_06435
ko:K02073	ccy:YSS_06445
ko:K00549	ccy:YSS_06450
ko:K00297	ccy:YSS_06455
ko:K02108	ccy:YSS_06465
ko:K04485	ccy:YSS_06470
ko:K03110	ccy:YSS_06495
ko:K01934	ccy:YSS_06505
ko:K02238	ccy:YSS_06520
ko:K07058	ccy:YSS_06525
ko:K00104	ccy:YSS_06530
ko:K05810	ccy:YSS_06550
ko:K00793	ccy:YSS_06555
ko:K04078	ccy:YSS_06565
ko:K04077	ccy:YSS_06570
ko:K02484	ccy:YSS_06575
ko:K08738	ccy:YSS_06600
ko:K02484	ccy:YSS_06620
ko:K05516	ccy:YSS_06635
ko:K13640	ccy:YSS_06640
ko:K03455	ccy:YSS_06645
