ko:K02495	eih:ECOK1_4338
ko:K18838	eih:ECOK1_2234
ko:K18138	eih:ECOK1_0444
ko:K05396	eih:ECOK1_2036
ko:K18922	eih:ECOK1_0592
ko:K21905	eih:ECOK1_3955
ko:K03761	eih:ECOK1_2930
ko:K03297	eih:ECOK1_2053
ko:K16345	eih:ECOK1_4096
ko:K07172	eih:ECOK1_3157
ko:K10014	eih:ECOK1_2542
ko:K16371	eih:ECOK1_3554
ko:K16693	eih:ECOK1_4238
ko:K01990	eih:ECOK1_0796
ko:K19162	eih:ECOK1_0443
ko:K21901	eih:ECOK1_3936
ko:K21907	eih:ECOK1_3950
ko:K14236	eih:ECOK1_4453
ko:K14236	eih:ECOK1_1384
ko:K14236	eih:ECOK1_1385
ko:K02054	eih:ECOK1_1604
ko:K21908	eih:ECOK1_3949
ko:K03722	eih:ECOK1_1925
ko:K21906	eih:ECOK1_3954
ko:K02345	eih:ECOK1_1960
ko:K16301	eih:ECOK1_1073
ko:K00254	eih:ECOK1_1005
ko:K18138	eih:ECOK1_1508
ko:K03585	eih:ECOK1_1507
ko:K18140	eih:ECOK1_3685
ko:K16348	eih:ECOK1_4661
ko:K16347	eih:ECOK1_4660
ko:K07480	eih:ECOK1_0931
ko:K12262	eih:ECOK1_1583
ko:K18139	eih:ECOK1_1509
ko:K18968	eih:ECOK1_0364
ko:K14218	eih:ECOK1_2710
ko:K14218	eih:ECOK1_2711
ko:K14229	eih:ECOK1_2120
ko:K00971	eih:ECOK1_2277
ko:K11745	eih:ECOK1_0046
ko:K05372	eih:ECOK1_2148
ko:K16138	eih:ECOK1_1736
ko:K16139	eih:ECOK1_1734
ko:K16088	eih:ECOK1_1209
ko:K16089	eih:ECOK1_2387
ko:K19611	eih:ECOK1_1107
ko:K08722	eih:ECOK1_2524
ko:K05839	eih:ECOK1_0442
ko:K03503	eih:ECOK1_1329
ko:K03502	eih:ECOK1_1330
ko:K03746	eih:ECOK1_1391
ko:K14228	eih:ECOK1_0672
ko:K14233	eih:ECOK1_1032
ko:K16090	eih:ECOK1_0808
ko:K14220	eih:ECOK1_2142
ko:K14220	eih:ECOK1_2167
ko:K14220	eih:ECOK1_2165
ko:K14220	eih:ECOK1_2162
ko:K14232	eih:ECOK1_2425
ko:K14219	eih:ECOK1_2629
ko:K14224	eih:ECOK1_2935
ko:K14224	eih:ECOK1_4445
ko:K14224	eih:ECOK1_4206
ko:K14224	eih:ECOK1_4485
ko:K16136	eih:ECOK1_1738
ko:K14219	eih:ECOK1_3061
ko:K14219	eih:ECOK1_3063
