ko:K01985	smup:SMPSPU_094
ko:K03801	smup:SMPSPU_001
ko:K03217	smup:SMPSPU_002
ko:K01892	smup:SMPSPU_003
ko:K01873	smup:SMPSPU_004
ko:K02338	smup:SMPSPU_005
ko:K01890	smup:SMPSPU_006
ko:K01735	smup:SMPSPU_007
ko:K02469	smup:SMPSPU_008
ko:K02945	smup:SMPSPU_009
ko:K03885	smup:SMPSPU_010
ko:K03628	smup:SMPSPU_011
ko:K02835	smup:SMPSPU_012
ko:K01876	smup:SMPSPU_013
ko:K03786	smup:SMPSPU_014
ko:K09458	smup:SMPSPU_015
ko:K02078	smup:SMPSPU_016
ko:K02114	smup:SMPSPU_017
ko:K02112	smup:SMPSPU_018
ko:K02528	smup:SMPSPU_019
ko:K01870	smup:SMPSPU_021
ko:K03101	smup:SMPSPU_022
ko:K02341	smup:SMPSPU_025
ko:K08303	smup:SMPSPU_026
ko:K01886	smup:SMPSPU_028
ko:K03495	smup:SMPSPU_029
ko:K07056	smup:SMPSPU_031
ko:K00948	smup:SMPSPU_033
ko:K02897	smup:SMPSPU_034
ko:K01874	smup:SMPSPU_035
ko:K01885	smup:SMPSPU_037
ko:K02115	smup:SMPSPU_038
ko:K02111	smup:SMPSPU_039
ko:K02109	smup:SMPSPU_041
ko:K02110	smup:SMPSPU_042
ko:K02108	smup:SMPSPU_043
ko:K00928	smup:SMPSPU_045
ko:K05595	smup:SMPSPU_046
ko:K03437	smup:SMPSPU_047
ko:K00052	smup:SMPSPU_048
ko:K01704	smup:SMPSPU_049
ko:K01703	smup:SMPSPU_050
ko:K01649	smup:SMPSPU_051
ko:K01866	smup:SMPSPU_053
ko:K01869	smup:SMPSPU_055
ko:K00261	smup:SMPSPU_056
ko:K00615	smup:SMPSPU_057
ko:K00615	smup:SMPSPU_058
ko:K06178	smup:SMPSPU_060
ko:K00175	smup:SMPSPU_061
ko:K01875	smup:SMPSPU_062
ko:K02902	smup:SMPSPU_063
ko:K02913	smup:SMPSPU_064
ko:K06173	smup:SMPSPU_068
ko:K03046	smup:SMPSPU_069
ko:K03043	smup:SMPSPU_070
ko:K02935	smup:SMPSPU_071
ko:K02864	smup:SMPSPU_072
ko:K02863	smup:SMPSPU_073
ko:K02867	smup:SMPSPU_074
ko:K02601	smup:SMPSPU_075
ko:K02358	smup:SMPSPU_077
ko:K00184	smup:SMPSPU_083
ko:K00185	smup:SMPSPU_084
ko:K02426	smup:SMPSPU_088
ko:K02523	smup:SMPSPU_089
ko:K01903	smup:SMPSPU_095
ko:K02343	smup:SMPSPU_096
ko:K03116	smup:SMPSPU_097
ko:K01358	smup:SMPSPU_098
ko:K03544	smup:SMPSPU_099
ko:K03555	smup:SMPSPU_100
ko:K02357	smup:SMPSPU_103
ko:K02967	smup:SMPSPU_104
ko:K02996	smup:SMPSPU_105
ko:K02871	smup:SMPSPU_106
ko:K04043	smup:SMPSPU_107
ko:K01868	smup:SMPSPU_108
ko:K02916	smup:SMPSPU_109
ko:K02887	smup:SMPSPU_110
ko:K01462	smup:SMPSPU_111
ko:K07447	smup:SMPSPU_112
ko:K00674	smup:SMPSPU_113
ko:K07052	smup:SMPSPU_170
ko:K00174	smup:SMPSPU_172
ko:K03593	smup:SMPSPU_173
ko:K01867	smup:SMPSPU_174
ko:K07277	smup:SMPSPU_176
ko:K02838	smup:SMPSPU_177
ko:K01893	smup:SMPSPU_178
ko:K02888	smup:SMPSPU_181
ko:K02899	smup:SMPSPU_182
ko:K02990	smup:SMPSPU_183
ko:K02939	smup:SMPSPU_185
ko:K05807	smup:SMPSPU_187
ko:K01714	smup:SMPSPU_188
ko:K02836	smup:SMPSPU_190
ko:K00215	smup:SMPSPU_191
ko:K03100	smup:SMPSPU_192
ko:K02970	smup:SMPSPU_193
ko:K00014	smup:SMPSPU_194
ko:K03979	smup:SMPSPU_195
ko:K00382	smup:SMPSPU_196
ko:K01872	smup:SMPSPU_200
ko:K00164	smup:SMPSPU_201
ko:K00658	smup:SMPSPU_202
ko:K03118	smup:SMPSPU_203
ko:K03664	smup:SMPSPU_204
ko:K04077	smup:SMPSPU_207
ko:K04078	smup:SMPSPU_208
ko:K06168	smup:SMPSPU_209
ko:K09014	smup:SMPSPU_210
ko:K09013	smup:SMPSPU_211
ko:K09015	smup:SMPSPU_212
ko:K11717	smup:SMPSPU_213
ko:K02519	smup:SMPSPU_214
ko:K04516	smup:SMPSPU_215
ko:K04518	smup:SMPSPU_216
ko:K00133	smup:SMPSPU_217
ko:K02968	smup:SMPSPU_218
ko:K00800	smup:SMPSPU_220
ko:K02959	smup:SMPSPU_221
ko:K03624	smup:SMPSPU_223
ko:K02470	smup:SMPSPU_224
ko:K03501	smup:SMPSPU_225
ko:K03218	smup:SMPSPU_282
ko:K01889	smup:SMPSPU_283
ko:K01754	smup:SMPSPU_284
ko:K00053	smup:SMPSPU_285
ko:K01653	smup:SMPSPU_286
ko:K01652	smup:SMPSPU_287
ko:K01687	smup:SMPSPU_288
ko:K00826	smup:SMPSPU_114
ko:K00566	smup:SMPSPU_116
ko:K03686	smup:SMPSPU_117
ko:K03687	smup:SMPSPU_118
ko:K18682	smup:SMPSPU_119
ko:K00382	smup:SMPSPU_120
ko:K13788	smup:SMPSPU_123
ko:K00925	smup:SMPSPU_124
ko:K03650	smup:SMPSPU_125
ko:K03657	smup:SMPSPU_126
ko:K02337	smup:SMPSPU_128
ko:K01940	smup:SMPSPU_129
ko:K00145	smup:SMPSPU_130
ko:K01956	smup:SMPSPU_132
ko:K01955	smup:SMPSPU_133
ko:K13043	smup:SMPSPU_134
ko:K00930	smup:SMPSPU_135
ko:K01438	smup:SMPSPU_136
ko:K00891	smup:SMPSPU_139
ko:K04075	smup:SMPSPU_140
ko:K00616	smup:SMPSPU_141
ko:K01881	smup:SMPSPU_142
ko:K01338	smup:SMPSPU_143
ko:K01586	smup:SMPSPU_144
ko:K01736	smup:SMPSPU_146
ko:K04079	smup:SMPSPU_147
ko:K18707	smup:SMPSPU_148
ko:K03070	smup:SMPSPU_149
ko:K02884	smup:SMPSPU_150
ko:K01880	smup:SMPSPU_152
ko:K02548	smup:SMPSPU_153
ko:K01733	smup:SMPSPU_154
ko:K00872	smup:SMPSPU_155
ko:K12524	smup:SMPSPU_156
ko:K00029	smup:SMPSPU_160
