ko:K07050	bsw:IY71_05230
ko:K13967	bsw:IY71_13125
ko:K22617	bsw:IY71_10850
ko:K21909	bsw:IY71_15325
ko:K00001	bsw:IY71_04250
ko:K01271	bsw:IY71_05275
ko:K00344	bsw:IY71_00745
ko:K02031	bsw:IY71_14925
ko:K03297	bsw:IY71_04610
ko:K18893	bsw:IY71_07575
ko:K07492	bsw:IY71_02720
ko:K22616	bsw:IY71_07610
ko:K22616	bsw:IY71_07615
ko:K02031	bsw:IY71_16475
ko:K02031	bsw:IY71_07885
ko:K00035	bsw:IY71_15700
ko:K11741	bsw:IY71_03900
ko:K14218	bsw:IY71_09130
ko:K14218	bsw:IY71_16600
ko:K14227	bsw:IY71_09135
ko:K14227	bsw:IY71_16605
ko:K14218	bsw:IY71_11130
ko:K14225	bsw:IY71_06205
ko:K14219	bsw:IY71_03630
ko:K14229	bsw:IY71_06605
ko:K01271	bsw:IY71_07510
ko:K07005	bsw:IY71_06770
ko:K21911	bsw:IY71_15345
ko:K00130	bsw:IY71_02820
ko:K19233	bsw:IY71_09050
ko:K19231	bsw:IY71_16765
ko:K19232	bsw:IY71_00235
ko:K00336	bsw:IY71_04050
ko:K11209	bsw:IY71_03195
ko:K05799	bsw:IY71_09975
ko:K00249	bsw:IY71_02120
ko:K00001	bsw:IY71_14690
ko:K00065	bsw:IY71_15885
ko:K00076	bsw:IY71_07990
ko:K01144	bsw:IY71_06840
ko:K11079	bsw:IY71_07920
ko:K00108	bsw:IY71_02825
ko:K04771	bsw:IY71_03120
ko:K19270	bsw:IY71_04295
ko:K22130	bsw:IY71_11800
ko:K22131	bsw:IY71_11815
ko:K21686	bsw:IY71_05880
ko:K14230	bsw:IY71_07250
ko:K03446	bsw:IY71_11670
ko:K07498	bsw:IY71_09100
ko:K13010	bsw:IY71_02655
ko:K05799	bsw:IY71_11955
ko:K00325	bsw:IY71_15850
ko:K00324	bsw:IY71_15855
ko:K00324	bsw:IY71_15860
ko:K07010	bsw:IY71_15895
ko:K01470	bsw:IY71_15920
ko:K06999	bsw:IY71_15935
ko:K17247	bsw:IY71_15945
ko:K10440	bsw:IY71_15955
ko:K10440	bsw:IY71_15960
ko:K10441	bsw:IY71_15965
ko:K10439	bsw:IY71_15970
ko:K02837	bsw:IY71_16305
ko:K13038	bsw:IY71_16310
ko:K03688	bsw:IY71_16315
ko:K03183	bsw:IY71_16320
ko:K00761	bsw:IY71_16325
ko:K03745	bsw:IY71_16330
ko:K07304	bsw:IY71_16335
ko:K00135	bsw:IY71_16355
ko:K02034	bsw:IY71_16375
ko:K02033	bsw:IY71_16380
ko:K00627	bsw:IY71_16390
ko:K02035	bsw:IY71_16395
ko:K00074	bsw:IY71_16405
ko:K06446	bsw:IY71_16415
ko:K01434	bsw:IY71_16420
ko:K02035	bsw:IY71_16425
ko:K02033	bsw:IY71_16430
ko:K02034	bsw:IY71_16435
ko:K02406	bsw:IY71_16760
ko:K10543	bsw:IY71_16775
ko:K10545	bsw:IY71_16780
ko:K10544	bsw:IY71_16785
ko:K02510	bsw:IY71_16800
ko:K02509	bsw:IY71_16805
ko:K00151	bsw:IY71_16820
ko:K01826	bsw:IY71_16825
ko:K07025	bsw:IY71_16850
ko:K01999	bsw:IY71_16880
ko:K01997	bsw:IY71_16885
ko:K01995	bsw:IY71_16890
ko:K01998	bsw:IY71_16890
ko:K00852	bsw:IY71_17045
ko:K02057	bsw:IY71_17055
ko:K02484	bsw:IY71_12215
ko:K00380	bsw:IY71_12240
ko:K03734	bsw:IY71_12245
ko:K02164	bsw:IY71_12300
ko:K02305	bsw:IY71_12310
ko:K04561	bsw:IY71_12315
ko:K04748	bsw:IY71_12320
ko:K02448	bsw:IY71_12325
ko:K00368	bsw:IY71_12365
ko:K03435	bsw:IY71_12380
ko:K10543	bsw:IY71_12385
ko:K10545	bsw:IY71_12390
ko:K10544	bsw:IY71_12395
ko:K00039	bsw:IY71_12400
ko:K00376	bsw:IY71_12435
ko:K07218	bsw:IY71_12440
ko:K03734	bsw:IY71_12460
ko:K07234	bsw:IY71_12475
ko:K02051	bsw:IY71_12480
ko:K02050	bsw:IY71_12485
ko:K02049	bsw:IY71_12490
ko:K02836	bsw:IY71_12500
ko:K05366	bsw:IY71_12505
ko:K01448	bsw:IY71_12510
ko:K01991	bsw:IY71_13160
ko:K02377	bsw:IY71_13165
ko:K01711	bsw:IY71_13170
ko:K16079	bsw:IY71_13195
ko:K03818	bsw:IY71_13200
ko:K02851	bsw:IY71_13225
ko:K01845	bsw:IY71_13250
ko:K01790	bsw:IY71_13270
