ko:K06896	efn:DENG_01017
ko:K00105	efn:DENG_02088
ko:K07171	efn:DENG_03152
ko:K07171	efn:DENG_03125
ko:K14233	efn:DENG_t035
ko:K19689	efn:DENG_02250
ko:K08153	efn:DENG_01214
ko:K07029	efn:DENG_00776
ko:K15634	efn:DENG_02868
ko:K00887	efn:DENG_02366
ko:K04771	efn:DENG_02919
ko:K07260	efn:DENG_02750
ko:K13677	efn:DENG_02789
ko:K18349	efn:DENG_02752
ko:K18350	efn:DENG_02751
ko:K19975	efn:DENG_02178
ko:K19973	efn:DENG_02176
ko:K09692	efn:DENG_02230
ko:K01875	efn:DENG_03182
ko:K00088	efn:DENG_03183
ko:K06942	efn:DENG_03186
ko:K03501	efn:DENG_03191
ko:K10254	efn:DENG_03194
ko:K02781	efn:DENG_03196
ko:K02782	efn:DENG_03197
ko:K02783	efn:DENG_03197
ko:K02783	efn:DENG_03198
ko:K03491	efn:DENG_03200
ko:K00068	efn:DENG_03201
ko:K03495	efn:DENG_03203
ko:K03650	efn:DENG_03204
ko:K05966	efn:DENG_03207
ko:K00027	efn:DENG_03208
ko:K01571	efn:DENG_03209
ko:K05964	efn:DENG_03210
ko:K01643	efn:DENG_03211
ko:K01644	efn:DENG_03212
ko:K01646	efn:DENG_03213
ko:K01910	efn:DENG_03214
ko:K01572	efn:DENG_03217
ko:K03300	efn:DENG_03220
ko:K06346	efn:DENG_03224
ko:K03217	efn:DENG_03225
ko:K03536	efn:DENG_03226
ko:K02914	efn:DENG_03227
ko:K08317	efn:DENG_00946
ko:K00773	efn:DENG_00947
ko:K03210	efn:DENG_00948
ko:K04072	efn:DENG_00950
ko:K01823	efn:DENG_00951
ko:K00938	efn:DENG_00952
ko:K01597	efn:DENG_00954
ko:K00869	efn:DENG_00955
ko:K15580	efn:DENG_00959
ko:K15581	efn:DENG_00961
ko:K15582	efn:DENG_00962
ko:K15583	efn:DENG_00964
ko:K10823	efn:DENG_00965
ko:K02520	efn:DENG_00968
ko:K02916	efn:DENG_00969
ko:K02887	efn:DENG_00970
ko:K08987	efn:DENG_00972
ko:K03827	efn:DENG_00973
ko:K03321	efn:DENG_00976
ko:K05340	efn:DENG_00983
ko:K03294	efn:DENG_00984
ko:K01874	efn:DENG_00985
ko:K03657	efn:DENG_00988
ko:K03424	efn:DENG_00989
ko:K05985	efn:DENG_00990
ko:K02528	efn:DENG_00991
ko:K16788	efn:DENG_00992
ko:K10112	efn:DENG_00993
ko:K01734	efn:DENG_00994
ko:K06147	efn:DENG_00997
ko:K06147	efn:DENG_00998
ko:K03648	efn:DENG_01005
ko:K00625	efn:DENG_01006
ko:K06925	efn:DENG_01007
ko:K13256	efn:DENG_01102
ko:K07098	efn:DENG_01103
ko:K01262	efn:DENG_01104
ko:K03625	efn:DENG_01108
ko:K01491	efn:DENG_01109
ko:K03601	efn:DENG_01110
ko:K03602	efn:DENG_01111
ko:K13789	efn:DENG_01113
ko:K06442	efn:DENG_01114
ko:K03402	efn:DENG_01115
ko:K03631	efn:DENG_01116
ko:K03284	efn:DENG_01118
ko:K03925	efn:DENG_01120
ko:K03438	efn:DENG_01121
ko:K12556	efn:DENG_01123
ko:K01000	efn:DENG_01124
ko:K01925	efn:DENG_01125
ko:K02563	efn:DENG_01126
ko:K03589	efn:DENG_01127
ko:K03590	efn:DENG_01128
ko:K03531	efn:DENG_01129
ko:K06997	efn:DENG_01130
ko:K09772	efn:DENG_01131
ko:K02221	efn:DENG_01132
ko:K04074	efn:DENG_01134
ko:K01870	efn:DENG_01135
ko:K00036	efn:DENG_01137
ko:K02049	efn:DENG_01189
ko:K02050	efn:DENG_01190
ko:K03322	efn:DENG_01192
ko:K15580	efn:DENG_01196
ko:K04750	efn:DENG_01200
ko:K00661	efn:DENG_01201
ko:K01785	efn:DENG_01203
ko:K00849	efn:DENG_01205
ko:K01784	efn:DENG_01206
ko:K00965	efn:DENG_01207
ko:K02529	efn:DENG_01208
ko:K00657	efn:DENG_01221
ko:K07284	efn:DENG_01230
ko:K09779	efn:DENG_01231
ko:K00782	efn:DENG_01245
ko:K03100	efn:DENG_01247
ko:K01624	efn:DENG_01312
ko:K00790	efn:DENG_01315
ko:K03628	efn:DENG_01316
ko:K02909	efn:DENG_01317
ko:K00847	efn:DENG_01321
ko:K07173	efn:DENG_01324
ko:K00133	efn:DENG_01325
ko:K01714	efn:DENG_01326
ko:K12574	efn:DENG_01327
ko:K06188	efn:DENG_01335
ko:K07668	efn:DENG_01337
ko:K07652	efn:DENG_01338
ko:K07089	efn:DENG_01342
ko:K08986	efn:DENG_01343
ko:K07447	efn:DENG_01347
ko:K00027	efn:DENG_01350
ko:K01652	efn:DENG_01357
ko:K01575	efn:DENG_01358
ko:K02054	efn:DENG_01363
ko:K02053	efn:DENG_01364
ko:K02052	efn:DENG_01365
ko:K02055	efn:DENG_01366
ko:K01486	efn:DENG_01367
ko:K03734	efn:DENG_01370
ko:K07098	efn:DENG_01376
ko:K17319	efn:DENG_01377
ko:K17320	efn:DENG_01378
ko:K17318	efn:DENG_01379
ko:K01060	efn:DENG_01381
ko:K05349	efn:DENG_01383
ko:K02529	efn:DENG_01385
ko:K01223	efn:DENG_01389
ko:K01989	efn:DENG_01397
ko:K05832	efn:DENG_01398
ko:K05833	efn:DENG_01399
ko:K06969	efn:DENG_01410
ko:K03471	efn:DENG_01412
ko:K09748	efn:DENG_01416
ko:K02600	efn:DENG_01417
ko:K07742	efn:DENG_01419
ko:K02519	efn:DENG_01422
ko:K02834	efn:DENG_01423
ko:K15772	efn:DENG_01503
ko:K15771	efn:DENG_01504
ko:K15770	efn:DENG_01505
ko:K01187	efn:DENG_01509
ko:K01531	efn:DENG_01511
ko:K00161	efn:DENG_01513
ko:K00162	efn:DENG_01514
ko:K00627	efn:DENG_01515
ko:K00382	efn:DENG_01516
ko:K00005	efn:DENG_01518
ko:K05878	efn:DENG_01520
ko:K05879	efn:DENG_01521
ko:K01641	efn:DENG_01523
ko:K00054	efn:DENG_01524
ko:K03704	efn:DENG_01527
ko:K06193	efn:DENG_01535
ko:K01872	efn:DENG_01541
ko:K06967	efn:DENG_01542
ko:K01258	efn:DENG_01544
ko:K07027	efn:DENG_01546
ko:K03752	efn:DENG_01547
ko:K00334	efn:DENG_01550
ko:K03750	efn:DENG_01553
ko:K03637	efn:DENG_01554
ko:K03639	efn:DENG_01555
ko:K03177	efn:DENG_01443
ko:K11753	efn:DENG_01444
ko:K05837	efn:DENG_01452
ko:K01531	efn:DENG_01456
ko:K03705	efn:DENG_01458
ko:K03687	efn:DENG_01459
ko:K04043	efn:DENG_01460
ko:K03686	efn:DENG_01463
ko:K06959	efn:DENG_01466
ko:K03095	efn:DENG_01467
ko:K14260	efn:DENG_01468
ko:K01443	efn:DENG_01472
ko:K15051	efn:DENG_01475
ko:K02003	efn:DENG_01476
ko:K02004	efn:DENG_01477
ko:K07192	efn:DENG_01479
ko:K03710	efn:DENG_01484
ko:K01990	efn:DENG_01487
ko:K01992	efn:DENG_01488
ko:K01990	efn:DENG_01489
ko:K00384	efn:DENG_01497
ko:K02020	efn:DENG_01559
ko:K02018	efn:DENG_01560
ko:K02017	efn:DENG_01562
ko:K01534	efn:DENG_01563
ko:K09888	efn:DENG_01564
ko:K07456	efn:DENG_01566
ko:K03671	efn:DENG_01567
ko:K03703	efn:DENG_01568
ko:K01990	efn:DENG_01570
ko:K01992	efn:DENG_01571
ko:K01222	efn:DENG_01573
ko:K07007	efn:DENG_01577
ko:K00262	efn:DENG_01578
ko:K01810	efn:DENG_01580
ko:K03088	efn:DENG_01608
ko:K00945	efn:DENG_01714
ko:K02945	efn:DENG_01715
ko:K03977	efn:DENG_01716
ko:K03530	efn:DENG_01717
ko:K00215	efn:DENG_01723
ko:K00974	efn:DENG_01724
ko:K00014	efn:DENG_01728
ko:K03856	efn:DENG_01729
ko:K01735	efn:DENG_01730
ko:K01736	efn:DENG_01731
ko:K04517	efn:DENG_01732
ko:K00800	efn:DENG_01733
ko:K00891	efn:DENG_01734
ko:K04518	efn:DENG_01735
ko:K03316	efn:DENG_01741
ko:K15738	efn:DENG_01742
ko:K01356	efn:DENG_01747
ko:K00615	efn:DENG_01749
ko:K01738	efn:DENG_01753
ko:K09825	efn:DENG_01755
ko:K06147	efn:DENG_01762
ko:K06147	efn:DENG_01763
ko:K03574	efn:DENG_01764
ko:K03781	efn:DENG_01766
ko:K01669	efn:DENG_01767
ko:K02808	efn:DENG_01769
ko:K02809	efn:DENG_01769
ko:K02810	efn:DENG_01769
ko:K01187	efn:DENG_01770
ko:K01193	efn:DENG_01771
ko:K03484	efn:DENG_01772
ko:K01223	efn:DENG_01774
ko:K02755	efn:DENG_01775
ko:K02756	efn:DENG_01775
ko:K02757	efn:DENG_01775
ko:K01955	efn:DENG_01895
ko:K01956	efn:DENG_01896
ko:K01465	efn:DENG_01897
ko:K00609	efn:DENG_01898
ko:K02824	efn:DENG_01899
ko:K02825	efn:DENG_01900
ko:K06180	efn:DENG_01901
ko:K03101	efn:DENG_01902
ko:K01938	efn:DENG_01904
ko:K03704	efn:DENG_01905
ko:K03469	efn:DENG_01907
ko:K03976	efn:DENG_01908
ko:K03785	efn:DENG_01909
ko:K09976	efn:DENG_01912
ko:K01151	efn:DENG_01913
ko:K01866	efn:DENG_01916
ko:K03693	efn:DENG_01917
ko:K01992	efn:DENG_01919
ko:K01990	efn:DENG_01920
ko:K02529	efn:DENG_01921
ko:K00963	efn:DENG_01925
ko:K00057	efn:DENG_01926
ko:K13292	efn:DENG_01927
ko:K06023	efn:DENG_01928
ko:K08972	efn:DENG_01930
ko:K02039	efn:DENG_01933
ko:K02036	efn:DENG_01934
ko:K02036	efn:DENG_01935
ko:K02038	efn:DENG_01936
ko:K02037	efn:DENG_01937
ko:K02040	efn:DENG_01938
ko:K09811	efn:DENG_01939
ko:K09812	efn:DENG_01940
ko:K02836	efn:DENG_01941
ko:K03070	efn:DENG_01944
ko:K02242	efn:DENG_01946
ko:K02240	efn:DENG_01948
ko:K06131	efn:DENG_01776
ko:K15986	efn:DENG_01779
ko:K04069	efn:DENG_01780
ko:K00656	efn:DENG_01781
ko:K02621	efn:DENG_01782
ko:K02622	efn:DENG_01783
ko:K06929	efn:DENG_01784
ko:K04030	efn:DENG_01785
ko:K04023	efn:DENG_01787
ko:K04027	efn:DENG_01793
ko:K04026	efn:DENG_01797
ko:K03736	efn:DENG_01798
ko:K03735	efn:DENG_01799
ko:K04019	efn:DENG_01800
ko:K04031	efn:DENG_01804
ko:K04029	efn:DENG_01810
ko:K02013	efn:DENG_01811
ko:K02015	efn:DENG_01812
ko:K02016	efn:DENG_01813
ko:K08591	efn:DENG_01814
ko:K03706	efn:DENG_01817
ko:K03667	efn:DENG_01818
ko:K01419	efn:DENG_01819
ko:K03733	efn:DENG_01820
ko:K04094	efn:DENG_01821
ko:K03168	efn:DENG_01822
ko:K07052	efn:DENG_01823
ko:K04096	efn:DENG_01824
ko:K03470	efn:DENG_01825
ko:K14540	efn:DENG_01826
ko:K00077	efn:DENG_01827
ko:K09699	efn:DENG_01830
ko:K00167	efn:DENG_01831
ko:K00166	efn:DENG_01832
ko:K00382	efn:DENG_01834
ko:K02760	efn:DENG_01949
ko:K00059	efn:DENG_01953
ko:K01945	efn:DENG_01959
ko:K00602	efn:DENG_01960
ko:K11175	efn:DENG_01962
ko:K01933	efn:DENG_01963
ko:K00764	efn:DENG_01964
ko:K01952	efn:DENG_01965
ko:K01952	efn:DENG_01966
ko:K01952	efn:DENG_01967
ko:K01923	efn:DENG_01968
ko:K01589	efn:DENG_01970
ko:K01588	efn:DENG_01971
ko:K00826	efn:DENG_01976
ko:K17624	efn:DENG_01981
ko:K02793	efn:DENG_01982
ko:K02795	efn:DENG_01984
ko:K02794	efn:DENG_01985
ko:K12308	efn:DENG_01986
ko:K00917	efn:DENG_01987
ko:K01635	efn:DENG_01988
ko:K02082	efn:DENG_01989
ko:K03710	efn:DENG_01990
ko:K06167	efn:DENG_01998
ko:K07706	efn:DENG_02001
ko:K01126	efn:DENG_02065
ko:K06890	efn:DENG_02066
ko:K01924	efn:DENG_02068
ko:K08998	efn:DENG_02074
ko:K03978	efn:DENG_02077
ko:K03544	efn:DENG_02078
ko:K07404	efn:DENG_02079
ko:K03326	efn:DENG_02081
ko:K12700	efn:DENG_02082
ko:K00852	efn:DENG_02083
ko:K02440	efn:DENG_02087
ko:K00864	efn:DENG_02089
ko:K01537	efn:DENG_02098
ko:K01129	efn:DENG_02116
ko:K01689	efn:DENG_02118
ko:K01803	efn:DENG_02120
ko:K00927	efn:DENG_02121
ko:K00134	efn:DENG_02122
ko:K05311	efn:DENG_02123
ko:K02072	efn:DENG_02184
ko:K02071	efn:DENG_02185
ko:K12554	efn:DENG_02191
ko:K00820	efn:DENG_02192
ko:K16785	efn:DENG_02193
ko:K16786	efn:DENG_02194
ko:K16787	efn:DENG_02194
ko:K16924	efn:DENG_02195
ko:K03431	efn:DENG_02196
ko:K03737	efn:DENG_02199
ko:K01915	efn:DENG_02201
ko:K03713	efn:DENG_02202
ko:K03665	efn:DENG_02203
ko:K00791	efn:DENG_02204
ko:K01126	efn:DENG_02205
ko:K01784	efn:DENG_02208
ko:K07271	efn:DENG_02222
ko:K09153	efn:DENG_02233
ko:K00067	efn:DENG_02235
ko:K01790	efn:DENG_02237
ko:K00973	efn:DENG_02238
ko:K03338	efn:DENG_02301
ko:K02529	efn:DENG_02302
ko:K03596	efn:DENG_02303
ko:K03695	efn:DENG_02306
ko:K15977	efn:DENG_02307
ko:K01756	efn:DENG_02308
ko:K01589	efn:DENG_02309
ko:K16169	efn:DENG_02310
ko:K03816	efn:DENG_02311
ko:K01893	efn:DENG_02318
ko:K03763	efn:DENG_02326
ko:K01881	efn:DENG_02331
ko:K11749	efn:DENG_02332
ko:K01153	efn:DENG_02340
ko:K01154	efn:DENG_02341
ko:K03427	efn:DENG_02342
ko:K09014	efn:DENG_02343
ko:K04488	efn:DENG_02344
ko:K11717	efn:DENG_02345
ko:K09015	efn:DENG_02346
ko:K09013	efn:DENG_02347
ko:K02838	efn:DENG_02348
ko:K09903	efn:DENG_02349
ko:K02357	efn:DENG_02351
ko:K02967	efn:DENG_02355
ko:K03826	efn:DENG_02356
ko:K03437	efn:DENG_02357
ko:K01512	efn:DENG_02358
ko:K03217	efn:DENG_02359
ko:K00761	efn:DENG_02485
ko:K00600	efn:DENG_02486
ko:K07566	efn:DENG_02488
ko:K02493	efn:DENG_02489
ko:K02835	efn:DENG_02490
ko:K00244	efn:DENG_02493
ko:K03737	efn:DENG_02495
ko:K00266	efn:DENG_02496
ko:K00528	efn:DENG_02497
ko:K07402	efn:DENG_02499
ko:K01008	efn:DENG_02504
ko:K07141	efn:DENG_02506
ko:K07402	efn:DENG_02508
ko:K02019	efn:DENG_02509
ko:K09022	efn:DENG_02512
ko:K00926	efn:DENG_02513
ko:K01751	efn:DENG_02517
ko:K01464	efn:DENG_02518
ko:K12527	efn:DENG_02519
ko:K01928	efn:DENG_02523
ko:K07009	efn:DENG_02524
ko:K16923	efn:DENG_02526
ko:K01809	efn:DENG_02528
ko:K06147	efn:DENG_02531
ko:K06147	efn:DENG_02532
ko:K02935	efn:DENG_02655
ko:K02864	efn:DENG_02656
ko:K02863	efn:DENG_02657
ko:K02867	efn:DENG_02659
ko:K02313	efn:DENG_00001
ko:K02338	efn:DENG_00002
ko:K03629	efn:DENG_00004
ko:K02470	efn:DENG_00005
ko:K02469	efn:DENG_00006
ko:K02990	efn:DENG_00008
ko:K02963	efn:DENG_00010
ko:K02939	efn:DENG_00012
ko:K01939	efn:DENG_00014
ko:K02794	efn:DENG_00018
ko:K02793	efn:DENG_00019
ko:K02794	efn:DENG_00019
ko:K02795	efn:DENG_00020
ko:K14155	efn:DENG_00028
ko:K09022	efn:DENG_00030
ko:K14205	efn:DENG_00031
ko:K00147	efn:DENG_00038
ko:K00931	efn:DENG_00039
ko:K04485	efn:DENG_00041
ko:K01770	efn:DENG_00043
ko:K09698	efn:DENG_00044
ko:K00640	efn:DENG_00046
ko:K01883	efn:DENG_00047
ko:K11145	efn:DENG_00048
ko:K03218	efn:DENG_00050
ko:K06962	efn:DENG_00051
ko:K03091	efn:DENG_00052
ko:K00919	efn:DENG_00054
ko:K09815	efn:DENG_00055
ko:K09817	efn:DENG_00056
ko:K09816	efn:DENG_00057
ko:K09685	efn:DENG_00058
ko:K04042	efn:DENG_00059
ko:K15580	efn:DENG_00064
ko:K03550	efn:DENG_00067
ko:K03551	efn:DENG_00068
ko:K01788	efn:DENG_00069
ko:K03931	efn:DENG_00070
ko:K01752	efn:DENG_00101
ko:K01752	efn:DENG_00102
ko:K01875	efn:DENG_00103
ko:K03402	efn:DENG_00105
ko:K03402	efn:DENG_00106
ko:K01478	efn:DENG_00107
ko:K00611	efn:DENG_00108
ko:K00926	efn:DENG_00109
ko:K12373	efn:DENG_00116
ko:K06871	efn:DENG_00126
ko:K07491	efn:DENG_00127
ko:K02881	efn:DENG_00200
ko:K02988	efn:DENG_00201
ko:K02907	efn:DENG_00202
ko:K02876	efn:DENG_00203
ko:K03076	efn:DENG_00204
ko:K00939	efn:DENG_00205
ko:K02518	efn:DENG_00206
ko:K02919	efn:DENG_00207
ko:K02952	efn:DENG_00208
ko:K02948	efn:DENG_00209
ko:K03040	efn:DENG_00210
ko:K02879	efn:DENG_00211
ko:K16786	efn:DENG_00214
ko:K16787	efn:DENG_00215
ko:K16785	efn:DENG_00216
ko:K06173	efn:DENG_00217
ko:K03311	efn:DENG_00219
ko:K06966	efn:DENG_00221
ko:K17076	efn:DENG_00222
ko:K17073	efn:DENG_00223
ko:K17074	efn:DENG_00223
ko:K12410	efn:DENG_00226
ko:K00661	efn:DENG_00228
ko:K07105	efn:DENG_00229
ko:K00016	efn:DENG_00234
ko:K01056	efn:DENG_00235
ko:K03723	efn:DENG_00236
ko:K07571	efn:DENG_00241
ko:K04075	efn:DENG_00242
ko:K00760	efn:DENG_00243
ko:K03798	efn:DENG_00244
ko:K04083	efn:DENG_00245
ko:K04567	efn:DENG_00248
ko:K01752	efn:DENG_02661
ko:K01752	efn:DENG_02662
ko:K16203	efn:DENG_02663
ko:K15580	efn:DENG_02665
ko:K02601	efn:DENG_02669
ko:K03073	efn:DENG_02670
ko:K02913	efn:DENG_02671
ko:K00075	efn:DENG_02675
ko:K03810	efn:DENG_02677
ko:K01142	efn:DENG_02678
ko:K02342	efn:DENG_02679
ko:K00384	efn:DENG_02681
ko:K03386	efn:DENG_02682
ko:K03800	efn:DENG_02684
ko:K03740	efn:DENG_02688
ko:K14188	efn:DENG_02689
ko:K03739	efn:DENG_02690
ko:K03367	efn:DENG_02691
ko:K02004	efn:DENG_02693
ko:K02003	efn:DENG_02694
ko:K02346	efn:DENG_02699
ko:K02069	efn:DENG_02700
ko:K02068	efn:DENG_02701
ko:K07056	efn:DENG_02702
ko:K02341	efn:DENG_02706
ko:K00943	efn:DENG_02708
ko:K06187	efn:DENG_02710
ko:K03707	efn:DENG_02711
ko:K16785	efn:DENG_02712
ko:K16786	efn:DENG_02713
ko:K16787	efn:DENG_02713
ko:K03647	efn:DENG_01654
ko:K02123	efn:DENG_01657
ko:K02124	efn:DENG_01658
ko:K02121	efn:DENG_01659
ko:K02119	efn:DENG_01660
ko:K02122	efn:DENG_01661
ko:K02117	efn:DENG_01662
ko:K02118	efn:DENG_01663
ko:K02120	efn:DENG_01664
ko:K03088	efn:DENG_01666
ko:K17836	efn:DENG_01669
ko:K04041	efn:DENG_01670
ko:K01586	efn:DENG_01671
ko:K15580	efn:DENG_01680
ko:K03488	efn:DENG_01681
ko:K02802	efn:DENG_01682
ko:K02803	efn:DENG_01682
ko:K02804	efn:DENG_01682
ko:K03086	efn:DENG_01687
ko:K00243	efn:DENG_01691
ko:K03711	efn:DENG_01692
ko:K00134	efn:DENG_01693
ko:K03979	efn:DENG_01694
ko:K02761	efn:DENG_01697
ko:K03767	efn:DENG_01701
ko:K09963	efn:DENG_01702
ko:K06889	efn:DENG_01703
ko:K04763	efn:DENG_01704
ko:K05896	efn:DENG_01705
ko:K06024	efn:DENG_01706
ko:K06178	efn:DENG_01707
ko:K05337	efn:DENG_01710
ko:K03654	efn:DENG_01712
ko:K00929	efn:DENG_01835
ko:K00059	efn:DENG_01840
ko:K15973	efn:DENG_01841
ko:K15975	efn:DENG_01842
ko:K06999	efn:DENG_01843
ko:K02004	efn:DENG_01845
ko:K02003	efn:DENG_01846
ko:K01990	efn:DENG_01852
ko:K03100	efn:DENG_01856
ko:K03797	efn:DENG_01857
ko:K07304	efn:DENG_01859
ko:K11068	efn:DENG_01863
ko:K00759	efn:DENG_01865
ko:K07462	efn:DENG_01866
ko:K07124	efn:DENG_01868
ko:K00784	efn:DENG_01869
ko:K06960	efn:DENG_01871
