ko:K21344	rsm:CMR15_20031
ko:K07172	rsm:CMR15_10168
ko:K07172	rsm:CMR15_10344
ko:K14742	rsm:CMR15_20577
ko:K00477	rsm:CMR15_mp10177
ko:K15634	rsm:CMR15_30405
ko:K19580	rsm:CMR15_mp20430
ko:K07782	rsm:CMR15_mp10742
ko:K10217	rsm:CMR15_mp10874
ko:K01992	rsm:CMR15_10440
ko:K05874	rsm:CMR15_mp10273
ko:K01739	rsm:CMR15_mp10747
ko:K01791	rsm:CMR15_mp20097
ko:K03559	rsm:CMR15_11410
ko:K01800	rsm:CMR15_20204
ko:K03559	rsm:CMR15_10844
ko:K07245	rsm:CMR15_mp10612
ko:K03417	rsm:CMR15_mp10091
ko:K19416	rsm:CMR15_20415
ko:K03417	rsm:CMR15_11374
ko:K02226	rsm:CMR15_10982
ko:K14229	rsm:CMR15_tRNA40
ko:K01990	rsm:CMR15_30747
ko:K11209	rsm:CMR15_11353
ko:K19621	rsm:CMR15_10677
ko:K19623	rsm:CMR15_10675
ko:K19624	rsm:CMR15_10665
ko:K00681	rsm:CMR15_mp10250
ko:K17713	rsm:CMR15_20423
ko:K02484	rsm:CMR15_10064
ko:K02484	rsm:CMR15_10336
ko:K02484	rsm:CMR15_mp30200
ko:K01897	rsm:CMR15_30838
ko:K15555	rsm:CMR15_20553
ko:K00951	rsm:CMR15_11573
ko:K00265	rsm:CMR15_10430
ko:K01996	rsm:CMR15_10940
ko:K01999	rsm:CMR15_10950
ko:K13634	rsm:CMR15_10951
ko:K07090	rsm:CMR15_10952
ko:K00381	rsm:CMR15_10953
ko:K00390	rsm:CMR15_10955
ko:K00957	rsm:CMR15_10956
ko:K11720	rsm:CMR15_10962
ko:K07091	rsm:CMR15_10963
ko:K00023	rsm:CMR15_11636
ko:K05541	rsm:CMR15_11638
ko:K14441	rsm:CMR15_11639
ko:K01079	rsm:CMR15_11642
ko:K01438	rsm:CMR15_11643
ko:K03723	rsm:CMR15_11644
ko:K00991	rsm:CMR15_11645
ko:K01770	rsm:CMR15_11646
ko:K04756	rsm:CMR15_11647
ko:K07638	rsm:CMR15_11649
ko:K07659	rsm:CMR15_11650
ko:K02291	rsm:CMR15_11654
ko:K02313	rsm:CMR15_10001
ko:K03823	rsm:CMR15_10267
ko:K03778	rsm:CMR15_10269
ko:K03735	rsm:CMR15_10273
ko:K03736	rsm:CMR15_10274
ko:K01141	rsm:CMR15_10275
ko:K04090	rsm:CMR15_10276
ko:K00375	rsm:CMR15_10279
ko:K02455	rsm:CMR15_10280
ko:K02453	rsm:CMR15_10283
ko:K02462	rsm:CMR15_10285
ko:K02461	rsm:CMR15_10286
ko:K02460	rsm:CMR15_10287
ko:K02459	rsm:CMR15_10288
ko:K02458	rsm:CMR15_10289
ko:K02457	rsm:CMR15_10290
ko:K02456	rsm:CMR15_10291
ko:K02452	rsm:CMR15_10292
ko:K00457	rsm:CMR15_10294
ko:K11746	rsm:CMR15_10301
ko:K01255	rsm:CMR15_10964
ko:K02339	rsm:CMR15_10965
ko:K01687	rsm:CMR15_10968
ko:K13292	rsm:CMR15_10970
ko:K09888	rsm:CMR15_10975
ko:K16092	rsm:CMR15_10977
ko:K02015	rsm:CMR15_10978
ko:K02013	rsm:CMR15_10979
ko:K00768	rsm:CMR15_10980
ko:K02233	rsm:CMR15_10981
ko:K02016	rsm:CMR15_10983
ko:K02225	rsm:CMR15_10984
ko:K02227	rsm:CMR15_10985
ko:K02231	rsm:CMR15_10986
ko:K02232	rsm:CMR15_10987
ko:K01918	rsm:CMR15_10989
ko:K05896	rsm:CMR15_10990
ko:K09800	rsm:CMR15_10993
ko:K01874	rsm:CMR15_10995
ko:K00123	rsm:CMR15_11003
ko:K02379	rsm:CMR15_11009
ko:K01494	rsm:CMR15_11010
ko:K15461	rsm:CMR15_11722
ko:K03545	rsm:CMR15_11723
ko:K01358	rsm:CMR15_11724
ko:K03544	rsm:CMR15_11725
ko:K01338	rsm:CMR15_11726
ko:K03530	rsm:CMR15_11727
ko:K03770	rsm:CMR15_11728
ko:K03100	rsm:CMR15_11729
ko:K10804	rsm:CMR15_11730
ko:K02003	rsm:CMR15_11731
ko:K01810	rsm:CMR15_11732
ko:K01952	rsm:CMR15_11735
ko:K02338	rsm:CMR15_10002
ko:K01295	rsm:CMR15_10307
ko:K07667	rsm:CMR15_10312
ko:K07687	rsm:CMR15_10322
ko:K08224	rsm:CMR15_10330
ko:K09939	rsm:CMR15_10332
ko:K03670	rsm:CMR15_10343
ko:K09941	rsm:CMR15_10346
ko:K00864	rsm:CMR15_10347
ko:K00111	rsm:CMR15_10349
ko:K02444	rsm:CMR15_10350
ko:K01584	rsm:CMR15_11011
ko:K01975	rsm:CMR15_11012
ko:K01755	rsm:CMR15_11013
ko:K03088	rsm:CMR15_11015
ko:K01595	rsm:CMR15_11019
ko:K01749	rsm:CMR15_11020
ko:K02498	rsm:CMR15_11022
ko:K09919	rsm:CMR15_11030
ko:K01950	rsm:CMR15_11031
ko:K03183	rsm:CMR15_11032
ko:K04751	rsm:CMR15_11033
ko:K00384	rsm:CMR15_11036
ko:K03466	rsm:CMR15_11037
ko:K03634	rsm:CMR15_11038
ko:K07478	rsm:CMR15_11040
ko:K01875	rsm:CMR15_11041
ko:K02053	rsm:CMR15_11743
ko:K02054	rsm:CMR15_11744
ko:K07649	rsm:CMR15_11747
ko:K07774	rsm:CMR15_11748
ko:K05527	rsm:CMR15_11754
ko:K06190	rsm:CMR15_11755
ko:K01999	rsm:CMR15_11759
ko:K01997	rsm:CMR15_11760
ko:K01998	rsm:CMR15_11761
ko:K01995	rsm:CMR15_11762
ko:K01996	rsm:CMR15_11763
ko:K11733	rsm:CMR15_11766
ko:K11733	rsm:CMR15_11767
ko:K07516	rsm:CMR15_11768
ko:K08281	rsm:CMR15_11769
ko:K02470	rsm:CMR15_10003
ko:K02358	rsm:CMR15_10353
ko:K03073	rsm:CMR15_10354
ko:K02601	rsm:CMR15_10355
ko:K02867	rsm:CMR15_10356
ko:K02863	rsm:CMR15_10357
ko:K02864	rsm:CMR15_10358
ko:K02935	rsm:CMR15_10359
ko:K03043	rsm:CMR15_10360
ko:K03046	rsm:CMR15_10361
ko:K09934	rsm:CMR15_10363
ko:K06894	rsm:CMR15_10364
ko:K03654	rsm:CMR15_10369
ko:K02950	rsm:CMR15_10370
ko:K02992	rsm:CMR15_10371
ko:K02355	rsm:CMR15_10372
ko:K02358	rsm:CMR15_10373
ko:K02946	rsm:CMR15_10374
ko:K02906	rsm:CMR15_10375
ko:K02926	rsm:CMR15_10376
ko:K02892	rsm:CMR15_10377
ko:K02886	rsm:CMR15_10378
ko:K02965	rsm:CMR15_10379
ko:K02890	rsm:CMR15_10380
ko:K02982	rsm:CMR15_10381
ko:K02878	rsm:CMR15_10382
ko:K02904	rsm:CMR15_10383
ko:K02961	rsm:CMR15_10384
ko:K02874	rsm:CMR15_10385
ko:K02895	rsm:CMR15_10386
ko:K02931	rsm:CMR15_10387
ko:K02954	rsm:CMR15_10388
ko:K02994	rsm:CMR15_10389
ko:K02933	rsm:CMR15_10390
ko:K02881	rsm:CMR15_10391
ko:K02988	rsm:CMR15_10392
ko:K02907	rsm:CMR15_10393
ko:K02876	rsm:CMR15_10394
ko:K03076	rsm:CMR15_10395
ko:K02518	rsm:CMR15_10396
ko:K02919	rsm:CMR15_10397
ko:K02952	rsm:CMR15_10398
ko:K02948	rsm:CMR15_10399
ko:K02986	rsm:CMR15_10400
ko:K03040	rsm:CMR15_10401
ko:K02456	rsm:CMR15_11068
ko:K02455	rsm:CMR15_11069
ko:K02453	rsm:CMR15_11075
ko:K02456	rsm:CMR15_11076
ko:K02456	rsm:CMR15_11077
ko:K07152	rsm:CMR15_11087
ko:K07107	rsm:CMR15_11782
ko:K06980	rsm:CMR15_11786
ko:K07082	rsm:CMR15_11787
ko:K00943	rsm:CMR15_11788
ko:K02341	rsm:CMR15_11789
ko:K02676	rsm:CMR15_11790
ko:K03424	rsm:CMR15_11791
ko:K02053	rsm:CMR15_11796
ko:K02053	rsm:CMR15_11797
ko:K00161	rsm:CMR15_11802
ko:K00162	rsm:CMR15_11803
ko:K00627	rsm:CMR15_11804
ko:K15721	rsm:CMR15_11813
ko:K04786	rsm:CMR15_11816
ko:K03897	rsm:CMR15_11824
ko:K01874	rsm:CMR15_11825
ko:K01799	rsm:CMR15_11829
ko:K01502	rsm:CMR15_11830
ko:K02879	rsm:CMR15_10402
ko:K03926	rsm:CMR15_10403
ko:K04084	rsm:CMR15_10404
ko:K01698	rsm:CMR15_10405
ko:K03978	rsm:CMR15_10406
ko:K07399	rsm:CMR15_10408
ko:K03088	rsm:CMR15_10411
ko:K17247	rsm:CMR15_10414
ko:K01586	rsm:CMR15_10415
ko:K06202	rsm:CMR15_10417
ko:K05366	rsm:CMR15_10419
ko:K02662	rsm:CMR15_10420
ko:K02666	rsm:CMR15_10424
ko:K00891	rsm:CMR15_10425
ko:K01735	rsm:CMR15_10426
ko:K01129	rsm:CMR15_10427
ko:K07275	rsm:CMR15_10428
ko:K00266	rsm:CMR15_10431
ko:K02065	rsm:CMR15_10433
ko:K02066	rsm:CMR15_10434
ko:K04754	rsm:CMR15_10436
ko:K07323	rsm:CMR15_10437
ko:K07122	rsm:CMR15_10438
ko:K00790	rsm:CMR15_10442
ko:K00765	rsm:CMR15_10443
ko:K00013	rsm:CMR15_10444
ko:K00817	rsm:CMR15_10445
ko:K01693	rsm:CMR15_10446
ko:K02501	rsm:CMR15_10448
ko:K00285	rsm:CMR15_11113
ko:K10001	rsm:CMR15_11114
ko:K02029	rsm:CMR15_11116
ko:K02029	rsm:CMR15_11117
ko:K02624	rsm:CMR15_11120
ko:K01031	rsm:CMR15_11121
ko:K01032	rsm:CMR15_11122
ko:K01857	rsm:CMR15_11124
ko:K01055	rsm:CMR15_11125
ko:K01997	rsm:CMR15_11127
ko:K01998	rsm:CMR15_11128
ko:K01995	rsm:CMR15_11129
ko:K01996	rsm:CMR15_11130
ko:K01999	rsm:CMR15_11131
ko:K00481	rsm:CMR15_11133
ko:K02518	rsm:CMR15_11137
ko:K00963	rsm:CMR15_11139
ko:K01873	rsm:CMR15_11140
ko:K03657	rsm:CMR15_11141
ko:K02204	rsm:CMR15_11143
ko:K06966	rsm:CMR15_11145
ko:K03885	rsm:CMR15_11147
ko:K01061	rsm:CMR15_11148
ko:K00795	rsm:CMR15_11155
ko:K01662	rsm:CMR15_11156
ko:K00450	rsm:CMR15_11832
ko:K09461	rsm:CMR15_11833
ko:K01075	rsm:CMR15_11834
ko:K00180	rsm:CMR15_11835
ko:K00179	rsm:CMR15_11836
ko:K02469	rsm:CMR15_20018
ko:K09924	rsm:CMR15_20019
ko:K00831	rsm:CMR15_20020
ko:K14170	rsm:CMR15_20021
ko:K00817	rsm:CMR15_20022
ko:K00800	rsm:CMR15_20024
ko:K00945	rsm:CMR15_20025
ko:K02945	rsm:CMR15_20026
ko:K05788	rsm:CMR15_20027
ko:K00012	rsm:CMR15_20030
ko:K03274	rsm:CMR15_20032
ko:K02237	rsm:CMR15_20033
ko:K12339	rsm:CMR15_20034
ko:K01814	rsm:CMR15_10449
ko:K02500	rsm:CMR15_10450
ko:K03116	rsm:CMR15_10454
ko:K03117	rsm:CMR15_10455
ko:K03118	rsm:CMR15_10456
ko:K02011	rsm:CMR15_10458
ko:K02012	rsm:CMR15_10459
ko:K07649	rsm:CMR15_10460
ko:K07774	rsm:CMR15_10461
ko:K02012	rsm:CMR15_10462
ko:K03282	rsm:CMR15_10466
ko:K00411	rsm:CMR15_10467
ko:K00412	rsm:CMR15_10468
ko:K00413	rsm:CMR15_10469
ko:K03599	rsm:CMR15_10470
ko:K03600	rsm:CMR15_10471
ko:K03088	rsm:CMR15_10494
ko:K02297	rsm:CMR15_10495
ko:K02298	rsm:CMR15_10496
ko:K02299	rsm:CMR15_10497
ko:K09007	rsm:CMR15_11157
ko:K07007	rsm:CMR15_11159
ko:K09117	rsm:CMR15_11160
ko:K03086	rsm:CMR15_11163
ko:K01894	rsm:CMR15_11168
ko:K06911	rsm:CMR15_11170
ko:K03809	rsm:CMR15_11171
ko:K07146	rsm:CMR15_11172
ko:K02337	rsm:CMR15_11173
ko:K08301	rsm:CMR15_11182
ko:K06287	rsm:CMR15_11183
ko:K00783	rsm:CMR15_11184
ko:K09710	rsm:CMR15_11185
ko:K00969	rsm:CMR15_11186
ko:K00228	rsm:CMR15_11187
ko:K01945	rsm:CMR15_11188
ko:K06915	rsm:CMR15_11190
ko:K00761	rsm:CMR15_11191
ko:K01734	rsm:CMR15_11194
ko:K02057	rsm:CMR15_11203
ko:K02057	rsm:CMR15_11204
ko:K02071	rsm:CMR15_20037
ko:K02072	rsm:CMR15_20038
ko:K02073	rsm:CMR15_20039
ko:K03521	rsm:CMR15_20040
ko:K03522	rsm:CMR15_20041
ko:K00285	rsm:CMR15_20046
ko:K02959	rsm:CMR15_20053
ko:K02860	rsm:CMR15_20054
ko:K00554	rsm:CMR15_20055
ko:K02884	rsm:CMR15_20056
ko:K02227	rsm:CMR15_20058
ko:K06949	rsm:CMR15_20060
ko:K13288	rsm:CMR15_20062
ko:K03831	rsm:CMR15_20063
ko:K09889	rsm:CMR15_20064
ko:K03592	rsm:CMR15_20065
ko:K01754	rsm:CMR15_20070
ko:K10001	rsm:CMR15_20079
ko:K02343	rsm:CMR15_20397
ko:K09747	rsm:CMR15_20398
ko:K06187	rsm:CMR15_20399
ko:K16137	rsm:CMR15_20406
ko:K10680	rsm:CMR15_20407
ko:K03787	rsm:CMR15_20409
ko:K00573	rsm:CMR15_20410
ko:K06194	rsm:CMR15_20411
ko:K03215	rsm:CMR15_20414
ko:K00940	rsm:CMR15_20416
ko:K06941	rsm:CMR15_20417
ko:K02656	rsm:CMR15_20418
ko:K15539	rsm:CMR15_20419
ko:K01892	rsm:CMR15_20421
ko:K03977	rsm:CMR15_20424
ko:K03666	rsm:CMR15_20425
ko:K03665	rsm:CMR15_20426
ko:K04088	rsm:CMR15_20427
ko:K04087	rsm:CMR15_20428
ko:K09937	rsm:CMR15_20429
ko:K02502	rsm:CMR15_20430
ko:K01939	rsm:CMR15_20431
ko:K07101	rsm:CMR15_20432
ko:K12573	rsm:CMR15_20433
ko:K03218	rsm:CMR15_20434
ko:K12410	rsm:CMR15_20435
ko:K01807	rsm:CMR15_20437
ko:K03457	rsm:CMR15_20438
ko:K03688	rsm:CMR15_30446
ko:K03690	rsm:CMR15_30447
ko:K03183	rsm:CMR15_30449
ko:K02471	rsm:CMR15_30451
ko:K01754	rsm:CMR15_30456
ko:K06879	rsm:CMR15_30457
ko:K07112	rsm:CMR15_30467
ko:K07112	rsm:CMR15_30468
ko:K02078	rsm:CMR15_30471
ko:K03701	rsm:CMR15_30486
ko:K09129	rsm:CMR15_30487
ko:K00759	rsm:CMR15_30489
ko:K05520	rsm:CMR15_30490
ko:K00459	rsm:CMR15_mp10278
ko:K00459	rsm:CMR15_mp10281
ko:K01534	rsm:CMR15_mp10287
ko:K01649	rsm:CMR15_mp10292
ko:K07302	rsm:CMR15_mp10295
ko:K07303	rsm:CMR15_mp10296
ko:K07141	rsm:CMR15_mp10298
ko:K00052	rsm:CMR15_mp10300
ko:K01681	rsm:CMR15_mp10301
ko:K01682	rsm:CMR15_mp10303
ko:K04062	rsm:CMR15_mp10305
ko:K02399	rsm:CMR15_mp10313
ko:K02398	rsm:CMR15_mp10314
ko:K02386	rsm:CMR15_mp10315
ko:K02387	rsm:CMR15_mp10316
ko:K02388	rsm:CMR15_mp10317
ko:K02389	rsm:CMR15_mp10319
ko:K02390	rsm:CMR15_mp10320
ko:K02391	rsm:CMR15_mp10321
ko:K05805	rsm:CMR15_20680
ko:K00833	rsm:CMR15_20691
ko:K01935	rsm:CMR15_20693
ko:K00381	rsm:CMR15_20700
ko:K02300	rsm:CMR15_20701
ko:K02299	rsm:CMR15_20702
ko:K02298	rsm:CMR15_20703
ko:K02297	rsm:CMR15_20704
ko:K14155	rsm:CMR15_20712
ko:K01512	rsm:CMR15_30730
ko:K00820	rsm:CMR15_30740
ko:K04042	rsm:CMR15_30741
ko:K14058	rsm:CMR15_30743
ko:K00077	rsm:CMR15_30744
ko:K01993	rsm:CMR15_30748
ko:K01476	rsm:CMR15_30753
ko:K01633	rsm:CMR15_30754
ko:K08218	rsm:CMR15_30757
ko:K00145	rsm:CMR15_30766
ko:K01142	rsm:CMR15_30768
ko:K00762	rsm:CMR15_30769
ko:K01778	rsm:CMR15_30771
ko:K02517	rsm:CMR15_30772
ko:K02517	rsm:CMR15_30773
ko:K00789	rsm:CMR15_30774
ko:K13652	rsm:CMR15_30778
ko:K02609	rsm:CMR15_mp10553
ko:K02610	rsm:CMR15_mp10554
ko:K02611	rsm:CMR15_mp10555
ko:K02612	rsm:CMR15_mp10556
ko:K02613	rsm:CMR15_mp10557
ko:K04719	rsm:CMR15_mp10570
ko:K02224	rsm:CMR15_mp10571
ko:K02234	rsm:CMR15_mp10573
ko:K02189	rsm:CMR15_mp10575
ko:K05936	rsm:CMR15_mp10576
ko:K03394	rsm:CMR15_mp10577
ko:K02188	rsm:CMR15_mp10578
ko:K06042	rsm:CMR15_mp10579
ko:K02230	rsm:CMR15_mp10582
ko:K07241	rsm:CMR15_mp10584
ko:K02841	rsm:CMR15_mp10586
ko:K06160	rsm:CMR15_mp10590
ko:K05838	rsm:CMR15_30120
ko:K07396	rsm:CMR15_30121
ko:K03782	rsm:CMR15_30123
ko:K07290	rsm:CMR15_30125
ko:K00275	rsm:CMR15_30129
ko:K00574	rsm:CMR15_30130
ko:K07130	rsm:CMR15_30137
ko:K01556	rsm:CMR15_30138
ko:K00453	rsm:CMR15_30139
ko:K00252	rsm:CMR15_30141
ko:K06901	rsm:CMR15_30142
ko:K02068	rsm:CMR15_30148
ko:K02069	rsm:CMR15_30149
ko:K03119	rsm:CMR15_30151
ko:K01173	rsm:CMR15_30153
ko:K01626	rsm:CMR15_30154
ko:K03414	rsm:CMR15_30155
ko:K03413	rsm:CMR15_30156
ko:K03088	rsm:CMR15_30871
ko:K00930	rsm:CMR15_30872
ko:K05501	rsm:CMR15_30874
ko:K06143	rsm:CMR15_30876
ko:K07641	rsm:CMR15_30877
ko:K07663	rsm:CMR15_30878
ko:K00375	rsm:CMR15_30879
ko:K00823	rsm:CMR15_30880
ko:K00641	rsm:CMR15_30882
ko:K06200	rsm:CMR15_30888
ko:K03577	rsm:CMR15_30900
ko:K03585	rsm:CMR15_30902
ko:K02970	rsm:CMR15_30905
ko:K03650	rsm:CMR15_30911
ko:K03217	rsm:CMR15_30912
ko:K08998	rsm:CMR15_30913
ko:K03536	rsm:CMR15_30914
ko:K02914	rsm:CMR15_30915
ko:K00824	rsm:CMR15_mp10685
ko:K06989	rsm:CMR15_mp10693
ko:K00697	rsm:CMR15_mp10701
ko:K11892	rsm:CMR15_mp10708
ko:K11893	rsm:CMR15_mp10709
ko:K11906	rsm:CMR15_mp10710
ko:K11901	rsm:CMR15_mp10713
ko:K11900	rsm:CMR15_mp10714
ko:K11903	rsm:CMR15_mp10715
ko:K11897	rsm:CMR15_mp10716
ko:K11896	rsm:CMR15_mp10717
ko:K11895	rsm:CMR15_mp10718
ko:K11907	rsm:CMR15_mp10719
ko:K11902	rsm:CMR15_mp10727
ko:K16165	rsm:CMR15_20205
ko:K00450	rsm:CMR15_20206
ko:K08195	rsm:CMR15_20212
ko:K07088	rsm:CMR15_20214
ko:K01752	rsm:CMR15_20218
ko:K00303	rsm:CMR15_20219
ko:K00305	rsm:CMR15_20222
ko:K01633	rsm:CMR15_20223
ko:K01433	rsm:CMR15_20224
ko:K03744	rsm:CMR15_30256
ko:K06872	rsm:CMR15_30257
ko:K02651	rsm:CMR15_30259
ko:K02651	rsm:CMR15_30261
ko:K02651	rsm:CMR15_30263
ko:K02278	rsm:CMR15_30264
ko:K02279	rsm:CMR15_30265
ko:K02280	rsm:CMR15_30266
ko:K02282	rsm:CMR15_30268
ko:K02283	rsm:CMR15_30269
ko:K12510	rsm:CMR15_30270
ko:K12511	rsm:CMR15_30271
ko:K04077	rsm:CMR15_30276
ko:K04078	rsm:CMR15_30277
ko:K03554	rsm:CMR15_30278
ko:K03734	rsm:CMR15_30286
ko:K01070	rsm:CMR15_30293
ko:K03808	rsm:CMR15_30295
ko:K03808	rsm:CMR15_30296
ko:K06192	rsm:CMR15_30297
ko:K09857	rsm:CMR15_30298
ko:K01051	rsm:CMR15_mp10121
ko:K06133	rsm:CMR15_mp10130
ko:K00860	rsm:CMR15_mp10135
ko:K13472	rsm:CMR15_mp10136
ko:K03088	rsm:CMR15_mp10828
ko:K03220	rsm:CMR15_mp10836
ko:K03226	rsm:CMR15_mp10839
ko:K03225	rsm:CMR15_mp10840
ko:K03230	rsm:CMR15_mp10843
ko:K03229	rsm:CMR15_mp10844
ko:K03222	rsm:CMR15_mp10847
ko:K03223	rsm:CMR15_mp10849
ko:K03224	rsm:CMR15_mp10850
ko:K03228	rsm:CMR15_mp10852
ko:K03219	rsm:CMR15_mp10854
ko:K03466	rsm:CMR15_mp10868
ko:K03555	rsm:CMR15_20356
ko:K06222	rsm:CMR15_20359
ko:K01951	rsm:CMR15_20363
ko:K00640	rsm:CMR15_20368
ko:K03269	rsm:CMR15_20369
ko:K01883	rsm:CMR15_20373
ko:K01247	rsm:CMR15_20374
ko:K01962	rsm:CMR15_20375
ko:K04075	rsm:CMR15_20376
ko:K00928	rsm:CMR15_20377
ko:K00208	rsm:CMR15_20378
ko:K13893	rsm:CMR15_20379
ko:K13894	rsm:CMR15_20380
ko:K13895	rsm:CMR15_20381
ko:K13896	rsm:CMR15_20382
ko:K07001	rsm:CMR15_20384
ko:K03327	rsm:CMR15_20386
ko:K02909	rsm:CMR15_20388
ko:K09933	rsm:CMR15_20390
ko:K03628	rsm:CMR15_20393
ko:K03671	rsm:CMR15_20394
ko:K01159	rsm:CMR15_30401
ko:K01126	rsm:CMR15_30402
ko:K03550	rsm:CMR15_30403
ko:K03551	rsm:CMR15_30404
ko:K07560	rsm:CMR15_30407
ko:K01866	rsm:CMR15_30408
ko:K09001	rsm:CMR15_30409
ko:K15724	rsm:CMR15_30410
ko:K02996	rsm:CMR15_30413
ko:K02871	rsm:CMR15_30414
ko:K07397	rsm:CMR15_30415
ko:K01465	rsm:CMR15_30417
ko:K10004	rsm:CMR15_30421
ko:K10002	rsm:CMR15_30422
ko:K10003	rsm:CMR15_30423
ko:K10001	rsm:CMR15_30424
ko:K00261	rsm:CMR15_30426
ko:K10806	rsm:CMR15_30429
ko:K07516	rsm:CMR15_30432
ko:K08310	rsm:CMR15_30439
ko:K01876	rsm:CMR15_30441
ko:K03670	rsm:CMR15_mp10235
ko:K01295	rsm:CMR15_mp10239
ko:K01613	rsm:CMR15_mp10240
ko:K01738	rsm:CMR15_mp10252
ko:K01194	rsm:CMR15_mp10253
ko:K03327	rsm:CMR15_mp10258
ko:K11931	rsm:CMR15_mp10262
ko:K11936	rsm:CMR15_mp10263
ko:K12340	rsm:CMR15_mp10265
ko:K11003	rsm:CMR15_mp10266
ko:K11004	rsm:CMR15_mp10267
ko:K07322	rsm:CMR15_mp20041
ko:K12266	rsm:CMR15_mp20042
ko:K08303	rsm:CMR15_mp20053
ko:K02575	rsm:CMR15_mp20055
ko:K02575	rsm:CMR15_mp20056
ko:K00370	rsm:CMR15_mp20057
ko:K00371	rsm:CMR15_mp20058
ko:K00373	rsm:CMR15_mp20059
ko:K03753	rsm:CMR15_mp20061
ko:K07673	rsm:CMR15_mp20062
ko:K07152	rsm:CMR15_mp20071
ko:K00405	rsm:CMR15_mp20073
ko:K02034	rsm:CMR15_mp20120
ko:K12972	rsm:CMR15_mp20128
ko:K00303	rsm:CMR15_mp20133
ko:K06995	rsm:CMR15_mp20135
ko:K09930	rsm:CMR15_mp20142
