ko:K10563	ecx:EcHS_A3844
ko:K15581	ecx:EcHS_A1353
ko:K02548	ecx:EcHS_A4162
ko:K06917	ecx:EcHS_A0577
ko:K13888	ecx:EcHS_A0982
ko:K10773	ecx:EcHS_A1709
ko:K05367	ecx:EcHS_A2670
ko:K03925	ecx:EcHS_A0087
ko:K02834	ecx:EcHS_A3359
ko:K01720	ecx:EcHS_A0399
ko:K05520	ecx:EcHS_A3345
ko:K07229	ecx:EcHS_A3251
ko:K11746	ecx:EcHS_A0052
ko:K11733	ecx:EcHS_A2291
ko:K00850	ecx:EcHS_A4146
ko:K03765	ecx:EcHS_A4374
ko:K11734	ecx:EcHS_A0116
ko:K06889	ecx:EcHS_A4434
ko:K10680	ecx:EcHS_A1727
ko:K01962	ecx:EcHS_A0187
ko:K01232	ecx:EcHS_A3893
ko:K02948	ecx:EcHS_A3491
ko:K06726	ecx:EcHS_A3964
ko:K02196	ecx:EcHS_A2336
ko:K02195	ecx:EcHS_A2337
ko:K02194	ecx:EcHS_A2338
ko:K02361	ecx:EcHS_A0644
ko:K06203	ecx:EcHS_A2548
ko:K04047	ecx:EcHS_A0868
ko:K03168	ecx:EcHS_A1383
ko:K03169	ecx:EcHS_A1847
ko:K02041	ecx:EcHS_A4346
ko:K00627	ecx:EcHS_A0119
ko:K00833	ecx:EcHS_A0829
ko:K01610	ecx:EcHS_A3600
ko:K18919	ecx:EcHS_A0018
ko:K02013	ecx:EcHS_A0639
ko:K02015	ecx:EcHS_A0640
ko:K02015	ecx:EcHS_A0641
ko:K02016	ecx:EcHS_A0643
ko:K05590	ecx:EcHS_A2732
ko:K06205	ecx:EcHS_A3958
ko:K03718	ecx:EcHS_A3959
ko:K03549	ecx:EcHS_A3963
ko:K07708	ecx:EcHS_A4096
ko:K02552	ecx:EcHS_A2411
ko:K02412	ecx:EcHS_A2041
ko:K02904	ecx:EcHS_A3506
ko:K04568	ecx:EcHS_A4399
ko:K04567	ecx:EcHS_A3049
ko:K01252	ecx:EcHS_A0646
ko:K00484	ecx:EcHS_A4575
ko:K00954	ecx:EcHS_A3843
ko:K04762	ecx:EcHS_A3596
ko:K05851	ecx:EcHS_A4026
ko:K07462	ecx:EcHS_A3051
ko:K07645	ecx:EcHS_A3204
ko:K03594	ecx:EcHS_A3530
ko:K03977	ecx:EcHS_A2662
ko:K03789	ecx:EcHS_A4607
ko:K00112	ecx:EcHS_A2383
ko:K00113	ecx:EcHS_A2384
ko:K01095	ecx:EcHS_A0489
ko:K05787	ecx:EcHS_A4234
ko:K03666	ecx:EcHS_A4414
ko:K03665	ecx:EcHS_A4415
