ko:K19405	ctri:BN197_6851
ko:K11645	ctri:BN197_2141
ko:K03559	ctri:BN197_6051
ko:K06142	ctri:BN197_2421
ko:K02536	ctri:BN197_2431
ko:K00161	ctri:BN197_2451
ko:K00162	ctri:BN197_2461
ko:K00627	ctri:BN197_2471
ko:K00688	ctri:BN197_2481
ko:K02313	ctri:BN197_2501
ko:K03217	ctri:BN197_2511
ko:K04487	ctri:BN197_2581
ko:K07083	ctri:BN197_2621
ko:K01962	ctri:BN197_2651
ko:K01448	ctri:BN197_2681
ko:K01928	ctri:BN197_2691
ko:K03587	ctri:BN197_2701
ko:K03438	ctri:BN197_2721
ko:K02313	ctri:BN197_2751
ko:K00347	ctri:BN197_2781
ko:K00348	ctri:BN197_2791
ko:K00349	ctri:BN197_2801
ko:K00350	ctri:BN197_2811
ko:K02437	ctri:BN197_2821
ko:K03800	ctri:BN197_2851
ko:K03696	ctri:BN197_2861
ko:K00566	ctri:BN197_2871
ko:K01963	ctri:BN197_2931
ko:K02879	ctri:BN197_5141
ko:K03040	ctri:BN197_5151
ko:K02948	ctri:BN197_5161
ko:K02952	ctri:BN197_5171
ko:K03076	ctri:BN197_5181
ko:K02876	ctri:BN197_5191
ko:K02988	ctri:BN197_5201
ko:K02881	ctri:BN197_5211
ko:K02933	ctri:BN197_5221
ko:K02994	ctri:BN197_5231
ko:K02931	ctri:BN197_5241
ko:K02895	ctri:BN197_5251
ko:K02874	ctri:BN197_5261
ko:K02961	ctri:BN197_5271
ko:K02904	ctri:BN197_5281
ko:K02878	ctri:BN197_5291
ko:K02982	ctri:BN197_5301
ko:K02890	ctri:BN197_5311
ko:K02965	ctri:BN197_5321
ko:K02886	ctri:BN197_5331
ko:K02892	ctri:BN197_5341
ko:K02926	ctri:BN197_5351
ko:K02906	ctri:BN197_5361
ko:K00604	ctri:BN197_5381
ko:K00677	ctri:BN197_5391
ko:K02372	ctri:BN197_5401
ko:K02535	ctri:BN197_5411
ko:K03820	ctri:BN197_5421
ko:K06925	ctri:BN197_5451
ko:K03671	ctri:BN197_5471
ko:K03216	ctri:BN197_5481
ko:K01876	ctri:BN197_5501
ko:K01892	ctri:BN197_5511
ko:K07783	ctri:BN197_5521
ko:K02337	ctri:BN197_5531
ko:K03311	ctri:BN197_5621
ko:K00382	ctri:BN197_5651
ko:K03644	ctri:BN197_5661
ko:K09779	ctri:BN197_0011
