ko:K16567	smer:DU99_28090
ko:K09796	smer:DU99_08125
ko:K18893	smer:DU99_09935
ko:K00130	smer:DU99_19990
ko:K18829	smer:DU99_17845
ko:K22617	smer:DU99_02155
ko:K11741	smer:DU99_07240
ko:K18828	smer:DU99_22930
ko:K01978	smer:DU99_17985
ko:K21911	smer:DU99_12480
ko:K21909	smer:DU99_12495
ko:K03297	smer:DU99_13460
ko:K19092	smer:DU99_19940
ko:K16553	smer:DU99_28055
ko:K22306	smer:DU99_19350
ko:K08151	smer:DU99_08270
ko:K14234	smer:DU99_02665
ko:K14225	smer:DU99_06995
ko:K14231	smer:DU99_03150
ko:K19733	smer:DU99_10030
ko:K02032	smer:DU99_16340
ko:K19164	smer:DU99_01460
ko:K21449	smer:DU99_02440
ko:K00130	smer:DU99_04900
ko:K16238	smer:DU99_00505
ko:K18829	smer:DU99_13475
ko:K18828	smer:DU99_14890
ko:K18981	smer:DU99_00575
ko:K00336	smer:DU99_06630
ko:K21564	smer:DU99_22665
ko:K11209	smer:DU99_05420
ko:K11209	smer:DU99_04075
ko:K19092	smer:DU99_32980
ko:K01990	smer:DU99_29050
ko:K10191	smer:DU99_25690
ko:K07493	smer:DU99_08135
ko:K07493	smer:DU99_12475
ko:K07493	smer:DU99_13425
ko:K07493	smer:DU99_16430
ko:K07484	smer:DU99_30380
ko:K00087	smer:DU99_32625
ko:K02351	smer:DU99_28715
ko:K07064	smer:DU99_01690
ko:K00108	smer:DU99_04895
ko:K04771	smer:DU99_05290
ko:K19270	smer:DU99_29010
ko:K21686	smer:DU99_26305
ko:K01816	smer:DU99_26615
ko:K21430	smer:DU99_13020
ko:K18831	smer:DU99_22945
ko:K14230	smer:DU99_15030
ko:K16552	smer:DU99_28085
ko:K07484	smer:DU99_23365
ko:K03446	smer:DU99_15980
ko:K00130	smer:DU99_21275
ko:K00042	smer:DU99_24775
ko:K01977	smer:DU99_00360
ko:K01977	smer:DU99_14465
ko:K01977	smer:DU99_16390
ko:K01980	smer:DU99_00380
ko:K02032	smer:DU99_18795
ko:K02034	smer:DU99_18800
ko:K03852	smer:DU99_20200
ko:K00625	smer:DU99_20210
ko:K00479	smer:DU99_20225
ko:K03704	smer:DU99_20265
ko:K00338	smer:DU99_21870
ko:K00337	smer:DU99_21875
ko:K02057	smer:DU99_21885
ko:K02057	smer:DU99_21890
ko:K02056	smer:DU99_21895
ko:K00799	smer:DU99_21925
ko:K00830	smer:DU99_21930
ko:K07302	smer:DU99_21945
ko:K07303	smer:DU99_21950
ko:K08738	smer:DU99_21955
ko:K00315	smer:DU99_21970
ko:K14083	smer:DU99_21980
ko:K05846	smer:DU99_22000
ko:K05847	smer:DU99_22005
ko:K05846	smer:DU99_22010
ko:K04078	smer:DU99_23705
ko:K04077	smer:DU99_23710
ko:K03704	smer:DU99_23725
ko:K07032	smer:DU99_23770
ko:K10112	smer:DU99_23795
ko:K02026	smer:DU99_23800
ko:K02025	smer:DU99_23805
ko:K02027	smer:DU99_23810
ko:K01684	smer:DU99_23815
ko:K01714	smer:DU99_23820
ko:K00883	smer:DU99_23825
