ko:K02051	sams:NI36_00795
ko:K07145	sams:NI36_00760
ko:K09790	sams:NI36_00765
ko:K00128	sams:NI36_00770
ko:K16264	sams:NI36_00775
ko:K02050	sams:NI36_00800
ko:K08996	sams:NI36_00825
ko:K02049	sams:NI36_00790
ko:K22580	sams:NI36_05060
ko:K01771	sams:NI36_00415
ko:K01791	sams:NI36_00755
ko:K00930	sams:NI36_00830
ko:K02939	sams:NI36_00080
ko:K01939	sams:NI36_00090
ko:K07652	sams:NI36_00110
ko:K00783	sams:NI36_00135
ko:K02338	sams:NI36_00010
ko:K02470	sams:NI36_00030
ko:K01745	sams:NI36_00045
ko:K02314	sams:NI36_00085
ko:K09968	sams:NI36_00145
ko:K02313	sams:NI36_00005
ko:K07491	sams:NI36_00015
ko:K03629	sams:NI36_00025
ko:K02469	sams:NI36_00035
ko:K01875	sams:NI36_00050
ko:K00641	sams:NI36_00065
ko:K07668	sams:NI36_00105
ko:K21721	sams:NI36_00505
ko:K22044	sams:NI36_01715
ko:K01153	sams:NI36_00290
ko:K01154	sams:NI36_00295
ko:K03427	sams:NI36_00300
ko:K03657	sams:NI36_00310
ko:K07498	sams:NI36_00190
ko:K01126	sams:NI36_00200
ko:K02545	sams:NI36_00210
ko:K04750	sams:NI36_00220
ko:K03719	sams:NI36_00345
ko:K03324	sams:NI36_00440
ko:K10254	sams:NI36_00445
ko:K04564	sams:NI36_00595
ko:K02041	sams:NI36_00645
ko:K01784	sams:NI36_00745
ko:K02015	sams:NI36_00485
ko:K01586	sams:NI36_00535
ko:K03366	sams:NI36_00560
ko:K01784	sams:NI36_00570
ko:K18907	sams:NI36_00455
ko:K02015	sams:NI36_00490
ko:K04072	sams:NI36_00675
ko:K17716	sams:NI36_00700
ko:K02472	sams:NI36_00750
ko:K02016	sams:NI36_00495
ko:K01839	sams:NI36_00630
ko:K02042	sams:NI36_00635
ko:K02042	sams:NI36_00640
ko:K03303	sams:NI36_00465
ko:K02044	sams:NI36_00650
ko:K07491	sams:NI36_00470
