ko:K00105	sagr:SAIL_3440
ko:K06896	sagr:SAIL_19890
ko:K07045	sagr:SAIL_18680
ko:K03293	sagr:SAIL_15410
ko:K01215	sagr:SAIL_19430
ko:K13677	sagr:SAIL_8540
ko:K07464	sagr:SAIL_5600
ko:K18940	sagr:SAIL_8070
ko:K12574	sagr:SAIL_18190
ko:K07012	sagr:SAIL_5550
ko:K11704	sagr:SAIL_15910
ko:K11705	sagr:SAIL_15890
ko:K01791	sagr:SAIL_12800
ko:K08986	sagr:SAIL_8730
ko:K07271	sagr:SAIL_14770
ko:K11053	sagr:SAIL_8180
ko:K02851	sagr:SAIL_2040
ko:K11070	sagr:SAIL_12220
ko:K03713	sagr:SAIL_18220
ko:K09685	sagr:SAIL_18300
ko:K03698	sagr:SAIL_18310
ko:K00949	sagr:SAIL_18330
ko:K03476	sagr:SAIL_18630
ko:K03493	sagr:SAIL_18640
ko:K02745	sagr:SAIL_19170
ko:K02744	sagr:SAIL_19190
ko:K00046	sagr:SAIL_19200
ko:K00027	sagr:SAIL_19370
ko:K01784	sagr:SAIL_19420
ko:K01635	sagr:SAIL_19470
ko:K00917	sagr:SAIL_19480
ko:K01819	sagr:SAIL_19490
ko:K01819	sagr:SAIL_19500
ko:K01186	sagr:SAIL_19510
ko:K02530	sagr:SAIL_19560
ko:K09815	sagr:SAIL_19620
ko:K01834	sagr:SAIL_20300
ko:K01361	sagr:SAIL_20570
ko:K07304	sagr:SAIL_15700
ko:K03342	sagr:SAIL_15860
ko:K03709	sagr:SAIL_15920
ko:K01243	sagr:SAIL_15930
ko:K01515	sagr:SAIL_15950
ko:K04750	sagr:SAIL_15970
ko:K00059	sagr:SAIL_16020
ko:K00567	sagr:SAIL_16190
ko:K00058	sagr:SAIL_16200
ko:K06201	sagr:SAIL_16240
ko:K04767	sagr:SAIL_16300
ko:K03294	sagr:SAIL_16420
ko:K03499	sagr:SAIL_16430
ko:K03498	sagr:SAIL_16440
ko:K02428	sagr:SAIL_16520
ko:K09976	sagr:SAIL_16540
ko:K16788	sagr:SAIL_16550
ko:K07105	sagr:SAIL_16560
ko:K01426	sagr:SAIL_16640
ko:K01006	sagr:SAIL_17230
ko:K03471	sagr:SAIL_17800
ko:K01281	sagr:SAIL_17950
ko:K00805	sagr:SAIL_17970
ko:K16012	sagr:SAIL_17980
ko:K16013	sagr:SAIL_17990
ko:K02342	sagr:SAIL_18090
ko:K01409	sagr:SAIL_18150
ko:K02775	sagr:SAIL_18690
ko:K00616	sagr:SAIL_18740
ko:K02821	sagr:SAIL_18780
ko:K02822	sagr:SAIL_18790
ko:K03475	sagr:SAIL_18800
ko:K03708	sagr:SAIL_18960
ko:K03386	sagr:SAIL_19000
ko:K03316	sagr:SAIL_19030
ko:K07386	sagr:SAIL_19080
ko:K01119	sagr:SAIL_19650
ko:K03647	sagr:SAIL_19660
ko:K07720	sagr:SAIL_19710
