ko:K08153	bthi:BTK_04825
ko:K19310	bthi:BTK_01720
ko:K18925	bthi:BTK_04815
ko:K18924	bthi:BTK_04810
ko:K17910	bthi:BTK_08195
ko:K19689	bthi:BTK_02010
ko:K03297	bthi:BTK_02000
ko:K07050	bthi:BTK_09685
ko:K01977	bthi:BTK_r29404
ko:K01977	bthi:BTK_r29408
ko:K07149	bthi:BTK_28665
ko:K18926	bthi:BTK_05345
ko:K01400	bthi:BTK_03405
ko:K20107	bthi:BTK_02560
ko:K20108	bthi:BTK_02560
ko:K01992	bthi:BTK_19450
ko:K01992	bthi:BTK_28645
ko:K19309	bthi:BTK_01725
ko:K01990	bthi:BTK_10005
ko:K01990	bthi:BTK_17160
ko:K01990	bthi:BTK_23805
ko:K02479	bthi:BTK_12420
ko:K01759	bthi:BTK_27625
ko:K21379	bthi:BTK_30179
ko:K21379	bthi:BTK_10650
ko:K08221	bthi:BTK_28510
ko:K21472	bthi:BTK_26395
ko:K21993	bthi:BTK_19735
ko:K19302	bthi:BTK_16515
ko:K06418	bthi:BTK_14170
ko:K19449	bthi:BTK_07705
ko:K06372	bthi:BTK_07710
ko:K21113	bthi:BTK_16660
ko:K22579	bthi:BTK_14220
ko:K02475	bthi:BTK_03185
ko:K18929	bthi:BTK_07815
ko:K18928	bthi:BTK_07810
ko:K01977	bthi:BTK_r29410
ko:K01977	bthi:BTK_r29406
ko:K01977	bthi:BTK_r29400
ko:K01977	bthi:BTK_r29394
ko:K01977	bthi:BTK_r29396
ko:K01977	bthi:BTK_r29390
ko:K01977	bthi:BTK_r29392
ko:K01977	bthi:BTK_r29398
ko:K01977	bthi:BTK_r29402
ko:K01977	bthi:BTK_r29414
ko:K01977	bthi:BTK_r29412
ko:K01977	bthi:BTK_r29416
ko:K18924	bthi:BTK_22260
ko:K18925	bthi:BTK_22265
ko:K03790	bthi:BTK_14760
ko:K18907	bthi:BTK_16420
ko:K01777	bthi:BTK_05080
ko:K07171	bthi:BTK_01265
ko:K03311	bthi:BTK_23875
ko:K06182	bthi:BTK_23880
ko:K07456	bthi:BTK_23890
ko:K02347	bthi:BTK_23895
ko:K09888	bthi:BTK_23905
ko:K03471	bthi:BTK_23910
ko:K01893	bthi:BTK_23930
ko:K01890	bthi:BTK_23935
ko:K01889	bthi:BTK_23940
ko:K03437	bthi:BTK_23945
ko:K06426	bthi:BTK_23950
ko:K06950	bthi:BTK_23955
ko:K07052	bthi:BTK_23960
ko:K02887	bthi:BTK_24000
ko:K02916	bthi:BTK_24005
ko:K02520	bthi:BTK_24010
ko:K01868	bthi:BTK_24015
ko:K11144	bthi:BTK_24030
ko:K03346	bthi:BTK_24035
ko:K06147	bthi:BTK_13180
ko:K00865	bthi:BTK_00780
ko:K01476	bthi:BTK_00785
ko:K18672	bthi:BTK_00790
ko:K03431	bthi:BTK_00800
ko:K00820	bthi:BTK_00810
ko:K16937	bthi:BTK_00825
ko:K00059	bthi:BTK_00830
ko:K02072	bthi:BTK_00835
ko:K02071	bthi:BTK_00840
ko:K02073	bthi:BTK_00845
ko:K07552	bthi:BTK_00875
ko:K15580	bthi:BTK_00905
ko:K02035	bthi:BTK_00910
ko:K00286	bthi:BTK_00925
ko:K03811	bthi:BTK_00930
ko:K05340	bthi:BTK_00935
ko:K02018	bthi:BTK_00940
ko:K02020	bthi:BTK_00945
ko:K07219	bthi:BTK_00950
ko:K00655	bthi:BTK_00990
ko:K00655	bthi:BTK_01005
ko:K11637	bthi:BTK_05250
ko:K03574	bthi:BTK_05265
ko:K07090	bthi:BTK_05305
ko:K07010	bthi:BTK_05320
ko:K03969	bthi:BTK_05335
ko:K03790	bthi:BTK_05365
ko:K06889	bthi:BTK_05470
ko:K01753	bthi:BTK_09965
ko:K01992	bthi:BTK_10010
ko:K06131	bthi:BTK_10025
ko:K09903	bthi:BTK_10030
ko:K11102	bthi:BTK_10040
ko:K01744	bthi:BTK_10045
ko:K00027	bthi:BTK_10050
ko:K07717	bthi:BTK_10055
ko:K07719	bthi:BTK_10060
ko:K01914	bthi:BTK_10085
ko:K00928	bthi:BTK_10110
ko:K03574	bthi:BTK_10130
ko:K00648	bthi:BTK_10165
ko:K03665	bthi:BTK_10170
ko:K08223	bthi:BTK_10175
ko:K01738	bthi:BTK_10180
ko:K03308	bthi:BTK_10200
ko:K07304	bthi:BTK_10235
ko:K01759	bthi:BTK_14755
ko:K00876	bthi:BTK_14765
ko:K07727	bthi:BTK_14780
ko:K01077	bthi:BTK_14790
ko:K18346	bthi:BTK_14795
ko:K09607	bthi:BTK_14800
ko:K10255	bthi:BTK_14805
ko:K02205	bthi:BTK_14815
ko:K00286	bthi:BTK_14830
ko:K00931	bthi:BTK_14835
ko:K00147	bthi:BTK_14840
ko:K16323	bthi:BTK_14855
ko:K07145	bthi:BTK_14870
ko:K11216	bthi:BTK_14895
ko:K10558	bthi:BTK_14905
ko:K10556	bthi:BTK_14910
ko:K10557	bthi:BTK_14915
ko:K10555	bthi:BTK_14920
ko:K00116	bthi:BTK_14925
ko:K13853	bthi:BTK_14995
ko:K01736	bthi:BTK_15000
ko:K00817	bthi:BTK_15005
ko:K04517	bthi:BTK_15010
ko:K00800	bthi:BTK_15015
ko:K06999	bthi:BTK_19320
ko:K15975	bthi:BTK_19325
ko:K07736	bthi:BTK_19360
ko:K01479	bthi:BTK_19365
ko:K01468	bthi:BTK_19370
ko:K01712	bthi:BTK_19375
ko:K01745	bthi:BTK_19380
ko:K09683	bthi:BTK_19385
ko:K06196	bthi:BTK_19420
ko:K06518	bthi:BTK_19480
ko:K07090	bthi:BTK_19500
ko:K09976	bthi:BTK_19535
ko:K00615	bthi:BTK_19545
ko:K02042	bthi:BTK_19550
ko:K02042	bthi:BTK_19555
ko:K02041	bthi:BTK_19560
ko:K02044	bthi:BTK_19565
ko:K01119	bthi:BTK_19570
ko:K01119	bthi:BTK_19580
ko:K00845	bthi:BTK_22505
ko:K01934	bthi:BTK_22515
ko:K02913	bthi:BTK_22520
ko:K16881	bthi:BTK_22525
ko:K02039	bthi:BTK_22530
ko:K02036	bthi:BTK_22535
ko:K02038	bthi:BTK_22540
ko:K02037	bthi:BTK_22545
ko:K02040	bthi:BTK_22550
ko:K08222	bthi:BTK_22560
ko:K04564	bthi:BTK_22565
ko:K02076	bthi:BTK_22585
ko:K09816	bthi:BTK_22590
ko:K09817	bthi:BTK_22595
ko:K01151	bthi:BTK_22610
ko:K18692	bthi:BTK_22615
ko:K03527	bthi:BTK_22625
ko:K06967	bthi:BTK_22635
ko:K13300	bthi:BTK_22640
ko:K03086	bthi:BTK_22645
ko:K09773	bthi:BTK_22665
ko:K03584	bthi:BTK_22675
ko:K01489	bthi:BTK_22690
ko:K07042	bthi:BTK_22700
ko:K07037	bthi:BTK_22705
ko:K06438	bthi:BTK_22715
ko:K09117	bthi:BTK_22725
ko:K02970	bthi:BTK_22730
ko:K18707	bthi:BTK_22735
ko:K09761	bthi:BTK_22740
ko:K02687	bthi:BTK_22745
ko:K03686	bthi:BTK_22750
ko:K04043	bthi:BTK_22755
ko:K03687	bthi:BTK_22760
ko:K03705	bthi:BTK_22765
ko:K02015	bthi:BTK_26960
ko:K02015	bthi:BTK_26965
ko:K02016	bthi:BTK_26970
ko:K03664	bthi:BTK_27015
ko:K12573	bthi:BTK_27020
ko:K03928	bthi:BTK_27025
ko:K03075	bthi:BTK_27030
ko:K12573	bthi:BTK_27040
ko:K03664	bthi:BTK_27050
ko:K12573	bthi:BTK_27055
ko:K03928	bthi:BTK_27060
ko:K03075	bthi:BTK_27065
ko:K01689	bthi:BTK_27085
ko:K15633	bthi:BTK_27090
ko:K01803	bthi:BTK_27095
ko:K00927	bthi:BTK_27100
ko:K00134	bthi:BTK_27105
ko:K05311	bthi:BTK_27110
ko:K03092	bthi:BTK_27120
ko:K06405	bthi:BTK_27240
ko:K06406	bthi:BTK_27245
ko:K02338	bthi:BTK_31936
ko:K07012	bthi:BTK_32086
ko:K07738	bthi:BTK_24040
