ko:K19079	saun:SAKOR_00656
ko:K09022	saun:SAKOR_00481
ko:K19005	saun:SAKOR_00716
ko:K19285	saun:SAKOR_00381
ko:K07145	saun:SAKOR_00145
ko:K00887	saun:SAKOR_01516
ko:K05352	saun:SAKOR_00235
ko:K11442	saun:SAKOR_02137
ko:K18934	saun:SAKOR_02133
ko:K18936	saun:SAKOR_02393
ko:K18935	saun:SAKOR_02135
ko:K03328	saun:SAKOR_00108
ko:K03328	saun:SAKOR_00489
ko:K18940	saun:SAKOR_01351
ko:K21454	saun:SAKOR_02333
ko:K01262	saun:SAKOR_01476
ko:K07045	saun:SAKOR_02574
ko:K11039	saun:SAKOR_01999
ko:K19975	saun:SAKOR_00625
ko:K19973	saun:SAKOR_00627
ko:K03483	saun:SAKOR_02124
ko:K17716	saun:SAKOR_00133
ko:K02004	saun:SAKOR_00301
ko:K16329	saun:SAKOR_00306
ko:K03307	saun:SAKOR_00308
ko:K01639	saun:SAKOR_00309
ko:K01788	saun:SAKOR_00312
ko:K03475	saun:SAKOR_00324
ko:K02822	saun:SAKOR_00325
ko:K02821	saun:SAKOR_00326
ko:K00241	saun:SAKOR_01069
ko:K02428	saun:SAKOR_01073
ko:K11041	saun:SAKOR_01095
ko:K07025	saun:SAKOR_01101
ko:K07094	saun:SAKOR_01867
ko:K01916	saun:SAKOR_01875
ko:K04518	saun:SAKOR_01878
ko:K15986	saun:SAKOR_01882
ko:K01992	saun:SAKOR_01904
ko:K01990	saun:SAKOR_01905
ko:K01990	saun:SAKOR_01907
ko:K16924	saun:SAKOR_02688
ko:K02352	saun:SAKOR_02692
ko:K17216	saun:SAKOR_00443
ko:K01226	saun:SAKOR_00458
ko:K03486	saun:SAKOR_00459
ko:K09685	saun:SAKOR_00480
ko:K02443	saun:SAKOR_01225
ko:K03713	saun:SAKOR_01235
ko:K01990	saun:SAKOR_01254
ko:K01992	saun:SAKOR_01255
ko:K03095	saun:SAKOR_02027
ko:K03090	saun:SAKOR_02029
ko:K07315	saun:SAKOR_02032
ko:K09167	saun:SAKOR_02037
ko:K08981	saun:SAKOR_02038
ko:K02775	saun:SAKOR_00224
ko:K00852	saun:SAKOR_00247
ko:K06216	saun:SAKOR_00249
ko:K01990	saun:SAKOR_00257
ko:K01992	saun:SAKOR_00258
ko:K01992	saun:SAKOR_00259
ko:K11072	saun:SAKOR_01021
ko:K11071	saun:SAKOR_01022
ko:K11069	saun:SAKOR_01024
ko:K01092	saun:SAKOR_01029
ko:K01958	saun:SAKOR_01036
ko:K03471	saun:SAKOR_01061
ko:K09825	saun:SAKOR_01817
ko:K11085	saun:SAKOR_01822
ko:K07586	saun:SAKOR_01823
ko:K09693	saun:SAKOR_01827
ko:K01104	saun:SAKOR_01837
ko:K07694	saun:SAKOR_01840
ko:K07009	saun:SAKOR_01850
ko:K02342	saun:SAKOR_01853
ko:K02433	saun:SAKOR_01860
ko:K01478	saun:SAKOR_02635
ko:K12268	saun:SAKOR_02653
ko:K07304	saun:SAKOR_02662
ko:K01104	saun:SAKOR_02664
ko:K01401	saun:SAKOR_02638
ko:K12270	saun:SAKOR_02651
ko:K12269	saun:SAKOR_02652
ko:K09705	saun:SAKOR_00665
ko:K16013	saun:SAKOR_00681
ko:K16012	saun:SAKOR_00682
ko:K06934	saun:SAKOR_00691
ko:K09763	saun:SAKOR_01440
ko:K04763	saun:SAKOR_01441
ko:K03711	saun:SAKOR_01442
ko:K01515	saun:SAKOR_01443
ko:K00784	saun:SAKOR_01448
ko:K00033	saun:SAKOR_01456
ko:K03635	saun:SAKOR_02236
ko:K02017	saun:SAKOR_02242
ko:K01992	saun:SAKOR_01789
ko:K01990	saun:SAKOR_01790
ko:K07533	saun:SAKOR_01796
ko:K03698	saun:SAKOR_01797
ko:K01679	saun:SAKOR_01807
ko:K02028	saun:SAKOR_01814
ko:K02029	saun:SAKOR_01815
ko:K02030	saun:SAKOR_01815
ko:K07035	saun:SAKOR_01816
ko:K04750	saun:SAKOR_02586
ko:K00016	saun:SAKOR_02595
ko:K03294	saun:SAKOR_02596
ko:K03451	saun:SAKOR_02609
ko:K00380	saun:SAKOR_02616
ko:K01077	saun:SAKOR_02625
ko:K00088	saun:SAKOR_00388
ko:K03177	saun:SAKOR_01199
ko:K00059	saun:SAKOR_01208
ko:K01439	saun:SAKOR_01988
ko:K07052	saun:SAKOR_01995
ko:K07706	saun:SAKOR_02002
ko:K01409	saun:SAKOR_02013
ko:K02499	saun:SAKOR_00490
ko:K03708	saun:SAKOR_00507
ko:K09698	saun:SAKOR_00513
ko:K09976	saun:SAKOR_01279
ko:K05020	saun:SAKOR_01284
ko:K07304	saun:SAKOR_01298
ko:K04517	saun:SAKOR_01302
ko:K02033	saun:SAKOR_01318
ko:K02116	saun:SAKOR_02077
ko:K01104	saun:SAKOR_02082
ko:K03048	saun:SAKOR_02096
ko:K09680	saun:SAKOR_02098
ko:K01619	saun:SAKOR_02105
ko:K03784	saun:SAKOR_02106
ko:K00639	saun:SAKOR_00536
ko:K00853	saun:SAKOR_00538
ko:K00712	saun:SAKOR_00552
ko:K00712	saun:SAKOR_00553
ko:K02564	saun:SAKOR_00558
ko:K08093	saun:SAKOR_00559
ko:K00626	saun:SAKOR_00565
ko:K00625	saun:SAKOR_00578
ko:K00869	saun:SAKOR_00581
ko:K01597	saun:SAKOR_00582
ko:K00938	saun:SAKOR_00583
ko:K05822	saun:SAKOR_01333
ko:K07305	saun:SAKOR_01360
ko:K07304	saun:SAKOR_01361
ko:K03469	saun:SAKOR_01372
ko:K03294	saun:SAKOR_01379
ko:K02799	saun:SAKOR_02123
ko:K02800	saun:SAKOR_02123
ko:K02798	saun:SAKOR_02125
ko:K03593	saun:SAKOR_02132
ko:K01220	saun:SAKOR_02157
ko:K02786	saun:SAKOR_02159
ko:K01635	saun:SAKOR_02160
ko:K00917	saun:SAKOR_02161
ko:K01819	saun:SAKOR_02162
ko:K07729	saun:SAKOR_00345
ko:K01990	saun:SAKOR_00347
ko:K00626	saun:SAKOR_00351
ko:K01760	saun:SAKOR_00355
ko:K01834	saun:SAKOR_00374
ko:K03386	saun:SAKOR_00380
ko:K07104	saun:SAKOR_01120
ko:K02824	saun:SAKOR_01125
ko:K07030	saun:SAKOR_01153
ko:K00059	saun:SAKOR_01158
ko:K09787	saun:SAKOR_01163
ko:K13953	saun:SAKOR_00598
ko:K07457	saun:SAKOR_00603
ko:K07025	saun:SAKOR_00606
ko:K05565	saun:SAKOR_00617
ko:K05568	saun:SAKOR_00620
ko:K05570	saun:SAKOR_00622
ko:K03316	saun:SAKOR_00624
ko:K03709	saun:SAKOR_00628
ko:K09693	saun:SAKOR_00631
ko:K07258	saun:SAKOR_00636
ko:K03700	saun:SAKOR_01391
ko:K02086	saun:SAKOR_01395
ko:K00974	saun:SAKOR_01399
ko:K00805	saun:SAKOR_01412
ko:K01424	saun:SAKOR_01423
ko:K05337	saun:SAKOR_01428
ko:K01819	saun:SAKOR_02163
ko:K02530	saun:SAKOR_02164
ko:K01727	saun:SAKOR_02172
ko:K16787	saun:SAKOR_02183
ko:K16786	saun:SAKOR_02184
ko:K00939	saun:SAKOR_02191
ko:K12574	saun:SAKOR_01011
ko:K12574	saun:SAKOR_01203
ko:K09692	saun:SAKOR_00632
ko:K11070	saun:SAKOR_01023
ko:K01897	saun:SAKOR_00209
ko:K00265	saun:SAKOR_00455
ko:K00951	saun:SAKOR_01581
ko:K06956	saun:SAKOR_00382
ko:K03816	saun:SAKOR_00386
ko:K16169	saun:SAKOR_00387
ko:K06885	saun:SAKOR_00596
ko:K01887	saun:SAKOR_00600
ko:K02016	saun:SAKOR_00604
ko:K02015	saun:SAKOR_00605
ko:K09936	saun:SAKOR_00613
ko:K05566	saun:SAKOR_00618
ko:K05567	saun:SAKOR_00619
ko:K05569	saun:SAKOR_00621
ko:K05571	saun:SAKOR_00623
ko:K05946	saun:SAKOR_00630
ko:K16323	saun:SAKOR_00638
ko:K00259	saun:SAKOR_01381
ko:K07444	saun:SAKOR_01386
ko:K05366	saun:SAKOR_01392
ko:K10773	saun:SAKOR_01394
ko:K01893	saun:SAKOR_01396
ko:K03524	saun:SAKOR_01398
ko:K06973	saun:SAKOR_01402
ko:K00800	saun:SAKOR_01406
ko:K01735	saun:SAKOR_01407
ko:K01736	saun:SAKOR_01408
ko:K00940	saun:SAKOR_01411
