ko:K18928	bpsh:DR55_5026
ko:K07005	bpsh:DR55_4619
ko:K12979	bpsh:DR55_3853
ko:K03297	bpsh:DR55_2965
ko:K16238	bpsh:DR55_1132
ko:K11741	bpsh:DR55_3432
ko:K15634	bpsh:DR55_1615
ko:K05799	bpsh:DR55_1569
ko:K18139	bpsh:DR55_2903
ko:K01458	bpsh:DR55_5069
ko:K05375	bpsh:DR55_4020
ko:K06893	bpsh:DR55_1020
ko:K07497	bpsh:DR55_1388
ko:K21449	bpsh:DR55_5278
ko:K18816	bpsh:DR55_5095
ko:K03458	bpsh:DR55_303
ko:K00102	bpsh:DR55_3962
ko:K02483	bpsh:DR55_4723
ko:K11209	bpsh:DR55_1611
ko:K11209	bpsh:DR55_2843
ko:K19209	bpsh:DR55_5732
ko:K00821	bpsh:DR55_190
ko:K07492	bpsh:DR55_3033
ko:K07484	bpsh:DR55_5655
ko:K21449	bpsh:DR55_4544
ko:K00042	bpsh:DR55_2566
ko:K07346	bpsh:DR55_2739
ko:K22589	bpsh:DR55_1887
ko:K21678	bpsh:DR55_5385
ko:K08166	bpsh:DR55_5021
ko:K00249	bpsh:DR55_1011
ko:K01816	bpsh:DR55_2567
ko:K21345	bpsh:DR55_689
ko:K21344	bpsh:DR55_2000
ko:K05882	bpsh:DR55_4472
ko:K01738	bpsh:DR55_2365
ko:K01697	bpsh:DR55_2365
ko:K15355	bpsh:DR55_4329
ko:K00108	bpsh:DR55_3924
ko:K05874	bpsh:DR55_2824
ko:K00344	bpsh:DR55_5435
ko:K00091	bpsh:DR55_5571
ko:K00863	bpsh:DR55_2728
ko:K00108	bpsh:DR55_1086
ko:K21757	bpsh:DR55_5845
ko:K00826	bpsh:DR55_327
ko:K02843	bpsh:DR55_329
ko:K07019	bpsh:DR55_331
ko:K03637	bpsh:DR55_334
ko:K03832	bpsh:DR55_335
ko:K01902	bpsh:DR55_340
ko:K01903	bpsh:DR55_341
ko:K03565	bpsh:DR55_343
ko:K07649	bpsh:DR55_346
ko:K01434	bpsh:DR55_364
ko:K11896	bpsh:DR55_365
ko:K00156	bpsh:DR55_370
ko:K02275	bpsh:DR55_371
ko:K15408	bpsh:DR55_372
ko:K00763	bpsh:DR55_377
ko:K02050	bpsh:DR55_380
ko:K02049	bpsh:DR55_381
ko:K02403	bpsh:DR55_1190
ko:K02402	bpsh:DR55_1191
ko:K02556	bpsh:DR55_1192
ko:K02557	bpsh:DR55_1193
ko:K03413	bpsh:DR55_1194
ko:K03407	bpsh:DR55_1195
ko:K03408	bpsh:DR55_1196
ko:K00575	bpsh:DR55_1198
ko:K03411	bpsh:DR55_1199
ko:K03412	bpsh:DR55_1200
ko:K03413	bpsh:DR55_1201
ko:K03414	bpsh:DR55_1202
ko:K02401	bpsh:DR55_1206
ko:K02400	bpsh:DR55_1207
ko:K02404	bpsh:DR55_1208
ko:K04562	bpsh:DR55_1209
ko:K02405	bpsh:DR55_1210
ko:K01251	bpsh:DR55_1211
ko:K08972	bpsh:DR55_1212
ko:K00297	bpsh:DR55_1213
ko:K01061	bpsh:DR55_1215
ko:K00459	bpsh:DR55_1216
ko:K01999	bpsh:DR55_1217
ko:K07226	bpsh:DR55_1219
ko:K03642	bpsh:DR55_1225
ko:K07056	bpsh:DR55_1226
ko:K07460	bpsh:DR55_1227
ko:K03271	bpsh:DR55_1228
ko:K08738	bpsh:DR55_1230
ko:K09122	bpsh:DR55_1237
ko:K07275	bpsh:DR55_1242
ko:K06013	bpsh:DR55_2029
ko:K13288	bpsh:DR55_2030
ko:K03831	bpsh:DR55_2031
ko:K09889	bpsh:DR55_2032
ko:K03592	bpsh:DR55_2033
ko:K01679	bpsh:DR55_2044
ko:K03327	bpsh:DR55_2045
ko:K14761	bpsh:DR55_2046
ko:K05805	bpsh:DR55_2049
ko:K05524	bpsh:DR55_2053
ko:K00763	bpsh:DR55_2054
ko:K00782	bpsh:DR55_2055
ko:K09760	bpsh:DR55_2058
ko:K03750	bpsh:DR55_2061
ko:K03752	bpsh:DR55_2062
ko:K03639	bpsh:DR55_2063
ko:K08300	bpsh:DR55_2064
ko:K06179	bpsh:DR55_2065
ko:K01091	bpsh:DR55_2066
ko:K04773	bpsh:DR55_2068
ko:K07056	bpsh:DR55_2069
ko:K06287	bpsh:DR55_2070
ko:K07040	bpsh:DR55_2071
ko:K02911	bpsh:DR55_2072
ko:K03621	bpsh:DR55_2073
ko:K00648	bpsh:DR55_2074
ko:K00645	bpsh:DR55_2075
ko:K00059	bpsh:DR55_2076
ko:K02078	bpsh:DR55_2077
ko:K09458	bpsh:DR55_2078
ko:K03088	bpsh:DR55_2080
ko:K03597	bpsh:DR55_2081
ko:K03598	bpsh:DR55_2082
ko:K06160	bpsh:DR55_2877
ko:K02016	bpsh:DR55_2879
ko:K13255	bpsh:DR55_2880
ko:K02015	bpsh:DR55_2881
ko:K02013	bpsh:DR55_2882
ko:K03088	bpsh:DR55_2885
ko:K00008	bpsh:DR55_2889
ko:K10440	bpsh:DR55_2890
ko:K10441	bpsh:DR55_2891
ko:K10439	bpsh:DR55_2892
ko:K07345	bpsh:DR55_2898
ko:K07346	bpsh:DR55_2899
ko:K07347	bpsh:DR55_2900
ko:K07345	bpsh:DR55_2901
ko:K18095	bpsh:DR55_2904
ko:K18094	bpsh:DR55_2905
ko:K18129	bpsh:DR55_2906
ko:K02029	bpsh:DR55_2908
ko:K02029	bpsh:DR55_2909
ko:K02030	bpsh:DR55_2910
ko:K12511	bpsh:DR55_2914
ko:K02283	bpsh:DR55_2916
ko:K02282	bpsh:DR55_2917
ko:K02280	bpsh:DR55_2919
ko:K02279	bpsh:DR55_2920
ko:K02278	bpsh:DR55_2921
ko:K02651	bpsh:DR55_2922
ko:K02050	bpsh:DR55_2923
ko:K02049	bpsh:DR55_2924
ko:K02051	bpsh:DR55_2926
ko:K08677	bpsh:DR55_3713
ko:K00101	bpsh:DR55_3715
ko:K03221	bpsh:DR55_3728
ko:K03230	bpsh:DR55_3733
ko:K03225	bpsh:DR55_3738
ko:K13285	bpsh:DR55_3744
ko:K13286	bpsh:DR55_3745
ko:K13287	bpsh:DR55_3747
ko:K13741	bpsh:DR55_3751
ko:K01495	bpsh:DR55_3760
ko:K11891	bpsh:DR55_3762
ko:K11892	bpsh:DR55_3763
ko:K11893	bpsh:DR55_3764
ko:K06995	bpsh:DR55_4565
ko:K13874	bpsh:DR55_4567
ko:K10538	bpsh:DR55_4568
ko:K01114	bpsh:DR55_4576
ko:K00428	bpsh:DR55_4577
ko:K01485	bpsh:DR55_4584
ko:K10974	bpsh:DR55_4586
ko:K01266	bpsh:DR55_4593
ko:K00140	bpsh:DR55_4602
ko:K00822	bpsh:DR55_4603
ko:K00694	bpsh:DR55_4612
ko:K00666	bpsh:DR55_4616
ko:K02003	bpsh:DR55_5400
ko:K02004	bpsh:DR55_5401
ko:K02480	bpsh:DR55_5411
ko:K03825	bpsh:DR55_5417
ko:K01426	bpsh:DR55_5419
ko:K05366	bpsh:DR55_5423
ko:K07002	bpsh:DR55_5431
ko:K03119	bpsh:DR55_5434
ko:K03556	bpsh:DR55_5437
ko:K00666	bpsh:DR55_5438
ko:K13993	bpsh:DR55_5440
ko:K07028	bpsh:DR55_5446
ko:K03333	bpsh:DR55_5452
ko:K06917	bpsh:DR55_383
ko:K03776	bpsh:DR55_387
ko:K01684	bpsh:DR55_394
ko:K07245	bpsh:DR55_395
ko:K11927	bpsh:DR55_398
ko:K00681	bpsh:DR55_401
ko:K02444	bpsh:DR55_402
ko:K00111	bpsh:DR55_405
ko:K00864	bpsh:DR55_406
ko:K02440	bpsh:DR55_407
ko:K00800	bpsh:DR55_409
ko:K00800	bpsh:DR55_410
ko:K01953	bpsh:DR55_411
ko:K02858	bpsh:DR55_415
ko:K06168	bpsh:DR55_419
ko:K07042	bpsh:DR55_421
ko:K07232	bpsh:DR55_422
