ko:K19586	ecly:LI62_17630
ko:K01977	ecly:LI62_01780
ko:K05799	ecly:LI62_04295
ko:K19595	ecly:LI62_20585
ko:K14238	ecly:LI62_00925
ko:K14219	ecly:LI62_01295
ko:K14228	ecly:LI62_21905
ko:K01977	ecly:LI62_04745
ko:K01977	ecly:LI62_18315
ko:K01977	ecly:LI62_23795
ko:K19597	ecly:LI62_20550
ko:K19611	ecly:LI62_14135
ko:K19611	ecly:LI62_07650
ko:K01990	ecly:LI62_07495
ko:K02031	ecly:LI62_13220
ko:K02031	ecly:LI62_06455
ko:K19789	ecly:LI62_16565
ko:K19745	ecly:LI62_20990
ko:K00108	ecly:LI62_06480
ko:K02485	ecly:LI62_14230
ko:K08348	ecly:LI62_13315
ko:K08348	ecly:LI62_13320
ko:K04103	ecly:LI62_17180
ko:K00001	ecly:LI62_24455
ko:K22597	ecly:LI62_13880
ko:K01007	ecly:LI62_10020
ko:K21430	ecly:LI62_07800
ko:K08156	ecly:LI62_13295
ko:K02483	ecly:LI62_11590
ko:K19587	ecly:LI62_17620
ko:K04753	ecly:LI62_21135
ko:K01582	ecly:LI62_04670
ko:K02032	ecly:LI62_04840
ko:K09017	ecly:LI62_08685
ko:K02032	ecly:LI62_13225
ko:K03973	ecly:LI62_13890
ko:K00632	ecly:LI62_23825
ko:K00130	ecly:LI62_20100
ko:K05874	ecly:LI62_11530
ko:K20881	ecly:LI62_22950
ko:K20861	ecly:LI62_07835
ko:K20866	ecly:LI62_24580
ko:K20862	ecly:LI62_01365
ko:K08172	ecly:LI62_15695
ko:K07448	ecly:LI62_20740
ko:K03445	ecly:LI62_00495
ko:K00854	ecly:LI62_16105
ko:K00007	ecly:LI62_16110
ko:K03435	ecly:LI62_16120
ko:K00039	ecly:LI62_16125
ko:K00941	ecly:LI62_16165
ko:K00878	ecly:LI62_16170
ko:K00836	ecly:LI62_16250
ko:K13745	ecly:LI62_16255
ko:K16692	ecly:LI62_16260
ko:K01104	ecly:LI62_16265
ko:K01991	ecly:LI62_16270
ko:K03593	ecly:LI62_16285
ko:K01874	ecly:LI62_16290
ko:K02477	ecly:LI62_16300
ko:K02478	ecly:LI62_16305
ko:K05846	ecly:LI62_16315
ko:K05847	ecly:LI62_16320
ko:K05846	ecly:LI62_16325
ko:K05845	ecly:LI62_16330
ko:K05349	ecly:LI62_16335
ko:K03777	ecly:LI62_16340
ko:K03823	ecly:LI62_16345
ko:K07262	ecly:LI62_16350
ko:K00520	ecly:LI62_20530
ko:K07481	ecly:LI62_20535
ko:K16264	ecly:LI62_20545
ko:K01534	ecly:LI62_20565
