ko:K10026	sic:SiL_1387
ko:K18978	sic:SiL_2017
ko:K22223	sic:SiL_1883
ko:K18882	sic:SiL_1448
ko:K10196	sic:SiL_2306
ko:K03146	sic:SiL_1558
ko:K07050	sic:SiL_1543
ko:K01683	sic:SiL_2089
ko:K03417	sic:SiL_2569
ko:K07577	sic:SiL_1609
ko:K10747	sic:SiL_1799
ko:K18125	sic:SiL_2165
ko:K18779	sic:SiL_1717
ko:K07012	sic:SiL_0606
ko:K01061	sic:SiL_0512
ko:K01236	sic:SiL_0517
ko:K06044	sic:SiL_0519
ko:K01304	sic:SiL_0531
ko:K07095	sic:SiL_0533
ko:K00864	sic:SiL_0536
ko:K07133	sic:SiL_0564
ko:K06871	sic:SiL_0566
ko:K01465	sic:SiL_1399
ko:K03057	sic:SiL_1405
ko:K01875	sic:SiL_1408
ko:K02501	sic:SiL_1411
ko:K00013	sic:SiL_1413
ko:K02500	sic:SiL_1414
ko:K01693	sic:SiL_1415
ko:K01814	sic:SiL_1416
ko:K00765	sic:SiL_1417
ko:K00817	sic:SiL_1418
ko:K01869	sic:SiL_1420
ko:K09732	sic:SiL_1423
ko:K01611	sic:SiL_1424
ko:K01652	sic:SiL_1431
ko:K00053	sic:SiL_1433
ko:K03552	sic:SiL_1434
ko:K06865	sic:SiL_1435
ko:K08681	sic:SiL_1436
ko:K06215	sic:SiL_1437
ko:K02976	sic:SiL_1438
ko:K01881	sic:SiL_1439
ko:K01874	sic:SiL_1447
ko:K07090	sic:SiL_2265
ko:K00958	sic:SiL_2267
ko:K00390	sic:SiL_2268
ko:K00381	sic:SiL_2269
ko:K07402	sic:SiL_2281
ko:K00074	sic:SiL_2287
ko:K01895	sic:SiL_2295
ko:K01999	sic:SiL_2307
ko:K01995	sic:SiL_2308
ko:K01996	sic:SiL_2309
ko:K00943	sic:SiL_0347
ko:K00943	sic:SiL_0348
ko:K01524	sic:SiL_0349
ko:K08296	sic:SiL_0350
ko:K00170	sic:SiL_0351
ko:K00169	sic:SiL_0352
ko:K00171	sic:SiL_0353
ko:K00172	sic:SiL_0354
ko:K15342	sic:SiL_0396
ko:K07041	sic:SiL_1239
ko:K04796	sic:SiL_1242
ko:K02922	sic:SiL_1243
ko:K00797	sic:SiL_1244
ko:K01251	sic:SiL_1245
ko:K02889	sic:SiL_1249
ko:K03051	sic:SiL_1250
ko:K07572	sic:SiL_1251
ko:K02528	sic:SiL_1252
ko:K02984	sic:SiL_1255
ko:K04042	sic:SiL_1256
ko:K06942	sic:SiL_1257
ko:K02877	sic:SiL_1258
ko:K07581	sic:SiL_1259
ko:K03539	sic:SiL_1260
ko:K03537	sic:SiL_1261
ko:K03432	sic:SiL_1262
ko:K14574	sic:SiL_1263
ko:K03679	sic:SiL_1264
ko:K11600	sic:SiL_1265
ko:K02921	sic:SiL_1267
ko:K04798	sic:SiL_1269
ko:K10848	sic:SiL_1270
ko:K09154	sic:SiL_1274
ko:K00052	sic:SiL_1275
ko:K01870	sic:SiL_1276
ko:K09142	sic:SiL_1277
ko:K02906	sic:SiL_1278
ko:K02930	sic:SiL_1279
ko:K02892	sic:SiL_1280
ko:K02886	sic:SiL_1281
ko:K02965	sic:SiL_1282
ko:K02890	sic:SiL_1283
ko:K02982	sic:SiL_1284
ko:K02904	sic:SiL_1285
ko:K03538	sic:SiL_1286
ko:K03116	sic:SiL_2105
ko:K01687	sic:SiL_2106
ko:K01299	sic:SiL_2107
ko:K16937	sic:SiL_2118
ko:K07112	sic:SiL_2125
ko:K07238	sic:SiL_2139
ko:K01714	sic:SiL_2140
ko:K06915	sic:SiL_0017
ko:K06888	sic:SiL_0021
ko:K01895	sic:SiL_0033
ko:K07060	sic:SiL_0034
ko:K00858	sic:SiL_0035
ko:K09738	sic:SiL_0040
ko:K07574	sic:SiL_0041
ko:K14568	sic:SiL_0042
ko:K03671	sic:SiL_0049
ko:K09716	sic:SiL_0051
ko:K16264	sic:SiL_0060
ko:K06915	sic:SiL_0064
ko:K03564	sic:SiL_0067
ko:K01637	sic:SiL_0911
ko:K01434	sic:SiL_0924
ko:K03552	sic:SiL_0933
ko:K07301	sic:SiL_0935
ko:K03592	sic:SiL_0956
ko:K03568	sic:SiL_0957
ko:K06001	sic:SiL_0965
ko:K02992	sic:SiL_1770
ko:K03231	sic:SiL_1771
ko:K02946	sic:SiL_1772
ko:K09717	sic:SiL_1776
ko:K03789	sic:SiL_1779
ko:K13038	sic:SiL_1780
ko:K15778	sic:SiL_1781
ko:K01937	sic:SiL_1786
ko:K04796	sic:SiL_1788
ko:K00789	sic:SiL_1789
ko:K09150	sic:SiL_1790
ko:K07179	sic:SiL_1791
ko:K09122	sic:SiL_1794
ko:K09141	sic:SiL_1795
ko:K01494	sic:SiL_1798
ko:K00303	sic:SiL_1801
ko:K01749	sic:SiL_1806
ko:K01845	sic:SiL_1807
ko:K01698	sic:SiL_1808
ko:K02492	sic:SiL_1809
ko:K02304	sic:SiL_1810
ko:K13525	sic:SiL_1813
ko:K07580	sic:SiL_1815
ko:K06176	sic:SiL_1817
ko:K10974	sic:SiL_0575
ko:K09703	sic:SiL_0577
ko:K00451	sic:SiL_0595
ko:K09000	sic:SiL_0605
