ko:K00805	bcer:BCK_00805
ko:K18925	bcer:BCK_04020
ko:K18231	bcer:BCK_21840
ko:K18924	bcer:BCK_04025
ko:K03547	bcer:BCK_03190
ko:K19689	bcer:BCK_06260
ko:K02851	bcer:BCK_09385
ko:K16961	bcer:BCK_17610
ko:K07149	bcer:BCK_16515
ko:K03297	bcer:BCK_06270
ko:K03297	bcer:BCK_18630
ko:K08153	bcer:BCK_04010
ko:K01101	bcer:BCK_10465
ko:K05592	bcer:BCK_08065
ko:K07050	bcer:BCK_00065
ko:K09022	bcer:BCK_07640
ko:K06147	bcer:BCK_22755
ko:K02034	bcer:BCK_06990
ko:K07260	bcer:BCK_12660
ko:K14233	bcer:BCK_t26048
ko:K14233	bcer:BCK_t26152
ko:K00001	bcer:BCK_21905
ko:K03417	bcer:BCK_23145
ko:K10040	bcer:BCK_04945
ko:K02029	bcer:BCK_06045
ko:K18926	bcer:BCK_03510
ko:K03544	bcer:BCK_12835
ko:K01338	bcer:BCK_12845
ko:K03978	bcer:BCK_12850
ko:K02492	bcer:BCK_12865
ko:K02497	bcer:BCK_12870
ko:K01749	bcer:BCK_12875
ko:K01698	bcer:BCK_12885
ko:K01845	bcer:BCK_12890
ko:K06417	bcer:BCK_12895
ko:K01873	bcer:BCK_12905
ko:K11754	bcer:BCK_12910
ko:K06287	bcer:BCK_12920
ko:K03630	bcer:BCK_12925
ko:K03569	bcer:BCK_12930
ko:K03570	bcer:BCK_12935
ko:K03571	bcer:BCK_12940
ko:K03610	bcer:BCK_12945
ko:K03609	bcer:BCK_12950
ko:K06401	bcer:BCK_12955
ko:K08301	bcer:BCK_12965
ko:K02888	bcer:BCK_12970
ko:K02899	bcer:BCK_12980
ko:K06375	bcer:BCK_12985
ko:K03979	bcer:BCK_12990
ko:K02003	bcer:BCK_13005
ko:K04487	bcer:BCK_13035
ko:K00278	bcer:BCK_13040
ko:K00767	bcer:BCK_13045
ko:K03517	bcer:BCK_13050
ko:K06370	bcer:BCK_13055
ko:K11103	bcer:BCK_17320
ko:K15580	bcer:BCK_17325
ko:K15580	bcer:BCK_17330
ko:K15580	bcer:BCK_17335
ko:K00123	bcer:BCK_17395
ko:K02379	bcer:BCK_17410
ko:K03639	bcer:BCK_17415
ko:K03750	bcer:BCK_17430
ko:K03636	bcer:BCK_17440
ko:K05786	bcer:BCK_17465
ko:K09775	bcer:BCK_17470
ko:K14392	bcer:BCK_17500
ko:K01755	bcer:BCK_17515
ko:K16216	bcer:BCK_17525
ko:K03839	bcer:BCK_17555
ko:K03704	bcer:BCK_17565
ko:K01895	bcer:BCK_22085
ko:K01640	bcer:BCK_22100
ko:K02160	bcer:BCK_22105
ko:K01961	bcer:BCK_22110
ko:K01448	bcer:BCK_22190
ko:K03337	bcer:BCK_22270
ko:K01624	bcer:BCK_22275
ko:K03335	bcer:BCK_22280
ko:K03336	bcer:BCK_22285
ko:K00140	bcer:BCK_22290
ko:K03338	bcer:BCK_22295
ko:K05995	bcer:BCK_22315
ko:K02338	bcer:BCK_27008
ko:K02205	bcer:BCK_04940
ko:K10040	bcer:BCK_04950
ko:K10039	bcer:BCK_04955
ko:K03310	bcer:BCK_04965
ko:K06295	bcer:BCK_04975
ko:K02818	bcer:BCK_04995
ko:K02819	bcer:BCK_04995
ko:K03758	bcer:BCK_05005
ko:K06131	bcer:BCK_05025
ko:K02013	bcer:BCK_05060
ko:K02015	bcer:BCK_05065
ko:K02015	bcer:BCK_05070
ko:K02016	bcer:BCK_05075
ko:K03305	bcer:BCK_05080
ko:K06425	bcer:BCK_05085
ko:K03303	bcer:BCK_05095
ko:K01744	bcer:BCK_05100
ko:K11535	bcer:BCK_05115
ko:K00763	bcer:BCK_05155
ko:K01534	bcer:BCK_05160
ko:K00259	bcer:BCK_05175
ko:K01126	bcer:BCK_05180
ko:K00123	bcer:BCK_05190
ko:K02379	bcer:BCK_05195
ko:K02015	bcer:BCK_08445
ko:K02013	bcer:BCK_08450
ko:K02016	bcer:BCK_08455
ko:K06885	bcer:BCK_08460
ko:K01821	bcer:BCK_08465
ko:K01126	bcer:BCK_08485
ko:K00797	bcer:BCK_08500
ko:K01887	bcer:BCK_08530
ko:K01265	bcer:BCK_08575
ko:K07778	bcer:BCK_08590
ko:K07693	bcer:BCK_08595
ko:K06131	bcer:BCK_08620
ko:K00074	bcer:BCK_08635
ko:K01937	bcer:BCK_08660
ko:K02490	bcer:BCK_08670
ko:K01624	bcer:BCK_08675
ko:K00790	bcer:BCK_08680
ko:K03628	bcer:BCK_08690
ko:K02909	bcer:BCK_08695
ko:K02835	bcer:BCK_08705
ko:K02493	bcer:BCK_08710
ko:K06387	bcer:BCK_08715
ko:K01610	bcer:BCK_11325
ko:K00789	bcer:BCK_11330
ko:K03638	bcer:BCK_11340
ko:K03752	bcer:BCK_11345
ko:K16188	bcer:BCK_11375
ko:K07001	bcer:BCK_11390
ko:K03688	bcer:BCK_11400
ko:K01779	bcer:BCK_11415
ko:K07139	bcer:BCK_11435
