ko:K01214	cmz:TAC_01630
ko:K02626	cmz:TAC_03425
ko:K00991	cmz:TAC_03935
ko:K06173	cmz:TAC_03940
ko:K07710	cmz:TAC_03965
ko:K07714	cmz:TAC_03970
ko:K03584	cmz:TAC_03985
ko:K08998	cmz:TAC_04010
ko:K01890	cmz:TAC_04020
ko:K00567	cmz:TAC_04030
ko:K02034	cmz:TAC_04035
ko:K02033	cmz:TAC_04040
ko:K02035	cmz:TAC_04045
ko:K01772	cmz:TAC_04085
ko:K02030	cmz:TAC_04090
ko:K07099	cmz:TAC_04100
ko:K00975	cmz:TAC_04105
ko:K03628	cmz:TAC_04115
ko:K00859	cmz:TAC_04120
ko:K03301	cmz:TAC_04140
ko:K00995	cmz:TAC_04145
ko:K03495	cmz:TAC_04160
ko:K03800	cmz:TAC_04165
ko:K00940	cmz:TAC_04170
ko:K03550	cmz:TAC_04175
ko:K01159	cmz:TAC_04180
ko:K00134	cmz:TAC_04200
ko:K02879	cmz:TAC_04205
ko:K03040	cmz:TAC_04210
ko:K02948	cmz:TAC_04215
ko:K02952	cmz:TAC_04220
ko:K03076	cmz:TAC_04225
ko:K02876	cmz:TAC_04230
ko:K02988	cmz:TAC_04235
ko:K02455	cmz:TAC_04550
ko:K02454	cmz:TAC_04555
ko:K02453	cmz:TAC_04560
ko:K01262	cmz:TAC_04570
ko:K03572	cmz:TAC_04575
ko:K01868	cmz:TAC_04605
ko:K03496	cmz:TAC_04610
ko:K01867	cmz:TAC_04625
ko:K03702	cmz:TAC_04630
ko:K01689	cmz:TAC_04640
ko:K07315	cmz:TAC_04650
ko:K00240	cmz:TAC_04665
ko:K00239	cmz:TAC_04670
ko:K00241	cmz:TAC_04675
ko:K03424	cmz:TAC_04680
ko:K04084	cmz:TAC_04685
ko:K03562	cmz:TAC_04690
ko:K03559	cmz:TAC_04695
ko:K03641	cmz:TAC_04705
ko:K03640	cmz:TAC_04710
ko:K03386	cmz:TAC_04725
ko:K02428	cmz:TAC_04745
ko:K03648	cmz:TAC_04755
ko:K03657	cmz:TAC_04760
ko:K03092	cmz:TAC_04765
ko:K06137	cmz:TAC_04770
ko:K13941	cmz:TAC_04785
ko:K01633	cmz:TAC_04790
ko:K03086	cmz:TAC_04795
ko:K02968	cmz:TAC_04810
ko:K02035	cmz:TAC_02145
ko:K09125	cmz:TAC_02150
ko:K07039	cmz:TAC_02160
ko:K01972	cmz:TAC_02195
ko:K06889	cmz:TAC_02210
ko:K02913	cmz:TAC_02220
ko:K09808	cmz:TAC_02225
ko:K09810	cmz:TAC_02230
ko:K01951	cmz:TAC_02305
ko:K00088	cmz:TAC_02310
ko:K02035	cmz:TAC_02330
ko:K03611	cmz:TAC_02340
ko:K02049	cmz:TAC_02360
ko:K00979	cmz:TAC_02380
ko:K01937	cmz:TAC_02385
ko:K07447	cmz:TAC_02390
ko:K00036	cmz:TAC_02395
ko:K01057	cmz:TAC_02400
ko:K02343	cmz:TAC_02405
ko:K00943	cmz:TAC_02410
ko:K02469	cmz:TAC_02415
ko:K02470	cmz:TAC_02420
ko:K00773	cmz:TAC_02440
ko:K06213	cmz:TAC_02445
ko:K00813	cmz:TAC_00030
ko:K03582	cmz:TAC_00040
ko:K03583	cmz:TAC_00045
ko:K03168	cmz:TAC_00065
ko:K02221	cmz:TAC_00075
ko:K01934	cmz:TAC_00095
ko:K03581	cmz:TAC_00110
ko:K06861	cmz:TAC_00120
ko:K01627	cmz:TAC_00130
ko:K06180	cmz:TAC_00150
ko:K06960	cmz:TAC_00155
ko:K02469	cmz:TAC_00160
ko:K02470	cmz:TAC_00165
ko:K02492	cmz:TAC_00170
ko:K03224	cmz:TAC_00205
ko:K02417	cmz:TAC_00220
ko:K03219	cmz:TAC_00230
ko:K02838	cmz:TAC_00260
ko:K09903	cmz:TAC_00265
ko:K02357	cmz:TAC_00270
ko:K02967	cmz:TAC_00275
ko:K03162	cmz:TAC_00285
ko:K09013	cmz:TAC_00315
ko:K09015	cmz:TAC_00320
ko:K11717	cmz:TAC_00325
ko:K03497	cmz:TAC_00330
ko:K07220	cmz:TAC_00345
ko:K03306	cmz:TAC_00350
ko:K00927	cmz:TAC_00355
ko:K03650	cmz:TAC_00380
ko:K01613	cmz:TAC_00385
ko:K03070	cmz:TAC_00395
ko:K03977	cmz:TAC_00405
ko:K00970	cmz:TAC_00410
ko:K03544	cmz:TAC_00415
ko:K01358	cmz:TAC_00420
ko:K03545	cmz:TAC_00425
ko:K03569	cmz:TAC_00440
ko:K01596	cmz:TAC_00445
ko:K08719	cmz:TAC_00460
ko:K00057	cmz:TAC_00465
ko:K00972	cmz:TAC_00470
ko:K02412	cmz:TAC_00480
ko:K02411	cmz:TAC_00485
ko:K02409	cmz:TAC_00490
ko:K13819	cmz:TAC_00500
ko:K04487	cmz:TAC_00505
ko:K01834	cmz:TAC_00510
ko:K06178	cmz:TAC_00515
ko:K03524	cmz:TAC_00525
ko:K05837	cmz:TAC_00530
ko:K01875	cmz:TAC_00545
ko:K11752	cmz:TAC_00550
ko:K01409	cmz:TAC_02460
ko:K15580	cmz:TAC_02465
ko:K15581	cmz:TAC_02470
ko:K15582	cmz:TAC_02475
ko:K10823	cmz:TAC_02480
ko:K15583	cmz:TAC_02485
ko:K03319	cmz:TAC_02495
ko:K00850	cmz:TAC_02500
ko:K06889	cmz:TAC_02505
ko:K00895	cmz:TAC_02510
ko:K02527	cmz:TAC_02525
ko:K01869	cmz:TAC_02530
ko:K01845	cmz:TAC_02540
ko:K07735	cmz:TAC_02545
ko:K08999	cmz:TAC_02550
ko:K01807	cmz:TAC_02555
ko:K03658	cmz:TAC_02585
ko:K03787	cmz:TAC_02590
ko:K03179	cmz:TAC_02595
ko:K03186	cmz:TAC_02600
ko:K03308	cmz:TAC_02660
ko:K02078	cmz:TAC_02685
ko:K00059	cmz:TAC_02690
ko:K00645	cmz:TAC_02695
ko:K00648	cmz:TAC_02700
ko:K06187	cmz:TAC_02705
ko:K07277	cmz:TAC_02710
ko:K06142	cmz:TAC_02715
ko:K02536	cmz:TAC_02720
ko:K00161	cmz:TAC_02730
ko:K00162	cmz:TAC_02735
ko:K00627	cmz:TAC_02740
ko:K00688	cmz:TAC_02745
ko:K14652	cmz:TAC_00555
ko:K00794	cmz:TAC_00560
ko:K03310	cmz:TAC_00575
ko:K06910	cmz:TAC_00580
ko:K07117	cmz:TAC_00585
ko:K03466	cmz:TAC_00595
ko:K00351	cmz:TAC_00630
ko:K03210	cmz:TAC_00635
ko:K00231	cmz:TAC_00655
ko:K01599	cmz:TAC_00665
ko:K03723	cmz:TAC_00670
ko:K01872	cmz:TAC_00675
ko:K00615	cmz:TAC_00700
ko:K01241	cmz:TAC_00705
ko:K02356	cmz:TAC_00710
ko:K01929	cmz:TAC_00735
ko:K01000	cmz:TAC_00740
ko:K01925	cmz:TAC_00745
ko:K03588	cmz:TAC_00755
ko:K02563	cmz:TAC_00760
ko:K01921	cmz:TAC_00765
ko:K01924	cmz:TAC_00765
ko:K06960	cmz:TAC_00770
ko:K00791	cmz:TAC_00785
ko:K09710	cmz:TAC_00800
ko:K09458	cmz:TAC_00805
ko:K01507	cmz:TAC_00815
ko:K00263	cmz:TAC_00825
ko:K01082	cmz:TAC_00830
ko:K00655	cmz:TAC_00835
ko:K01909	cmz:TAC_00840
ko:K00652	cmz:TAC_00845
ko:K04066	cmz:TAC_00850
ko:K04567	cmz:TAC_00870
ko:K01883	cmz:TAC_00875
ko:K03536	cmz:TAC_00890
ko:K02914	cmz:TAC_00895
ko:K02919	cmz:TAC_00900
ko:K02954	cmz:TAC_00905
ko:K03703	cmz:TAC_00920
ko:K03555	cmz:TAC_00925
ko:K02313	cmz:TAC_02755
ko:K03217	cmz:TAC_02760
ko:K07052	cmz:TAC_02775
ko:K04487	cmz:TAC_02795
ko:K02342	cmz:TAC_02810
ko:K07083	cmz:TAC_02815
ko:K01962	cmz:TAC_02830
ko:K01448	cmz:TAC_02845
ko:K01928	cmz:TAC_02850
ko:K03587	cmz:TAC_02860
ko:K03438	cmz:TAC_02870
ko:K02313	cmz:TAC_02885
ko:K00347	cmz:TAC_02900
ko:K00348	cmz:TAC_02905
ko:K00349	cmz:TAC_02910
ko:K00350	cmz:TAC_02915
ko:K02437	cmz:TAC_02920
ko:K03800	cmz:TAC_02940
ko:K03696	cmz:TAC_02945
ko:K00566	cmz:TAC_02950
ko:K02806	cmz:TAC_02965
ko:K02806	cmz:TAC_02970
ko:K01963	cmz:TAC_02980
ko:K04564	cmz:TAC_02985
ko:K01840	cmz:TAC_02990
ko:K03685	cmz:TAC_03000
ko:K04485	cmz:TAC_03005
ko:K01749	cmz:TAC_03010
ko:K01873	cmz:TAC_03030
ko:K02881	cmz:TAC_04240
ko:K02933	cmz:TAC_04245
ko:K02994	cmz:TAC_04250
ko:K02931	cmz:TAC_04255
ko:K02895	cmz:TAC_04260
ko:K02874	cmz:TAC_04265
ko:K02961	cmz:TAC_04270
ko:K02904	cmz:TAC_04275
ko:K02878	cmz:TAC_04280
ko:K02982	cmz:TAC_04285
ko:K02890	cmz:TAC_04290
ko:K02965	cmz:TAC_04295
ko:K02886	cmz:TAC_04300
ko:K02892	cmz:TAC_04305
ko:K02926	cmz:TAC_04310
ko:K02906	cmz:TAC_04315
ko:K00604	cmz:TAC_04325
ko:K00677	cmz:TAC_04330
ko:K02372	cmz:TAC_04335
ko:K02535	cmz:TAC_04340
ko:K03820	cmz:TAC_04345
ko:K02342	cmz:TAC_04355
ko:K06925	cmz:TAC_04360
ko:K03671	cmz:TAC_04380
ko:K03216	cmz:TAC_04385
ko:K01876	cmz:TAC_04395
ko:K01892	cmz:TAC_04400
ko:K07783	cmz:TAC_04405
ko:K02337	cmz:TAC_04410
ko:K00761	cmz:TAC_04415
ko:K07258	cmz:TAC_04445
ko:K03311	cmz:TAC_04460
ko:K00382	cmz:TAC_04485
ko:K03644	cmz:TAC_04490
ko:K03222	cmz:TAC_04495
ko:K03223	cmz:TAC_04505
ko:K03226	cmz:TAC_04510
ko:K03227	cmz:TAC_04515
ko:K03228	cmz:TAC_04520
ko:K14164	cmz:TAC_00945
ko:K00995	cmz:TAC_00950
ko:K00703	cmz:TAC_00955
ko:K02897	cmz:TAC_00965
ko:K01056	cmz:TAC_00970
ko:K02990	cmz:TAC_00975
ko:K02963	cmz:TAC_00980
ko:K02939	cmz:TAC_00985
ko:K00919	cmz:TAC_00990
ko:K01408	cmz:TAC_01005
ko:K00630	cmz:TAC_01010
ko:K08301	cmz:TAC_01015
ko:K02911	cmz:TAC_01030
ko:K03621	cmz:TAC_01035
ko:K03431	cmz:TAC_01065
ko:K00820	cmz:TAC_01070
ko:K03834	cmz:TAC_01075
ko:K03834	cmz:TAC_01080
ko:K06890	cmz:TAC_01085
ko:K03110	cmz:TAC_01090
ko:K01903	cmz:TAC_01095
ko:K01902	cmz:TAC_01100
ko:K06972	cmz:TAC_01110
ko:K09760	cmz:TAC_01115
ko:K17103	cmz:TAC_01120
ko:K03439	cmz:TAC_01135
ko:K00075	cmz:TAC_01150
ko:K02124	cmz:TAC_03040
ko:K02123	cmz:TAC_03045
ko:K02120	cmz:TAC_03050
ko:K02118	cmz:TAC_03055
ko:K02117	cmz:TAC_03060
ko:K02121	cmz:TAC_03070
ko:K00616	cmz:TAC_03085
ko:K03046	cmz:TAC_03090
ko:K03043	cmz:TAC_03095
ko:K02935	cmz:TAC_03100
ko:K02864	cmz:TAC_03105
ko:K02863	cmz:TAC_03110
ko:K02867	cmz:TAC_03115
ko:K02601	cmz:TAC_03120
ko:K03073	cmz:TAC_03125
ko:K02358	cmz:TAC_03135
ko:K02518	cmz:TAC_03145
ko:K01803	cmz:TAC_03185
ko:K03601	cmz:TAC_03190
ko:K03602	cmz:TAC_03195
ko:K01662	cmz:TAC_03205
ko:K00873	cmz:TAC_03210
ko:K03701	cmz:TAC_03215
ko:K02343	cmz:TAC_03220
ko:K09747	cmz:TAC_03225
ko:K08483	cmz:TAC_03230
ko:K11189	cmz:TAC_03235
ko:K11381	cmz:TAC_03255
ko:K03686	cmz:TAC_03260
ko:K02970	cmz:TAC_03265
ko:K01338	cmz:TAC_03275
ko:K00784	cmz:TAC_03285
