ko:K19079	suc:ECTR2_612
ko:K09022	suc:ECTR2_437
ko:K19005	suc:ECTR2_669
ko:K19285	suc:ECTR2_342
ko:K07145	suc:ECTR2_129
ko:K11737	suc:ECTR2_1536
ko:K12574	suc:ECTR2_1131
ko:K16301	suc:ECTR2_304
ko:K05352	suc:ECTR2_217
ko:K03565	suc:ECTR2_1744
ko:K05520	suc:ECTR2_1746
ko:K07058	suc:ECTR2_1754
ko:K01265	suc:ECTR2_1759
ko:K02217	suc:ECTR2_1764
ko:K02346	suc:ECTR2_1766
ko:K03215	suc:ECTR2_1768
ko:K02434	suc:ECTR2_1771
ko:K02435	suc:ECTR2_1773
ko:K01972	suc:ECTR2_1776
ko:K03657	suc:ECTR2_1777
ko:K01756	suc:ECTR2_1780
ko:K00763	suc:ECTR2_1785
ko:K00491	suc:ECTR2_1786
ko:K14445	suc:ECTR2_1788
ko:K03501	suc:ECTR2_2561
ko:K03495	suc:ECTR2_2562
ko:K03650	suc:ECTR2_2563
ko:K03536	suc:ECTR2_2564
ko:K02914	suc:ECTR2_2565
ko:K03075	suc:ECTR2_729
ko:K03928	suc:ECTR2_730
ko:K12573	suc:ECTR2_731
ko:K03664	suc:ECTR2_732
ko:K03704	suc:ECTR2_744
ko:K06895	suc:ECTR2_752
ko:K03785	suc:ECTR2_755
ko:K02437	suc:ECTR2_759
ko:K07476	suc:ECTR2_762
ko:K02071	suc:ECTR2_764
ko:K02072	suc:ECTR2_765
ko:K02073	suc:ECTR2_766
ko:K09013	suc:ECTR2_769
ko:K09015	suc:ECTR2_770
ko:K11717	suc:ECTR2_771
ko:K09014	suc:ECTR2_773
ko:K00459	suc:ECTR2_776
ko:K07090	suc:ECTR2_778
ko:K03644	suc:ECTR2_780
ko:K01911	suc:ECTR2_1631
ko:K01154	suc:ECTR2_1640
ko:K03427	suc:ECTR2_1641
ko:K07002	suc:ECTR2_1673
ko:K00231	suc:ECTR2_1674
ko:K01772	suc:ECTR2_1675
ko:K01599	suc:ECTR2_1676
ko:K02503	suc:ECTR2_1680
ko:K01623	suc:ECTR2_2460
ko:K00116	suc:ECTR2_2461
ko:K01895	suc:ECTR2_2462
ko:K03300	suc:ECTR2_2472
ko:K02304	suc:ECTR2_2473
ko:K00432	suc:ECTR2_2475
ko:K00926	suc:ECTR2_2486
ko:K03758	suc:ECTR2_2487
ko:K00611	suc:ECTR2_2488
ko:K01809	suc:ECTR2_2496
ko:K01421	suc:ECTR2_2497
ko:K03070	suc:ECTR2_2503
ko:K03076	suc:ECTR2_2507
ko:K09793	suc:ECTR2_626
ko:K06966	suc:ECTR2_632
ko:K09768	suc:ECTR2_633
ko:K06153	suc:ECTR2_635
ko:K01669	suc:ECTR2_643
ko:K02768	suc:ECTR2_651
ko:K02769	suc:ECTR2_651
ko:K02770	suc:ECTR2_651
ko:K01443	suc:ECTR2_652
ko:K10681	suc:ECTR2_656
ko:K10682	suc:ECTR2_657
ko:K10026	suc:ECTR2_661
ko:K01737	suc:ECTR2_662
ko:K06920	suc:ECTR2_663
ko:K01665	suc:ECTR2_665
ko:K15738	suc:ECTR2_670
ko:K03654	suc:ECTR2_671
ko:K05847	suc:ECTR2_672
ko:K07636	suc:ECTR2_1532
ko:K00031	suc:ECTR2_1534
ko:K01647	suc:ECTR2_1535
ko:K00873	suc:ECTR2_1537
ko:K00850	suc:ECTR2_1538
ko:K01962	suc:ECTR2_1539
ko:K01963	suc:ECTR2_1540
ko:K02337	suc:ECTR2_1543
ko:K00259	suc:ECTR2_1549
ko:K00925	suc:ECTR2_1551
ko:K11065	suc:ECTR2_1553
ko:K07090	suc:ECTR2_1554
ko:K03151	suc:ECTR2_1555
ko:K04487	suc:ECTR2_1556
ko:K02986	suc:ECTR2_1560
ko:K01126	suc:ECTR2_1561
ko:K00655	suc:ECTR2_1567
ko:K01866	suc:ECTR2_1569
ko:K01938	suc:ECTR2_1572
ko:K01895	suc:ECTR2_1573
ko:K04766	suc:ECTR2_1574
ko:K04768	suc:ECTR2_1575
ko:K02529	suc:ECTR2_1576
ko:K13853	suc:ECTR2_1577
ko:K11476	suc:ECTR2_2359
ko:K04041	suc:ECTR2_2368
ko:K06999	suc:ECTR2_2370
ko:K15975	suc:ECTR2_2371
ko:K15973	suc:ECTR2_2372
ko:K06975	suc:ECTR2_2373
ko:K03778	suc:ECTR2_2376
ko:K03823	suc:ECTR2_2381
ko:K01752	suc:ECTR2_2382
ko:K01752	suc:ECTR2_2383
ko:K07107	suc:ECTR2_2389
ko:K04759	suc:ECTR2_2402
ko:K04758	suc:ECTR2_2403
ko:K00266	suc:ECTR2_406
ko:K02818	suc:ECTR2_408
ko:K02819	suc:ECTR2_408
ko:K02343	suc:ECTR2_413
ko:K09747	suc:ECTR2_414
ko:K06187	suc:ECTR2_415
ko:K00943	suc:ECTR2_422
ko:K02341	suc:ECTR2_424
ko:K07461	suc:ECTR2_428
ko:K07056	suc:ECTR2_429
ko:K01874	suc:ECTR2_430
ko:K03424	suc:ECTR2_431
ko:K05985	suc:ECTR2_432
ko:K02528	suc:ECTR2_433
ko:K00919	suc:ECTR2_435
ko:K06412	suc:ECTR2_438
ko:K04042	suc:ECTR2_439
