ko:K09796	vcf:IR04_00165
ko:K19416	vcf:IR04_12060
ko:K01980	vcf:IR04_18820
ko:K14233	vcf:IR04_13975
ko:K14220	vcf:IR04_07215
ko:K14220	vcf:IR04_07225
ko:K14220	vcf:IR04_07245
ko:K10952	vcf:IR04_12535
ko:K10928	vcf:IR04_12525
ko:K10929	vcf:IR04_12520
ko:K01046	vcf:IR04_00980
ko:K19736	vcf:IR04_13925
ko:K01990	vcf:IR04_13515
ko:K11209	vcf:IR04_02475
ko:K14225	vcf:IR04_06635
ko:K14225	vcf:IR04_11400
ko:K14225	vcf:IR04_11410
ko:K14225	vcf:IR04_06655
ko:K14225	vcf:IR04_06640
ko:K14225	vcf:IR04_06645
ko:K19789	vcf:IR04_13400
ko:K19745	vcf:IR04_05045
ko:K14234	vcf:IR04_07255
ko:K14234	vcf:IR04_07230
ko:K14234	vcf:IR04_06505
ko:K14234	vcf:IR04_07220
ko:K21379	vcf:IR04_06185
ko:K01007	vcf:IR04_04345
ko:K14226	vcf:IR04_05760
ko:K14226	vcf:IR04_05770
ko:K14223	vcf:IR04_16055
ko:K14234	vcf:IR04_17555
ko:K20949	vcf:IR04_10045
ko:K20962	vcf:IR04_03415
ko:K21498	vcf:IR04_01760
ko:K20977	vcf:IR04_04790
ko:K20862	vcf:IR04_05550
ko:K02482	vcf:IR04_12835
ko:K22468	vcf:IR04_09060
ko:K10918	vcf:IR04_10585
ko:K01800	vcf:IR04_12020
ko:K03973	vcf:IR04_13600
ko:K01992	vcf:IR04_13270
ko:K01992	vcf:IR04_13520
ko:K00020	vcf:IR04_00030
ko:K00638	vcf:IR04_01125
ko:K00638	vcf:IR04_01335
ko:K10917	vcf:IR04_18310
ko:K07497	vcf:IR04_12635
ko:K07497	vcf:IR04_03445
ko:K07497	vcf:IR04_14120
ko:K07497	vcf:IR04_01670
ko:K07497	vcf:IR04_02100
ko:K10948	vcf:IR04_00970
ko:K10916	vcf:IR04_02170
ko:K10915	vcf:IR04_02175
ko:K01582	vcf:IR04_06305
ko:K10123	vcf:IR04_15520
ko:K08604	vcf:IR04_03775
ko:K19337	vcf:IR04_11065
ko:K10961	vcf:IR04_09500
ko:K10932	vcf:IR04_09530
ko:K10912	vcf:IR04_10440
ko:K02650	vcf:IR04_17195
ko:K19302	vcf:IR04_17515
ko:K01175	vcf:IR04_15625
ko:K22042	vcf:IR04_08810
ko:K19334	vcf:IR04_13005
ko:K02475	vcf:IR04_13240
ko:K02031	vcf:IR04_08035
ko:K06867	vcf:IR04_13135
ko:K01682	vcf:IR04_07970
ko:K09910	vcf:IR04_07975
ko:K04752	vcf:IR04_07980
ko:K03320	vcf:IR04_07985
ko:K02012	vcf:IR04_07990
ko:K02011	vcf:IR04_07995
ko:K02010	vcf:IR04_08000
