ko:K19405	ctls:L2BAMS4_00711
ko:K01921	ctls:L2BAMS4_00810
ko:K01924	ctls:L2BAMS4_00810
ko:K14233	ctls:L2BAMS4_00890
ko:K11645	ctls:L2BAMS4_00219
ko:K01214	ctls:L2BAMS4_00044
ko:K07056	ctls:L2BAMS4_00050
ko:K00164	ctls:L2BAMS4_00056
ko:K00658	ctls:L2BAMS4_00057
ko:K05810	ctls:L2BAMS4_00058
ko:K03526	ctls:L2BAMS4_00059
ko:K02400	ctls:L2BAMS4_00063
ko:K02405	ctls:L2BAMS4_00064
ko:K01866	ctls:L2BAMS4_00065
ko:K03596	ctls:L2BAMS4_00067
ko:K03301	ctls:L2BAMS4_00068
ko:K00099	ctls:L2BAMS4_00074
ko:K03629	ctls:L2BAMS4_00077
ko:K02338	ctls:L2BAMS4_00078
ko:K03664	ctls:L2BAMS4_00079
ko:K03734	ctls:L2BAMS4_00080
ko:K01491	ctls:L2BAMS4_00081
ko:K02902	ctls:L2BAMS4_00087
ko:K00705	ctls:L2BAMS4_00088
ko:K04058	ctls:L2BAMS4_00090
ko:K03230	ctls:L2BAMS4_00091
ko:K03229	ctls:L2BAMS4_00092
ko:K06942	ctls:L2BAMS4_00093
ko:K11753	ctls:L2BAMS4_00094
ko:K02834	ctls:L2BAMS4_00096
ko:K02519	ctls:L2BAMS4_00097
ko:K02600	ctls:L2BAMS4_00098
ko:K02945	ctls:L2BAMS4_00099
ko:K00384	ctls:L2BAMS4_00100
ko:K00997	ctls:L2BAMS4_00101
ko:K02527	ctls:L2BAMS4_00212
ko:K01869	ctls:L2BAMS4_00213
ko:K01845	ctls:L2BAMS4_00214
ko:K07735	ctls:L2BAMS4_00215
ko:K08999	ctls:L2BAMS4_00216
ko:K01807	ctls:L2BAMS4_00217
ko:K03787	ctls:L2BAMS4_00222
ko:K03179	ctls:L2BAMS4_00223
ko:K03186	ctls:L2BAMS4_00224
ko:K03308	ctls:L2BAMS4_00237
ko:K02078	ctls:L2BAMS4_00242
ko:K00645	ctls:L2BAMS4_00244
ko:K00648	ctls:L2BAMS4_00245
ko:K06187	ctls:L2BAMS4_00246
ko:K07277	ctls:L2BAMS4_00247
ko:K06142	ctls:L2BAMS4_00248
ko:K02536	ctls:L2BAMS4_00249
ko:K00161	ctls:L2BAMS4_00251
ko:K00162	ctls:L2BAMS4_00252
ko:K00627	ctls:L2BAMS4_00253
ko:K00688	ctls:L2BAMS4_00254
ko:K02313	ctls:L2BAMS4_00256
ko:K03217	ctls:L2BAMS4_00257
ko:K06888	ctls:L2BAMS4_00368
ko:K03523	ctls:L2BAMS4_00372
ko:K01714	ctls:L2BAMS4_00375
ko:K00928	ctls:L2BAMS4_00376
ko:K00133	ctls:L2BAMS4_00377
ko:K00215	ctls:L2BAMS4_00378
ko:K00800	ctls:L2BAMS4_00380
ko:K00891	ctls:L2BAMS4_00381
ko:K01736	ctls:L2BAMS4_00382
ko:K01735	ctls:L2BAMS4_00383
ko:K13832	ctls:L2BAMS4_00384
ko:K03758	ctls:L2BAMS4_00388
ko:K00024	ctls:L2BAMS4_00390
ko:K01810	ctls:L2BAMS4_00392
ko:K03665	ctls:L2BAMS4_00393
ko:K06167	ctls:L2BAMS4_00394
ko:K09996	ctls:L2BAMS4_00395
ko:K06966	ctls:L2BAMS4_00402
ko:K09131	ctls:L2BAMS4_00403
ko:K10206	ctls:L2BAMS4_00405
ko:K01881	ctls:L2BAMS4_00408
ko:K03705	ctls:L2BAMS4_00409
ko:K03687	ctls:L2BAMS4_00410
ko:K04043	ctls:L2BAMS4_00411
ko:K12573	ctls:L2BAMS4_00412
ko:K07164	ctls:L2BAMS4_00413
ko:K06041	ctls:L2BAMS4_00414
ko:K00658	ctls:L2BAMS4_00415
ko:K00912	ctls:L2BAMS4_00417
ko:K03437	ctls:L2BAMS4_00418
ko:K06969	ctls:L2BAMS4_00419
ko:K00793	ctls:L2BAMS4_00420
ko:K01887	ctls:L2BAMS4_00474
ko:K00790	ctls:L2BAMS4_00475
ko:K02836	ctls:L2BAMS4_00479
ko:K00991	ctls:L2BAMS4_00482
ko:K06173	ctls:L2BAMS4_00483
ko:K07710	ctls:L2BAMS4_00488
ko:K07714	ctls:L2BAMS4_00489
ko:K03584	ctls:L2BAMS4_00492
ko:K08998	ctls:L2BAMS4_00496
ko:K01890	ctls:L2BAMS4_00498
ko:K02034	ctls:L2BAMS4_00501
ko:K01772	ctls:L2BAMS4_00510
ko:K07099	ctls:L2BAMS4_00513
ko:K00975	ctls:L2BAMS4_00514
ko:K03628	ctls:L2BAMS4_00516
ko:K00859	ctls:L2BAMS4_00517
ko:K03301	ctls:L2BAMS4_00520
ko:K00995	ctls:L2BAMS4_00521
ko:K03495	ctls:L2BAMS4_00524
ko:K03800	ctls:L2BAMS4_00525
ko:K00940	ctls:L2BAMS4_00526
ko:K03311	ctls:L2BAMS4_00582
ko:K00382	ctls:L2BAMS4_00585
ko:K03644	ctls:L2BAMS4_00586
ko:K03222	ctls:L2BAMS4_00587
ko:K03223	ctls:L2BAMS4_00589
ko:K03226	ctls:L2BAMS4_00590
ko:K03228	ctls:L2BAMS4_00592
ko:K02455	ctls:L2BAMS4_00598
ko:K02453	ctls:L2BAMS4_00600
ko:K03572	ctls:L2BAMS4_00603
ko:K01868	ctls:L2BAMS4_00609
ko:K01867	ctls:L2BAMS4_00613
ko:K03702	ctls:L2BAMS4_00614
ko:K01689	ctls:L2BAMS4_00615
ko:K00240	ctls:L2BAMS4_00619
ko:K00239	ctls:L2BAMS4_00620
ko:K03424	ctls:L2BAMS4_00623
ko:K03562	ctls:L2BAMS4_00625
ko:K03641	ctls:L2BAMS4_00628
ko:K03640	ctls:L2BAMS4_00629
ko:K03070	ctls:L2BAMS4_00740
ko:K03977	ctls:L2BAMS4_00742
ko:K03544	ctls:L2BAMS4_00744
ko:K01358	ctls:L2BAMS4_00745
ko:K03545	ctls:L2BAMS4_00746
ko:K03569	ctls:L2BAMS4_00749
ko:K00057	ctls:L2BAMS4_00754
ko:K02412	ctls:L2BAMS4_00757
ko:K02411	ctls:L2BAMS4_00758
ko:K02409	ctls:L2BAMS4_00759
ko:K13819	ctls:L2BAMS4_00760
ko:K04487	ctls:L2BAMS4_00761
ko:K06178	ctls:L2BAMS4_00763
ko:K03524	ctls:L2BAMS4_00765
ko:K05837	ctls:L2BAMS4_00766
ko:K01875	ctls:L2BAMS4_00769
ko:K11752	ctls:L2BAMS4_00770
ko:K14652	ctls:L2BAMS4_00771
ko:K00794	ctls:L2BAMS4_00772
ko:K03310	ctls:L2BAMS4_00775
ko:K03466	ctls:L2BAMS4_00779
ko:K00351	ctls:L2BAMS4_00784
ko:K03210	ctls:L2BAMS4_00785
ko:K00231	ctls:L2BAMS4_00789
ko:K01599	ctls:L2BAMS4_00791
ko:K03723	ctls:L2BAMS4_00792
ko:K01872	ctls:L2BAMS4_00793
ko:K00615	ctls:L2BAMS4_00797
ko:K01241	ctls:L2BAMS4_00798
ko:K02356	ctls:L2BAMS4_00799
ko:K01929	ctls:L2BAMS4_00804
ko:K01000	ctls:L2BAMS4_00805
ko:K01925	ctls:L2BAMS4_00806
ko:K03588	ctls:L2BAMS4_00808
ko:K02563	ctls:L2BAMS4_00809
ko:K06960	ctls:L2BAMS4_00811
ko:K00791	ctls:L2BAMS4_00814
ko:K09710	ctls:L2BAMS4_00817
ko:K09458	ctls:L2BAMS4_00818
ko:K00263	ctls:L2BAMS4_00821
ko:K00655	ctls:L2BAMS4_00823
ko:K04066	ctls:L2BAMS4_00826
ko:K04567	ctls:L2BAMS4_00830
ko:K01883	ctls:L2BAMS4_00831
ko:K03536	ctls:L2BAMS4_00833
ko:K02919	ctls:L2BAMS4_00834
ko:K02954	ctls:L2BAMS4_00835
ko:K03703	ctls:L2BAMS4_00839
ko:K03555	ctls:L2BAMS4_00840
ko:K01265	ctls:L2BAMS4_00906
ko:K03321	ctls:L2BAMS4_00913
ko:K03527	ctls:L2BAMS4_00916
ko:K00208	ctls:L2BAMS4_00105
ko:K03575	ctls:L2BAMS4_00108
ko:K04077	ctls:L2BAMS4_00111
ko:K04078	ctls:L2BAMS4_00112
ko:K08602	ctls:L2BAMS4_00114
ko:K03695	ctls:L2BAMS4_00115
ko:K01783	ctls:L2BAMS4_00123
ko:K02356	ctls:L2BAMS4_00124
ko:K02160	ctls:L2BAMS4_00125
ko:K01961	ctls:L2BAMS4_00126
ko:K02871	ctls:L2BAMS4_00127
ko:K02996	ctls:L2BAMS4_00128
ko:K02029	ctls:L2BAMS4_00131
ko:K07058	ctls:L2BAMS4_00134
ko:K03648	ctls:L2BAMS4_00638
ko:K03657	ctls:L2BAMS4_00639
ko:K03092	ctls:L2BAMS4_00640
ko:K06137	ctls:L2BAMS4_00641
ko:K13941	ctls:L2BAMS4_00644
ko:K01633	ctls:L2BAMS4_00645
ko:K03086	ctls:L2BAMS4_00646
ko:K02968	ctls:L2BAMS4_00648
ko:K03980	ctls:L2BAMS4_00655
ko:K01151	ctls:L2BAMS4_00656
ko:K02986	ctls:L2BAMS4_00657
ko:K07146	ctls:L2BAMS4_00658
ko:K13789	ctls:L2BAMS4_00659
ko:K01698	ctls:L2BAMS4_00665
ko:K00346	ctls:L2BAMS4_00666
ko:K03582	ctls:L2BAMS4_00672
ko:K03583	ctls:L2BAMS4_00673
ko:K03168	ctls:L2BAMS4_00676
ko:K02221	ctls:L2BAMS4_00678
ko:K14164	ctls:L2BAMS4_00844
ko:K00995	ctls:L2BAMS4_00845
ko:K00703	ctls:L2BAMS4_00846
ko:K02897	ctls:L2BAMS4_00848
ko:K01056	ctls:L2BAMS4_00849
ko:K02990	ctls:L2BAMS4_00850
ko:K02963	ctls:L2BAMS4_00851
ko:K02939	ctls:L2BAMS4_00852
ko:K00919	ctls:L2BAMS4_00853
ko:K00630	ctls:L2BAMS4_00857
ko:K06999	ctls:L2BAMS4_00138
ko:K07566	ctls:L2BAMS4_00139
ko:K09125	ctls:L2BAMS4_00142
ko:K07039	ctls:L2BAMS4_00143
ko:K01972	ctls:L2BAMS4_00150
ko:K02913	ctls:L2BAMS4_00154
ko:K09808	ctls:L2BAMS4_00155
ko:K09810	ctls:L2BAMS4_00156
ko:K04487	ctls:L2BAMS4_00264
ko:K07083	ctls:L2BAMS4_00268
ko:K01962	ctls:L2BAMS4_00271
ko:K01448	ctls:L2BAMS4_00274
ko:K01928	ctls:L2BAMS4_00275
ko:K03587	ctls:L2BAMS4_00276
ko:K03438	ctls:L2BAMS4_00278
ko:K02313	ctls:L2BAMS4_00281
ko:K00347	ctls:L2BAMS4_00284
ko:K00348	ctls:L2BAMS4_00285
ko:K00349	ctls:L2BAMS4_00286
ko:K00350	ctls:L2BAMS4_00287
ko:K02437	ctls:L2BAMS4_00288
ko:K03800	ctls:L2BAMS4_00291
ko:K03696	ctls:L2BAMS4_00292
ko:K00566	ctls:L2BAMS4_00293
ko:K01963	ctls:L2BAMS4_00299
ko:K04564	ctls:L2BAMS4_00300
