ko:K14224	cjy:QZ67_02024
ko:K14235	cjy:QZ67_01949
ko:K14219	cjy:QZ67_02109
ko:K01978	cjy:QZ67_01959
ko:K14230	cjy:QZ67_02124
ko:K03892	cjy:QZ67_01684
ko:K15915	cjy:QZ67_01201
ko:K14238	cjy:QZ67_02074
ko:K02482	cjy:QZ67_00861
ko:K01174	cjy:QZ67_01053
ko:K04753	cjy:QZ67_01645
ko:K06148	cjy:QZ67_01208
ko:K07216	cjy:QZ67_01299
ko:K00855	cjy:QZ67_01560
ko:K03271	cjy:QZ67_01563
ko:K07031	cjy:QZ67_01564
ko:K01711	cjy:QZ67_01567
ko:K02377	cjy:QZ67_01568
ko:K01790	cjy:QZ67_01569
ko:K06041	cjy:QZ67_01575
ko:K10107	cjy:QZ67_01577
ko:K09689	cjy:QZ67_01578
ko:K09688	cjy:QZ67_01579
ko:K09979	cjy:QZ67_01580
ko:K04075	cjy:QZ67_01584
ko:K02836	cjy:QZ67_01586
ko:K06176	cjy:QZ67_01588
ko:K00946	cjy:QZ67_01589
ko:K02394	cjy:QZ67_01593
ko:K02396	cjy:QZ67_01597
ko:K07090	cjy:QZ67_01599
ko:K02455	cjy:QZ67_01600
ko:K02454	cjy:QZ67_01601
ko:K01714	cjy:QZ67_01603
ko:K02453	cjy:QZ67_01604
ko:K01778	cjy:QZ67_01657
ko:K03796	cjy:QZ67_01658
ko:K07133	cjy:QZ67_01659
ko:K04047	cjy:QZ67_01660
ko:K01810	cjy:QZ67_01661
ko:K00963	cjy:QZ67_01662
ko:K01895	cjy:QZ67_01663
ko:K06857	cjy:QZ67_01664
ko:K05773	cjy:QZ67_01665
ko:K05772	cjy:QZ67_01666
ko:K07160	cjy:QZ67_01667
ko:K03923	cjy:QZ67_01671
ko:K03098	cjy:QZ67_01673
ko:K13979	cjy:QZ67_01674
ko:K01153	cjy:QZ67_01675
ko:K01154	cjy:QZ67_01677
ko:K03427	cjy:QZ67_01679
ko:K07118	cjy:QZ67_01680
ko:K07089	cjy:QZ67_01683
ko:K03406	cjy:QZ67_01686
ko:K00343	cjy:QZ67_01688
ko:K00342	cjy:QZ67_01689
ko:K00341	cjy:QZ67_01690
ko:K00341	cjy:QZ67_01691
ko:K00340	cjy:QZ67_01692
ko:K00339	cjy:QZ67_01693
ko:K00338	cjy:QZ67_01694
ko:K00337	cjy:QZ67_01695
ko:K00336	cjy:QZ67_01696
ko:K00335	cjy:QZ67_01697
ko:K00334	cjy:QZ67_01698
ko:K00333	cjy:QZ67_01699
