ko:K18929	hef:HPF16_0147
ko:K19302	hef:HPF16_0511
ko:K12574	hef:HPF16_1325
ko:K18928	hef:HPF16_0148
ko:K03060	hef:HPF16_0584
ko:K01866	hef:HPF16_0586
ko:K00459	hef:HPF16_0587
ko:K01448	hef:HPF16_0588
ko:K02401	hef:HPF16_0590
ko:K03752	hef:HPF16_0591
ko:K03639	hef:HPF16_0592
ko:K06940	hef:HPF16_0597
ko:K03110	hef:HPF16_0598
ko:K07084	hef:HPF16_0603
ko:K12251	hef:HPF16_0604
ko:K02422	hef:HPF16_0608
ko:K02407	hef:HPF16_0609
ko:K09811	hef:HPF16_0612
ko:K09812	hef:HPF16_0613
ko:K03439	hef:HPF16_0614
ko:K06180	hef:HPF16_0616
ko:K05837	hef:HPF16_0620
ko:K00948	hef:HPF16_0621
ko:K01929	hef:HPF16_0623
ko:K01921	hef:HPF16_0625
ko:K01095	hef:HPF16_0626
ko:K04075	hef:HPF16_0635
ko:K07791	hef:HPF16_0639
ko:K02357	hef:HPF16_1450
ko:K02967	hef:HPF16_1451
ko:K03313	hef:HPF16_1453
ko:K03210	hef:HPF16_1454
ko:K03072	hef:HPF16_1455
ko:K03074	hef:HPF16_1456
ko:K01869	hef:HPF16_1458
ko:K11754	hef:HPF16_1460
ko:K03723	hef:HPF16_1464
ko:K00411	hef:HPF16_1465
ko:K00412	hef:HPF16_1466
ko:K00413	hef:HPF16_1467
ko:K03587	hef:HPF16_1471
ko:K02408	hef:HPF16_1472
ko:K02388	hef:HPF16_1473
ko:K02387	hef:HPF16_1474
ko:K03588	hef:HPF16_1475
ko:K02016	hef:HPF16_1476
ko:K02073	hef:HPF16_1478
ko:K05515	hef:HPF16_1479
ko:K03978	hef:HPF16_1481
ko:K09774	hef:HPF16_1482
ko:K03270	hef:HPF16_1484
ko:K03642	hef:HPF16_1485
ko:K08307	hef:HPF16_1486
ko:K03424	hef:HPF16_1487
ko:K00793	hef:HPF16_1488
ko:K04061	hef:HPF16_1489
ko:K02071	hef:HPF16_1490
ko:K02072	hef:HPF16_1491
ko:K03474	hef:HPF16_1495
ko:K00097	hef:HPF16_1496
ko:K02392	hef:HPF16_1498
ko:K00615	hef:HPF16_0365
ko:K11753	hef:HPF16_0366
ko:K06442	hef:HPF16_0367
ko:K00609	hef:HPF16_0369
ko:K07241	hef:HPF16_0375
ko:K03798	hef:HPF16_0382
ko:K02687	hef:HPF16_0383
ko:K03413	hef:HPF16_0384
ko:K06950	hef:HPF16_0387
ko:K03501	hef:HPF16_0388
ko:K07568	hef:HPF16_0389
ko:K03118	hef:HPF16_0390
ko:K03117	hef:HPF16_0391
ko:K03551	hef:HPF16_0392
ko:K00606	hef:HPF16_0393
ko:K03610	hef:HPF16_0398
ko:K02535	hef:HPF16_0399
ko:K00872	hef:HPF16_0401
ko:K02519	hef:HPF16_0403
ko:K02834	hef:HPF16_0404
ko:K09748	hef:HPF16_0405
ko:K01895	hef:HPF16_0406
ko:K02400	hef:HPF16_0410
ko:K02956	hef:HPF16_0411
ko:K03786	hef:HPF16_0413
ko:K00950	hef:HPF16_0415
ko:K02404	hef:HPF16_0416
ko:K04562	hef:HPF16_0417
ko:K02405	hef:HPF16_0419
ko:K03076	hef:HPF16_1231
ko:K02876	hef:HPF16_1232
ko:K02988	hef:HPF16_1233
ko:K02881	hef:HPF16_1234
ko:K02933	hef:HPF16_1235
ko:K02994	hef:HPF16_1236
ko:K02954	hef:HPF16_1237
ko:K02931	hef:HPF16_1238
ko:K02895	hef:HPF16_1239
ko:K02874	hef:HPF16_1240
ko:K02961	hef:HPF16_1241
ko:K02904	hef:HPF16_1242
ko:K02878	hef:HPF16_1243
ko:K02982	hef:HPF16_1244
ko:K02890	hef:HPF16_1245
ko:K02965	hef:HPF16_1246
ko:K02886	hef:HPF16_1247
ko:K02892	hef:HPF16_1248
ko:K02926	hef:HPF16_1249
ko:K02906	hef:HPF16_1250
ko:K02946	hef:HPF16_1251
ko:K07133	hef:HPF16_1252
ko:K03470	hef:HPF16_1254
ko:K07787	hef:HPF16_1260
ko:K03686	hef:HPF16_1263
ko:K00566	hef:HPF16_1266
ko:K00969	hef:HPF16_1268
ko:K07722	hef:HPF16_1269
