ko:K22220	mavd:NF84_17360
ko:K07029	mavd:NF84_09845
ko:K07068	mavd:NF84_05945
ko:K14219	mavd:NF84_04520
ko:K03297	mavd:NF84_18025
ko:K01563	mavd:NF84_01635
ko:K11741	mavd:NF84_19775
ko:K21431	mavd:NF84_04195
ko:K19221	mavd:NF84_16855
ko:K14233	mavd:NF84_01475
ko:K18958	mavd:NF84_18975
ko:K18956	mavd:NF84_00200
ko:K18955	mavd:NF84_19370
ko:K14219	mavd:NF84_01205
ko:K19311	mavd:NF84_19015
ko:K00344	mavd:NF84_18370
ko:K21688	mavd:NF84_05015
ko:K21691	mavd:NF84_07680
ko:K14228	mavd:NF84_10570
ko:K22311	mavd:NF84_15810
ko:K14234	mavd:NF84_03175
ko:K03088	mavd:NF84_06090
ko:K03117	mavd:NF84_06105
ko:K03593	mavd:NF84_06110
ko:K02027	mavd:NF84_06140
ko:K02025	mavd:NF84_06145
ko:K02026	mavd:NF84_06150
ko:K10112	mavd:NF84_06155
ko:K03284	mavd:NF84_06165
ko:K00024	mavd:NF84_06170
ko:K00027	mavd:NF84_06175
ko:K01616	mavd:NF84_06195
ko:K05592	mavd:NF84_06275
ko:K00104	mavd:NF84_06295
ko:K01426	mavd:NF84_06330
ko:K06147	mavd:NF84_06365
ko:K06147	mavd:NF84_06370
ko:K01523	mavd:NF84_10770
ko:K00765	mavd:NF84_10775
ko:K07442	mavd:NF84_10795
ko:K09764	mavd:NF84_10800
ko:K13527	mavd:NF84_10810
ko:K13570	mavd:NF84_10825
ko:K03433	mavd:NF84_10830
ko:K03432	mavd:NF84_10835
ko:K13571	mavd:NF84_10840
ko:K13573	mavd:NF84_10850
ko:K03116	mavd:NF84_10855
ko:K03118	mavd:NF84_10860
ko:K03727	mavd:NF84_10865
ko:K00595	mavd:NF84_10920
ko:K05936	mavd:NF84_10925
ko:K05895	mavd:NF84_10930
ko:K03088	mavd:NF84_10935
ko:K13540	mavd:NF84_10945
ko:K06042	mavd:NF84_10950
ko:K02229	mavd:NF84_10955
ko:K15554	mavd:NF84_10960
ko:K15555	mavd:NF84_10965
ko:K15553	mavd:NF84_10970
ko:K02230	mavd:NF84_10980
ko:K07006	mavd:NF84_11005
ko:K01061	mavd:NF84_11010
ko:K07113	mavd:NF84_11015
ko:K03820	mavd:NF84_11025
ko:K02051	mavd:NF84_15385
ko:K03710	mavd:NF84_15395
ko:K01584	mavd:NF84_15425
ko:K03625	mavd:NF84_15435
ko:K02356	mavd:NF84_15440
ko:K03786	mavd:NF84_15455
ko:K01735	mavd:NF84_15460
ko:K00891	mavd:NF84_15465
ko:K01736	mavd:NF84_15470
ko:K02031	mavd:NF84_15475
ko:K02032	mavd:NF84_15475
ko:K02034	mavd:NF84_15480
ko:K02033	mavd:NF84_15485
ko:K02035	mavd:NF84_15490
ko:K04091	mavd:NF84_15510
ko:K02654	mavd:NF84_15515
ko:K00014	mavd:NF84_15520
ko:K07082	mavd:NF84_15525
ko:K07447	mavd:NF84_15530
ko:K01872	mavd:NF84_15535
ko:K07478	mavd:NF84_15555
ko:K01876	mavd:NF84_15610
ko:K00077	mavd:NF84_15615
ko:K07054	mavd:NF84_15625
ko:K01714	mavd:NF84_15630
ko:K01628	mavd:NF84_15635
ko:K03783	mavd:NF84_19655
ko:K01840	mavd:NF84_19660
ko:K07114	mavd:NF84_19680
ko:K07114	mavd:NF84_19685
ko:K01488	mavd:NF84_19705
ko:K00758	mavd:NF84_19710
ko:K01489	mavd:NF84_19715
ko:K00241	mavd:NF84_19720
ko:K00242	mavd:NF84_19725
ko:K00239	mavd:NF84_19730
ko:K00240	mavd:NF84_19735
ko:K03088	mavd:NF84_19745
