ko:K00500	chb:G5O_0748
ko:K01698	chb:G5O_0008
ko:K01921	chb:G5O_0901
ko:K01924	chb:G5O_0901
ko:K00813	chb:G5O_0013
ko:K00567	chb:G5O_0168
ko:K07098	chb:G5O_0189
ko:K02030	chb:G5O_0157
ko:K01885	chb:G5O_0208
ko:K07258	chb:G5O_0083
ko:K02035	chb:G5O_0165
ko:K02033	chb:G5O_0166
ko:K02342	chb:G5O_0102
ko:K00380	chb:G5O_0221
ko:K09815	chb:G5O_0231
ko:K00059	chb:G5O_0522
ko:K00088	chb:G5O_0606
ko:K02049	chb:G5O_0622
ko:K02035	chb:G5O_0631
ko:K02035	chb:G5O_0632
ko:K02035	chb:G5O_0633
ko:K15582	chb:G5O_0635
ko:K06889	chb:G5O_0641
ko:K00784	chb:G5O_0353
ko:K11189	chb:G5O_0363
ko:K08483	chb:G5O_0364
ko:K02806	chb:G5O_0379
ko:K02806	chb:G5O_0380
ko:K00033	chb:G5O_0467
ko:K03177	chb:G5O_0499
ko:K00939	chb:G5O_0573
ko:K01409	chb:G5O_0580
ko:K06889	chb:G5O_0647
ko:K02342	chb:G5O_0412
ko:K06179	chb:G5O_0419
ko:K07052	chb:G5O_0422
ko:K00700	chb:G5O_0299
ko:K01719	chb:G5O_0254
ko:K03307	chb:G5O_0289
ko:K03856	chb:G5O_0291
ko:K02433	chb:G5O_0325
ko:K03471	chb:G5O_0330
ko:K01507	chb:G5O_0888
ko:K07117	chb:G5O_0934
ko:K06910	chb:G5O_0935
ko:K00972	chb:G5O_0958
ko:K01596	chb:G5O_0963
ko:K00970	chb:G5O_0970
ko:K00652	chb:G5O_0883
ko:K01909	chb:G5O_0884
ko:K01082	chb:G5O_0886
ko:K02124	chb:G5O_0715
ko:K02123	chb:G5O_0716
ko:K02120	chb:G5O_0717
ko:K02118	chb:G5O_0718
ko:K02117	chb:G5O_0719
ko:K02121	chb:G5O_0721
ko:K00616	chb:G5O_0724
ko:K00652	chb:G5O_0753
ko:K04763	chb:G5O_0772
ko:K01679	chb:G5O_0784
ko:K00970	chb:G5O_0831
ko:K01408	chb:G5O_0851
ko:K07315	chb:G5O_1014
ko:K00241	chb:G5O_1020
ko:K03386	chb:G5O_1030
ko:K02428	chb:G5O_1034
ko:K01934	chb:G5O_1046
ko:K03227	chb:G5O_0988
ko:K02454	chb:G5O_0996
ko:K01262	chb:G5O_0999
ko:K02967	chb:G5O_0060
ko:K02337	chb:G5O_0089
ko:K07783	chb:G5O_0090
ko:K01892	chb:G5O_0092
ko:K01876	chb:G5O_0093
ko:K03216	chb:G5O_0095
ko:K03671	chb:G5O_0096
ko:K06925	chb:G5O_0101
ko:K03820	chb:G5O_0104
ko:K02535	chb:G5O_0105
ko:K02372	chb:G5O_0106
ko:K00677	chb:G5O_0107
ko:K00604	chb:G5O_0108
ko:K02906	chb:G5O_0110
ko:K00648	chb:G5O_0520
ko:K00645	chb:G5O_0521
ko:K02078	chb:G5O_0523
ko:K03308	chb:G5O_0528
ko:K06213	chb:G5O_0532
ko:K02071	chb:G5O_0537
ko:K02072	chb:G5O_0538
ko:K02073	chb:G5O_0539
ko:K02470	chb:G5O_0542
ko:K02469	chb:G5O_0543
ko:K00943	chb:G5O_0544
ko:K02343	chb:G5O_0545
ko:K06999	chb:G5O_0546
ko:K02034	chb:G5O_0167
ko:K01890	chb:G5O_0170
ko:K08998	chb:G5O_0172
ko:K03584	chb:G5O_0176
ko:K07710	chb:G5O_0182
ko:K06173	chb:G5O_0187
ko:K00991	chb:G5O_0188
ko:K02836	chb:G5O_0191
ko:K01951	chb:G5O_0605
ko:K09125	chb:G5O_0613
ko:K00773	chb:G5O_0614
ko:K03611	chb:G5O_0618
ko:K00979	chb:G5O_0627
ko:K01937	chb:G5O_0628
ko:K07447	chb:G5O_0629
ko:K01881	chb:G5O_0276
ko:K09131	chb:G5O_0279
ko:K10206	chb:G5O_0281
ko:K06966	chb:G5O_0284
ko:K09996	chb:G5O_0293
ko:K06167	chb:G5O_0295
ko:K03665	chb:G5O_0296
ko:K03046	chb:G5O_0725
ko:K03043	chb:G5O_0726
ko:K02935	chb:G5O_0727
ko:K02864	chb:G5O_0728
ko:K02863	chb:G5O_0729
ko:K02867	chb:G5O_0730
ko:K02601	chb:G5O_0731
ko:K03073	chb:G5O_0732
ko:K02358	chb:G5O_0734
ko:K02518	chb:G5O_0736
ko:K03523	chb:G5O_0740
ko:K01714	chb:G5O_0744
ko:K00928	chb:G5O_0745
ko:K00133	chb:G5O_0746
ko:K06861	chb:G5O_0028
ko:K01627	chb:G5O_0030
ko:K06960	chb:G5O_0032
ko:K06180	chb:G5O_0033
ko:K02469	chb:G5O_0036
ko:K02470	chb:G5O_0037
ko:K02492	chb:G5O_0038
ko:K03224	chb:G5O_0045
ko:K02417	chb:G5O_0048
ko:K03219	chb:G5O_0050
ko:K03596	chb:G5O_0468
ko:K03301	chb:G5O_0470
ko:K00099	chb:G5O_0477
ko:K03629	chb:G5O_0480
ko:K02338	chb:G5O_0481
ko:K03664	chb:G5O_0482
ko:K03734	chb:G5O_0483
ko:K01491	chb:G5O_0484
ko:K02902	chb:G5O_0491
ko:K00705	chb:G5O_0492
ko:K03581	chb:G5O_1057
ko:K13789	chb:G5O_1061
ko:K02926	chb:G5O_0111
ko:K02892	chb:G5O_0112
ko:K02886	chb:G5O_0113
ko:K02965	chb:G5O_0114
ko:K02890	chb:G5O_0115
ko:K02982	chb:G5O_0116
ko:K02878	chb:G5O_0117
ko:K02904	chb:G5O_0118
ko:K02961	chb:G5O_0119
ko:K02874	chb:G5O_0120
ko:K02895	chb:G5O_0121
ko:K02931	chb:G5O_0122
ko:K02994	chb:G5O_0123
ko:K02933	chb:G5O_0124
ko:K02881	chb:G5O_0125
ko:K02988	chb:G5O_0126
ko:K02876	chb:G5O_0127
ko:K03076	chb:G5O_0128
ko:K02952	chb:G5O_0129
ko:K02948	chb:G5O_0130
ko:K03040	chb:G5O_0131
ko:K02879	chb:G5O_0132
ko:K00134	chb:G5O_0133
ko:K07566	chb:G5O_0547
ko:K06966	chb:G5O_0551
ko:K03179	chb:G5O_0552
ko:K03186	chb:G5O_0553
ko:K03787	chb:G5O_0557
ko:K07039	chb:G5O_0559
ko:K14441	chb:G5O_0565
ko:K02913	chb:G5O_0566
ko:K09808	chb:G5O_0567
ko:K02871	chb:G5O_0570
ko:K02996	chb:G5O_0571
ko:K02888	chb:G5O_0225
ko:K02899	chb:G5O_0226
ko:K03979	chb:G5O_0228
ko:K09816	chb:G5O_0229
ko:K09817	chb:G5O_0230
ko:K00788	chb:G5O_0233
ko:K00878	chb:G5O_0234
ko:K03310	chb:G5O_0239
ko:K03101	chb:G5O_0240
ko:K06204	chb:G5O_0241
ko:K07738	chb:G5O_0242
ko:K00793	chb:G5O_0243
ko:K06969	chb:G5O_0244
ko:K03437	chb:G5O_0245
ko:K00912	chb:G5O_0246
ko:K03695	chb:G5O_0662
ko:K02065	chb:G5O_0664
ko:K02066	chb:G5O_0665
ko:K01845	chb:G5O_0666
ko:K07735	chb:G5O_0667
ko:K08999	chb:G5O_0668
ko:K01807	chb:G5O_0669
ko:K08602	chb:G5O_0675
ko:K04078	chb:G5O_0676
ko:K04077	chb:G5O_0677
ko:K03581	chb:G5O_0684
ko:K01874	chb:G5O_0685
ko:K00942	chb:G5O_0687
ko:K03470	chb:G5O_0688
ko:K02884	chb:G5O_0689
ko:K00554	chb:G5O_0690
ko:K00790	chb:G5O_0196
ko:K01887	chb:G5O_0197
ko:K00655	chb:G5O_0198
ko:K00945	chb:G5O_0199
ko:K00981	chb:G5O_0200
ko:K00806	chb:G5O_0201
ko:K12257	chb:G5O_0204
ko:K07462	chb:G5O_0205
ko:K03797	chb:G5O_0212
ko:K02950	chb:G5O_0217
ko:K02992	chb:G5O_0218
ko:K02355	chb:G5O_0219
ko:K02946	chb:G5O_0220
ko:K01770	chb:G5O_0222
ko:K15581	chb:G5O_0634
ko:K03319	chb:G5O_0639
ko:K02527	chb:G5O_0645
ko:K01869	chb:G5O_0646
ko:K01972	chb:G5O_0650
ko:K09779	chb:G5O_0323
ko:K02435	chb:G5O_0324
ko:K02434	chb:G5O_0326
ko:K00215	chb:G5O_0747
ko:K09125	chb:G5O_0749
ko:K01012	chb:G5O_0752
ko:K01935	chb:G5O_0754
ko:K00833	chb:G5O_0755
ko:K00800	chb:G5O_0758
ko:K00891	chb:G5O_0759
ko:K01736	chb:G5O_0760
ko:K01735	chb:G5O_0761
ko:K13832	chb:G5O_0762
ko:K03758	chb:G5O_0766
ko:K00024	chb:G5O_0769
ko:K01810	chb:G5O_0771
ko:K09747	chb:G5O_0365
ko:K02343	chb:G5O_0366
ko:K07037	chb:G5O_0367
ko:K01749	chb:G5O_0371
ko:K04485	chb:G5O_0372
ko:K03685	chb:G5O_0373
ko:K04564	chb:G5O_0376
ko:K01963	chb:G5O_0377
ko:K00566	chb:G5O_0385
ko:K03431	chb:G5O_0830
ko:K00748	chb:G5O_0832
ko:K03621	chb:G5O_0846
ko:K02911	chb:G5O_0847
ko:K08301	chb:G5O_0849
ko:K00630	chb:G5O_0850
ko:K00919	chb:G5O_0854
ko:K02939	chb:G5O_0855
ko:K02963	chb:G5O_0856
ko:K02990	chb:G5O_0857
ko:K01056	chb:G5O_0858
ko:K02897	chb:G5O_0859
ko:K00703	chb:G5O_0861
ko:K00995	chb:G5O_0862
ko:K14164	chb:G5O_0864
ko:K03555	chb:G5O_0870
ko:K03703	chb:G5O_0871
ko:K02954	chb:G5O_0874
ko:K02919	chb:G5O_0875
ko:K03536	chb:G5O_0876
ko:K01883	chb:G5O_0878
ko:K04567	chb:G5O_0879
ko:K04066	chb:G5O_0882
ko:K00655	chb:G5O_0885
ko:K00347	chb:G5O_0394
ko:K00208	chb:G5O_0416
ko:K03575	chb:G5O_0420
ko:K04487	chb:G5O_0430
ko:K01494	chb:G5O_0434
ko:K03551	chb:G5O_0435
ko:K01875	chb:G5O_0943
ko:K05837	chb:G5O_0946
ko:K03524	chb:G5O_0947
ko:K06178	chb:G5O_0949
ko:K04487	chb:G5O_0951
ko:K13819	chb:G5O_0952
ko:K02409	chb:G5O_0954
ko:K02411	chb:G5O_0955
ko:K02412	chb:G5O_0956
ko:K00057	chb:G5O_0959
ko:K03569	chb:G5O_0964
ko:K03545	chb:G5O_0967
ko:K01358	chb:G5O_0968
ko:K03544	chb:G5O_0969
ko:K03977	chb:G5O_0971
ko:K03070	chb:G5O_0973
ko:K01613	chb:G5O_0975
ko:K03650	chb:G5O_0976
ko:K10773	chb:G5O_0977
ko:K03311	chb:G5O_0978
ko:K00382	chb:G5O_0982
ko:K03644	chb:G5O_0983
ko:K03222	chb:G5O_0984
ko:K03223	chb:G5O_0986
ko:K03226	chb:G5O_0987
ko:K03228	chb:G5O_0989
ko:K02455	chb:G5O_0995
ko:K02453	chb:G5O_0997
ko:K02838	chb:G5O_0057
ko:K09903	chb:G5O_0058
ko:K02357	chb:G5O_0059
ko:K03162	chb:G5O_0062
