ko:K02029	lhl:LBHH_0678
ko:K19002	lhl:LBHH_0421
ko:K07045	lhl:LBHH_0956
ko:K10353	lhl:LBHH_2010
ko:K15771	lhl:LBHH_1931
ko:K05340	lhl:LBHH_0323
ko:K03823	lhl:LBHH_0462
ko:K01613	lhl:LBHH_0470
ko:K13727	lhl:LBHH_0476
ko:K01887	lhl:LBHH_0479
ko:K01624	lhl:LBHH_0480
ko:K02440	lhl:LBHH_0503
ko:K07507	lhl:LBHH_0504
ko:K06180	lhl:LBHH_0506
ko:K02112	lhl:LBHH_1351
ko:K02115	lhl:LBHH_1352
ko:K02111	lhl:LBHH_1353
ko:K02113	lhl:LBHH_1354
ko:K02109	lhl:LBHH_1355
ko:K02110	lhl:LBHH_1356
ko:K02108	lhl:LBHH_1357
ko:K00761	lhl:LBHH_1358
ko:K07566	lhl:LBHH_1359
ko:K02493	lhl:LBHH_1360
ko:K02835	lhl:LBHH_1361
ko:K01810	lhl:LBHH_1369
ko:K01809	lhl:LBHH_1376
ko:K14155	lhl:LBHH_1377
ko:K00925	lhl:LBHH_1378
ko:K02954	lhl:LBHH_1388
ko:K01223	lhl:LBHH_1392
ko:K00865	lhl:LBHH_1396
ko:K03431	lhl:LBHH_1401
ko:K01462	lhl:LBHH_0082
ko:K03799	lhl:LBHH_0115
ko:K03744	lhl:LBHH_0116
ko:K07023	lhl:LBHH_0122
ko:K03652	lhl:LBHH_0126
ko:K13531	lhl:LBHH_0129
ko:K12410	lhl:LBHH_0130
ko:K06131	lhl:LBHH_0132
ko:K01595	lhl:LBHH_0973
ko:K03186	lhl:LBHH_0980
ko:K03182	lhl:LBHH_0981
ko:K03311	lhl:LBHH_0984
ko:K14155	lhl:LBHH_0986
ko:K07038	lhl:LBHH_0988
ko:K00760	lhl:LBHH_0990
ko:K09384	lhl:LBHH_0994
ko:K07006	lhl:LBHH_0996
ko:K01534	lhl:LBHH_1021
ko:K03305	lhl:LBHH_1866
ko:K01256	lhl:LBHH_1867
ko:K02073	lhl:LBHH_1885
ko:K07173	lhl:LBHH_1887
ko:K07464	lhl:LBHH_0548
ko:K03789	lhl:LBHH_0366
ko:K03710	lhl:LBHH_0370
ko:K06158	lhl:LBHH_0376
ko:K01926	lhl:LBHH_0377
ko:K03484	lhl:LBHH_0380
ko:K01193	lhl:LBHH_0381
ko:K04078	lhl:LBHH_0386
ko:K04077	lhl:LBHH_0387
ko:K03555	lhl:LBHH_0388
ko:K03572	lhl:LBHH_0389
ko:K03550	lhl:LBHH_0390
ko:K03551	lhl:LBHH_0391
ko:K03210	lhl:LBHH_0392
ko:K00036	lhl:LBHH_0393
ko:K01872	lhl:LBHH_0398
ko:K07447	lhl:LBHH_0400
ko:K07456	lhl:LBHH_0402
ko:K03671	lhl:LBHH_0403
ko:K03282	lhl:LBHH_0404
ko:K01776	lhl:LBHH_0406
ko:K02529	lhl:LBHH_0412
ko:K03975	lhl:LBHH_0419
ko:K00133	lhl:LBHH_1248
ko:K00215	lhl:LBHH_1250
ko:K01714	lhl:LBHH_1251
ko:K05823	lhl:LBHH_1252
ko:K01586	lhl:LBHH_1254
ko:K00928	lhl:LBHH_1255
ko:K01778	lhl:LBHH_1256
ko:K03978	lhl:LBHH_1258
ko:K03544	lhl:LBHH_1259
ko:K03545	lhl:LBHH_1260
ko:K02358	lhl:LBHH_1261
ko:K02956	lhl:LBHH_1264
ko:K02968	lhl:LBHH_1265
ko:K02340	lhl:LBHH_1266
ko:K02237	lhl:LBHH_1268
ko:K00954	lhl:LBHH_1270
ko:K03588	lhl:LBHH_1273
ko:K06207	lhl:LBHH_1274
ko:K01462	lhl:LBHH_1275
ko:K03581	lhl:LBHH_1279
ko:K00566	lhl:LBHH_1282
ko:K04487	lhl:LBHH_1284
ko:K03704	lhl:LBHH_1288
ko:K01870	lhl:LBHH_1289
ko:K04074	lhl:LBHH_1290
ko:K02221	lhl:LBHH_1292
ko:K09772	lhl:LBHH_1293
ko:K03531	lhl:LBHH_1294
ko:K03590	lhl:LBHH_1295
ko:K01977	lhl:LBHH_rRNA001
ko:K01977	lhl:LBHH_rRNA004
ko:K01977	lhl:LBHH_rRNA007
ko:K01977	lhl:LBHH_rRNA012
ko:K15580	lhl:LBHH_0632
ko:K13256	lhl:LBHH_0634
ko:K00849	lhl:LBHH_0635
ko:K00965	lhl:LBHH_0636
ko:K07173	lhl:LBHH_0647
ko:K01153	lhl:LBHH_0661
ko:K03427	lhl:LBHH_0662
ko:K01752	lhl:LBHH_0674
ko:K01752	lhl:LBHH_0675
ko:K02749	lhl:LBHH_1511
ko:K02750	lhl:LBHH_1511
ko:K09014	lhl:LBHH_1518
ko:K11717	lhl:LBHH_1520
ko:K09015	lhl:LBHH_1521
ko:K09013	lhl:LBHH_1522
ko:K12700	lhl:LBHH_1528
ko:K03549	lhl:LBHH_1529
ko:K01807	lhl:LBHH_1530
ko:K02825	lhl:LBHH_1558
ko:K02313	lhl:LBHH_0001
ko:K02338	lhl:LBHH_0002
ko:K03629	lhl:LBHH_0004
ko:K02470	lhl:LBHH_0005
ko:K02469	lhl:LBHH_0006
ko:K02990	lhl:LBHH_0007
ko:K02963	lhl:LBHH_0009
ko:K02939	lhl:LBHH_0019
ko:K09117	lhl:LBHH_0857
ko:K07042	lhl:LBHH_0859
ko:K03595	lhl:LBHH_0860
ko:K03584	lhl:LBHH_0861
ko:K01878	lhl:LBHH_0862
ko:K01879	lhl:LBHH_0863
ko:K03086	lhl:LBHH_0865
ko:K06967	lhl:LBHH_0868
ko:K03100	lhl:LBHH_0877
ko:K01893	lhl:LBHH_0889
ko:K10773	lhl:LBHH_0891
ko:K05366	lhl:LBHH_0892
ko:K07444	lhl:LBHH_0896
ko:K01938	lhl:LBHH_0899
ko:K03101	lhl:LBHH_0900
ko:K06180	lhl:LBHH_0901
ko:K01956	lhl:LBHH_0902
ko:K01955	lhl:LBHH_0903
ko:K02003	lhl:LBHH_1719
ko:K03481	lhl:LBHH_1725
ko:K01232	lhl:LBHH_1726
ko:K00963	lhl:LBHH_1733
ko:K01581	lhl:LBHH_1734
ko:K02840	lhl:LBHH_1746
ko:K03665	lhl:LBHH_1753
ko:K00942	lhl:LBHH_1761
ko:K03817	lhl:LBHH_1773
ko:K02909	lhl:LBHH_0249
ko:K01929	lhl:LBHH_0250
ko:K05592	lhl:LBHH_0251
ko:K00997	lhl:LBHH_0252
ko:K01775	lhl:LBHH_0253
ko:K01056	lhl:LBHH_0257
