ko:K01006	lmw:LMOSLCC2755_1928
ko:K01699	lmw:LMOSLCC2755_1145
ko:K15780	lmw:LMOSLCC2755_0217
ko:K07282	lmw:LMOSLCC2755_0017
ko:K07172	lmw:LMOSLCC2755_p0040
ko:K00851	lmw:LMOSLCC2755_2735
ko:K16012	lmw:LMOSLCC2755_2738
ko:K16013	lmw:LMOSLCC2755_2739
ko:K07258	lmw:LMOSLCC2755_2777
ko:K00088	lmw:LMOSLCC2755_2781
ko:K02025	lmw:LMOSLCC2755_2859
ko:K01629	lmw:LMOSLCC2755_2867
ko:K01813	lmw:LMOSLCC2755_2868
ko:K04750	lmw:LMOSLCC2755_2747
ko:K01191	lmw:LMOSLCC2755_2757
ko:K08161	lmw:LMOSLCC2755_2764
ko:K00616	lmw:LMOSLCC2755_2766
ko:K07343	lmw:LMOSLCC2755_2769
ko:K03342	lmw:LMOSLCC2755_2773
ko:K02755	lmw:LMOSLCC2755_2796
ko:K02756	lmw:LMOSLCC2755_2796
ko:K02757	lmw:LMOSLCC2755_2796
ko:K03488	lmw:LMOSLCC2755_2797
ko:K02004	lmw:LMOSLCC2755_2799
ko:K03491	lmw:LMOSLCC2755_2808
ko:K02798	lmw:LMOSLCC2755_2818
ko:K02799	lmw:LMOSLCC2755_2820
ko:K02800	lmw:LMOSLCC2755_2820
ko:K01788	lmw:LMOSLCC2755_2822
ko:K00059	lmw:LMOSLCC2755_2836
ko:K00058	lmw:LMOSLCC2755_2845
ko:K04844	lmw:LMOSLCC2755_2854
ko:K07045	lmw:LMOSLCC2755_0868
ko:K22010	lmw:LMOSLCC2755_1165
ko:K06610	lmw:LMOSLCC2755_2870
ko:K06346	lmw:LMOSLCC2755_2873
ko:K04086	lmw:LMOSLCC2755_p0057
ko:K15771	lmw:LMOSLCC2755_0253
ko:K11051	lmw:LMOSLCC2755_0989
ko:K05350	lmw:LMOSLCC2755_0369
ko:K11741	lmw:LMOSLCC2755_0851
ko:K11741	lmw:LMOSLCC2755_0852
ko:K03799	lmw:LMOSLCC2755_0317
ko:K18926	lmw:LMOSLCC2755_0525
ko:K01977	lmw:LMOSLCC2755rRNA18
ko:K01977	lmw:LMOSLCC2755rRNA04
ko:K01977	lmw:LMOSLCC2755rRNA09
ko:K01977	lmw:LMOSLCC2755rRNA15
ko:K01977	lmw:LMOSLCC2755rRNA01
ko:K01977	lmw:LMOSLCC2755rRNA12
ko:K16509	lmw:LMOSLCC2755_2259
ko:K03699	lmw:LMOSLCC2755_2761
ko:K06198	lmw:LMOSLCC2755_2257
ko:K14234	lmw:LMOSLCC2755tRNA63
ko:K16511	lmw:LMOSLCC2755_2258
ko:K00938	lmw:LMOSLCC2755_0012
ko:K02313	lmw:LMOSLCC2755_0001
ko:K00657	lmw:LMOSLCC2755_0009
ko:K03407	lmw:LMOSLCC2755_0705
ko:K02417	lmw:LMOSLCC2755_0706
ko:K02389	lmw:LMOSLCC2755_0709
ko:K02390	lmw:LMOSLCC2755_0710
ko:K02417	lmw:LMOSLCC2755_0711
ko:K02416	lmw:LMOSLCC2755_0712
ko:K02417	lmw:LMOSLCC2755_0713
ko:K09770	lmw:LMOSLCC2755_0716
ko:K02396	lmw:LMOSLCC2755_0718
ko:K02397	lmw:LMOSLCC2755_0719
ko:K02407	lmw:LMOSLCC2755_0720
ko:K02422	lmw:LMOSLCC2755_0721
ko:K02387	lmw:LMOSLCC2755_0723
ko:K02388	lmw:LMOSLCC2755_0724
ko:K02408	lmw:LMOSLCC2755_0725
ko:K02409	lmw:LMOSLCC2755_0726
ko:K02410	lmw:LMOSLCC2755_0727
ko:K02411	lmw:LMOSLCC2755_0728
