ko:K03293	sage:EN72_08165
ko:K01215	sage:EN72_10095
ko:K13677	sage:EN72_04290
ko:K06148	sage:EN72_05970
ko:K11704	sage:EN72_08385
ko:K11053	sage:EN72_04085
ko:K07492	sage:EN72_01125
ko:K07492	sage:EN72_05420
ko:K07492	sage:EN72_05885
ko:K07492	sage:EN72_06920
ko:K07492	sage:EN72_08890
ko:K07492	sage:EN72_11085
ko:K07568	sage:EN72_04725
ko:K02564	sage:EN72_04735
ko:K07393	sage:EN72_04740
ko:K06183	sage:EN72_04745
ko:K06198	sage:EN72_04755
ko:K08602	sage:EN72_04760
ko:K07533	sage:EN72_04775
ko:K01872	sage:EN72_04785
ko:K07150	sage:EN72_04790
ko:K07729	sage:EN72_04810
ko:K16789	sage:EN72_04820
ko:K11189	sage:EN72_04840
ko:K08483	sage:EN72_04845
ko:K00131	sage:EN72_04850
ko:K00876	sage:EN72_04865
ko:K02343	sage:EN72_04875
ko:K03524	sage:EN72_04885
ko:K00789	sage:EN72_04890
ko:K16925	sage:EN72_04915
ko:K16786	sage:EN72_04920
ko:K16787	sage:EN72_04920
ko:K16785	sage:EN72_04925
ko:K03707	sage:EN72_04930
ko:K00941	sage:EN72_04935
ko:K00878	sage:EN72_04940
ko:K00788	sage:EN72_04945
ko:K00790	sage:EN72_04950
ko:K03790	sage:EN72_04955
ko:K01265	sage:EN72_04965
ko:K07058	sage:EN72_04970
ko:K01972	sage:EN72_04985
ko:K00700	sage:EN72_05000
ko:K02031	sage:EN72_01260
ko:K00975	sage:EN72_05005
ko:K00975	sage:EN72_05010
ko:K00703	sage:EN72_05015
ko:K00983	sage:EN72_06440
ko:K02112	sage:EN72_05050
ko:K02114	sage:EN72_05055
ko:K00790	sage:EN72_05065
ko:K15051	sage:EN72_05075
ko:K01889	sage:EN72_05080
ko:K01890	sage:EN72_05090
ko:K07054	sage:EN72_05095
ko:K16899	sage:EN72_05100
ko:K16898	sage:EN72_05105
ko:K03650	sage:EN72_05115
ko:K06158	sage:EN72_05120
ko:K00161	sage:EN72_05125
ko:K00162	sage:EN72_05130
ko:K00627	sage:EN72_05135
ko:K00382	sage:EN72_05140
ko:K03800	sage:EN72_05145
ko:K07009	sage:EN72_05150
ko:K01928	sage:EN72_05155
ko:K18672	sage:EN72_05160
ko:K03431	sage:EN72_05170
ko:K09952	sage:EN72_05205
ko:K00940	sage:EN72_05230
ko:K03596	sage:EN72_05235
ko:K06950	sage:EN72_05245
ko:K07305	sage:EN72_05255
ko:K01990	sage:EN72_05285
ko:K02337	sage:EN72_05295
ko:K00850	sage:EN72_05300
ko:K00873	sage:EN72_05305
ko:K00991	sage:EN72_07855
ko:K07271	sage:EN72_07860
ko:K09153	sage:EN72_07870
ko:K12997	sage:EN72_07880
ko:K12996	sage:EN72_07885
ko:K00067	sage:EN72_07890
ko:K03086	sage:EN72_07900
ko:K03282	sage:EN72_07910
ko:K02970	sage:EN72_07915
ko:K06940	sage:EN72_07920
ko:K02030	sage:EN72_07925
ko:K03320	sage:EN72_07930
ko:K07146	sage:EN72_07940
ko:K02445	sage:EN72_07955
ko:K00688	sage:EN72_07960
ko:K00705	sage:EN72_07965
ko:K02529	sage:EN72_07970
ko:K15770	sage:EN72_07975
ko:K15771	sage:EN72_07980
ko:K15772	sage:EN72_07985
ko:K03305	sage:EN72_07990
ko:K03574	sage:EN72_07995
ko:K03070	sage:EN72_08015
ko:K12270	sage:EN72_08020
ko:K12269	sage:EN72_08025
ko:K12268	sage:EN72_08030
ko:K03076	sage:EN72_08035
ko:K03702	sage:EN72_08085
ko:K07052	sage:EN72_08090
ko:K02029	sage:EN72_08095
ko:K02030	sage:EN72_08095
ko:K02028	sage:EN72_08100
ko:K03979	sage:EN72_08115
ko:K07706	sage:EN72_10260
ko:K07707	sage:EN72_10265
ko:K06896	sage:EN72_10270
ko:K07636	sage:EN72_10280
ko:K07658	sage:EN72_10285
ko:K02039	sage:EN72_10290
ko:K02036	sage:EN72_10295
ko:K02038	sage:EN72_10300
ko:K02037	sage:EN72_10305
ko:K02040	sage:EN72_10310
ko:K09761	sage:EN72_10320
ko:K02687	sage:EN72_10325
ko:K02851	sage:EN72_00970
ko:K09013	sage:EN72_00975
ko:K09015	sage:EN72_00980
ko:K11717	sage:EN72_00985
ko:K04488	sage:EN72_00990
ko:K09014	sage:EN72_00995
ko:K07258	sage:EN72_01005
ko:K15580	sage:EN72_01010
ko:K15581	sage:EN72_01015
ko:K15582	sage:EN72_01020
ko:K15583	sage:EN72_01025
ko:K10823	sage:EN72_01030
ko:K00919	sage:EN72_01060
ko:K09817	sage:EN72_01070
ko:K09816	sage:EN72_01075
ko:K15051	sage:EN72_01080
ko:K01866	sage:EN72_01085
ko:K03693	sage:EN72_01090
ko:K03043	sage:EN72_01095
ko:K03046	sage:EN72_01100
ko:K02243	sage:EN72_01110
ko:K02244	sage:EN72_01115
ko:K02245	sage:EN72_01120
ko:K02246	sage:EN72_01135
ko:K02248	sage:EN72_01145
ko:K00925	sage:EN72_01160
ko:K07729	sage:EN72_01165
ko:K07052	sage:EN72_01175
ko:K00286	sage:EN72_01180
ko:K01261	sage:EN72_01185
ko:K06878	sage:EN72_01205
ko:K07704	sage:EN72_01225
ko:K07705	sage:EN72_01230
ko:K05338	sage:EN72_01235
ko:K05339	sage:EN72_01240
ko:K02035	sage:EN72_01245
ko:K02033	sage:EN72_01250
ko:K02034	sage:EN72_01255
ko:K06901	sage:EN72_02185
ko:K06925	sage:EN72_02190
ko:K02503	sage:EN72_02210
ko:K01990	sage:EN72_02225
ko:K01992	sage:EN72_02230
ko:K03439	sage:EN72_02240
ko:K09748	sage:EN72_02250
ko:K02600	sage:EN72_02255
ko:K07742	sage:EN72_02260
ko:K02519	sage:EN72_02270
ko:K02834	sage:EN72_02275
ko:K17686	sage:EN72_02290
ko:K06929	sage:EN72_02315
ko:K09825	sage:EN72_02320
ko:K10682	sage:EN72_02330
ko:K10681	sage:EN72_02335
ko:K00773	sage:EN72_02345
ko:K03523	sage:EN72_02355
ko:K11991	sage:EN72_02365
ko:K01810	sage:EN72_02375
ko:K01934	sage:EN72_02380
ko:K07335	sage:EN72_02390
ko:K00963	sage:EN72_02395
ko:K00057	sage:EN72_02400
ko:K03536	sage:EN72_02405
ko:K03217	sage:EN72_02410
ko:K06346	sage:EN72_02415
ko:K07586	sage:EN72_02460
ko:K03100	sage:EN72_05310
ko:K00820	sage:EN72_05315
ko:K06193	sage:EN72_05320
ko:K02029	sage:EN72_05325
ko:K02028	sage:EN72_05330
ko:K02030	sage:EN72_05335
ko:K02968	sage:EN72_05340
ko:K00867	sage:EN72_05345
ko:K00564	sage:EN72_05350
ko:K01489	sage:EN72_05355
ko:K07335	sage:EN72_05360
ko:K02056	sage:EN72_05365
ko:K02057	sage:EN72_05370
ko:K02057	sage:EN72_05375
ko:K00016	sage:EN72_05385
ko:K02469	sage:EN72_05390
ko:K07284	sage:EN72_05395
ko:K08234	sage:EN72_05400
ko:K01951	sage:EN72_05425
ko:K03710	sage:EN72_05430
ko:K04094	sage:EN72_05435
ko:K02073	sage:EN72_05445
ko:K02003	sage:EN72_05460
ko:K02004	sage:EN72_05465
ko:K15580	sage:EN72_05485
ko:K03106	sage:EN72_05500
ko:K09787	sage:EN72_05505
ko:K14982	sage:EN72_05510
ko:K14983	sage:EN72_05515
ko:K01256	sage:EN72_05520
ko:K02039	sage:EN72_05525
ko:K02036	sage:EN72_05530
ko:K02036	sage:EN72_05535
ko:K02038	sage:EN72_05540
ko:K02037	sage:EN72_05545
ko:K02040	sage:EN72_05550
ko:K01092	sage:EN72_05560
ko:K16509	sage:EN72_05570
ko:K11753	sage:EN72_05575
ko:K03177	sage:EN72_05580
ko:K06183	sage:EN72_08140
ko:K01759	sage:EN72_08155
ko:K12999	sage:EN72_08160
ko:K03664	sage:EN72_08170
ko:K12573	sage:EN72_08175
ko:K03075	sage:EN72_08180
ko:K01990	sage:EN72_08195
ko:K00859	sage:EN72_08200
ko:K10563	sage:EN72_08205
ko:K07042	sage:EN72_08255
ko:K10254	sage:EN72_08280
ko:K07304	sage:EN72_08290
ko:K00243	sage:EN72_08295
ko:K02838	sage:EN72_08300
ko:K09903	sage:EN72_08305
ko:K10824	sage:EN72_08310
ko:K15587	sage:EN72_08315
ko:K15586	sage:EN72_08320
ko:K15585	sage:EN72_08325
ko:K15584	sage:EN72_08330
ko:K02863	sage:EN72_08335
ko:K02867	sage:EN72_08340
ko:K08170	sage:EN72_08345
ko:K03342	sage:EN72_08360
ko:K03466	sage:EN72_08365
ko:K03767	sage:EN72_08370
ko:K03709	sage:EN72_08390
ko:K01243	sage:EN72_08395
ko:K01992	sage:EN72_10665
ko:K01990	sage:EN72_10670
ko:K06966	sage:EN72_10700
ko:K00005	sage:EN72_10725
ko:K00549	sage:EN72_10740
ko:K03565	sage:EN72_02465
ko:K02348	sage:EN72_02480
ko:K01488	sage:EN72_03070
ko:K04516	sage:EN72_03080
ko:K02884	sage:EN72_03090
ko:K01358	sage:EN72_03820
ko:K03788	sage:EN72_03925
ko:K07284	sage:EN72_03980
ko:K07284	sage:EN72_03985
ko:K07284	sage:EN72_03995
ko:K01990	sage:EN72_04030
ko:K01992	sage:EN72_04035
ko:K01992	sage:EN72_04040
ko:K02078	sage:EN72_04060
ko:K02372	sage:EN72_04065
ko:K11050	sage:EN72_04070
ko:K11051	sage:EN72_04075
ko:K07386	sage:EN72_04125
ko:K01955	sage:EN72_07580
ko:K01956	sage:EN72_07585
ko:K02825	sage:EN72_07590
ko:K06180	sage:EN72_07595
ko:K03101	sage:EN72_07600
ko:K02899	sage:EN72_07610
ko:K07584	sage:EN72_07615
ko:K02888	sage:EN72_07620
ko:K07282	sage:EN72_07625
ko:K03151	sage:EN72_07630
ko:K04487	sage:EN72_07635
ko:K00383	sage:EN72_07645
ko:K01736	sage:EN72_07655
ko:K01735	sage:EN72_07660
ko:K03785	sage:EN72_07665
ko:K06969	sage:EN72_07670
ko:K02887	sage:EN72_07680
ko:K02916	sage:EN72_07685
ko:K02520	sage:EN72_07690
ko:K00945	sage:EN72_07695
ko:K05337	sage:EN72_07705
ko:K01258	sage:EN72_07715
ko:K05362	sage:EN72_07725
ko:K02013	sage:EN72_07730
ko:K02016	sage:EN72_07735
ko:K02015	sage:EN72_07740
ko:K02015	sage:EN72_07745
ko:K15986	sage:EN72_07755
ko:K04069	sage:EN72_07760
ko:K03699	sage:EN72_07765
ko:K07139	sage:EN72_07775
ko:K03574	sage:EN72_10345
ko:K07729	sage:EN72_10365
ko:K07478	sage:EN72_10375
ko:K02817	sage:EN72_01270
ko:K02818	sage:EN72_01270
ko:K02819	sage:EN72_01270
ko:K01226	sage:EN72_01275
ko:K02822	sage:EN72_01285
ko:K03475	sage:EN72_01290
ko:K00615	sage:EN72_01295
ko:K00615	sage:EN72_01300
ko:K02956	sage:EN72_01310
ko:K00962	sage:EN72_01315
ko:K00640	sage:EN72_01325
ko:K01883	sage:EN72_01335
ko:K11145	sage:EN72_01340
ko:K03218	sage:EN72_01345
ko:K06962	sage:EN72_01350
ko:K02871	sage:EN72_01360
ko:K02996	sage:EN72_01365
ko:K05846	sage:EN72_01490
ko:K05845	sage:EN72_01495
ko:K05846	sage:EN72_01500
ko:K05847	sage:EN72_01505
ko:K03647	sage:EN72_02500
ko:K07006	sage:EN72_02515
ko:K01607	sage:EN72_02530
ko:K16264	sage:EN72_02555
ko:K01873	sage:EN72_02615
ko:K01914	sage:EN72_02640
ko:K00954	sage:EN72_02660
ko:K07177	sage:EN72_02665
ko:K06941	sage:EN72_02680
ko:K01658	sage:EN72_02700
ko:K03523	sage:EN72_02705
ko:K01012	sage:EN72_02710
ko:K00626	sage:EN72_02720
ko:K10773	sage:EN72_02730
ko:K02236	sage:EN72_02735
ko:K00845	sage:EN72_02745
ko:K06207	sage:EN72_02755
ko:K01925	sage:EN72_02765
ko:K02563	sage:EN72_02770
ko:K02004	sage:EN72_03490
ko:K02003	sage:EN72_03495
ko:K02004	sage:EN72_03500
ko:K05837	sage:EN72_03525
ko:K02470	sage:EN72_03535
ko:K06286	sage:EN72_03540
ko:K01079	sage:EN72_03545
ko:K01689	sage:EN72_03560
ko:K00800	sage:EN72_03570
ko:K00891	sage:EN72_03575
ko:K03215	sage:EN72_03585
ko:K00789	sage:EN72_03755
ko:K07386	sage:EN72_04130
ko:K02004	sage:EN72_04155
