ko:K00343	xfn:XfasM23_0253
ko:K11924	xfn:XfasM23_0301
ko:K03602	xfn:XfasM23_1600
ko:K03111	xfn:XfasM23_0658
ko:K02339	xfn:XfasM23_0096
ko:K02337	xfn:XfasM23_0153
ko:K06968	xfn:XfasM23_2011
ko:K01893	xfn:XfasM23_2054
ko:K02470	xfn:XfasM23_0005
ko:K03624	xfn:XfasM23_0394
ko:K04568	xfn:XfasM23_2045
ko:K00954	xfn:XfasM23_0268
ko:K01889	xfn:XfasM23_2016
ko:K01876	xfn:XfasM23_0999
ko:K04066	xfn:XfasM23_2149
ko:K00604	xfn:XfasM23_1864
ko:K01704	xfn:XfasM23_1484
ko:K05788	xfn:XfasM23_1539
ko:K01703	xfn:XfasM23_1485
ko:K03654	xfn:XfasM23_0649
ko:K01585	xfn:XfasM23_0106
ko:K10563	xfn:XfasM23_0045
ko:K03584	xfn:XfasM23_1377
ko:K03500	xfn:XfasM23_1863
ko:K03497	xfn:XfasM23_1399
ko:K03629	xfn:XfasM23_0003
ko:K00833	xfn:XfasM23_0142
ko:K00240	xfn:XfasM23_0345
ko:K03656	xfn:XfasM23_2143
ko:K00859	xfn:XfasM23_2028
ko:K00627	xfn:XfasM23_1910
ko:K01695	xfn:XfasM23_0645
ko:K03601	xfn:XfasM23_2006
ko:K03043	xfn:XfasM23_2106
ko:K07071	xfn:XfasM23_0221
ko:K03665	xfn:XfasM23_0057
ko:K01142	xfn:XfasM23_0913
ko:K02313	xfn:XfasM23_0001
ko:K02469	xfn:XfasM23_2042
ko:K01657	xfn:XfasM23_0157
ko:K02654	xfn:XfasM23_2029
ko:K03060	xfn:XfasM23_0755
ko:K01696	xfn:XfasM23_0644
ko:K02341	xfn:XfasM23_1583
ko:K02342	xfn:XfasM23_1296
ko:K01807	xfn:XfasM23_0842
ko:K00382	xfn:XfasM23_1911
ko:K00382	xfn:XfasM23_0800
ko:K08082	xfn:XfasM23_1227
ko:K05366	xfn:XfasM23_1790
ko:K03572	xfn:XfasM23_2002
ko:K14218	xfn:XfasM23_R0023
ko:K08083	xfn:XfasM23_1226
ko:K05367	xfn:XfasM23_1366
ko:K00963	xfn:XfasM23_1534
ko:K03814	xfn:XfasM23_1147
ko:K07042	xfn:XfasM23_1884
ko:K00648	xfn:XfasM23_1112
ko:K09922	xfn:XfasM23_1725
ko:K03073	xfn:XfasM23_2113
ko:K03650	xfn:XfasM23_2222
ko:K03217	xfn:XfasM23_2224
ko:K03536	xfn:XfasM23_2225
ko:K07018	xfn:XfasM23_1102
ko:K06916	xfn:XfasM23_1103
ko:K03797	xfn:XfasM23_1106
ko:K00053	xfn:XfasM23_1107
ko:K07001	xfn:XfasM23_0042
ko:K03179	xfn:XfasM23_0044
ko:K03106	xfn:XfasM23_0047
ko:K03743	xfn:XfasM23_0055
ko:K03761	xfn:XfasM23_0056
ko:K00858	xfn:XfasM23_0830
ko:K01141	xfn:XfasM23_0837
ko:K09888	xfn:XfasM23_0845
ko:K09895	xfn:XfasM23_0847
ko:K01262	xfn:XfasM23_0848
ko:K00826	xfn:XfasM23_0857
ko:K03300	xfn:XfasM23_0255
ko:K07649	xfn:XfasM23_0258
ko:K02012	xfn:XfasM23_0259
ko:K04079	xfn:XfasM23_0266
ko:K00681	xfn:XfasM23_0271
ko:K01465	xfn:XfasM23_0274
ko:K08998	xfn:XfasM23_0275
ko:K06204	xfn:XfasM23_0276
ko:K02426	xfn:XfasM23_0280
ko:K01940	xfn:XfasM23_0285
ko:K01438	xfn:XfasM23_0286
ko:K00145	xfn:XfasM23_0288
ko:K01755	xfn:XfasM23_0289
ko:K01719	xfn:XfasM23_1133
ko:K02496	xfn:XfasM23_1134
ko:K02498	xfn:XfasM23_1135
ko:K02169	xfn:XfasM23_0822
ko:K06949	xfn:XfasM23_1673
ko:K07460	xfn:XfasM23_1674
ko:K07121	xfn:XfasM23_1675
ko:K07056	xfn:XfasM23_1676
ko:K03616	xfn:XfasM23_1680
ko:K03111	xfn:XfasM23_1694
ko:K02655	xfn:XfasM23_1702
ko:K02672	xfn:XfasM23_1705
ko:K08084	xfn:XfasM23_1707
ko:K06966	xfn:XfasM23_1708
ko:K03977	xfn:XfasM23_1711
ko:K02656	xfn:XfasM23_1715
ko:K11258	xfn:XfasM23_1109
ko:K01754	xfn:XfasM23_1110
