ko:K00853	ecf:ECH74115_0068
ko:K15581	ecf:ECH74115_1730
ko:K02412	ecf:ECH74115_2717
ko:K02411	ecf:ECH74115_2716
ko:K01760	ecf:ECH74115_4318
ko:K06133	ecf:ECH74115_4815
ko:K01720	ecf:ECH74115_0405
ko:K07229	ecf:ECH74115_4383
ko:K11746	ecf:ECH74115_0050
ko:K05793	ecf:ECH74115_1352
ko:K11733	ecf:ECH74115_3292
ko:K00850	ecf:ECH74115_5370
ko:K03765	ecf:ECH74115_5649
ko:K02409	ecf:ECH74115_2714
ko:K00244	ecf:ECH74115_5672
ko:K11734	ecf:ECH74115_0118
ko:K06889	ecf:ECH74115_5707
ko:K02760	ecf:ECH74115_2456
ko:K01232	ecf:ECH74115_5112
ko:K02506	ecf:ECH74115_4646
ko:K18919	ecf:ECH74115_0016
ko:K00652	ecf:ECH74115_0924
ko:K00833	ecf:ECH74115_0922
ko:K01610	ecf:ECH74115_4709
ko:K02017	ecf:ECH74115_0868
ko:K13895	ecf:ECH74115_3317
ko:K05515	ecf:ECH74115_0724
ko:K01961	ecf:ECH74115_4573
ko:K04022	ecf:ECH74115_3674
ko:K02680	ecf:ECH74115_4090
ko:K02681	ecf:ECH74115_4088
ko:K02682	ecf:ECH74115_0114
ko:K07701	ecf:ECH74115_5639
ko:K07703	ecf:ECH74115_5638
ko:K02761	ecf:ECH74115_2455
ko:K01223	ecf:ECH74115_3967
ko:K01223	ecf:ECH74115_4193
ko:K02759	ecf:ECH74115_2454
ko:K02679	ecf:ECH74115_4091
ko:K11264	ecf:ECH74115_4215
ko:K01222	ecf:ECH74115_2452
ko:K02417	ecf:ECH74115_2723
ko:K06221	ecf:ECH74115_4323
ko:K08298	ecf:ECH74115_0042
ko:K05366	ecf:ECH74115_4701
ko:K05367	ecf:ECH74115_3748
ko:K03587	ecf:ECH74115_0092
ko:K00331	ecf:ECH74115_3426
ko:K00674	ecf:ECH74115_0174
ko:K00990	ecf:ECH74115_0175
ko:K01265	ecf:ECH74115_0176
ko:K02967	ecf:ECH74115_0179
ko:K02357	ecf:ECH74115_0180
ko:K09903	ecf:ECH74115_0181
ko:K02838	ecf:ECH74115_0182
ko:K00099	ecf:ECH74115_0183
ko:K00806	ecf:ECH74115_0184
ko:K00981	ecf:ECH74115_0185
ko:K07277	ecf:ECH74115_0187
ko:K06142	ecf:ECH74115_0188
ko:K02536	ecf:ECH74115_0189
ko:K02372	ecf:ECH74115_0190
ko:K00677	ecf:ECH74115_0191
ko:K03470	ecf:ECH74115_0193
ko:K02337	ecf:ECH74115_0194
ko:K01962	ecf:ECH74115_0195
ko:K04075	ecf:ECH74115_0198
ko:K01881	ecf:ECH74115_0205
ko:K06080	ecf:ECH74115_0207
ko:K02073	ecf:ECH74115_0208
ko:K02072	ecf:ECH74115_0209
ko:K02071	ecf:ECH74115_0210
ko:K08307	ecf:ECH74115_0223
ko:K03469	ecf:ECH74115_0225
ko:K02342	ecf:ECH74115_0227
ko:K18928	ecf:ECH74115_0359
ko:K10823	ecf:ECH74115_1733
ko:K18138	ecf:ECH74115_0552
ko:K12973	ecf:ECH74115_0711
ko:K03077	ecf:ECH74115_5714
ko:K08277	ecf:ECH74115_0038
ko:K01524	ecf:ECH74115_3725
ko:K03413	ecf:ECH74115_2620
ko:K03412	ecf:ECH74115_2621
ko:K03834	ecf:ECH74115_2647
ko:K07039	ecf:ECH74115_2648
ko:K02364	ecf:ECH74115_0671
ko:K02013	ecf:ECH74115_0672
ko:K02015	ecf:ECH74115_0674
ko:K02015	ecf:ECH74115_0675
ko:K02016	ecf:ECH74115_0677
ko:K02361	ecf:ECH74115_0678
ko:K02363	ecf:ECH74115_0679
ko:K01252	ecf:ECH74115_0680
ko:K00216	ecf:ECH74115_0681
ko:K06200	ecf:ECH74115_0683
ko:K03805	ecf:ECH74115_0690
ko:K03387	ecf:ECH74115_0692
ko:K06140	ecf:ECH74115_0697
ko:K05964	ecf:ECH74115_0702
ko:K01646	ecf:ECH74115_0705
ko:K01910	ecf:ECH74115_0706
ko:K03326	ecf:ECH74115_0709
ko:K03704	ecf:ECH74115_0712
ko:K06199	ecf:ECH74115_0713
ko:K03644	ecf:ECH74115_0716
ko:K03801	ecf:ECH74115_0718
ko:K09158	ecf:ECH74115_0719
ko:K06906	ecf:ECH74115_2669
ko:K06908	ecf:ECH74115_2674
ko:K06907	ecf:ECH74115_2675
ko:K00995	ecf:ECH74115_2684
ko:K03703	ecf:ECH74115_2685
ko:K10010	ecf:ECH74115_2691
ko:K10009	ecf:ECH74115_2692
ko:K02424	ecf:ECH74115_2694
ko:K02425	ecf:ECH74115_2695
ko:K02405	ecf:ECH74115_2696
ko:K02406	ecf:ECH74115_2698
ko:K02407	ecf:ECH74115_2699
ko:K02422	ecf:ECH74115_2700
ko:K07112	ecf:ECH74115_2704
ko:K03829	ecf:ECH74115_2707
ko:K02408	ecf:ECH74115_2712
ko:K07674	ecf:ECH74115_3690
ko:K01439	ecf:ECH74115_3693
ko:K06999	ecf:ECH74115_3695
ko:K07054	ecf:ECH74115_3697
ko:K01923	ecf:ECH74115_3698
ko:K07287	ecf:ECH74115_3699
ko:K01714	ecf:ECH74115_3700
ko:K03567	ecf:ECH74115_3701
ko:K03564	ecf:ECH74115_3702
ko:K07172	ecf:ECH74115_4043
ko:K03215	ecf:ECH74115_4045
ko:K07678	ecf:ECH74115_4046
ko:K01706	ecf:ECH74115_4047
ko:K03535	ecf:ECH74115_4050
ko:K06175	ecf:ECH74115_4054
ko:K06966	ecf:ECH74115_4059
ko:K03837	ecf:ECH74115_4060
ko:K01752	ecf:ECH74115_4061
