ko:K11893	ses:SARI_02631
ko:K15581	ses:SARI_01208
ko:K05365	ses:SARI_02807
ko:K03587	ses:SARI_02879
ko:K10773	ses:SARI_01529
ko:K02412	ses:SARI_00965
ko:K05515	ses:SARI_01038
ko:K03925	ses:SARI_02883
ko:K01546	ses:SARI_02235
ko:K03575	ses:SARI_04536
ko:K02892	ses:SARI_04190
ko:K02926	ses:SARI_04188
ko:K01755	ses:SARI_03541
ko:K01873	ses:SARI_03168
ko:K11733	ses:SARI_00689
ko:K07229	ses:SARI_04415
ko:K11746	ses:SARI_02919
ko:K07781	ses:SARI_00955
ko:K01246	ses:SARI_03997
ko:K10563	ses:SARI_03914
ko:K03765	ses:SARI_00319
ko:K00244	ses:SARI_03290
ko:K03602	ses:SARI_02503
ko:K05788	ses:SARI_01980
ko:K05515	ses:SARI_02292
ko:K05787	ses:SARI_03487
ko:K03530	ses:SARI_02483
ko:K04764	ses:SARI_01630
ko:K00833	ses:SARI_02133
ko:K01687	ses:SARI_03748
ko:K02506	ses:SARI_04185
ko:K02189	ses:SARI_00860
ko:K00627	ses:SARI_02841
ko:K00652	ses:SARI_02131
ko:K01610	ses:SARI_04115
ko:K05522	ses:SARI_02219
ko:K01142	ses:SARI_01677
ko:K03601	ses:SARI_00364
ko:K04568	ses:SARI_03289
ko:K00484	ses:SARI_01905
ko:K01876	ses:SARI_01047
ko:K05851	ses:SARI_03713
ko:K07462	ses:SARI_04608
ko:K07568	ses:SARI_02521
ko:K02501	ses:SARI_00809
ko:K02500	ses:SARI_00807
ko:K03547	ses:SARI_02530
ko:K00575	ses:SARI_01028
ko:K03649	ses:SARI_04417
ko:K02518	ses:SARI_02010
ko:K03631	ses:SARI_00244
ko:K03111	ses:SARI_03423
ko:K01547	ses:SARI_02236
ko:K01548	ses:SARI_02237
ko:K03746	ses:SARI_01202
ko:K01356	ses:SARI_03441
ko:K01585	ses:SARI_04559
ko:K03658	ses:SARI_01935
ko:K00794	ses:SARI_02509
ko:K00483	ses:SARI_01904
ko:K08722	ses:SARI_00568
ko:K04567	ses:SARI_04610
ko:K04564	ses:SARI_01551
ko:K03654	ses:SARI_03699
ko:K03648	ses:SARI_00278
ko:K03503	ses:SARI_01639
ko:K03574	ses:SARI_02860
ko:K02314	ses:SARI_03432
ko:K02315	ses:SARI_03037
ko:K02316	ses:SARI_04419
ko:K02846	ses:SARI_01837
ko:K03656	ses:SARI_03740
ko:K03500	ses:SARI_04219
ko:K06187	ses:SARI_02448
ko:K01141	ses:SARI_00818
ko:K03557	ses:SARI_04245
ko:K03502	ses:SARI_01638
ko:K01889	ses:SARI_01632
ko:K02799	ses:SARI_04564
ko:K02800	ses:SARI_04564
ko:K02109	ses:SARI_03782
ko:K02113	ses:SARI_03783
ko:K02111	ses:SARI_03784
ko:K02778	ses:SARI_01788
ko:K02779	ses:SARI_01788
ko:K04022	ses:SARI_00423
ko:K11264	ses:SARI_04583
ko:K07646	ses:SARI_02238
ko:K02446	ses:SARI_03572
ko:K02358	ses:SARI_03518
ko:K00558	ses:SARI_03133
ko:K01247	ses:SARI_00770
ko:K02601	ses:SARI_03516
ko:K00208	ses:SARI_01263
ko:K03973	ses:SARI_01282
ko:K00052	ses:SARI_02890
ko:K02036	ses:SARI_03795
ko:K02038	ses:SARI_03794
ko:K02037	ses:SARI_03793
ko:K02040	ses:SARI_03791
ko:K03449	ses:SARI_01701
ko:K07642	ses:SARI_00762
ko:K01953	ses:SARI_02262
ko:K02935	ses:SARI_03511
ko:K10441	ses:SARI_03767
ko:K10439	ses:SARI_03765
ko:K01886	ses:SARI_02255
ko:K07071	ses:SARI_00549
ko:K01512	ses:SARI_01929
ko:K03979	ses:SARI_04323
ko:K01682	ses:SARI_02835
