ko:K19743	zmb:ZZ6_1206
ko:K07448	zmb:ZZ6_1164
ko:K05601	zmb:ZZ6_1086
ko:K03297	zmb:ZZ6_1098
ko:K19271	zmb:ZZ6_0185
ko:K11741	zmb:ZZ6_0582
ko:K07126	zmb:ZZ6_1067
ko:K07126	zmb:ZZ6_1068
ko:K01983	zmb:ZZ6_R0019
ko:K01840	zmb:ZZ6_0906
ko:K11645	zmb:ZZ6_1031
ko:K14232	zmb:ZZ6_R0031
ko:K03584	zmb:ZZ6_0606
ko:K03703	zmb:ZZ6_0607
ko:K02109	zmb:ZZ6_0608
ko:K02109	zmb:ZZ6_0609
ko:K02110	zmb:ZZ6_0610
ko:K02108	zmb:ZZ6_0611
ko:K09978	zmb:ZZ6_0613
ko:K03630	zmb:ZZ6_0616
ko:K01756	zmb:ZZ6_0617
ko:K03686	zmb:ZZ6_0618
ko:K04043	zmb:ZZ6_0619
ko:K01295	zmb:ZZ6_0621
ko:K00673	zmb:ZZ6_0622
ko:K07101	zmb:ZZ6_0623
ko:K02422	zmb:ZZ6_0627
ko:K02407	zmb:ZZ6_0628
ko:K02401	zmb:ZZ6_0629
ko:K02421	zmb:ZZ6_0630
ko:K02420	zmb:ZZ6_0631
ko:K02419	zmb:ZZ6_0632
ko:K02418	zmb:ZZ6_0633
ko:K02417	zmb:ZZ6_0634
ko:K02416	zmb:ZZ6_0635
ko:K02415	zmb:ZZ6_0636
ko:K02412	zmb:ZZ6_0639
ko:K02411	zmb:ZZ6_0640
ko:K02410	zmb:ZZ6_0641
ko:K02409	zmb:ZZ6_0642
ko:K02408	zmb:ZZ6_0643
ko:K02406	zmb:ZZ6_0645
ko:K02405	zmb:ZZ6_0648
ko:K04562	zmb:ZZ6_0649
ko:K02400	zmb:ZZ6_0650
ko:K02386	zmb:ZZ6_0653
ko:K02556	zmb:ZZ6_0656
ko:K02387	zmb:ZZ6_0657
ko:K02388	zmb:ZZ6_0658
ko:K02389	zmb:ZZ6_0659
ko:K02390	zmb:ZZ6_0660
ko:K02391	zmb:ZZ6_0661
ko:K08998	zmb:ZZ6_1489
ko:K03536	zmb:ZZ6_1490
ko:K07391	zmb:ZZ6_1491
ko:K03086	zmb:ZZ6_1492
ko:K09117	zmb:ZZ6_1495
ko:K01956	zmb:ZZ6_1496
ko:K01955	zmb:ZZ6_1497
ko:K03624	zmb:ZZ6_1498
ko:K07323	zmb:ZZ6_1500
ko:K01689	zmb:ZZ6_1504
ko:K00161	zmb:ZZ6_1506
ko:K00162	zmb:ZZ6_1507
ko:K02204	zmb:ZZ6_1512
ko:K01662	zmb:ZZ6_1514
ko:K13954	zmb:ZZ6_1515
ko:K01775	zmb:ZZ6_1517
ko:K02066	zmb:ZZ6_1518
ko:K02065	zmb:ZZ6_1519
