ko:K13060	ypu:BZ21_2539
ko:K14231	ypu:BZ21_2518
ko:K14231	ypu:BZ21_3764
ko:K14234	ypu:BZ21_2983
ko:K14234	ypu:BZ21_3641
ko:K14232	ypu:BZ21_3201
ko:K14232	ypu:BZ21_3536
ko:K08723	ypu:BZ21_1499
ko:K21029	ypu:BZ21_846
ko:K01990	ypu:BZ21_474
ko:K19298	ypu:BZ21_3762
ko:K15634	ypu:BZ21_3979
ko:K19734	ypu:BZ21_1794
ko:K19734	ypu:BZ21_2538
ko:K20542	ypu:BZ21_3191
ko:K19230	ypu:BZ21_1557
ko:K19227	ypu:BZ21_1554
ko:K20866	ypu:BZ21_3369
ko:K02495	ypu:BZ21_3364
ko:K19229	ypu:BZ21_1556
ko:K19789	ypu:BZ21_574
ko:K07493	ypu:BZ21_1781
ko:K07493	ypu:BZ21_3543
ko:K07493	ypu:BZ21_4088
ko:K14219	ypu:BZ21_33
ko:K14229	ypu:BZ21_419
ko:K14229	ypu:BZ21_420
ko:K00344	ypu:BZ21_3744
ko:K21908	ypu:BZ21_2791
ko:K01271	ypu:BZ21_3625
ko:K07493	ypu:BZ21_1014
ko:K01138	ypu:BZ21_2403
ko:K01593	ypu:BZ21_503
ko:K07713	ypu:BZ21_468
ko:K00130	ypu:BZ21_459
ko:K03973	ypu:BZ21_1549
ko:K02032	ypu:BZ21_3897
ko:K00632	ypu:BZ21_3623
ko:K02081	ypu:BZ21_2392
ko:K02032	ypu:BZ21_2251
ko:K12453	ypu:BZ21_245
ko:K03892	ypu:BZ21_4168
ko:K05799	ypu:BZ21_4096
ko:K03293	ypu:BZ21_3531
ko:K11894	ypu:BZ21_2955
ko:K04753	ypu:BZ21_2671
ko:K05874	ypu:BZ21_2368
ko:K20881	ypu:BZ21_3093
ko:K07448	ypu:BZ21_3234
ko:K00632	ypu:BZ21_1933
ko:K11748	ypu:BZ21_3047
ko:K19129	ypu:BZ21_1802
ko:K19221	ypu:BZ21_1415
ko:K19162	ypu:BZ21_223
ko:K19222	ypu:BZ21_1603
ko:K19226	ypu:BZ21_1553
ko:K19236	ypu:BZ21_1596
ko:K16078	ypu:BZ21_2169
ko:K19127	ypu:BZ21_1804
ko:K01120	ypu:BZ21_2216
ko:K03631	ypu:BZ21_392
ko:K00858	ypu:BZ21_393
ko:K03687	ypu:BZ21_394
ko:K01647	ypu:BZ21_395
ko:K00241	ypu:BZ21_396
ko:K00242	ypu:BZ21_397
ko:K00239	ypu:BZ21_398
ko:K00240	ypu:BZ21_399
ko:K00164	ypu:BZ21_400
ko:K00658	ypu:BZ21_401
ko:K01903	ypu:BZ21_402
ko:K01902	ypu:BZ21_403
ko:K00425	ypu:BZ21_404
ko:K00426	ypu:BZ21_405
ko:K07107	ypu:BZ21_408
ko:K03562	ypu:BZ21_409
ko:K03560	ypu:BZ21_410
ko:K03646	ypu:BZ21_411
ko:K03641	ypu:BZ21_412
ko:K03640	ypu:BZ21_413
ko:K00720	ypu:BZ21_1252
ko:K07126	ypu:BZ21_1257
ko:K01607	ypu:BZ21_1269
ko:K07644	ypu:BZ21_1270
ko:K07665	ypu:BZ21_1271
ko:K06889	ypu:BZ21_1272
ko:K06942	ypu:BZ21_1276
ko:K01056	ypu:BZ21_1277
ko:K00948	ypu:BZ21_1279
ko:K00919	ypu:BZ21_1280
ko:K02494	ypu:BZ21_1281
ko:K02492	ypu:BZ21_1282
ko:K02835	ypu:BZ21_1283
ko:K02493	ypu:BZ21_1284
ko:K01627	ypu:BZ21_1287
ko:K03321	ypu:BZ21_1288
