ko:K12132	btht:H175_ch3922
ko:K18924	btht:H175_ch4902
ko:K18925	btht:H175_ch0815
ko:K18231	btht:H175_ch2572
ko:K18925	btht:H175_ch4901
ko:K18924	btht:H175_ch0814
ko:K03758	btht:H175_ch0554
ko:K07050	btht:H175_ch1621
ko:K16961	btht:H175_ch3532
ko:K07149	btht:H175_ch3744
ko:K19689	btht:H175_ch0306
ko:K03297	btht:H175_ch0304
ko:K08153	btht:H175_ch0817
ko:K01101	btht:H175_ch5100
ko:K05592	btht:H175_ch5587
ko:K09022	btht:H175_ch0042
ko:K06147	btht:H175_ch2367
ko:K07149	btht:H175_ch5534
ko:K07260	btht:H175_ch3263
ko:K14233	btht:H175_trna67
ko:K14233	btht:H175_trna14
ko:K00001	btht:H175_ch2557
ko:K10040	btht:H175_ch0568
ko:K18926	btht:H175_ch0901
ko:K18682	btht:H175_ch3781
ko:K01400	btht:H175_ch0525
ko:K16785	btht:H175_ch2671
ko:K11638	btht:H175_ch0889
ko:K02475	btht:H175_ch0484
ko:K20107	btht:H175_ch0358
ko:K20108	btht:H175_ch0358
ko:K10947	btht:H175_ch3699
ko:K18344	btht:H175_ch2755
ko:K06336	btht:H175_ch1224
ko:K00128	btht:H175_ch1230
ko:K00128	btht:H175_ch2874
ko:K00128	btht:H175_ch3556
ko:K06337	btht:H175_328p215
ko:K16962	btht:H175_ch3534
ko:K15657	btht:H175_233p034
ko:K06319	btht:H175_328p084
ko:K06322	btht:H175_328p069
ko:K16044	btht:H175_ch3601
ko:K06338	btht:H175_328p216
ko:K00131	btht:H175_ch0831
ko:K04757	btht:H175_ch0950
ko:K02277	btht:H175_ch4009
ko:K06320	btht:H175_328p083
ko:K14224	btht:H175_trna03
ko:K14224	btht:H175_trna77
ko:K14224	btht:H175_trna29
ko:K14224	btht:H175_trna15
ko:K14224	btht:H175_trna06
ko:K14224	btht:H175_trna84
ko:K14224	btht:H175_trna61
ko:K14224	btht:H175_trna66
ko:K02030	btht:H175_ch0346
ko:K02279	btht:H175_63p42
ko:K09765	btht:H175_328p018
ko:K11614	btht:H175_328p032
ko:K03778	btht:H175_328p036
ko:K07088	btht:H175_328p037
ko:K07090	btht:H175_328p047
ko:K04095	btht:H175_68p35
ko:K02279	btht:H175_68p60
ko:K02003	btht:H175_328p092
ko:K09936	btht:H175_85p012
ko:K03666	btht:H175_85p032
ko:K16137	btht:H175_328p107
ko:K06213	btht:H175_328p132
ko:K03666	btht:H175_328p139
ko:K07736	btht:H175_328p148
ko:K03921	btht:H175_328p150
ko:K03704	btht:H175_328p152
ko:K03837	btht:H175_328p160
ko:K01752	btht:H175_328p161
ko:K01752	btht:H175_328p162
ko:K07001	btht:H175_328p198
ko:K03530	btht:H175_107p010
ko:K00014	btht:H175_107p021
ko:K00789	btht:H175_107p023
ko:K00012	btht:H175_107p028
ko:K00375	btht:H175_328p206
ko:K03305	btht:H175_328p208
ko:K00963	btht:H175_328p209
ko:K00012	btht:H175_328p210
ko:K06871	btht:H175_328p242
ko:K02283	btht:H175_107p069
ko:K07006	btht:H175_328p277
ko:K00375	btht:H175_328p282
ko:K07734	btht:H175_328p283
ko:K01714	btht:H175_328p284
ko:K00611	btht:H175_233p026
ko:K08174	btht:H175_233p027
ko:K06133	btht:H175_233p032
ko:K00074	btht:H175_233p043
ko:K00645	btht:H175_233p044
ko:K09384	btht:H175_233p069
ko:K02003	btht:H175_233p110
ko:K06871	btht:H175_233p115
ko:K02279	btht:H175_233p141
ko:K02283	btht:H175_233p143
ko:K03530	btht:H175_285p058
ko:K07090	btht:H175_285p067
ko:K02283	btht:H175_285p132
ko:K07727	btht:H175_8p01
ko:K07341	btht:H175_8p10
ko:K02279	btht:H175_285p134
ko:K02338	btht:H175_285p163
ko:K03168	btht:H175_285p217
ko:K02030	btht:H175_ch4236
ko:K12263	btht:H175_ch5297
ko:K07705	btht:H175_ch5575
ko:K03216	btht:H175_ch0472
ko:K07180	btht:H175_ch0474
ko:K09786	btht:H175_ch0475
ko:K03300	btht:H175_ch0485
ko:K05813	btht:H175_ch0494
ko:K11614	btht:H175_ch0501
ko:K11616	btht:H175_ch0503
ko:K00375	btht:H175_ch0507
ko:K02379	btht:H175_ch0514
ko:K00123	btht:H175_ch0515
ko:K00459	btht:H175_ch1314
ko:K03740	btht:H175_ch1315
ko:K14188	btht:H175_ch1316
ko:K03739	btht:H175_ch1317
ko:K03367	btht:H175_ch1318
ko:K03839	btht:H175_ch1322
ko:K03327	btht:H175_ch1329
ko:K06153	btht:H175_ch1330
ko:K00826	btht:H175_ch1342
ko:K01652	btht:H175_ch1343
ko:K01653	btht:H175_ch1344
ko:K00053	btht:H175_ch1345
ko:K01649	btht:H175_ch1346
ko:K00052	btht:H175_ch1347
ko:K01703	btht:H175_ch1348
ko:K01704	btht:H175_ch1349
ko:K02502	btht:H175_ch1350
ko:K00765	btht:H175_ch1351
ko:K00013	btht:H175_ch1352
ko:K01693	btht:H175_ch1353
ko:K02501	btht:H175_ch1354
ko:K01814	btht:H175_ch1355
ko:K02500	btht:H175_ch1356
ko:K07727	btht:H175_ch2178
ko:K01091	btht:H175_ch2184
ko:K01118	btht:H175_ch2191
ko:K00655	btht:H175_ch2192
ko:K11068	btht:H175_ch2193
ko:K03116	btht:H175_ch2194
ko:K03118	btht:H175_ch2195
ko:K07152	btht:H175_ch2200
ko:K01953	btht:H175_ch2202
ko:K01448	btht:H175_ch2205
ko:K02016	btht:H175_ch2206
ko:K00824	btht:H175_ch2207
ko:K07727	btht:H175_ch3041
ko:K00876	btht:H175_ch3044
ko:K03924	btht:H175_ch3051
ko:K03762	btht:H175_ch3054
ko:K03781	btht:H175_ch3056
ko:K01486	btht:H175_ch3059
ko:K13652	btht:H175_ch3074
ko:K09768	btht:H175_ch3080
ko:K00876	btht:H175_ch3084
ko:K07090	btht:H175_ch3088
ko:K11733	btht:H175_ch3090
ko:K07742	btht:H175_ch3873
ko:K02600	btht:H175_ch3874
ko:K09748	btht:H175_ch3875
ko:K03763	btht:H175_ch3876
ko:K01881	btht:H175_ch3878
ko:K11749	btht:H175_ch3879
ko:K00099	btht:H175_ch3880
ko:K00981	btht:H175_ch3881
ko:K00806	btht:H175_ch3883
ko:K02838	btht:H175_ch3884
ko:K09903	btht:H175_ch3885
ko:K02357	btht:H175_ch3886
ko:K02967	btht:H175_ch3887
ko:K03706	btht:H175_ch3888
ko:K03667	btht:H175_ch3889
ko:K01419	btht:H175_ch3890
ko:K03733	btht:H175_ch3891
ko:K04094	btht:H175_ch3892
ko:K03168	btht:H175_ch3893
ko:K04096	btht:H175_ch3894
ko:K01902	btht:H175_ch3895
ko:K01903	btht:H175_ch3896
ko:K03470	btht:H175_ch3897
ko:K14540	btht:H175_ch3898
ko:K03100	btht:H175_ch3899
ko:K02884	btht:H175_ch3900
ko:K00554	btht:H175_ch3901
ko:K02860	btht:H175_ch3902
ko:K06960	btht:H175_ch3903
ko:K02959	btht:H175_ch3904
ko:K03106	btht:H175_ch3905
ko:K03110	btht:H175_ch3907
ko:K03529	btht:H175_ch3908
ko:K03685	btht:H175_ch3909
ko:K02078	btht:H175_ch3910
ko:K00645	btht:H175_ch3912
ko:K03621	btht:H175_ch3913
ko:K03655	btht:H175_ch3915
ko:K02902	btht:H175_ch3918
ko:K01783	btht:H175_ch3920
ko:K06949	btht:H175_ch3921
ko:K07636	btht:H175_ch4681
ko:K00024	btht:H175_ch4686
ko:K00031	btht:H175_ch4687
ko:K01647	btht:H175_ch4688
ko:K07113	btht:H175_ch4691
ko:K00873	btht:H175_ch4692
ko:K00850	btht:H175_ch4693
ko:K01962	btht:H175_ch4694
ko:K01963	btht:H175_ch4695
ko:K02337	btht:H175_ch4698
ko:K00259	btht:H175_ch4719
ko:K01755	btht:H175_ch4725
ko:K01940	btht:H175_ch4726
ko:K01265	btht:H175_ch5487
ko:K03088	btht:H175_ch5493
ko:K01887	btht:H175_ch5494
ko:K00797	btht:H175_ch5501
ko:K01126	btht:H175_ch5505
ko:K01821	btht:H175_ch5509
ko:K06885	btht:H175_ch5510
ko:K02016	btht:H175_ch5511
ko:K02013	btht:H175_ch5512
ko:K02015	btht:H175_ch5513
ko:K02015	btht:H175_ch5514
ko:K06314	btht:H175_ch5516
ko:K16869	btht:H175_ch5517
ko:K01449	btht:H175_ch5521
ko:K06305	btht:H175_ch5522
ko:K10716	btht:H175_ch5525
ko:K03648	btht:H175_ch5529
ko:K00003	btht:H175_ch5535
ko:K01126	btht:H175_ch0517
ko:K00259	btht:H175_ch0518
ko:K01534	btht:H175_ch0521
ko:K00763	btht:H175_ch0522
ko:K11535	btht:H175_ch0531
ko:K01744	btht:H175_ch0534
ko:K03303	btht:H175_ch0535
ko:K06425	btht:H175_ch0537
ko:K03305	btht:H175_ch0538
ko:K02016	btht:H175_ch0539
ko:K02015	btht:H175_ch0540
ko:K02015	btht:H175_ch0541
ko:K02013	btht:H175_ch0542
ko:K06131	btht:H175_ch0551
ko:K02818	btht:H175_ch0556
ko:K02819	btht:H175_ch0556
ko:K06295	btht:H175_ch0561
ko:K03310	btht:H175_ch0564
ko:K10039	btht:H175_ch0566
ko:K10040	btht:H175_ch0567
ko:K04486	btht:H175_ch1359
ko:K01586	btht:H175_ch1365
ko:K00390	btht:H175_ch1367
ko:K00958	btht:H175_ch1368
ko:K00860	btht:H175_ch1369
ko:K02304	btht:H175_ch1374
ko:K03308	btht:H175_ch1375
ko:K11102	btht:H175_ch1378
ko:K11619	btht:H175_ch1381
ko:K11622	btht:H175_ch1383
ko:K03311	btht:H175_ch1387
ko:K05916	btht:H175_ch1394
ko:K07090	btht:H175_ch1397
ko:K03306	btht:H175_ch1398
ko:K07220	btht:H175_ch1399
ko:K14205	btht:H175_ch1410
ko:K05847	btht:H175_ch2232
ko:K03758	btht:H175_ch2234
ko:K11686	btht:H175_ch2239
