ko:K01006	lmot:LMOSLCC2540_1949
ko:K01699	lmot:LMOSLCC2540_1131
ko:K07045	lmot:LMOSLCC2540_0867
ko:K22010	lmot:LMOSLCC2540_1151
ko:K15771	lmot:LMOSLCC2540_0261
ko:K11051	lmot:LMOSLCC2540_0987
ko:K05350	lmot:LMOSLCC2540_0386
ko:K11741	lmot:LMOSLCC2540_0850
ko:K11741	lmot:LMOSLCC2540_0851
ko:K18926	lmot:LMOSLCC2540_0525
ko:K16509	lmot:LMOSLCC2540_2290
ko:K03699	lmot:LMOSLCC2540_2791
ko:K01977	lmot:LMOSLCC2540rRNA01
ko:K01791	lmot:LMOSLCC2540_2570
ko:K06198	lmot:LMOSLCC2540_2288
ko:K16511	lmot:LMOSLCC2540_2289
ko:K06608	lmot:LMOSLCC2540_0394
ko:K00140	lmot:LMOSLCC2540_0395
ko:K03337	lmot:LMOSLCC2540_0396
ko:K03338	lmot:LMOSLCC2540_0397
ko:K03336	lmot:LMOSLCC2540_0398
ko:K03648	lmot:LMOSLCC2540_0402
ko:K00286	lmot:LMOSLCC2540_0408
ko:K02003	lmot:LMOSLCC2540_0416
ko:K03306	lmot:LMOSLCC2540_0427
ko:K07238	lmot:LMOSLCC2540_0436
ko:K00075	lmot:LMOSLCC2540_1498
ko:K00075	lmot:LMOSLCC2540_1499
ko:K05847	lmot:LMOSLCC2540_1500
ko:K03322	lmot:LMOSLCC2540_1503
ko:K05846	lmot:LMOSLCC2540_1504
ko:K05845	lmot:LMOSLCC2540_1505
ko:K05846	lmot:LMOSLCC2540_1506
ko:K05847	lmot:LMOSLCC2540_1507
ko:K01714	lmot:LMOSLCC2540_1514
ko:K00928	lmot:LMOSLCC2540_1515
ko:K00133	lmot:LMOSLCC2540_1516
ko:K04564	lmot:LMOSLCC2540_1518
ko:K01628	lmot:LMOSLCC2540_2189
ko:K02774	lmot:LMOSLCC2540_2192
ko:K02773	lmot:LMOSLCC2540_2193
ko:K06215	lmot:LMOSLCC2540_2197
ko:K08681	lmot:LMOSLCC2540_2198
ko:K04758	lmot:LMOSLCC2540_2200
ko:K04759	lmot:LMOSLCC2540_2201
ko:K01443	lmot:LMOSLCC2540_2205
ko:K01809	lmot:LMOSLCC2540_2207
ko:K02003	lmot:LMOSLCC2540_2211
ko:K03431	lmot:LMOSLCC2540_2215
ko:K08170	lmot:LMOSLCC2540_2868
ko:K00831	lmot:LMOSLCC2540_2875
ko:K07078	lmot:LMOSLCC2540_2879
ko:K00865	lmot:LMOSLCC2540_2882
ko:K03534	lmot:LMOSLCC2540_2896
ko:K00848	lmot:LMOSLCC2540_2899
ko:K03217	lmot:LMOSLCC2540_2904
ko:K03536	lmot:LMOSLCC2540_2905
ko:K02914	lmot:LMOSLCC2540_2906
ko:K02034	lmot:LMOSLCC2540_0145
ko:K02761	lmot:LMOSLCC2540_0901
ko:K02760	lmot:LMOSLCC2540_0914
ko:K02761	lmot:LMOSLCC2540_0915
ko:K02759	lmot:LMOSLCC2540_0916
ko:K01223	lmot:LMOSLCC2540_0917
ko:K07089	lmot:LMOSLCC2540_0920
ko:K03652	lmot:LMOSLCC2540_0927
ko:K03800	lmot:LMOSLCC2540_0930
ko:K03216	lmot:LMOSLCC2540_0935
ko:K04079	lmot:LMOSLCC2540_0941
ko:K04047	lmot:LMOSLCC2540_0942
ko:K09817	lmot:LMOSLCC2540_0160
ko:K09816	lmot:LMOSLCC2540_0161
ko:K02341	lmot:LMOSLCC2540_0168
ko:K07461	lmot:LMOSLCC2540_0172
ko:K07056	lmot:LMOSLCC2540_0173
ko:K06284	lmot:LMOSLCC2540_0174
ko:K05340	lmot:LMOSLCC2540_0175
ko:K01874	lmot:LMOSLCC2540_0179
ko:K03424	lmot:LMOSLCC2540_0188
ko:K05985	lmot:LMOSLCC2540_0190
ko:K02528	lmot:LMOSLCC2540_0191
ko:K00919	lmot:LMOSLCC2540_0193
ko:K02003	lmot:LMOSLCC2540_0197
ko:K06412	lmot:LMOSLCC2540_0199
ko:K06412	lmot:LMOSLCC2540_0200
ko:K04042	lmot:LMOSLCC2540_0201
ko:K03449	lmot:LMOSLCC2540_0946
ko:K01443	lmot:LMOSLCC2540_0955
ko:K03710	lmot:LMOSLCC2540_0957
ko:K08303	lmot:LMOSLCC2540_0960
ko:K03744	lmot:LMOSLCC2540_0961
ko:K03799	lmot:LMOSLCC2540_0962
ko:K00858	lmot:LMOSLCC2540_0967
ko:K06180	lmot:LMOSLCC2540_0968
ko:K00208	lmot:LMOSLCC2540_0969
ko:K03740	lmot:LMOSLCC2540_0970
ko:K14188	lmot:LMOSLCC2540_0971
ko:K03739	lmot:LMOSLCC2540_0972
ko:K03367	lmot:LMOSLCC2540_0973
ko:K01807	lmot:LMOSLCC2540_0975
ko:K00826	lmot:LMOSLCC2540_0978
ko:K00432	lmot:LMOSLCC2540_0983
ko:K02837	lmot:LMOSLCC2540_0988
ko:K09816	lmot:LMOSLCC2540_1525
ko:K09817	lmot:LMOSLCC2540_1526
ko:K01151	lmot:LMOSLCC2540_1528
