ko:K12978	fpj:LA02_140
ko:K14219	fpj:LA02_755
ko:K14235	fpj:LA02_690
ko:K14227	fpj:LA02_1050
ko:K14227	fpj:LA02_1997
ko:K14227	fpj:LA02_379
ko:K03602	fpj:LA02_1226
ko:K19416	fpj:LA02_1687
ko:K19561	fpj:LA02_1494
ko:K01990	fpj:LA02_1807
ko:K03386	fpj:LA02_1382
ko:K00134	fpj:LA02_1027
ko:K00927	fpj:LA02_1028
ko:K00873	fpj:LA02_1029
ko:K01624	fpj:LA02_1030
ko:K01194	fpj:LA02_1031
ko:K09001	fpj:LA02_1033
ko:K11901	fpj:LA02_1035
ko:K11900	fpj:LA02_1036
ko:K03782	fpj:LA02_1814
ko:K01129	fpj:LA02_1816
ko:K03327	fpj:LA02_1818
ko:K01433	fpj:LA02_1822
ko:K00761	fpj:LA02_1823
ko:K00639	fpj:LA02_1825
ko:K00060	fpj:LA02_1826
ko:K00991	fpj:LA02_1828
ko:K05589	fpj:LA02_1829
ko:K01689	fpj:LA02_1830
ko:K03811	fpj:LA02_1832
ko:K00845	fpj:LA02_1833
ko:K00845	fpj:LA02_1834
ko:K03215	fpj:LA02_1835
ko:K03060	fpj:LA02_1838
ko:K00876	fpj:LA02_1839
ko:K01627	fpj:LA02_1840
ko:K15724	fpj:LA02_1841
ko:K00962	fpj:LA02_1842
ko:K02956	fpj:LA02_1843
ko:K03587	fpj:LA02_1844
ko:K03586	fpj:LA02_1845
ko:K03438	fpj:LA02_1846
ko:K10563	fpj:LA02_1848
ko:K08681	fpj:LA02_1849
ko:K06215	fpj:LA02_1850
ko:K02470	fpj:LA02_1851
ko:K05539	fpj:LA02_1853
ko:K01903	fpj:LA02_1856
ko:K01902	fpj:LA02_1857
ko:K01424	fpj:LA02_1862
ko:K06201	fpj:LA02_1865
ko:K03760	fpj:LA02_535
ko:K00901	fpj:LA02_536
ko:K07220	fpj:LA02_537
ko:K03306	fpj:LA02_538
ko:K00806	fpj:LA02_208
ko:K02838	fpj:LA02_209
ko:K09903	fpj:LA02_210
ko:K02357	fpj:LA02_211
ko:K02967	fpj:LA02_212
ko:K01738	fpj:LA02_213
ko:K00640	fpj:LA02_215
ko:K01885	fpj:LA02_218
ko:K01679	fpj:LA02_219
ko:K10679	fpj:LA02_221
ko:K00101	fpj:LA02_222
ko:K00147	fpj:LA02_223
ko:K00931	fpj:LA02_224
ko:K01595	fpj:LA02_228
ko:K01873	fpj:LA02_229
ko:K02339	fpj:LA02_230
ko:K01304	fpj:LA02_233
ko:K07114	fpj:LA02_235
ko:K07114	fpj:LA02_236
ko:K07114	fpj:LA02_237
ko:K03924	fpj:LA02_240
ko:K00868	fpj:LA02_242
ko:K02536	fpj:LA02_244
ko:K00425	fpj:LA02_246
