ko:K06896	sjj:SPJ_0697
ko:K01598	sjj:SPJ_1145
ko:K15580	sjj:SPJ_1432
ko:K02242	sjj:SPJ_2233
ko:K12308	sjj:SPJ_0090
ko:K02236	sjj:SPJ_1716
ko:K00703	sjj:SPJ_1061
ko:K12251	sjj:SPJ_0863
ko:K07105	sjj:SPJ_1149
ko:K12292	sjj:SPJ_0073
ko:K12267	sjj:SPJ_1259
ko:K00625	sjj:SPJ_1037
ko:K02121	sjj:SPJ_1236
ko:K12574	sjj:SPJ_0155
ko:K06148	sjj:SPJ_0167
ko:K07052	sjj:SPJ_0173
ko:K02030	sjj:SPJ_0177
ko:K01955	sjj:SPJ_1189
ko:K01956	sjj:SPJ_1190
ko:K00609	sjj:SPJ_1191
ko:K02825	sjj:SPJ_1192
ko:K10773	sjj:SPJ_1193
ko:K07040	sjj:SPJ_1194
ko:K03799	sjj:SPJ_1198
ko:K03744	sjj:SPJ_1199
ko:K03501	sjj:SPJ_1200
ko:K03106	sjj:SPJ_1202
ko:K09787	sjj:SPJ_1203
ko:K06885	sjj:SPJ_1205
ko:K02884	sjj:SPJ_1209
ko:K06199	sjj:SPJ_1210
ko:K06199	sjj:SPJ_1211
ko:K04516	sjj:SPJ_1212
ko:K02909	sjj:SPJ_1215
ko:K02120	sjj:SPJ_1231
ko:K02118	sjj:SPJ_1232
ko:K02117	sjj:SPJ_1233
ko:K02122	sjj:SPJ_1234
ko:K02119	sjj:SPJ_1235
ko:K09704	sjj:SPJ_2170
ko:K01206	sjj:SPJ_2172
ko:K01478	sjj:SPJ_2173
ko:K00611	sjj:SPJ_2174
ko:K00926	sjj:SPJ_2175
ko:K01818	sjj:SPJ_2184
ko:K02796	sjj:SPJ_2187
ko:K02795	sjj:SPJ_2188
ko:K02431	sjj:SPJ_2191
ko:K00848	sjj:SPJ_2193
ko:K09815	sjj:SPJ_2195
ko:K09816	sjj:SPJ_2196
ko:K09817	sjj:SPJ_2197
ko:K03740	sjj:SPJ_2200
ko:K03739	sjj:SPJ_2203
ko:K03367	sjj:SPJ_2204
ko:K02440	sjj:SPJ_2211
ko:K00864	sjj:SPJ_2213
ko:K04083	sjj:SPJ_2215
ko:K03696	sjj:SPJ_2221
ko:K03708	sjj:SPJ_2222
ko:K09811	sjj:SPJ_0695
ko:K00789	sjj:SPJ_0699
ko:K00226	sjj:SPJ_0701
ko:K02340	sjj:SPJ_0702
ko:K04564	sjj:SPJ_0703
ko:K06941	sjj:SPJ_0705
ko:K02959	sjj:SPJ_0712
ko:K06960	sjj:SPJ_0713
ko:K02860	sjj:SPJ_0715
ko:K00554	sjj:SPJ_0716
ko:K03523	sjj:SPJ_0721
ko:K03671	sjj:SPJ_1673
ko:K06188	sjj:SPJ_1676
ko:K09761	sjj:SPJ_1680
ko:K02687	sjj:SPJ_1681
ko:K07478	sjj:SPJ_1691
ko:K02529	sjj:SPJ_1697
ko:K07090	sjj:SPJ_1706
ko:K02761	sjj:SPJ_1709
ko:K02759	sjj:SPJ_1710
ko:K02760	sjj:SPJ_1711
