ko:K04042	mab:MAB_1148c
ko:K01628	mab:MAB_1048c
ko:K00257	mab:MAB_1070c
ko:K01965	mab:MAB_1071c
ko:K00249	mab:MAB_1073c
ko:K00666	mab:MAB_1140
ko:K01697	mab:MAB_1195
ko:K01739	mab:MAB_1197
ko:K00128	mab:MAB_1218
ko:K01607	mab:MAB_1221
ko:K05847	mab:MAB_1226
ko:K05845	mab:MAB_1228
ko:K03574	mab:MAB_1308
ko:K00545	mab:MAB_1318c
ko:K00219	mab:MAB_1325c
ko:K00318	mab:MAB_1331
ko:K00666	mab:MAB_1342
ko:K07005	mab:MAB_1356
ko:K02027	mab:MAB_1372
ko:K05595	mab:MAB_1383
ko:K06147	mab:MAB_1414c
ko:K01768	mab:MAB_1459c
ko:K00666	mab:MAB_1489
ko:K11081	mab:MAB_1501
ko:K11084	mab:MAB_1502
ko:K11083	mab:MAB_1503
ko:K11082	mab:MAB_1504
ko:K01187	mab:MAB_1565c
ko:K01358	mab:MAB_1581
ko:K01358	mab:MAB_1582
ko:K00956	mab:MAB_1659c
ko:K01426	mab:MAB_1674c
ko:K00324	mab:MAB_4579c
ko:K00928	mab:MAB_0343
ko:K00163	mab:MAB_1884c
ko:K02428	mab:MAB_1485
ko:K03060	mab:MAB_2822c
ko:K00954	mab:MAB_3259c
ko:K00324	mab:MAB_4578c
ko:K01876	mab:MAB_2865c
ko:K01546	mab:MAB_3254c
ko:K01547	mab:MAB_3253c
ko:K01548	mab:MAB_3252c
ko:K04518	mab:MAB_0132
ko:K03500	mab:MAB_2810c
ko:K03497	mab:MAB_4949c
ko:K02230	mab:MAB_2201
ko:K01696	mab:MAB_2644c
ko:K01246	mab:MAB_1349
ko:K03587	mab:MAB_2000
ko:K03040	mab:MAB_3770c
ko:K00052	mab:MAB_3303c
ko:K01580	mab:MAB_3740c
ko:K00925	mab:MAB_4225c
ko:K10536	mab:MAB_0588c
ko:K07042	mab:MAB_1669
ko:K10773	mab:MAB_0418
ko:K03652	mab:MAB_2352
ko:K00133	mab:MAB_0344
ko:K02913	mab:MAB_3899c
ko:K01596	mab:MAB_4502c
ko:K00833	mab:MAB_2688c
ko:K03921	mab:MAB_3354
ko:K03921	mab:MAB_4403c
ko:K03921	mab:MAB_2157
ko:K10563	mab:MAB_3255c
ko:K03075	mab:MAB_2774c
ko:K03703	mab:MAB_2784c
ko:K04066	mab:MAB_2813c
ko:K02825	mab:MAB_2832c
ko:K03625	mab:MAB_2836c
ko:K03074	mab:MAB_2879c
ko:K03072	mab:MAB_2880c
ko:K01159	mab:MAB_2884c
ko:K01854	mab:MAB_0170
ko:K05522	mab:MAB_4728c
ko:K03177	mab:MAB_3116c
ko:K01428	mab:MAB_2425
ko:K00278	mab:MAB_2673c
ko:K01802	mab:MAB_0954
ko:K08351	mab:MAB_3041
ko:K07670	mab:MAB_3591c
ko:K01874	mab:MAB_1128c
ko:K00765	mab:MAB_2132
ko:K02358	mab:MAB_3848c
ko:K02341	mab:MAB_0491
ko:K01992	mab:MAB_1690
ko:K01992	mab:MAB_2753
ko:K01992	mab:MAB_1358c
ko:K09796	mab:MAB_2271c
ko:K01596	mab:MAB_2561c
ko:K00161	mab:MAB_4918c
ko:K00161	mab:MAB_0897c
ko:K06891	mab:MAB_1475
ko:K01953	mab:MAB_1960c
ko:K00604	mab:MAB_2811c
ko:K00567	mab:MAB_3012
ko:K00963	mab:MAB_1086
ko:K00567	mab:MAB_2332c
ko:K00239	mab:MAB_3675
ko:K03110	mab:MAB_3241c
ko:K03449	mab:MAB_2273
ko:K09922	mab:MAB_0350
ko:K03073	mab:MAB_3895c
ko:K03922	mab:MAB_1237
ko:K01939	mab:MAB_4249c
ko:K06187	mab:MAB_0320
ko:K02343	mab:MAB_0309
ko:K07646	mab:MAB_3251c
ko:K01703	mab:MAB_3294c
ko:K00162	mab:MAB_0896c
ko:K03186	mab:MAB_2766
ko:K03183	mab:MAB_3930c
ko:K03724	mab:MAB_3651
ko:K07503	mab:MAB_1460
ko:K00626	mab:MAB_1463
ko:K01012	mab:MAB_2684c
ko:K01430	mab:MAB_2423
ko:K00864	mab:MAB_0382
ko:K00525	mab:MAB_3413c
ko:K00549	mab:MAB_4623c
ko:K06042	mab:MAB_2199c
ko:K01915	mab:MAB_1920
ko:K07089	mab:MAB_2861
ko:K01652	mab:MAB_3470c
ko:K01892	mab:MAB_2872c
ko:K00820	mab:MAB_3743c
ko:K01912	mab:MAB_0911
ko:K00526	mab:MAB_4007c
ko:K00057	mab:MAB_3288c
ko:K00111	mab:MAB_3655c
ko:K03665	mab:MAB_3042c
ko:K01845	mab:MAB_3978c
ko:K01687	mab:MAB_4545
ko:K01733	mab:MAB_1436
ko:K03685	mab:MAB_3256c
ko:K00325	mab:MAB_4577c
ko:K02440	mab:MAB_0381
ko:K01956	mab:MAB_2828c
ko:K00526	mab:MAB_3404c
ko:K02313	mab:MAB_0001
ko:K00344	mab:MAB_3622c
ko:K00790	mab:MAB_1457
ko:K01126	mab:MAB_0123
ko:K00059	mab:MAB_0952
ko:K00425	mab:MAB_2630
ko:K00426	mab:MAB_2631
ko:K10843	mab:MAB_0860c
ko:K01814	mab:MAB_2666c
ko:K01817	mab:MAB_2666c
ko:K07447	mab:MAB_2850c
ko:K01998	mab:MAB_2624c
ko:K00537	mab:MAB_0992
ko:K01457	mab:MAB_1558c
ko:K03070	mab:MAB_3580c
ko:K03070	mab:MAB_2397
ko:K01616	mab:MAB_1393c
ko:K03921	mab:MAB_0754c
ko:K02551	mab:MAB_3933c
ko:K02109	mab:MAB_1449
ko:K02111	mab:MAB_1451
ko:K03701	mab:MAB_2315
ko:K02520	mab:MAB_2321
ko:K02916	mab:MAB_2322
ko:K02887	mab:MAB_2323
ko:K03437	mab:MAB_2324
ko:K00145	mab:MAB_2336
ko:K00930	mab:MAB_2338
ko:K00611	mab:MAB_2340
ko:K03402	mab:MAB_2341
ko:K01940	mab:MAB_2342
ko:K01866	mab:MAB_2354
ko:K06442	mab:MAB_2359
ko:K00858	mab:MAB_2360
ko:K03631	mab:MAB_2361
ko:K03637	mab:MAB_0864
ko:K03635	mab:MAB_0866
ko:K03710	mab:MAB_1498c
ko:K00997	mab:MAB_1513
ko:K01488	mab:MAB_3670c
ko:K02437	mab:MAB_2402
ko:K08999	mab:MAB_2405
ko:K01638	mab:MAB_2409c
ko:K00033	mab:MAB_2413c
ko:K08641	mab:MAB_1843
ko:K05786	mab:MAB_2698c
ko:K03101	mab:MAB_2700c
ko:K02346	mab:MAB_2702c
ko:K01870	mab:MAB_2705c
ko:K07588	mab:MAB_2710c
ko:K00344	mab:MAB_4603c
ko:K01937	mab:MAB_2364
ko:K00873	mab:MAB_2639c
ko:K01609	mab:MAB_2645c
ko:K01673	mab:MAB_2656
ko:K03564	mab:MAB_2662
ko:K01496	mab:MAB_2663c
ko:K03088	mab:MAB_2163
ko:K01652	mab:MAB_2165
ko:K00648	mab:MAB_2167
ko:K03433	mab:MAB_2172
ko:K03432	mab:MAB_2173
ko:K00773	mab:MAB_0275
ko:K01885	mab:MAB_0278c
ko:K01857	mab:MAB_0290
ko:K01626	mab:MAB_0295
ko:K00216	mab:MAB_0296
ko:K00945	mab:MAB_2371
ko:K03977	mab:MAB_2372
ko:K06877	mab:MAB_0486c
ko:K03704	mab:MAB_0487
ko:K06173	mab:MAB_3768c
ko:K00867	mab:MAB_1234c
ko:K00600	mab:MAB_1236
ko:K07175	mab:MAB_1239
ko:K03088	mab:MAB_1248
ko:K03116	mab:MAB_2187
ko:K03118	mab:MAB_2188
ko:K03727	mab:MAB_2189
ko:K01995	mab:MAB_2623c
ko:K02229	mab:MAB_2200c
ko:K02338	mab:MAB_0002
ko:K00033	mab:MAB_0003
ko:K03629	mab:MAB_0004
ko:K02470	mab:MAB_0006
ko:K02469	mab:MAB_0019
ko:K10563	mab:MAB_1038
ko:K00604	mab:MAB_2260
ko:K06720	mab:MAB_2265c
ko:K00836	mab:MAB_2266c
ko:K06718	mab:MAB_2267c
ko:K02945	mab:MAB_2296
ko:K00859	mab:MAB_2298
ko:K06994	mab:MAB_2301
ko:K03702	mab:MAB_2308
ko:K01880	mab:MAB_1702
ko:K01129	mab:MAB_1707
ko:K02316	mab:MAB_1708
ko:K03090	mab:MAB_2511
ko:K03781	mab:MAB_2530c
ko:K00156	mab:MAB_2537c
ko:K10536	mab:MAB_2544c
ko:K01265	mab:MAB_0094c
ko:K02553	mab:MAB_0107c
ko:K07156	mab:MAB_0109c
ko:K00156	mab:MAB_0134c
ko:K11175	mab:MAB_1063
ko:K02911	mab:MAB_1075
ko:K07653	mab:MAB_1077
ko:K03282	mab:MAB_1082c
ko:K03790	mab:MAB_1088
ko:K01478	mab:MAB_1121
ko:K07056	mab:MAB_1123
ko:K01429	mab:MAB_2424
ko:K03188	mab:MAB_2426
ko:K03190	mab:MAB_2428
ko:K03885	mab:MAB_2429c
ko:K02020	mab:MAB_2433
ko:K02018	mab:MAB_2434
ko:K06199	mab:MAB_2439
ko:K03798	mab:MAB_0533
ko:K01495	mab:MAB_0534
ko:K00796	mab:MAB_0535
ko:K01633	mab:MAB_0536
ko:K00950	mab:MAB_0537
ko:K01918	mab:MAB_0541
ko:K03525	mab:MAB_0543
ko:K03696	mab:MAB_0546
ko:K02016	mab:MAB_0547c
ko:K02013	mab:MAB_0548c
ko:K02015	mab:MAB_0549c
ko:K01114	mab:MAB_0555
ko:K01673	mab:MAB_0559
ko:K01772	mab:MAB_2721c
ko:K03924	mab:MAB_2726c
ko:K04488	mab:MAB_2745c
ko:K09013	mab:MAB_2747c
ko:K09015	mab:MAB_2748c
ko:K09014	mab:MAB_2749c
ko:K02259	mab:MAB_2754
ko:K00615	mab:MAB_2759
ko:K00036	mab:MAB_2761
ko:K03639	mab:MAB_0871c
ko:K03704	mab:MAB_0872
ko:K06966	mab:MAB_1340
ko:K06966	mab:MAB_1341
ko:K00796	mab:MAB_1345
ko:K00975	mab:MAB_1352
ko:K00375	mab:MAB_1353c
ko:K03088	mab:MAB_1362
ko:K03117	mab:MAB_1365
ko:K03593	mab:MAB_1366c
ko:K02025	mab:MAB_1373
ko:K02026	mab:MAB_1374
ko:K03284	mab:MAB_1378c
ko:K02049	mab:MAB_2243
ko:K00215	mab:MAB_0727
ko:K06980	mab:MAB_0730c
