ko:K13613	bmp:NG74_01767
ko:K01212	bmp:NG74_03944
ko:K08153	bmp:NG74_01083
ko:K00130	bmp:NG74_02960
ko:K21900	bmp:NG74_03658
ko:K02277	bmp:NG74_01534
ko:K15327	bmp:NG74_01758
ko:K06292	bmp:NG74_03469
ko:K22044	bmp:NG74_01456
ko:K05592	bmp:NG74_03802
ko:K19310	bmp:NG74_00815
ko:K19689	bmp:NG74_01477
ko:K03297	bmp:NG74_00453
ko:K14228	bmp:NG74_00499
ko:K11741	bmp:NG74_00598
ko:K18924	bmp:NG74_00599
ko:K19417	bmp:NG74_03327
ko:K18939	bmp:NG74_00278
ko:K18926	bmp:NG74_00277
ko:K01732	bmp:NG74_03810
ko:K18939	bmp:NG74_03390
ko:K19427	bmp:NG74_03315
ko:K03296	bmp:NG74_00699
ko:K00571	bmp:NG74_02788
ko:K07448	bmp:NG74_03871
ko:K07029	bmp:NG74_00700
ko:K21064	bmp:NG74_01124
ko:K11638	bmp:NG74_00772
ko:K01585	bmp:NG74_01506
ko:K19309	bmp:NG74_00814
ko:K01990	bmp:NG74_00232
ko:K01990	bmp:NG74_00941
ko:K01990	bmp:NG74_03223
ko:K01990	bmp:NG74_03679
ko:K08221	bmp:NG74_00754
ko:K15662	bmp:NG74_01893
ko:K03892	bmp:NG74_03760
ko:K22579	bmp:NG74_03400
ko:K21471	bmp:NG74_03368
ko:K21469	bmp:NG74_00202
ko:K21472	bmp:NG74_03093
ko:K21466	bmp:NG74_01432
ko:K19302	bmp:NG74_03546
ko:K15654	bmp:NG74_00347
ko:K19546	bmp:NG74_03668
ko:K11691	bmp:NG74_00460
ko:K19449	bmp:NG74_02400
ko:K19429	bmp:NG74_03312
ko:K19430	bmp:NG74_03311
ko:K13614	bmp:NG74_01768
ko:K01101	bmp:NG74_03089
ko:K19420	bmp:NG74_03326
ko:K07149	bmp:NG74_03331
ko:K13615	bmp:NG74_01769
ko:K15468	bmp:NG74_01770
ko:K01985	bmp:NG74_00012
ko:K01985	bmp:NG74_00039
ko:K01985	bmp:NG74_00188
ko:K01985	bmp:NG74_00612
ko:K01985	bmp:NG74_00105
ko:K01985	bmp:NG74_02948
ko:K01985	bmp:NG74_00884
ko:K14221	bmp:NG74_00614
ko:K14221	bmp:NG74_03919
ko:K14221	bmp:NG74_02934
ko:K14221	bmp:NG74_00890
ko:K14232	bmp:NG74_02940
ko:K14222	bmp:NG74_00898
ko:K14223	bmp:NG74_00211
ko:K14223	bmp:NG74_00896
ko:K14223	bmp:NG74_00497
ko:K14223	bmp:NG74_02416
ko:K01980	bmp:NG74_00011
ko:K14227	bmp:NG74_00009
ko:K14227	bmp:NG74_00102
ko:K14227	bmp:NG74_02951
ko:K14227	bmp:NG74_00036
ko:K14227	bmp:NG74_02930
ko:K14227	bmp:NG74_00185
ko:K14227	bmp:NG74_00609
ko:K14227	bmp:NG74_00881
ko:K01977	bmp:NG74_00008
ko:K01977	bmp:NG74_02952
ko:K14233	bmp:NG74_00021
ko:K14233	bmp:NG74_02936
ko:K00997	bmp:NG74_00478
ko:K01775	bmp:NG74_00480
ko:K07723	bmp:NG74_00481
ko:K17763	bmp:NG74_00483
ko:K17762	bmp:NG74_00484
ko:K17752	bmp:NG74_00485
ko:K07315	bmp:NG74_00486
ko:K04749	bmp:NG74_00487
ko:K04757	bmp:NG74_00488
ko:K03090	bmp:NG74_00489
ko:K05518	bmp:NG74_00490
ko:K06959	bmp:NG74_00491
ko:K03095	bmp:NG74_00493
ko:K03762	bmp:NG74_00501
ko:K01265	bmp:NG74_00782
ko:K02803	bmp:NG74_00783
ko:K02804	bmp:NG74_00783
ko:K13993	bmp:NG74_00787
ko:K02818	bmp:NG74_00790
ko:K02819	bmp:NG74_00790
ko:K01226	bmp:NG74_00791
ko:K03486	bmp:NG74_00792
ko:K08693	bmp:NG74_00796
ko:K05520	bmp:NG74_00797
ko:K02529	bmp:NG74_00798
ko:K00014	bmp:NG74_00799
ko:K03785	bmp:NG74_00800
ko:K01104	bmp:NG74_00803
ko:K07058	bmp:NG74_00805
ko:K07300	bmp:NG74_00808
ko:K03284	bmp:NG74_00821
ko:K01247	bmp:NG74_00822
ko:K03215	bmp:NG74_00823
ko:K00627	bmp:NG74_00829
ko:K00382	bmp:NG74_00830
ko:K10823	bmp:NG74_01159
ko:K16509	bmp:NG74_01162
ko:K16511	bmp:NG74_01164
ko:K08602	bmp:NG74_01166
ko:K06886	bmp:NG74_01170
ko:K07816	bmp:NG74_01174
ko:K00858	bmp:NG74_01175
ko:K06180	bmp:NG74_01176
ko:K03455	bmp:NG74_01178
ko:K03707	bmp:NG74_01180
ko:K10810	bmp:NG74_01181
ko:K03153	bmp:NG74_01182
ko:K03154	bmp:NG74_01183
ko:K03149	bmp:NG74_01184
ko:K00941	bmp:NG74_01186
ko:K00208	bmp:NG74_01187
ko:K06342	bmp:NG74_01191
ko:K06341	bmp:NG74_01192
ko:K03657	bmp:NG74_01199
ko:K17837	bmp:NG74_01201
ko:K01990	bmp:NG74_01203
ko:K01739	bmp:NG74_01210
ko:K01760	bmp:NG74_01211
ko:K02304	bmp:NG74_01609
ko:K01537	bmp:NG74_01611
ko:K09777	bmp:NG74_01613
ko:K00942	bmp:NG74_01614
ko:K03060	bmp:NG74_01615
ko:K13038	bmp:NG74_01616
ko:K04066	bmp:NG74_01617
ko:K01462	bmp:NG74_01618
ko:K00604	bmp:NG74_01619
ko:K03500	bmp:NG74_01620
ko:K06941	bmp:NG74_01621
ko:K06949	bmp:NG74_01624
ko:K01783	bmp:NG74_01625
ko:K00949	bmp:NG74_01626
ko:K02902	bmp:NG74_01627
ko:K07030	bmp:NG74_01629
ko:K01752	bmp:NG74_01630
ko:K01752	bmp:NG74_01631
ko:K03655	bmp:NG74_01632
ko:K03621	bmp:NG74_01634
ko:K00645	bmp:NG74_01635
ko:K00059	bmp:NG74_01636
ko:K02078	bmp:NG74_01637
ko:K03685	bmp:NG74_01638
ko:K03529	bmp:NG74_01639
ko:K03110	bmp:NG74_01640
