ko:K15581	ecl:EcolC_2384
ko:K02409	ecl:EcolC_3382
ko:K05365	ecl:EcolC_3510
ko:K00932	ecl:EcolC_0583
ko:K13888	ecl:EcolC_2718
ko:K02412	ecl:EcolC_1701
ko:K02412	ecl:EcolC_3379
ko:K05367	ecl:EcolC_1158
ko:K00390	ecl:EcolC_0950
ko:K01823	ecl:EcolC_0820
ko:K02834	ecl:EcolC_0531
ko:K02888	ecl:EcolC_0514
ko:K02892	ecl:EcolC_0395
ko:K02926	ecl:EcolC_0394
ko:K01755	ecl:EcolC_4056
ko:K01639	ecl:EcolC_0481
ko:K01720	ecl:EcolC_3291
ko:K05520	ecl:EcolC_0545
ko:K07229	ecl:EcolC_0630
ko:K11746	ecl:EcolC_3609
ko:K11733	ecl:EcolC_1492
ko:K03765	ecl:EcolC_3894
ko:K11734	ecl:EcolC_3547
ko:K06889	ecl:EcolC_3823
ko:K02511	ecl:EcolC_3708
ko:K02340	ecl:EcolC_3005
ko:K03602	ecl:EcolC_3211
ko:K03111	ecl:EcolC_3968
ko:K05366	ecl:EcolC_0317
ko:K00833	ecl:EcolC_2869
ko:K01232	ecl:EcolC_0021
ko:K02337	ecl:EcolC_3476
ko:K00325	ecl:EcolC_2028
ko:K02469	ecl:EcolC_1420
ko:K03555	ecl:EcolC_0979
ko:K00627	ecl:EcolC_3544
ko:K00652	ecl:EcolC_0715
ko:K00652	ecl:EcolC_2867
ko:K01610	ecl:EcolC_0310
ko:K03601	ecl:EcolC_1168
ko:K18919	ecl:EcolC_2073
ko:K18919	ecl:EcolC_3639
ko:K03624	ecl:EcolC_0519
ko:K03686	ecl:EcolC_3641
ko:K04568	ecl:EcolC_3855
ko:K04567	ecl:EcolC_0819
ko:K01252	ecl:EcolC_3049
ko:K00484	ecl:EcolC_3711
ko:K01889	ecl:EcolC_1917
ko:K00954	ecl:EcolC_0077
ko:K01892	ecl:EcolC_1163
ko:K01876	ecl:EcolC_1766
ko:K04066	ecl:EcolC_4083
ko:K05851	ecl:EcolC_4201
ko:K02317	ecl:EcolC_3693
ko:K03547	ecl:EcolC_3235
ko:K05787	ecl:EcolC_4025
ko:K00604	ecl:EcolC_0426
ko:K01585	ecl:EcolC_0773
ko:K05788	ecl:EcolC_2684
ko:K03654	ecl:EcolC_4186
ko:K00483	ecl:EcolC_3710
ko:K08722	ecl:EcolC_1361
ko:K02336	ecl:EcolC_3597
ko:K02346	ecl:EcolC_3349
ko:K04567	ecl:EcolC_3898
ko:K01584	ecl:EcolC_3910
ko:K05982	ecl:EcolC_4027
ko:K00872	ecl:EcolC_3652
ko:K01546	ecl:EcolC_2958
ko:K01547	ecl:EcolC_2959
ko:K01548	ecl:EcolC_2960
ko:K13895	ecl:EcolC_1468
ko:K09024	ecl:EcolC_2588
ko:K02846	ecl:EcolC_2541
ko:K10563	ecl:EcolC_0076
ko:K03584	ecl:EcolC_1112
ko:K04764	ecl:EcolC_1919
ko:K01912	ecl:EcolC_2257
ko:K03500	ecl:EcolC_0425
ko:K06187	ecl:EcolC_3144
ko:K01704	ecl:EcolC_3586
ko:K03498	ecl:EcolC_4161
ko:K03785	ecl:EcolC_1938
ko:K02339	ecl:EcolC_3753
ko:K02338	ecl:EcolC_0002
ko:K02800	ecl:EcolC_0778
ko:K07462	ecl:EcolC_0817
ko:K02109	ecl:EcolC_4258
ko:K02113	ecl:EcolC_4259
ko:K02111	ecl:EcolC_4260
ko:K00241	ecl:EcolC_2934
ko:K01834	ecl:EcolC_2907
ko:K02778	ecl:EcolC_2500
ko:K02779	ecl:EcolC_2500
ko:K02799	ecl:EcolC_0778
ko:K01961	ecl:EcolC_0450
ko:K00927	ecl:EcolC_0784
ko:K02446	ecl:EcolC_4093
ko:K01223	ecl:EcolC_4273
ko:K07700	ecl:EcolC_3025
ko:K07701	ecl:EcolC_3902
ko:K01803	ecl:EcolC_4099
ko:K00134	ecl:EcolC_1853
ko:K11183	ecl:EcolC_1479
ko:K02768	ecl:EcolC_1479
ko:K00239	ecl:EcolC_2932
ko:K01624	ecl:EcolC_0785
ko:K02761	ecl:EcolC_1895
ko:K01223	ecl:EcolC_0996
ko:K01223	ecl:EcolC_0808
ko:K06221	ecl:EcolC_0684
ko:K02400	ecl:EcolC_1753
ko:K01007	ecl:EcolC_1929
ko:K03665	ecl:EcolC_3840
ko:K02421	ecl:EcolC_1692
ko:K05522	ecl:EcolC_2941
ko:K01142	ecl:EcolC_1883
ko:K01151	ecl:EcolC_1489
ko:K03413	ecl:EcolC_1750
ko:K01695	ecl:EcolC_2367
ko:K03553	ecl:EcolC_1013
ko:K03550	ecl:EcolC_1771
ko:K03656	ecl:EcolC_4225
ko:K08303	ecl:EcolC_2224
ko:K07461	ecl:EcolC_0543
ko:K01696	ecl:EcolC_2366
ko:K11264	ecl:EcolC_0791
ko:K03060	ecl:EcolC_0062
ko:K00883	ecl:EcolC_0009
ko:K00247	ecl:EcolC_3859
