ko:K18893	babr:DO74_372
ko:K13967	babr:DO74_3182
ko:K22617	babr:DO74_1894
ko:K21909	babr:DO74_2780
ko:K03446	babr:DO74_2334
ko:K00344	babr:DO74_3055
ko:K02031	babr:DO74_2856
ko:K03297	babr:DO74_957
ko:K07492	babr:DO74_1343
ko:K07492	babr:DO74_1327
ko:K07050	babr:DO74_832
ko:K22616	babr:DO74_365
ko:K22616	babr:DO74_364
ko:K19713	babr:DO74_2120
ko:K11741	babr:DO74_1093
ko:K14218	babr:DO74_2533
ko:K14218	babr:DO74_282
ko:K14218	babr:DO74_81
ko:K14227	babr:DO74_2532
ko:K14227	babr:DO74_80
ko:K14227	babr:DO74_281
ko:K14218	babr:DO74_1837
ko:K14225	babr:DO74_641
ko:K14219	babr:DO74_1150
ko:K14229	babr:DO74_563
ko:K14230	babr:DO74_434
ko:K01271	babr:DO74_386
ko:K07005	babr:DO74_528
ko:K21911	babr:DO74_2776
ko:K02031	babr:DO74_2552
ko:K00130	babr:DO74_1310
ko:K19231	babr:DO74_2499
ko:K19233	babr:DO74_96
ko:K19232	babr:DO74_1792
ko:K00336	babr:DO74_1064
ko:K11209	babr:DO74_1236
ko:K00249	babr:DO74_1438
ko:K00001	babr:DO74_2902
ko:K00065	babr:DO74_2670
ko:K00076	babr:DO74_303
ko:K01144	babr:DO74_517
ko:K11079	babr:DO74_2546
ko:K00108	babr:DO74_1309
ko:K04771	babr:DO74_1251
ko:K19270	babr:DO74_1017
ko:K21686	babr:DO74_703
ko:K13010	babr:DO74_1335
ko:K11077	babr:DO74_2548
ko:K14226	babr:DO74_318
ko:K14230	babr:DO74_320
ko:K05799	babr:DO74_2277
ko:K01977	babr:DO74_2531
ko:K01977	babr:DO74_79
ko:K01977	babr:DO74_280
ko:K01980	babr:DO74_283
ko:K02431	babr:DO74_561
ko:K02048	babr:DO74_567
ko:K02046	babr:DO74_568
ko:K02047	babr:DO74_569
ko:K07002	babr:DO74_570
ko:K07027	babr:DO74_571
ko:K03455	babr:DO74_572
ko:K12257	babr:DO74_573
ko:K02232	babr:DO74_584
ko:K02231	babr:DO74_587
ko:K02234	babr:DO74_588
ko:K02230	babr:DO74_589
ko:K08978	babr:DO74_592
ko:K07090	babr:DO74_591
ko:K02189	babr:DO74_594
ko:K05936	babr:DO74_596
ko:K05895	babr:DO74_595
ko:K02188	babr:DO74_597
ko:K02303	babr:DO74_598
ko:K02224	babr:DO74_599
ko:K02225	babr:DO74_600
ko:K02227	babr:DO74_602
ko:K01999	babr:DO74_601
ko:K13786	babr:DO74_603
ko:K13541	babr:DO74_606
ko:K03394	babr:DO74_607
ko:K06042	babr:DO74_608
ko:K02229	babr:DO74_609
ko:K00595	babr:DO74_610
ko:K16079	babr:DO74_611
ko:K03630	babr:DO74_612
ko:K01265	babr:DO74_613
ko:K14652	babr:DO74_1423
ko:K01736	babr:DO74_1424
ko:K09778	babr:DO74_1426
ko:K03704	babr:DO74_1429
ko:K00208	babr:DO74_1431
ko:K00275	babr:DO74_1434
ko:K03179	babr:DO74_1435
ko:K01945	babr:DO74_1436
ko:K07566	babr:DO74_1444
ko:K01879	babr:DO74_1445
ko:K01878	babr:DO74_1447
ko:K02523	babr:DO74_1449
ko:K00919	babr:DO74_1454
ko:K03470	babr:DO74_1459
ko:K02109	babr:DO74_1460
ko:K02109	babr:DO74_1461
ko:K02110	babr:DO74_1462
ko:K02108	babr:DO74_1463
ko:K02116	babr:DO74_1464
ko:K04046	babr:DO74_1466
ko:K03977	babr:DO74_1467
ko:K17938	babr:DO74_1470
ko:K07263	babr:DO74_2251
ko:K08316	babr:DO74_2252
ko:K06178	babr:DO74_2253
ko:K12262	babr:DO74_2255
ko:K01870	babr:DO74_2257
ko:K11753	babr:DO74_2258
ko:K04078	babr:DO74_2260
ko:K04077	babr:DO74_2261
ko:K01679	babr:DO74_2263
ko:K15977	babr:DO74_2264
ko:K02429	babr:DO74_2265
ko:K00765	babr:DO74_2266
ko:K02502	babr:DO74_2267
ko:K01892	babr:DO74_2268
ko:K01246	babr:DO74_2270
ko:K06221	babr:DO74_2272
ko:K11473	babr:DO74_2273
ko:K11472	babr:DO74_2274
ko:K00104	babr:DO74_2275
ko:K09794	babr:DO74_2279
ko:K08738	babr:DO74_2280
ko:K01644	babr:DO74_2285
ko:K09709	babr:DO74_2286
ko:K02419	babr:DO74_2291
ko:K02415	babr:DO74_2292
ko:K02393	babr:DO74_2293
ko:K02394	babr:DO74_2295
ko:K02386	babr:DO74_2296
ko:K02392	babr:DO74_2297
ko:K02408	babr:DO74_2298
ko:K02388	babr:DO74_2299
ko:K02387	babr:DO74_2300
ko:K14998	babr:DO74_3096
ko:K00382	babr:DO74_3095
ko:K09699	babr:DO74_3097
ko:K00167	babr:DO74_3098
ko:K00166	babr:DO74_3099
ko:K10111	babr:DO74_3100
ko:K10119	babr:DO74_3102
ko:K10118	babr:DO74_3103
ko:K10117	babr:DO74_3104
ko:K10117	babr:DO74_3105
ko:K18676	babr:DO74_3106
ko:K03710	babr:DO74_3107
ko:K00426	babr:DO74_3109
ko:K00425	babr:DO74_3110
ko:K16012	babr:DO74_3111
ko:K16013	babr:DO74_3112
ko:K05564	babr:DO74_3114
ko:K05563	babr:DO74_3115
ko:K05562	babr:DO74_3116
ko:K05561	babr:DO74_3117
ko:K05560	babr:DO74_3118
ko:K05559	babr:DO74_3119
ko:K07078	babr:DO74_3121
ko:K03831	babr:DO74_3122
ko:K01012	babr:DO74_3124
ko:K00652	babr:DO74_3125
ko:K01935	babr:DO74_3126
ko:K00833	babr:DO74_3127
ko:K00648	babr:DO74_3128
ko:K00651	babr:DO74_3130
ko:K07273	babr:DO74_3131
ko:K03310	babr:DO74_3132
ko:K06996	babr:DO74_3134
ko:K03885	babr:DO74_3136
ko:K02043	babr:DO74_782
ko:K05774	babr:DO74_783
ko:K05595	babr:DO74_784
ko:K02469	babr:DO74_785
ko:K00954	babr:DO74_787
ko:K07568	babr:DO74_790
ko:K00773	babr:DO74_791
ko:K03585	babr:DO74_793
ko:K18138	babr:DO74_794
ko:K00252	babr:DO74_798
ko:K07001	babr:DO74_807
ko:K01496	babr:DO74_808
ko:K01495	babr:DO74_809
ko:K08998	babr:DO74_811
ko:K01868	babr:DO74_813
ko:K04765	babr:DO74_817
ko:K01784	babr:DO74_818
ko:K14347	babr:DO74_819
ko:K13953	babr:DO74_821
ko:K13953	babr:DO74_822
ko:K03543	babr:DO74_825
ko:K18118	babr:DO74_828
ko:K01011	babr:DO74_831
ko:K01738	babr:DO74_833
ko:K11927	babr:DO74_834
ko:K01754	babr:DO74_835
ko:K03809	babr:DO74_837
ko:K02025	babr:DO74_1632
ko:K02027	babr:DO74_1633
ko:K00305	babr:DO74_1636
ko:K00303	babr:DO74_1642
ko:K00262	babr:DO74_1643
ko:K05845	babr:DO74_1645
ko:K05846	babr:DO74_1646
ko:K05847	babr:DO74_1647
ko:K05846	babr:DO74_1648
ko:K00941	babr:DO74_1652
ko:K03153	babr:DO74_1653
ko:K03154	babr:DO74_1654
ko:K03149	babr:DO74_1655
ko:K00788	babr:DO74_1656
ko:K15598	babr:DO74_1657
ko:K03707	babr:DO74_1658
ko:K15599	babr:DO74_1659
ko:K06147	babr:DO74_1661
ko:K02529	babr:DO74_1662
ko:K09959	babr:DO74_1663
ko:K13953	babr:DO74_1664
ko:K00138	babr:DO74_1665
ko:K00138	babr:DO74_1666
ko:K00111	babr:DO74_1668
ko:K02444	babr:DO74_1669
ko:K01082	babr:DO74_1673
ko:K00955	babr:DO74_1674
ko:K00957	babr:DO74_1675
ko:K16871	babr:DO74_1677
ko:K07782	babr:DO74_1678
ko:K00548	babr:DO74_1679
ko:K10112	babr:DO74_2463
ko:K02025	babr:DO74_2464
ko:K02026	babr:DO74_2465
ko:K02027	babr:DO74_2466
ko:K03710	babr:DO74_2467
ko:K07090	babr:DO74_2468
ko:K01996	babr:DO74_2470
ko:K01995	babr:DO74_2471
ko:K01998	babr:DO74_2471
ko:K01997	babr:DO74_2472
ko:K01999	babr:DO74_2473
ko:K07025	babr:DO74_2479
ko:K01826	babr:DO74_2485
ko:K00151	babr:DO74_2486
ko:K02509	babr:DO74_2489
ko:K02509	babr:DO74_2490
ko:K02510	babr:DO74_2491
ko:K10544	babr:DO74_2495
ko:K10545	babr:DO74_2496
ko:K10543	babr:DO74_2497
ko:K02406	babr:DO74_2501
ko:K02409	babr:DO74_2502
ko:K02557	babr:DO74_2504
ko:K10564	babr:DO74_2505
ko:K10565	babr:DO74_2506
ko:K02390	babr:DO74_2509
ko:K02396	babr:DO74_2510
ko:K02397	babr:DO74_2511
ko:K06602	babr:DO74_2512
ko:K00769	babr:DO74_840
ko:K16053	babr:DO74_844
ko:K07007	babr:DO74_845
ko:K13587	babr:DO74_846
ko:K06204	babr:DO74_849
ko:K08296	babr:DO74_850
ko:K06918	babr:DO74_851
ko:K08990	babr:DO74_852
ko:K00950	babr:DO74_854
ko:K01633	babr:DO74_855
ko:K00796	babr:DO74_856
ko:K00384	babr:DO74_858
ko:K00384	babr:DO74_859
ko:K04755	babr:DO74_860
ko:K18480	babr:DO74_862
ko:K02067	babr:DO74_863
ko:K02065	babr:DO74_864
ko:K02066	babr:DO74_865
ko:K00029	babr:DO74_867
ko:K01885	babr:DO74_868
ko:K01916	babr:DO74_870
ko:K00901	babr:DO74_871
ko:K01626	babr:DO74_872
ko:K00383	babr:DO74_873
ko:K09924	babr:DO74_874
ko:K01807	babr:DO74_875
ko:K01091	babr:DO74_876
ko:K04751	babr:DO74_879
ko:K01915	babr:DO74_880
ko:K01091	babr:DO74_882
ko:K06179	babr:DO74_884
ko:K06147	babr:DO74_885
ko:K06167	babr:DO74_886
ko:K03424	babr:DO74_887
ko:K01874	babr:DO74_888
ko:K02341	babr:DO74_889
ko:K00943	babr:DO74_890
ko:K00567	babr:DO74_1683
ko:K00390	babr:DO74_1685
ko:K00381	babr:DO74_1686
ko:K02302	babr:DO74_1688
ko:K07460	babr:DO74_1689
ko:K07056	babr:DO74_1690
ko:K02428	babr:DO74_1692
ko:K00989	babr:DO74_1694
ko:K03705	babr:DO74_1695
ko:K03687	babr:DO74_1696
ko:K06203	babr:DO74_1699
ko:K10773	babr:DO74_1700
ko:K02806	babr:DO74_1704
ko:K03092	babr:DO74_1706
ko:K06861	babr:DO74_1707
ko:K09774	babr:DO74_1708
ko:K11719	babr:DO74_1709
ko:K04773	babr:DO74_1710
ko:K05788	babr:DO74_1711
ko:K06969	babr:DO74_1713
ko:K03437	babr:DO74_1714
ko:K03101	babr:DO74_1715
ko:K03555	babr:DO74_1717
ko:K00029	babr:DO74_1718
ko:K00029	babr:DO74_1719
ko:K00990	babr:DO74_1720
ko:K03980	babr:DO74_1721
ko:K01867	babr:DO74_1722
ko:K15012	babr:DO74_1727
ko:K15011	babr:DO74_1730
